date,open,high,low,close,volume
2025-05-08,124.625,127.63,123.62,126.39,3819882.0
2025-05-09,124.96,127.33,123.4,127.04,6145152.0
2025-05-12,133.16,134.85,132.14,134.21,7198291.0
2025-05-13,134.62,138.53,133.75,138.05,6890732.0
2025-05-14,138.35,139.835,137.1,137.45,6148712.0
2025-05-15,137.08,137.78,135.27,136.79,3463732.0
2025-05-16,137.55,138.45,136.21,138.0,3690187.0
2025-05-19,135.31,137.37,135.03,136.6,4904672.0
2025-05-20,133.755,134.6,131.39,132.13,6607933.0
2025-05-21,130.68,130.79,126.97,127.52,6687377.0
2025-05-22,126.79,128.329,125.94,127.65,6451798.0
2025-05-23,125.09,127.375,125.0,126.72,4371484.0
2025-05-27,128.68,130.4,128.345,129.4,7243763.0
2025-05-28,129.45,129.55,127.665,128.67,4752224.0
2025-05-29,130.0,130.0,126.96,128.36,4681055.0
2025-05-30,125.5,129.25,125.0,129.0,9562946.0
2025-06-02,128.85,129.77,127.985,129.62,5223064.0
2025-06-03,129.5,133.49,128.95,132.9,5809271.0
2025-06-04,132.28,134.855,131.64,133.51,4501382.0
2025-06-05,133.5,137.8025,133.5,137.29,5859127.0
2025-06-06,139.18,143.8799,138.95,140.64,9053459.0
2025-06-09,141.47,141.5255,138.34,139.01,3989978.0
2025-06-10,139.22,140.605,138.135,138.56,4138000.0
2025-06-11,140.24,140.37,137.115,138.06,4020440.0
2025-06-12,137.13,139.405,136.7,138.81,3460997.0
2025-06-13,136.08,136.63,134.68,135.54,5091140.0
2025-06-16,138.56,139.29,136.83,137.21,3406824.0
2025-06-17,136.09,136.16,132.89,133.37,4773781.0
2025-06-18,132.71,133.815,131.69,132.17,3702457.0
2025-06-20,132.0,132.64,131.39,131.73,7967985.0
2025-06-23,131.53,131.53,127.04,130.53,4250158.0
2025-06-24,131.92,132.725,130.36,132.15,5045554.0
2025-06-25,132.8,133.03,128.77,129.67,3765553.0
2025-06-26,130.33,134.18,128.315,133.72,5138316.0
2025-06-27,134.01,134.58,132.1,134.52,4930553.0
2025-06-30,135.06,135.06,131.945,132.34,3666177.0
2025-07-01,132.225,136.69,132.12,135.41,3919565.0
2025-07-02,135.22,136.09,134.39,135.39,2668019.0
2025-07-03,136.27,138.19,136.23,136.49,2628584.0
2025-07-07,135.86,137.63,135.2,137.0,3550438.0
2025-07-08,137.5,138.55,136.55,136.99,3144542.0
2025-07-09,137.45,138.27,136.4998,136.85,4311327.0
2025-07-10,137.055,138.415,136.05,137.0,4934019.0
2025-07-11,136.12,137.0,135.2,135.35,3123574.0
2025-07-14,135.0,139.468,134.7,138.57,4574983.0
2025-07-15,139.46,140.14,136.48,136.54,3315550.0
2025-07-16,136.94,137.15,135.42,136.71,3319660.0
2025-07-17,137.58,139.57,137.26,139.3,3495943.0
2025-07-18,139.99,140.74,138.92,139.34,2983076.0
2025-07-21,139.32,139.8,137.96,138.07,2697580.0
2025-07-22,138.64,140.02,136.86,139.43,2787224.0
2025-07-23,139.62,140.93,138.1,139.83,3003828.0
2025-07-24,139.46,142.63,138.82,141.62,3067742.0
2025-07-25,142.46,142.53,141.18,141.31,2499368.0
2025-07-28,141.3,143.3,141.0201,142.16,2808615.0
2025-07-29,142.17,143.09,136.38,136.84,4082808.0
2025-07-30,135.9,136.525,133.92,134.75,3502159.0
2025-07-31,134.75,135.8,132.12,132.41,3876548.0
2025-08-01,130.04,130.36,126.92,128.02,5100383.0
2025-08-04,129.1,131.13,128.83,130.96,5277192.0
2025-08-05,131.12,132.16,129.28,129.96,7679968.0
2025-08-06,130.675,131.29,128.3,130.5,11212805.0
2025-08-07,120.38,123.3899,117.2803,120.03,17502062.0
2025-08-08,120.57,122.0,119.3,121.02,5791263.0
2025-08-11,120.01,121.3,118.14,118.3,6577841.0
2025-08-12,118.96,122.1899,118.15,121.61,6291042.0
2025-08-13,122.3,124.768,121.7,124.55,6651486.0
2025-08-14,123.495,125.58,122.4356,124.64,4706944.0
2025-08-15,125.0,126.345,124.33,125.1,4309834.0
2025-08-18,124.625,125.89,124.46,125.49,3985329.0
2025-08-19,125.35,128.08,125.27,126.0,3739757.0
2025-08-20,125.04,126.6,123.815,124.96,4097880.0
2025-08-21,124.96,126.49,124.47,126.43,3115793.0
2025-08-22,127.17,130.425,126.32,129.92,4563120.0
2025-08-25,129.44,130.03,128.09,128.15,2960456.0
