date,open,high,low,close,volume
2025-05-08,47.1,47.97,47.1,47.7,3126464.0
2025-05-09,47.63,48.63,47.4031,48.53,3080014.0
2025-05-12,49.42,50.37,49.15,49.9,4470109.0
2025-05-13,49.7,51.38,49.51,50.69,4538726.0
2025-05-14,50.695,50.695,49.395,49.41,2897008.0
2025-05-15,49.11,49.195,47.61,48.86,4177780.0
2025-05-16,48.91,50.155,48.73,50.13,3227629.0
2025-05-19,50.73,50.89,49.78,50.01,3395478.0
2025-05-20,50.0,50.54,49.685,50.16,2468037.0
2025-05-21,49.68,49.68,48.185,48.3,2805033.0
2025-05-22,47.84,48.16,47.37,47.96,2573620.0
2025-05-23,47.6,48.06,47.25,47.94,1674732.0
2025-05-27,48.31,48.72,47.9,48.63,2011762.0
2025-05-28,48.64,48.735,48.21,48.35,2229402.0
2025-05-29,48.38,48.65,47.935,48.37,1812898.0
2025-05-30,48.09,48.365,47.57,48.27,4963171.0
2025-06-02,48.27,48.27,47.28,48.1,2648191.0
2025-06-03,47.94,47.94,46.82,47.28,3690380.0
2025-06-04,47.18,47.47,46.85,47.24,3223484.0
2025-06-05,47.37,47.45,46.81,46.98,2288203.0
2025-06-06,47.42,47.77,47.25,47.42,2169939.0
2025-06-09,47.49,48.06,47.42,47.9,2332213.0
2025-06-10,48.0,48.9298,47.98,48.74,2820034.0
2025-06-11,48.89,48.912,48.365,48.67,3330370.0
2025-06-12,48.36,49.71,48.2,49.66,3330343.0
2025-06-13,49.75,52.41,49.58,52.0,7556592.0
2025-06-16,52.29,54.64,52.25,54.16,8322347.0
2025-06-17,53.98,54.88,53.7302,54.1,5309591.0
2025-06-18,54.07,55.045,53.92,53.99,4620945.0
2025-06-20,54.29,54.45,53.32,53.61,8469944.0
2025-06-23,53.34,53.88,52.68,52.82,3640881.0
2025-06-24,52.4,53.33,52.35,52.93,4966083.0
2025-06-25,52.65,52.91,51.71,52.3,4524873.0
2025-06-26,52.57,53.55,52.48,53.17,3598277.0
2025-06-27,53.175,53.275,51.34,51.98,4770110.0
2025-06-30,52.0,53.13,51.65,52.78,4198827.0
2025-07-01,52.68,54.62,52.57,54.45,5012212.0
2025-07-02,54.9,55.98,54.295,55.9,4662350.0
2025-07-03,56.0,56.37,54.88,55.31,2259865.0
2025-07-07,54.88,55.47,54.465,54.52,2761184.0
2025-07-08,54.61,55.31,54.41,54.55,3015456.0
2025-07-09,54.54,54.68,53.21,54.0,3184571.0
2025-07-10,54.03,55.58,53.51,54.89,3013627.0
2025-07-11,54.58,55.14,54.11,54.94,2190095.0
2025-07-14,54.77,54.98,53.95,54.3,2313677.0
2025-07-15,54.09,54.25,53.5202,53.73,3549162.0
2025-07-16,53.58,54.12,53.301,54.0,3487347.0
2025-07-17,53.07,53.7499,52.23,53.54,4504147.0
2025-07-18,53.63,54.44,53.4401,54.39,2983040.0
2025-07-21,54.6,55.05,54.13,54.15,2069985.0
2025-07-22,54.13,55.465,54.095,55.41,2365600.0
2025-07-23,55.53,56.39,55.405,56.22,2589581.0
2025-07-24,56.13,56.22,55.4301,55.5,2347084.0
2025-07-25,55.26,55.43,54.0688,55.35,2684327.0
2025-07-28,54.93,55.0,54.31,54.76,1751638.0
2025-07-29,54.97,54.97,53.805,54.2,3370914.0
2025-07-30,54.38,55.9,54.265,55.2,3352722.0
2025-07-31,54.77,55.015,53.97,54.18,3986398.0
2025-08-01,54.15,54.5,52.96,53.85,2583504.0
2025-08-04,54.24,54.52,53.56,54.36,2531041.0
2025-08-05,54.55,57.73,54.55,57.62,5761264.0
2025-08-06,58.24,58.78,56.69,56.73,4889936.0
2025-08-07,57.41,58.04,56.5615,57.86,3943621.0
2025-08-08,58.41,58.71,57.68,57.84,2694402.0
2025-08-11,58.4,58.88,57.83,58.28,3063296.0
2025-08-12,58.47,59.68,58.15,58.56,3844803.0
2025-08-13,58.5,59.825,57.49,59.82,4223985.0
2025-08-14,60.0,60.07,58.82,59.32,3571596.0
2025-08-15,59.5,59.779,58.97,59.75,2935937.0
2025-08-18,59.59,59.815,59.27,59.67,3654544.0
2025-08-19,59.7,60.02,58.96,59.96,3475509.0
2025-08-20,59.78,60.75,59.65,60.73,4485477.0
2025-08-21,60.71,61.72,60.26,61.12,4190456.0
2025-08-22,61.35,63.395,60.97,62.92,5237475.0
2025-08-25,62.93,64.38,62.67,64.21,3365294.0
2025-08-26,63.935,63.935,62.63,62.82,4715379.0
2025-08-27,62.6,63.18,62.17,62.71,2896175.0
2025-08-28,62.82,62.91,61.96,62.66,3507083.0
2025-08-29,62.55,63.06,62.21,62.64,2760640.0
2025-09-02,62.55,62.8128,61.62,62.05,3837980.0
2025-09-03,61.76,61.78,61.1217,61.72,3028672.0
2025-09-04,61.88,62.19,61.34,61.94,2691225.0
2025-09-05,61.94,63.025,61.6527,62.94,2656447.0
2025-09-08,62.84,63.25,61.39,62.3,4161692.0
2025-09-09,62.35,62.72,62.055,62.19,2317133.0
2025-09-10,62.02,62.24,59.57,61.41,3606207.0
2025-09-11,61.37,61.68,60.79,61.42,2909339.0
2025-09-12,61.3,61.77,61.155,61.57,2289908.0
2025-09-15,61.4,61.595,60.51,60.53,3085786.0
2025-09-16,60.77,62.92,59.915,62.35,4665596.0
2025-09-17,62.15,62.625,61.055,61.09,3084157.0
2025-09-18,61.27,61.27,60.63,60.83,2837701.0
2025-09-19,60.9,61.88,60.74,61.65,11658542.0
2025-09-22,61.23,61.325,58.46,59.86,4342490.0
2025-09-23,59.91,61.6,59.91,60.7,3624651.0
2025-09-24,61.03,62.045,60.905,61.48,2537663.0
2025-09-25,61.99,62.28,61.02,61.07,2939431.0
2025-09-26,61.31,61.54,59.36,60.6,5878774.0
2025-09-29,60.64,60.68,59.35,60.31,4268219.0
2025-09-30,60.2,60.58,59.69,59.74,3233627.0
2025-10-01,60.07,60.32,58.17,59.25,3650690.0
2025-10-02,59.07,59.51,58.89,59.11,2725196.0
2025-10-03,58.91,61.25,58.83,61.04,4260898.0
2025-10-06,61.05,63.19,60.6109,62.45,4057813.0
2025-10-07,62.33,63.42,62.07,62.89,3486788.0
2025-10-08,62.97,63.56,60.81,62.22,4711421.0
2025-10-09,62.275,63.11,61.05,61.31,3706643.0
2025-10-10,61.26,62.04,60.8,60.84,4527795.0
2025-10-13,61.04,62.4427,60.66,61.64,3609580.0
2025-10-14,60.75,62.385,58.42,61.85,6127629.0
2025-10-15,63.04,64.57,62.22,63.38,5344098.0
2025-10-16,63.54,64.18,62.795,62.9,3638042.0
2025-10-17,62.35,63.36,61.86,63.33,3048602.0
2025-10-20,63.72,63.99,62.9201,63.19,2124523.0
2025-10-21,63.1,63.33,61.07,61.72,2822682.0
2025-10-22,61.74,62.81,61.175,61.91,2193309.0
2025-10-23,62.5,63.0,61.895,62.51,2047840.0
2025-10-24,62.5,63.88,62.5,63.33,1916896.0
2025-10-27,64.76,65.0,61.505,61.94,3409645.0
2025-10-28,61.52,62.18,61.08,61.37,2104474.0
2025-10-29,60.97,61.33,60.39,60.52,3183165.0
2025-10-30,61.0,61.355,60.62,60.69,2521048.0
2025-10-31,60.36,60.84,59.595,60.53,4037566.0
2025-11-03,60.1,61.03,59.55,60.09,3877373.0
2025-11-04,56.15,61.9,55.6,60.12,8265575.0
2025-11-05,58.67,58.79,56.12,56.29,5743975.0
2025-11-06,56.13,57.39,56.13,56.72,4019004.0
2025-11-07,56.99,56.99,56.22,56.98,3740096.0
2025-11-10,57.06,57.06,55.58,56.0,4063239.0
2025-11-11,56.37,57.69,56.02,57.63,3394208.0
2025-11-12,57.17,58.155,57.02,57.75,3130666.0
2025-11-13,57.89,59.72,57.85,58.83,3691625.0
2025-11-14,58.75,59.78,58.055,58.61,3103301.0
2025-11-17,58.62,59.7,58.43,58.74,2404601.0
2025-11-18,58.98,61.13,58.25,61.03,3312330.0
2025-11-19,60.3,60.565,56.8,58.23,5265287.0
2025-11-20,58.235,58.985,57.85,57.87,2997430.0
2025-11-21,57.97,59.29,57.735,58.63,3103733.0
2025-11-24,58.41,58.94,57.94,58.65,5781954.0
2025-11-25,58.95,59.8059,58.74,59.7,2315679.0
2025-11-26,59.55,61.05,59.55,60.55,2159217.0
2025-11-28,60.43,61.08,60.41,60.74,1139827.0
2025-12-01,60.87,61.37,60.43,60.52,2449999.0
2025-12-02,60.47,60.66,59.965,60.31,1800934.0
2025-12-03,60.68,61.17,59.66,59.8,2239402.0
2025-12-04,59.98,60.0665,57.95,59.36,2924768.0
2025-12-05,59.12,59.59,58.965,59.01,1925474.0
2025-12-08,58.9,58.97,57.86,57.94,2428449.0
2025-12-09,57.86,59.11,57.8,58.07,2543497.0
2025-12-10,58.28,58.99,57.17,58.21,2961968.0
2025-12-11,58.42,59.96,58.42,59.92,2427449.0
2025-12-12,60.16,60.59,59.12,60.01,2996569.0
2025-12-15,59.69,60.37,59.05,60.2,2646011.0
2025-12-16,58.78,59.62,57.89,57.98,3847963.0
2025-12-17,58.56,59.36,58.12,58.56,2901137.0
2025-12-18,58.46,59.09,58.285,58.3,2871232.0
2025-12-19,58.18,58.74,57.65,58.24,7828845.0
2025-12-22,57.86,58.33,57.48,57.85,2328966.0
2025-12-23,57.84,58.015,57.29,57.47,2073125.0
2025-12-24,57.81,58.1,57.65,57.78,767841.0
2025-12-26,57.71,57.95,57.535,57.91,1172220.0
2025-12-29,57.9,58.44,57.72,58.22,1764928.0
2025-12-30,58.25,58.71,58.03,58.17,2017448.0
2025-12-31,58.1,58.26,57.46,57.49,1589506.0
2026-01-02,57.44,59.35,57.21,59.05,2972292.0
2026-01-05,58.48,59.66,57.808,59.58,3684587.0
2026-01-06,59.91,61.055,59.103,60.49,4020451.0
2026-01-07,60.26,60.375,58.16,58.52,3181848.0
2026-01-08,58.16,62.38,58.16,61.19,4790291.0
2026-01-09,61.77,62.42,60.94,61.94,3568058.0
2026-01-12,62.22,62.745,61.84,62.2,2758841.0
2026-01-13,62.2,63.42,62.01,63.38,2717999.0
2026-01-14,63.64,65.705,63.64,64.6,5476376.0
2026-01-15,64.42,66.63,64.36,66.57,5085324.0
2026-01-16,66.0,66.53,64.96,65.18,3660749.0
2026-01-20,64.9,66.17,63.94,65.88,4052076.0
2026-01-21,66.07,67.84,65.42,67.7,3769754.0
2026-01-22,67.84,68.05,66.88,67.12,3993851.0
2026-01-23,67.59,68.0585,66.685,67.51,3013769.0
2026-01-26,67.82,67.89,67.01,67.37,2752205.0
2026-01-27,67.26,68.45,66.85,68.23,2586202.0
2026-01-28,68.83,69.75,67.05,67.4,3237876.0
2026-01-29,67.97,69.06,66.85,66.92,5621602.0
2026-01-30,66.52,67.34,66.16,67.31,5377467.0
2026-02-02,67.18,68.37,66.77,68.08,5608041.0
2026-02-03,62.42,68.24,62.4,67.39,7404878.0
2026-02-04,67.12,67.88,66.53,67.34,5968671.0
2026-02-05,67.56,67.56,64.86,65.43,3169890.0
2026-02-06,65.37,67.81,65.215,66.33,2761894.0
2026-02-09,66.34,67.57,65.5,67.35,3275103.0
2026-02-10,67.59,68.68,67.26,68.62,3194778.0
2026-02-11,68.9,69.94,68.45,69.3,6429071.0
2026-02-12,69.27,70.09,68.59,69.5,3508285.0
2026-02-13,69.13,70.06,68.37,69.51,3063865.0
2026-02-17,68.77,69.15,66.55,68.57,3993613.0
2026-02-18,68.23,68.86,67.2,67.52,3578616.0
2026-02-19,67.69,68.98,67.22,68.86,2748914.0
2026-02-20,69.0,69.2,67.6,67.88,2697762.0
2026-02-23,67.86,69.39,67.43,67.69,2177158.54433
2026-02-24,67.65,68.72,66.88,68.02,2350669.153749
2026-02-25,68.07,68.57,65.8801,67.45,2677595.742632
2026-02-26,67.41,68.259,66.81,67.42,2730073.457656
2026-02-27,67.43,69.1,66.83,69.04,5021518.612122
2026-03-02,69.5,70.48,68.2732,69.61,3032906.714441
2026-03-03,68.44,68.6499,67.17,67.99,3012049.063313
2026-03-04,68.3,68.5,66.72,67.22,2453518.592306
2026-03-05,67.02,67.07,65.96,66.53,2874110.302699
2026-03-06,66.94,68.03,65.5,67.44,3399466.759745
