date,open,high,low,close,volume
2025-04-24,293.035,294.86,288.96,294.55,1686259.0
2025-04-25,293.09,294.2,288.75,291.76,1481993.0
2025-04-28,291.65,294.21,290.4,293.57,1669235.0
2025-04-29,292.4,296.02,292.37,295.77,1618330.0
2025-04-30,290.74,301.36,288.34,300.6,3342317.0
2025-05-01,299.21,300.32,293.725,298.69,1667514.0
2025-05-02,301.02,305.06,300.085,303.57,1720851.0
2025-05-05,303.3,305.745,301.45,303.96,1232849.0
2025-05-06,303.23,304.19,300.925,303.33,1006759.0
2025-05-07,303.41,306.2,302.38,305.18,2013032.0
2025-05-08,306.9,309.67,305.19,307.09,1164272.0
2025-05-09,307.09,308.71,305.82,307.72,851726.0
2025-05-12,311.82,312.14,305.21,309.38,1682981.0
2025-05-13,310.085,310.86,308.18,308.19,1215499.0
2025-05-14,306.66,309.98,305.51,309.41,1163118.0
2025-05-15,309.96,315.95,309.96,315.85,1696989.0
2025-05-16,316.44,319.5,314.39,319.37,1489162.0
2025-05-19,318.72,323.17,317.37,322.96,1530564.0
2025-05-20,321.36,323.14,320.835,322.8,1015039.0
2025-05-21,320.31,323.66,320.31,322.63,1892350.0
2025-05-22,322.6,323.21,320.15,321.65,1273688.0
2025-05-23,319.07,321.83,317.655,321.09,962536.0
2025-05-27,322.88,326.0,321.82,325.71,1745156.0
2025-05-28,327.315,327.99,323.71,324.14,1158732.0
2025-05-29,324.2,325.07,321.27,324.12,921705.0
2025-05-30,325.18,326.6,323.37,325.53,2925090.0
2025-06-02,322.8,325.91,321.07,325.8,1502572.0
2025-06-03,324.46,326.8,322.9835,326.53,2155924.0
2025-06-04,325.72,327.56,323.96,326.21,1229954.0
2025-06-05,327.18,327.8,324.675,326.23,1817739.0
2025-06-06,328.85,329.9295,326.125,326.81,1183335.0
2025-06-09,325.72,325.84,317.8,318.57,1463033.0
2025-06-10,318.53,319.7199,312.68,314.52,1422101.0
2025-06-11,314.375,314.375,310.93,312.365,1323705.0
2025-06-12,312.96,314.245,305.28,309.75,1799190.0
2025-06-13,307.07,310.85,305.74,306.82,2021726.0
2025-06-16,307.8,309.69,306.63,307.91,1622290.0
2025-06-17,308.77,309.3,306.85,307.62,2357159.0
2025-06-18,307.62,308.8099,306.08,306.77,1466702.0
2025-06-20,308.51,308.51,304.0,306.26,3659069.0
2025-06-23,307.26,310.44,305.76,310.24,1707066.0
2025-06-24,311.25,311.99,308.145,311.4,1309187.0
2025-06-25,311.02,311.195,297.22,298.19,2355101.0
2025-06-26,299.24,303.9,296.75,302.98,2304170.0
2025-06-27,302.94,306.47,300.9,303.45,1931132.0
2025-06-30,303.37,308.88,302.61,308.4,2414776.0
2025-07-01,308.18,311.99,307.3,310.13,1496603.0
2025-07-02,308.08,308.745,300.7925,305.05,1327855.0
2025-07-03,307.0,309.4,305.28,309.2,1393190.0
2025-07-07,309.175,310.805,306.9,308.4,1660350.0
2025-07-08,307.77,309.21,305.4,306.9,1919182.0
2025-07-09,308.21,308.66,305.26,308.41,1359647.0
2025-07-10,307.35,308.4699,305.32,305.82,1421547.0
2025-07-11,305.43,305.855,301.84,302.65,1097350.0
2025-07-14,302.19,303.84,301.1,303.36,1128385.0
2025-07-15,302.07,303.21,298.05,298.18,965555.0
2025-07-16,298.66,300.7,296.46,300.27,1525545.0
2025-07-17,299.88,303.37,299.88,302.12,1314135.0
2025-07-18,304.275,304.275,300.3935,301.79,1653908.0
2025-07-21,301.69,303.3,300.75,300.9,949670.0
2025-07-22,301.6,306.3302,301.48,302.98,1026698.0
2025-07-23,302.38,304.51,301.5001,304.23,1135688.0
2025-07-24,303.92,307.1,303.25,306.24,1148091.0
2025-07-25,307.16,308.82,306.17,308.63,967227.0
2025-07-28,308.6,309.19,306.31,306.89,1184823.0
2025-07-29,307.97,309.69,305.5,308.64,2670872.0
2025-07-30,299.31,315.98,298.69,310.94,2558231.0
2025-07-31,309.32,315.26,308.81,309.5,2030399.0
2025-08-01,308.0,308.27,299.56,300.44,1791603.0
2025-08-04,300.55,303.09,300.37,302.26,1560104.0
2025-08-05,302.18,302.89,299.29,299.44,1774907.0
2025-08-06,300.585,302.46,298.66,301.64,1879514.0
2025-08-07,303.68,305.77,301.5801,303.49,1519885.0
2025-08-08,304.13,306.8257,303.62,305.81,879386.0
2025-08-11,304.755,306.94,302.5,303.72,1265718.0
2025-08-12,303.52,304.2,299.01,299.63,1280112.0
2025-08-13,299.87,305.11,299.73,304.95,2351673.0
2025-08-14,304.95,304.965,301.43,301.68,1074439.0
2025-08-15,301.31,304.03,300.06,301.79,1362768.0
2025-08-18,302.02,303.16,301.1,302.65,1156707.0
2025-08-19,302.58,306.73,302.2545,305.72,1227250.0
2025-08-20,306.84,310.08,305.665,309.03,1440741.0
2025-08-21,308.53,308.99,304.04,304.94,1458899.0
2025-08-22,306.45,308.895,303.3728,307.95,1150919.0
2025-08-25,306.71,307.8,303.28,303.84,1138039.0
2025-08-26,303.13,304.67,302.12,303.45,2503458.0
2025-08-27,302.53,304.33,301.96,303.09,1109628.0
2025-08-28,303.04,304.45,301.7456,304.1,1488198.0
2025-08-29,302.655,305.31,302.655,304.05,1106884.0
2025-09-02,301.64,302.45,298.3,299.77,1648489.0
2025-09-03,296.57,300.07,294.59,298.86,1448332.0
2025-09-04,298.92,301.58,296.715,301.19,1735422.0
2025-09-05,301.19,302.68,293.95,295.97,1892499.0
2025-09-08,296.58,298.59,293.51,298.43,1716594.0
