date,open,high,low,close,volume
2025-04-11,10.33,10.39,9.99,10.3,12487088.0
2025-04-14,10.47,10.65,10.305,10.48,13416238.0
2025-04-15,10.46,10.67,10.21,10.27,12445993.0
2025-04-16,10.22,10.325,9.86,9.96,15587031.0
2025-04-17,10.02,10.26,9.95,10.18,10476120.0
2025-04-21,10.06,10.2,9.57,9.8,13719102.0
2025-04-22,9.93,10.06,9.8,9.98,9778602.0
2025-04-23,10.28,10.455,10.05,10.12,10423372.0
2025-04-24,10.22,10.32,10.06,10.12,13945144.0
2025-04-25,10.08,10.12,9.91,10.05,13192070.0
2025-04-28,10.09,10.255,10.06,10.19,13953826.0
2025-04-29,10.16,10.47,10.135,10.37,13877435.0
2025-04-30,10.3,10.3,9.92,10.0,18034813.0
2025-05-01,9.9,10.26,9.9,9.95,17623659.0
2025-05-02,10.1,10.39,9.91,10.18,17920112.0
2025-05-05,10.22,10.2806,9.955,10.26,16502405.0
2025-05-06,10.23,10.6,10.2,10.44,12178428.0
2025-05-07,10.26,10.485,10.185,10.3,10993988.0
2025-05-08,10.39,10.94,10.28,10.82,14049097.0
2025-05-09,10.92,11.245,10.79,11.12,14690055.0
2025-05-12,11.51,11.9,11.37,11.87,24137715.0
2025-05-13,11.95,12.64,11.95,12.55,23720155.0
2025-05-14,12.46,12.55,12.29,12.52,23330814.0
2025-05-15,12.42,12.665,12.32,12.4,14632398.0
2025-05-16,12.51,12.51,12.135,12.21,13460541.0
2025-05-19,12.02,12.06,11.36,11.71,19366812.0
2025-05-20,11.28,11.51,11.16,11.24,25909689.0
2025-05-21,11.26,11.26,10.12,10.13,44831916.0
2025-05-22,9.85,9.89,9.46,9.63,40712669.0
2025-05-23,9.54,10.07,9.53,9.99,22740524.0
2025-05-27,10.07,10.11,9.86,10.07,13960882.0
2025-05-28,10.0,10.045,9.58,9.7,17583012.0
2025-05-29,9.8,10.09,9.75,10.05,11834131.0
2025-05-30,10.005,10.21,9.92,10.09,11260958.0
2025-06-02,10.02,10.28,9.955,10.18,12773425.0
2025-06-03,10.31,10.345,10.06,10.27,10548976.0
2025-06-04,10.33,10.33,10.085,10.17,9997194.0
2025-06-05,10.22,10.62,10.035,10.51,16984106.0
2025-06-06,10.61,10.95,10.515,10.89,17205153.0
2025-06-09,10.99,11.08,10.67,10.88,11537520.0
2025-06-10,11.07,11.4,10.905,11.29,18812651.0
2025-06-11,11.43,11.52,11.295,11.48,11586101.0
2025-06-12,11.48,11.765,11.455,11.54,18362584.0
2025-06-13,11.4,11.52,11.08,11.44,16793926.0
2025-06-16,11.53,11.725,11.3,11.46,11948567.0
2025-06-17,11.44,11.44,10.395,10.53,28143084.0
2025-06-18,10.5,10.81,10.45,10.52,18232752.0
2025-06-20,10.6,10.7,10.4,10.41,18140262.0
2025-06-23,10.43,10.485,10.07,10.15,13611655.0
2025-06-24,10.2,10.4899,10.1601,10.47,17165083.0
2025-06-25,10.43,10.66,10.36,10.5,9775969.0
2025-06-26,10.58,10.92,10.54,10.81,11127079.0
2025-06-27,10.85,10.89,10.61,10.72,13078257.0
2025-06-30,10.2,10.575,10.02,10.52,24219278.0
2025-07-01,10.55,11.06,10.3601,10.77,27268143.0
2025-07-02,10.85,11.42,10.79,11.13,20482110.0
2025-07-03,11.36,11.63,11.28,11.52,13837893.0
2025-07-07,11.4,11.65,11.315,11.52,11717022.0
2025-07-08,11.13,11.28,10.98,11.07,19675215.0
2025-07-09,12.755,13.335,12.5,13.26,70142243.0
2025-07-10,13.09,13.11,12.36,12.41,35389146.0
2025-07-11,12.27,12.75,12.15,12.59,20994368.0
2025-07-14,12.56,12.81,12.42,12.58,15830030.0
