date,open,high,low,close,volume
2025-04-10,74.32,74.95,70.75,72.56,2041047.0
2025-04-11,72.72,74.51,71.81,74.05,2515492.0
2025-04-14,74.67,75.15,73.39,74.15,1251420.0
2025-04-15,74.17,74.835,73.85,74.51,936942.0
2025-04-16,73.84,75.575,73.25,73.81,1459993.0
2025-04-17,74.0,74.3,73.2,73.46,1613376.0
2025-04-21,72.77,73.005,71.28,71.92,1067923.0
2025-04-22,73.48,74.02,72.3856,73.67,1583394.0
2025-04-23,75.89,76.995,75.02,75.87,2080043.0
2025-04-24,75.87,79.57,75.55,79.2,2048243.0
2025-04-25,79.2,80.38,78.76,79.79,1307215.0
2025-04-28,79.85,81.04,79.3201,80.18,1354992.0
2025-04-29,80.06,81.465,79.5325,80.98,1267094.0
2025-04-30,79.61,80.8,78.955,80.58,1065904.0
2025-05-01,81.3,81.93,80.335,81.11,1159921.0
2025-05-02,82.21,83.04,81.64,82.54,1340815.0
2025-05-05,82.17,84.0455,81.9135,83.1,1576361.0
2025-05-06,82.54,83.56,82.15,82.87,1279374.0
2025-05-07,82.84,83.44,82.1706,82.86,2224089.0
2025-05-08,83.7,86.15,83.355,85.44,3833891.0
2025-05-09,83.0,83.89,76.2,76.25,5837365.0
2025-05-12,79.01,79.7,77.615,78.79,3567317.0
2025-05-13,79.3,79.5,78.11,78.94,2065847.0
2025-05-14,77.74,79.11,77.251,77.51,3560855.0
2025-05-15,77.39,77.39,74.85,76.51,16398074.0
2025-05-16,76.95,78.05,76.23,78.03,3469649.0
2025-05-19,76.8,78.2,76.41,77.87,2836042.0
2025-05-20,77.72,78.9,77.21,77.49,2599083.0
2025-05-21,76.53,77.79,76.2004,76.42,1704165.0
2025-05-22,76.38,78.06,76.24,77.08,3165708.0
2025-05-23,76.1,76.705,75.7501,75.84,1946743.0
2025-05-27,77.0,78.04,76.01,77.89,1845236.0
2025-05-28,77.75,77.75,76.25,76.42,1206549.0
2025-05-29,76.86,77.0,75.5,76.09,1788451.0
2025-05-30,75.78,76.21,74.75,75.93,3105155.0
2025-06-02,75.56,76.3499,74.69,76.17,1262838.0
2025-06-03,75.91,77.1,75.17,77.09,2046431.0
2025-06-04,77.03,77.86,76.55,76.6,1779445.0
2025-06-05,76.9,77.14,75.8,76.14,2584870.0
2025-06-06,76.18,77.11,76.01,77.03,1601454.0
2025-06-09,77.51,78.7,77.28,78.08,2106761.0
2025-06-10,78.22,78.85,77.925,78.27,1268963.0
2025-06-11,78.5,79.66,77.94,78.19,3617830.0
2025-06-12,77.97,79.57,77.88,78.51,2179778.0
2025-06-13,77.67,78.33,76.86,77.03,1859078.0
2025-06-16,77.52,80.03,77.175,79.99,3894763.0
2025-06-17,79.52,79.72,78.435,78.68,3440807.0
2025-06-18,78.76,79.29,77.93,78.7,2998319.0
2025-06-20,78.7,79.31,77.62,78.38,4791354.0
2025-06-23,78.05,79.38,77.2,79.28,3152926.0
2025-06-24,79.6,80.29,78.72,80.06,3717078.0
2025-06-25,80.03,80.38,79.21,79.53,1636755.0
2025-06-26,80.0,80.25,79.15,79.6,2158167.0
2025-06-27,79.73,80.27,78.77,79.6,2610140.0
2025-06-30,80.0,80.28,79.19,79.76,1947203.0
2025-07-01,79.7,80.92,79.23,79.61,1343709.0
2025-07-02,79.56,79.89,78.8142,79.46,1247720.0
2025-07-03,80.33,80.54,79.075,79.48,1159299.0
2025-07-07,78.93,79.825,78.585,79.06,1649125.0
2025-07-08,79.61,81.45,79.189,80.64,1613406.0
2025-07-09,80.89,81.04,79.72,80.63,961662.0
2025-07-10,80.59,80.61,79.23,79.44,1144647.0
2025-07-11,78.8,79.18,77.36,77.38,1254313.0
2025-07-14,77.35,78.06,76.88,77.41,1249755.0
2025-07-15,77.74,77.94,76.72,76.8,976132.0
2025-07-16,77.07,77.6,75.75,77.04,994123.0
2025-07-17,77.35,78.04,76.66,77.93,1202042.0
2025-07-18,78.41,78.81,77.65,78.69,1464106.0
2025-07-21,79.13,79.91,78.64,78.71,1175342.0
2025-07-22,78.97,80.54,78.5,80.4,1104722.0
2025-07-23,79.71,81.13,79.71,80.68,1348891.0
2025-07-24,80.24,81.3,80.09,80.71,1026044.0
2025-07-25,80.8,81.25,80.3,80.75,2285093.0
2025-07-28,80.82,80.935,79.44,79.71,1145490.0
2025-07-29,79.72,80.41,78.935,79.49,1315411.0
2025-07-30,79.49,79.52,77.81,78.06,1933675.0
2025-07-31,78.51,78.64,76.09,76.31,1727676.0
2025-08-01,76.06,76.5,73.76,74.38,2534197.0
2025-08-04,74.75,75.85,74.625,75.5,1681064.0
2025-08-05,74.94,75.23,73.44,73.65,2546024.0
2025-08-06,74.13,74.715,73.44,74.48,2175963.0
2025-08-07,75.46,75.73,72.75,74.76,4030559.0
2025-08-08,75.62,76.65,69.78,70.53,5403878.0
2025-08-11,70.96,72.98,70.42,70.61,3141764.0
2025-08-12,70.64,72.0,70.42,71.97,2879216.0
2025-08-13,72.5,75.55,72.1658,75.44,3572317.0
2025-08-14,74.41,74.98,74.01,74.27,1644082.0
2025-08-15,74.69,75.14,74.1,74.42,2011515.0
2025-08-18,74.46,75.29,73.99,75.28,1751145.0
2025-08-19,75.19,76.65,75.0,76.49,1832399.0
2025-08-20,76.37,76.63,75.46,76.06,1355166.0
2025-08-21,75.51,76.46,74.86,76.32,1533303.0
2025-08-22,76.61,78.54,75.95,77.64,1719210.0
2025-08-25,77.41,77.58,76.17,76.52,1975949.0
2025-08-26,76.58,77.2,76.245,76.94,2365468.0
2025-08-27,77.12,78.39,77.06,78.27,1081265.0
2025-08-28,78.5,78.71,77.71,78.39,1292558.0
2025-08-29,78.38,79.27,78.35,79.13,1176468.0
2025-09-02,78.17,78.41,76.32,76.98,1712973.0
2025-09-03,76.98,77.795,76.42,77.56,1494520.0
2025-09-04,77.57,77.58,76.095,77.19,2696291.0
2025-09-05,77.35,79.21,77.2964,78.56,1786681.0
2025-09-08,78.77,79.43,77.505,78.88,1928611.0
2025-09-09,78.71,78.8852,77.85,78.16,1550861.0
2025-09-10,78.13,79.16,76.505,76.75,1741435.0
2025-09-11,77.01,79.41,76.86,79.2,1641698.0
2025-09-12,79.04,79.07,76.645,76.84,1518740.0
2025-09-15,76.87,77.95,75.59,76.46,1604049.0
2025-09-16,76.57,76.9,75.675,76.38,1188701.0
2025-09-17,76.57,77.2189,74.89,75.84,1941065.0
2025-09-18,76.03,77.3,75.94,77.09,1553992.0
2025-09-19,77.62,77.62,76.02,76.28,7140509.0
2025-09-22,76.98,76.98,76.01,76.68,1350492.0
2025-09-23,76.7,76.75,75.05,75.27,1660515.0
2025-09-24,75.41,76.28,74.95,76.23,1463989.0
2025-09-25,75.89,76.0,74.93,75.38,1243725.0
2025-09-26,75.38,76.12,75.195,76.05,1610201.0
2025-09-29,76.46,76.85,75.77,76.23,1164154.0
2025-09-30,76.12,76.38,74.72,75.76,1633327.0
2025-10-01,75.56,76.12,74.56,75.84,1480305.0
2025-10-02,76.17,78.16,75.6,78.01,1634683.0
2025-10-03,78.01,79.0,77.43,77.56,1314086.0
2025-10-06,78.0,78.56,77.07,78.44,1264206.0
2025-10-07,78.62,78.92,76.41,76.6,1299754.0
2025-10-08,76.8,77.6194,76.54,76.72,1081766.0
2025-10-09,77.0,77.0297,75.21,75.5,1423884.0
2025-10-10,75.7,76.28,73.14,73.24,1684299.0
2025-10-13,74.13,74.52,73.23,73.8,1788833.0
2025-10-14,72.77,74.36,72.46,74.09,1424043.0
2025-10-15,74.33,74.535,73.149,73.67,1333266.0
2025-10-16,74.2,74.7,72.39,72.96,1473944.0
2025-10-17,72.72,73.415,72.28,72.86,2745857.0
2025-10-20,72.95,74.32,72.95,74.25,1392465.0
2025-10-21,74.25,76.52,74.0547,76.13,1555865.0
2025-10-22,75.62,76.405,74.3,74.71,1410899.0
2025-10-23,74.79,74.9999,74.2,74.61,1020579.0
2025-10-24,75.3,75.82,74.76,75.05,1566741.0
2025-10-27,75.5,76.08,75.3,75.49,1246324.0
2025-10-28,75.4,76.155,74.91,75.75,1999202.0
2025-10-29,75.96,75.965,72.92,73.01,1755229.0
2025-10-30,72.86,75.2,72.76,73.93,1625652.0
2025-10-31,73.82,75.49,73.68,75.1,1624160.0
2025-11-03,75.21,75.35,73.805,74.53,2148697.0
2025-11-04,73.95,74.13,70.82,71.97,2626519.0
2025-11-05,72.63,73.55,71.67,72.98,3185796.0
2025-11-06,73.76,73.88,71.93,73.0,3349389.0
2025-11-07,78.9,86.23,76.75,83.74,9629176.0
2025-11-10,83.81,88.465,83.0,87.12,5974684.0
2025-11-11,86.96,92.0,86.31,90.61,5596445.0
2025-11-12,90.62,91.76,89.38,90.1,3793434.0
2025-11-13,89.97,91.8545,88.2,88.67,3597241.0
2025-11-14,87.42,88.75,87.01,87.17,3715694.0
2025-11-17,87.75,88.88,86.86,87.62,3936803.0
2025-11-18,87.3,88.7599,86.0,87.74,3681740.0
2025-11-19,87.63,88.145,86.1978,86.52,3994096.0
2025-11-20,87.65,89.14,86.75,87.38,3366913.0
2025-11-21,87.83,90.24,87.25,89.01,3663132.0
2025-11-24,88.64,89.95,87.37,88.34,19566694.0
2025-11-25,88.495,91.005,87.33,90.71,3622342.0
2025-11-26,90.61,90.76,89.37,89.45,2917908.0
2025-11-28,89.47,89.93,89.34,89.52,1350948.0
2025-12-01,89.39,89.43,87.55,87.71,3200619.0
2025-12-02,88.0,88.2,86.061,86.83,2814473.0
2025-12-03,86.83,88.47,86.63,87.97,2337276.0
2025-12-04,87.82,88.12,86.295,86.6,2198854.0
2025-12-05,86.6,87.0,82.7,83.49,3069367.0
2025-12-08,83.48,85.7,83.48,85.32,2313800.0
2025-12-09,84.64,86.7445,84.06,85.66,2649408.0
2025-12-10,85.56,86.78,85.23,86.45,2214586.0
2025-12-11,86.38,87.27,85.15,85.45,1783706.0
2025-12-12,85.9,86.88,85.39,85.88,2151465.0
2025-12-15,88.03,90.04,85.31,86.53,3749784.0
2025-12-16,86.7,87.915,85.8,87.74,2188262.0
2025-12-17,87.56,89.34,87.15,87.55,2122112.0
2025-12-18,88.125,88.905,87.105,88.49,1934993.0
2025-12-19,88.395,89.75,88.3,89.22,5375261.0
2025-12-22,89.19,90.76,88.77,90.11,1744168.0
2025-12-23,89.86,89.895,88.61,89.23,1747773.0
2025-12-24,89.08,89.395,88.48,88.82,812967.0
2025-12-26,88.47,88.885,88.08,88.42,1398426.0
2025-12-29,88.03,88.97,87.8301,88.24,1541345.0
2025-12-30,88.08,88.58,87.8435,87.97,1510434.0
2025-12-31,87.7,88.2,87.205,87.25,1163224.0
2026-01-02,87.3,87.515,84.54,85.1,1638577.0
2026-01-05,85.06,87.4,85.05,85.91,1433800.0
2026-01-06,85.54,88.86,85.54,88.74,1925040.0
2026-01-07,88.15,89.11,87.22,88.18,2303669.0
2026-01-08,87.23,87.7,85.37,85.71,3044458.0
2026-01-09,86.18,88.505,85.78,88.12,3052643.0
2026-01-12,93.74,93.94,90.8227,91.27,6719191.0
2026-01-13,91.5,91.78,88.36,88.86,3024349.0
2026-01-14,88.95,91.485,88.6,90.65,2418137.0
2026-01-15,90.62,91.72,89.75,91.53,3259601.0
2026-01-16,93.14,95.035,92.57,93.49,4081417.0
2026-01-20,92.08,92.78,89.23,89.6,3335477.0
2026-01-21,90.05,94.26,89.86,93.72,3327025.0
2026-01-22,94.41,97.565,94.02,97.03,4183552.0
2026-01-23,96.53,96.99,94.89,95.08,2934099.0
2026-01-26,96.31,99.19,95.95,98.66,4142117.0
2026-01-27,101.9,104.975,101.42,103.26,8013326.0
2026-01-28,103.51,103.96,101.6,102.1,4461923.0
2026-01-29,101.85,102.0,98.46,99.35,3862654.0
2026-01-30,98.73,99.25,95.935,97.15,2983802.0
2026-02-02,96.35,97.76,95.42,96.63,2439353.0
2026-02-03,96.14,97.99,91.18,91.79,3617923.0
2026-02-04,91.69,94.14,90.88,91.92,3214928.0
2026-02-05,91.81,93.34,91.13,91.49,3330762.0
2026-02-06,92.565,95.25,92.5,95.08,3325776.0
2026-02-09,95.005,95.55,92.31,94.72,2268228.0
2026-02-10,94.69,95.79,94.0,94.4,2493344.0
2026-02-11,99.01,99.01,94.49,94.8,4121940.0
2026-02-12,98.75,106.8,98.75,104.61,10960826.0
2026-02-13,104.49,113.5,102.8666,111.76,7333772.0
2026-02-17,110.58,111.46,106.7501,108.42,4698536.0
2026-02-18,108.25,110.44,106.08,109.31,3483507.0
2026-02-19,108.245,109.77,107.0,109.59,7403058.0
2026-02-20,99.735,102.0,93.53,94.17,15779607.0
2026-02-23,93.745,99.7,92.68,98.755,7644665.590046
2026-02-24,98.66,103.9,98.0,100.13,5382817.808647
2026-02-25,100.95,101.28,97.8296,100.04,3178583.742116
2026-02-26,99.45,100.65,98.2,99.9,2905040.929726
2026-02-27,98.75,99.51,96.9196,98.39,4716151.00473
2026-03-02,96.91,98.86,96.575,97.64,4563677.546514
2026-03-03,95.61,103.72,95.3742,102.08,5310293.982986
2026-03-04,102.0,103.22,100.28,102.98,2813504.328085
