date,open,high,low,close,volume
2025-05-08,141.5,142.53,140.81,140.91,882846.0
2025-05-09,142.14,142.2,141.16,141.85,593225.0
2025-05-12,145.0,145.94,142.65,143.8,1109406.0
2025-05-13,144.06,144.82,142.78,142.85,916370.0
2025-05-14,142.22,143.02,140.53,141.08,924960.0
2025-05-15,141.52,143.03,140.9,142.91,677372.0
2025-05-16,143.09,145.75,142.35,145.64,764293.0
2025-05-19,144.15,145.07,143.43,144.49,695550.0
2025-05-20,144.3,144.7,143.22,143.68,706764.0
2025-05-21,142.48,143.735,141.84,141.96,1054616.0
2025-05-22,141.41,142.3,140.38,141.63,861476.0
2025-05-23,140.53,141.69,140.16,141.31,617189.0
2025-05-27,142.49,144.71,141.02,144.53,1178623.0
2025-05-28,144.2,144.8,142.49,143.1,1152949.0
2025-05-29,143.49,144.01,142.1,143.35,875341.0
2025-05-30,142.8,143.08,141.625,142.7,1088334.0
2025-06-02,141.77,143.06,138.78,139.41,1146525.0
2025-06-03,139.27,139.87,137.36,139.1,1492760.0
2025-06-04,139.28,139.9,137.86,138.11,949692.0
2025-06-05,138.44,138.87,137.64,138.23,766170.0
2025-06-06,139.18,139.94,138.735,139.15,737728.0
2025-06-09,139.65,140.455,138.23,139.6,659447.0
2025-06-10,139.17,140.05,138.96,139.67,643513.0
2025-06-11,139.91,139.91,137.48,137.94,643845.0
2025-06-12,137.36,138.92,136.63,138.67,649320.0
2025-06-13,136.68,138.29,134.67,135.3,556572.0
2025-06-16,136.41,136.53,135.17,136.1,608838.0
2025-06-17,135.1,136.54,134.68,136.24,1199358.0
2025-06-18,136.44,137.995,135.96,136.8,942840.0
2025-06-20,137.81,138.86,136.54,137.63,2000367.0
2025-06-23,137.72,142.61,137.325,142.45,1397617.0
2025-06-24,144.12,144.12,142.07,143.61,902501.0
2025-06-25,143.54,144.305,141.93,142.82,793489.0
2025-06-26,142.57,143.64,142.49,143.39,628589.0
2025-06-27,143.64,144.72,143.085,143.89,699885.0
2025-06-30,144.05,144.245,142.64,144.12,597283.0
2025-07-01,143.62,148.74,143.305,147.65,832462.0
2025-07-02,147.52,148.69,146.55,147.95,765147.0
2025-07-03,148.34,148.51,147.19,148.11,411792.0
