date,open,high,low,close,volume
2025-05-07,169.19,170.445,168.485,169.71,840909.0
2025-05-08,170.66,173.72,170.465,171.57,1144953.0
2025-05-09,172.2,173.22,170.945,171.75,1257909.0
2025-05-12,177.58,180.51,176.515,179.38,2214411.0
2025-05-13,179.98,182.33,179.98,180.5,1582678.0
2025-05-14,180.17,180.395,178.715,179.36,1254789.0
2025-05-15,179.22,180.75,178.79,180.21,1335237.0
2025-05-16,180.86,182.88,180.1491,182.75,1167568.0
2025-05-19,180.93,182.44,180.93,181.88,949446.0
2025-05-20,180.46,181.385,180.31,180.8,832785.0
2025-05-21,179.43,180.0,177.25,177.68,1270590.0
2025-05-22,177.0,179.765,175.85,178.54,788888.0
2025-05-23,176.13,178.51,175.38,177.64,1108463.0
2025-05-27,179.71,180.97,178.0,180.81,1178407.0
2025-05-28,181.32,181.654,178.53,178.97,941783.0
2025-05-29,179.75,180.56,178.6,180.04,1269931.0
2025-05-30,180.04,180.435,177.87,178.74,2078721.0
2025-06-02,177.84,177.84,174.88,176.32,1220814.0
2025-06-03,176.22,177.89,175.61,177.71,2114844.0
2025-06-04,178.6,178.6,176.84,177.21,1106005.0
2025-06-05,178.1,178.59,175.98,176.93,1112268.0
2025-06-06,178.6,179.35,177.89,178.35,1041040.0
2025-06-09,178.75,179.55,178.06,178.64,877214.0
2025-06-10,178.81,180.04,178.07,179.87,1154923.0
2025-06-11,179.68,181.73,178.69,180.9,1843721.0
2025-06-12,178.91,180.395,178.43,179.97,1042237.0
2025-06-13,177.7,179.02,176.37,176.96,1261501.0
2025-06-16,178.71,179.18,177.52,178.63,1450071.0
2025-06-17,177.83,178.14,175.07,175.55,967914.0
2025-06-18,175.51,178.9,175.365,177.76,1332693.0
2025-06-20,179.59,179.82,176.23,176.69,2794326.0
2025-06-23,176.18,177.48,174.47,177.28,1461261.0
2025-06-24,177.28,179.4,176.66,179.24,1523752.0
2025-06-25,179.05,179.1199,176.89,178.0,1115916.0
2025-06-26,178.69,180.83,178.26,179.82,1074981.0
2025-06-27,180.44,181.48,179.67,180.53,1601306.0
2025-06-30,180.51,181.46,179.57,180.96,1600767.0
2025-07-01,180.18,183.97,179.51,183.06,1094521.0
2025-07-02,182.4,183.13,181.615,181.99,977662.0
2025-07-03,183.0,184.37,182.1,184.19,719336.0
2025-07-07,183.83,184.04,181.18,182.37,1558838.0
2025-07-08,182.17,183.2,180.83,181.33,1827260.0
2025-07-09,182.83,183.08,180.09,182.28,1168609.0
2025-07-10,182.21,183.68,181.2,181.44,1152466.0
2025-07-11,180.29,181.48,179.78,180.97,839398.0
2025-07-14,179.31,179.99,177.58,178.36,1420845.0
2025-07-15,179.35,179.35,176.33,176.44,1585206.0
2025-07-16,176.82,177.29,174.43,177.05,1717381.0
2025-07-17,177.22,179.84,176.69,179.7,1241237.0
2025-07-18,180.31,180.31,178.1,178.51,1011971.0
2025-07-21,178.78,179.785,177.925,178.09,1676089.0
2025-07-22,177.67,179.32,177.26,179.2,1088905.0
2025-07-23,181.18,181.665,180.33,181.28,751290.0
2025-07-24,181.35,181.69,179.61,179.72,1545761.0
2025-07-25,179.96,180.78,179.02,180.09,1566161.0
2025-07-28,180.64,180.885,178.6,178.84,1394648.0
2025-07-29,179.35,179.9934,178.1,178.96,1473220.0
2025-07-30,179.51,180.08,175.61,176.76,2286617.0
