date,open,high,low,close,volume
2025-05-07,222.58,224.96,219.27,219.49,3571688.0
2025-05-08,218.94,219.9,217.55,217.88,3007593.0
2025-05-09,217.07,220.585,216.58,219.97,2499850.0
2025-05-12,217.44,217.44,206.92,207.92,4450863.0
2025-05-13,208.5,208.5,201.72,203.96,4525363.0
2025-05-14,202.9,205.185,201.01,204.5,4060445.0
2025-05-15,206.24,211.77,205.0,211.68,3115633.0
2025-05-16,212.96,213.46,211.4,213.38,2812716.0
2025-05-19,213.64,215.5,211.95,215.13,1733618.0
2025-05-20,213.51,215.86,213.42,215.4,1755977.0
2025-05-21,215.64,216.56,213.46,213.73,2231515.0
2025-05-22,214.43,215.66,209.07,210.27,1969848.0
2025-05-23,213.12,213.53,210.555,211.86,1573189.0
2025-05-27,211.02,214.99,211.02,213.7,1867026.0
2025-05-28,213.0,213.1,210.73,212.46,1787967.0
2025-05-29,211.66,214.1,210.65,213.71,1790593.0
2025-05-30,213.12,215.37,212.32,214.65,5861528.0
2025-06-02,213.38,214.435,210.9,214.11,2142649.0
2025-06-03,213.15,214.38,211.73,213.39,2035496.0
2025-06-04,213.25,216.47,212.19,214.36,1579002.0
2025-06-05,215.13,217.19,214.07,216.22,2526905.0
2025-06-06,215.32,216.125,212.09,212.54,2516318.0
2025-06-09,212.11,213.93,210.38,212.83,1777763.0
2025-06-10,213.94,215.4,212.73,214.61,1625003.0
2025-06-11,214.61,215.71,212.94,214.36,1577890.0
2025-06-12,215.78,217.77,214.55,217.7,1738066.0
2025-06-13,215.5,217.36,214.0689,214.8,2455578.0
2025-06-16,213.0,217.32,213.0,214.98,2424545.0
2025-06-17,215.12,215.755,212.78,215.14,1659540.0
2025-06-18,215.61,216.6575,213.59,215.48,1665653.0
2025-06-20,215.14,218.85,214.3,217.48,4018901.0
2025-06-23,218.65,222.61,217.545,221.63,2618039.0
2025-06-24,220.87,225.03,219.0037,223.91,2219043.0
2025-06-25,221.74,222.825,219.51,220.22,1727397.0
2025-06-26,220.79,221.58,215.82,217.52,2040073.0
2025-06-27,216.3,219.88,215.87,217.78,2086256.0
2025-06-30,217.39,221.13,215.26,221.02,2071771.0
2025-07-01,220.9,225.26,220.62,224.47,2567656.0
2025-07-02,222.82,224.96,222.5428,222.83,1938032.0
2025-07-03,222.48,223.156,217.9,221.75,1369114.0
2025-07-07,222.3,222.98,218.05,220.02,1894952.0
2025-07-08,218.02,221.16,217.63,220.7,2022636.0
2025-07-09,219.71,222.0,217.37,221.83,1712871.0
2025-07-10,220.49,223.68,220.1979,221.01,1459193.0
2025-07-11,220.08,221.41,217.5086,219.24,1358562.0
2025-07-14,218.95,222.3,218.865,221.78,1475875.0
2025-07-15,221.25,221.3,217.98,218.92,1754318.0
2025-07-16,219.66,223.44,219.1,223.36,2426480.0
2025-07-17,222.81,224.2831,221.83,223.04,1522498.0
2025-07-18,223.42,225.77,223.17,224.77,1253823.0
2025-07-21,226.0,227.75,225.36,226.5,1458806.0
2025-07-22,229.59,232.55,227.96,232.35,2274580.0
2025-07-23,230.94,232.47,229.59,230.18,1839691.0
2025-07-24,230.72,234.33,228.48,231.24,2034743.0
2025-07-25,230.62,231.545,228.25,229.87,1031271.0
2025-07-28,227.72,229.07,223.345,224.21,2176277.0
2025-07-29,219.0,219.0,211.8,214.71,3704037.0
2025-07-30,211.56,215.08,207.66,208.74,3693319.0
2025-07-31,207.22,209.6,205.71,208.39,2774165.0
2025-08-01,211.405,217.39,211.13,212.1,3232199.0
2025-08-04,211.36,214.335,211.0,212.98,2804487.0
2025-08-05,212.26,212.785,207.78,210.05,1854859.0
2025-08-06,210.5,211.5785,208.5,208.9,1634081.0
2025-08-07,208.92,211.07,208.0,210.01,2025761.0
2025-08-08,210.33,210.89,205.8066,206.51,1727528.0
2025-08-11,205.93,207.88,204.85,206.08,2339198.0
2025-08-12,206.15,206.78,203.22,204.62,1757141.0
2025-08-13,204.88,205.31,202.95,204.15,2717887.0
2025-08-14,203.2,204.185,200.79,203.46,2636914.0
2025-08-15,204.19,208.21,203.19,206.12,2640464.0
2025-08-18,206.6,207.02,202.66,203.13,3227734.0
2025-08-19,203.54,206.83,203.23,206.65,1669449.0
2025-08-20,208.49,211.14,207.68,209.5,2217546.0
2025-08-21,208.37,211.0,208.37,209.73,1483376.0
2025-08-22,210.9,214.79,210.25,211.88,2343137.0
