date,open,high,low,close,volume
2025-04-10,371.15,373.94,362.785,369.02,1427720.0
2025-04-11,370.48,377.195,365.34,376.3,1759625.0
2025-04-14,379.89,387.69,378.05,384.34,1536734.0
2025-04-15,384.34,386.45,378.86,379.11,845570.0
2025-04-16,381.86,382.32,371.25,372.82,978213.0
2025-04-17,374.11,374.11,362.265,367.41,1562804.0
2025-04-21,365.75,365.75,351.18,355.95,1363913.0
2025-04-22,360.95,369.585,357.73,368.52,1811360.0
2025-04-23,370.36,371.73,365.89,368.83,1145316.0
2025-04-24,364.99,367.38,363.13,365.05,1889919.0
2025-04-25,341.5,346.51,323.73,335.85,5318005.0
2025-04-28,339.41,346.34,334.67,343.47,2943951.0
2025-04-29,340.03,350.26,340.03,349.9,2571599.0
2025-04-30,349.0,355.68,345.9,354.79,1752399.0
2025-05-01,351.18,356.61,351.18,351.54,1198063.0
2025-05-02,356.54,358.0,352.68,356.25,1114571.0
2025-05-05,356.25,357.72,351.68,355.49,1153013.0
2025-05-06,355.0,360.26,352.11,357.93,1893781.0
2025-05-07,358.66,361.69,358.19,359.72,1201822.0
2025-05-08,360.04,363.61,357.0,357.11,1181567.0
2025-05-09,357.09,358.59,352.545,354.32,747859.0
2025-05-12,353.18,355.095,347.75,353.57,1288112.0
2025-05-13,357.09,360.22,354.91,355.07,1333207.0
2025-05-14,355.29,355.615,347.42,352.22,1528120.0
2025-05-15,353.15,358.99,353.15,358.59,1135575.0
2025-05-16,358.53,362.27,357.7,361.92,1096949.0
2025-05-19,361.61,365.31,360.3,364.96,1140124.0
2025-05-20,364.67,364.8,361.87,362.43,678066.0
2025-05-21,361.11,362.21,357.3467,358.06,910028.0
2025-05-22,357.23,358.43,352.855,355.33,811624.0
2025-05-23,355.39,357.28,351.895,356.54,1087375.0
2025-05-27,359.87,366.23,357.2062,365.06,1076859.0
2025-05-28,363.52,366.14,360.7742,361.32,832605.0
2025-05-29,360.74,366.92,359.26,366.92,1272319.0
2025-05-30,366.68,372.99,365.54,372.08,1849194.0
2025-06-02,368.06,376.57,367.94,376.16,1240863.0
2025-06-03,377.43,379.91,371.5,374.48,1169153.0
2025-06-04,374.78,376.17,370.305,372.62,852260.0
2025-06-05,372.28,372.3,366.99,370.49,1177787.0
2025-06-06,372.95,374.6132,370.0301,371.09,705574.0
2025-06-09,369.5,369.84,351.49,353.83,1898817.0
2025-06-10,357.31,357.89,350.67,351.71,1108567.0
2025-06-11,350.55,352.045,347.42,349.48,1616664.0
2025-06-12,351.54,356.11,349.75,355.78,1366409.0
2025-06-13,353.6,356.25,352.41,353.0,1025291.0
2025-06-16,353.99,355.79,349.39,350.04,1694077.0
2025-06-17,348.54,351.59,346.695,350.81,1171341.0
2025-06-18,350.81,353.425,347.75,350.83,1035597.0
2025-06-20,351.47,357.19,351.46,354.7,1775274.0
2025-06-23,354.095,360.38,353.44,359.95,1176587.0
2025-06-24,361.09,361.47,355.17,360.68,1270001.0
2025-06-25,360.5,360.5,354.425,354.46,1074106.0
2025-06-26,355.0,356.76,352.0,353.55,1056830.0
2025-06-27,353.51,356.675,351.12,352.73,4487855.0
2025-06-30,352.31,357.53,351.21,356.76,1029212.0
2025-07-01,357.13,359.065,353.44,356.93,883242.0
2025-07-02,354.9,358.6,345.78,351.55,1272554.0
2025-07-03,352.87,356.31,351.4923,354.76,640714.0
2025-07-07,354.25,356.19,351.54,353.23,1183263.0
2025-07-08,350.69,357.02,348.0279,354.57,2507968.0
2025-07-09,353.85,357.27,352.19,356.92,875084.0
2025-07-10,356.54,359.88,355.705,359.0,1116755.0
2025-07-11,357.75,360.57,355.1,355.67,857264.0
2025-07-14,356.88,360.0,353.8262,359.82,764384.0
2025-07-15,357.59,359.53,352.38,352.38,1104213.0
2025-07-16,355.25,355.25,349.6401,354.56,1150957.0
2025-07-17,352.61,356.49,351.35,354.63,1220240.0
2025-07-18,354.965,358.5,352.4,356.11,1079879.0
2025-07-21,356.15,356.61,350.75,350.91,1072337.0
2025-07-22,351.98,355.815,351.6,354.22,1960917.0
2025-07-23,355.61,357.43,351.16,357.28,1679588.0
2025-07-24,357.17,359.7525,356.01,356.61,1515517.0
2025-07-25,368.51,381.0,368.51,372.89,2251487.0
2025-07-28,371.3,373.5468,367.565,369.16,1503381.0
2025-07-29,369.16,369.16,352.025,354.03,2218368.0
2025-07-30,356.0,359.53,353.73,355.34,1526215.0
2025-07-31,352.91,360.17,352.91,355.71,1387431.0
2025-08-01,356.68,356.68,351.44,353.46,1640942.0
2025-08-04,353.78,360.88,351.575,360.4,1133741.0
2025-08-05,360.79,364.13,359.78,361.6,1201492.0
2025-08-06,363.2,364.335,358.32,363.68,931793.0
2025-08-07,363.71,366.66,361.25,365.03,1843679.0
2025-08-08,367.0,367.01,363.575,366.4,1095233.0
2025-08-11,366.95,370.335,365.46,368.09,1274729.0
2025-08-12,368.48,368.655,360.25,363.81,2994305.0
2025-08-13,366.81,372.46,365.59,370.92,1316792.0
2025-08-14,371.04,372.04,365.135,366.35,1292984.0
2025-08-15,367.2,370.7,365.21,367.01,1181068.0
2025-08-18,366.08,369.78,365.21,365.37,1323892.0
2025-08-19,367.09,373.36,366.24,372.86,1111163.0
2025-08-20,373.93,378.68,372.7195,374.0,1104953.0
2025-08-21,372.5,375.77,371.1701,375.27,1126172.0
2025-08-22,377.45,378.7,373.85,375.1,1190563.0
2025-08-25,374.11,376.69,370.73,370.94,1025887.0
2025-08-26,369.14,371.11,367.02,369.0,1449861.0
2025-08-27,369.9,371.09,368.02,368.37,931628.0
