date,open,high,low,close,volume
2025-05-08,15.91,16.37,15.59,16.18,12759019.0
2025-05-09,16.5,16.99,16.31,16.72,7697088.0
2025-05-12,17.9,18.28,17.57,17.71,8596738.0
2025-05-13,17.78,18.73,17.7,18.46,8695246.0
2025-05-14,18.25,18.45,18.05,18.17,8031372.0
2025-05-15,17.66,17.8,17.37,17.76,17476219.0
2025-05-16,17.89,17.89,17.295,17.59,6012638.0
2025-05-19,17.33,17.345,16.95,17.315,4781510.0
2025-05-20,17.44,17.44,17.16,17.25,4577656.0
2025-05-21,17.22,17.245,16.69,16.71,6219458.0
2025-05-22,16.53,16.86,16.15,16.74,5043529.0
2025-05-23,16.28,16.875,16.25,16.85,6822199.0
2025-05-27,17.1,17.33,16.75,17.31,4525183.0
2025-05-28,17.51,17.59,17.105,17.18,4641075.0
2025-05-29,17.45,17.45,17.04,17.34,4839074.0
2025-05-30,17.195,17.265,16.88,17.01,7731642.0
2025-06-02,17.7,17.79,17.235,17.33,6342506.0
2025-06-03,17.375,18.335,17.03,18.27,5999027.0
2025-06-04,18.265,18.73,17.765,17.92,6289371.0
2025-06-05,18.065,18.145,17.745,17.85,5514595.0
2025-06-06,18.22,18.685,18.1,18.5,6673569.0
2025-06-09,18.58,18.995,18.49,18.63,7972793.0
2025-06-10,18.83,19.795,18.83,19.28,10103171.0
2025-06-11,19.5,19.83,19.07,19.61,8856283.0
2025-06-12,19.32,20.03,19.0202,19.95,8324407.0
2025-06-13,20.89,21.1,20.175,21.01,13081808.0
2025-06-16,20.63,20.99,20.12,20.5,10386609.0
2025-06-17,20.72,21.335,20.4,20.78,11389593.0
2025-06-18,20.76,21.27,20.24,20.31,7439664.0
2025-06-20,20.43,20.505,19.74,19.97,14423632.0
2025-06-23,20.21,20.28,18.37,18.39,16563043.0
2025-06-24,18.01,18.48,17.93,18.18,10156572.0
2025-06-25,18.1,18.1956,17.735,17.8,6790789.0
2025-06-26,17.94,18.68,17.88,18.45,6583464.0
