date,open,high,low,close,volume
2025-07-10,49.28,49.415,48.565,49.155,10631964.0
2025-07-11,49.105,49.485,48.9625,49.38,13434108.0
2025-07-14,49.415,50.395,49.16,50.105,15500368.0
2025-07-15,50.37,50.5,49.4401,49.72,11015770.0
2025-07-16,49.9,50.29,49.305,50.275,12482020.0
2025-07-17,50.0475,51.04,50.0475,50.98,13917934.0
2025-07-18,51.5,51.85,51.17,51.67,12639192.0
2025-07-21,51.52,52.08,51.26,51.855,13018814.0
2025-07-22,51.885,51.94,50.55,50.89,17651434.0
2025-07-23,53.615,54.425,47.595,50.355,60116290.0
2025-07-24,51.395,52.55,51.09,52.23,28029254.0
2025-07-25,52.395,53.01,52.335,52.51,14607178.0
2025-07-28,52.955,53.5725,52.52,53.35,16737564.0
2025-07-29,53.91,54.2725,52.485,52.655,18954068.0
2025-07-30,52.655,53.0025,52.1425,52.745,14495134.0
2025-07-31,53.4,54.1,53.135,53.255,30535992.0
2025-08-01,52.645,52.66,51.38,52.155,17472340.0
2025-08-04,54.28,54.375,53.205,54.315,17995932.0
2025-08-05,54.33,54.9475,53.505,53.965,20869478.0
2025-08-06,54.125,54.75,53.7675,54.75,13015770.0
2025-08-07,54.795,55.19,53.915,54.275,11588314.0
2025-08-08,54.58,55.3,54.25,54.99,10105066.0
2025-08-11,55.125,55.4975,54.625,54.905,9719144.0
2025-08-12,55.08,55.935,54.895,55.925,14151868.0
2025-08-13,56.06,56.175,53.835,54.915,19743938.0
2025-08-14,54.505,55.415,54.385,55.37,12494490.0
2025-08-15,55.275,55.36,53.76,54.605,13071658.0
2025-08-18,55.0,55.69,54.86,55.53,13618376.0
2025-08-19,55.405,56.0075,54.59,54.99,14001246.0
2025-08-20,54.65,54.73,52.355,54.325,18023334.0
2025-08-21,54.26,54.74,53.945,54.405,14641476.0
2025-08-22,54.505,55.5825,54.215,54.68,15105366.0
2025-08-25,54.79,55.74,54.7754,54.865,8173712.0
2025-08-26,54.91,55.39,54.865,54.95,20618898.0
2025-08-27,54.835,55.33,54.7005,55.065,8866740.0
2025-08-28,55.05,56.0298,54.7775,55.97,10154388.0
2025-08-29,55.51,55.645,53.96,54.43,12402188.0
