date,open,high,low,close,volume
2025-04-24,54.15,55.6451,53.32,55.06,2513169.0
2025-04-25,54.97,56.17,54.51,55.93,1451967.0
2025-04-28,56.0,57.08,55.83,56.28,1798391.0
2025-04-29,55.9,57.95,55.75,57.65,1865163.0
2025-04-30,56.11,57.23,55.9,57.06,3439481.0
2025-05-01,55.2,58.54,55.01,56.96,3560846.0
2025-05-02,58.77,59.62,58.09,58.97,2463175.0
2025-05-05,58.25,59.49,58.25,58.78,1588145.0
2025-05-06,58.27,59.4,58.18,58.19,2142019.0
2025-05-07,58.65,59.44,58.23,58.92,2572892.0
2025-05-08,59.89,61.74,59.58,61.11,1955560.0
2025-05-09,61.72,62.52,61.51,61.97,1606698.0
2025-05-12,65.0,67.035,64.99,66.93,4057926.0
2025-05-13,66.98,68.9775,66.69,68.79,2843116.0
2025-05-14,68.44,69.64,68.1,69.42,3315209.0
2025-05-15,68.33,69.18,67.39,68.1,2742791.0
2025-05-16,68.19,68.36,67.6,68.26,1765310.0
2025-05-19,66.7,67.76,66.7,67.34,1820628.0
2025-05-20,66.85,68.05,66.81,67.49,1420893.0
2025-05-21,66.87,68.1,66.76,66.96,2153610.0
2025-05-22,66.91,67.48,66.4545,66.97,1762883.0
2025-05-23,64.75,66.44,64.1263,66.06,1530815.0
2025-05-27,67.27,68.43,66.7187,68.4,2199136.0
2025-05-28,68.5,68.74,67.54,67.71,1528851.0
2025-05-29,68.44,68.485,67.67,68.09,1276438.0
2025-05-30,67.23,67.66,66.45,66.81,3737739.0
2025-06-02,66.2,66.67,64.625,65.3,1927433.0
2025-06-03,65.21,67.08,64.76,66.89,1725960.0
2025-06-04,66.19,66.46,64.77,65.88,2387089.0
2025-06-05,65.88,66.33,65.13,65.48,1930928.0
2025-06-06,66.32,66.87,66.03,66.64,1430457.0
2025-06-09,66.64,67.65,66.41,67.19,1132098.0
2025-06-10,67.82,70.53,67.3,70.37,2289841.0
2025-06-11,70.8,71.23,69.95,70.19,2599149.0
2025-06-12,69.0,70.11,68.5623,69.68,1616717.0
2025-06-13,68.84,69.31,66.55,67.25,2105373.0
2025-06-16,68.64,69.56,67.89,69.18,2158762.0
2025-06-17,68.76,69.31,67.38,67.6,2590254.0
2025-06-18,67.59,68.36,67.45,67.66,2742426.0
2025-06-20,68.24,68.435,66.34,67.05,6297119.0
2025-06-23,65.97,66.709,65.03,66.51,2513874.0
2025-06-24,67.4,68.48,67.045,68.45,3698592.0
2025-06-25,68.36,68.55,66.98,67.41,2020738.0
2025-06-26,67.41,69.04,67.35,67.94,1807189.0
2025-06-27,68.1,69.49,67.89,68.78,2147951.0
2025-06-30,68.68,68.77,67.83,68.22,2017239.0
2025-07-01,68.02,71.68,67.45,71.67,2385533.0
2025-07-02,71.95,72.83,71.42,72.19,2512286.0
2025-07-03,72.97,73.0,71.86,72.56,1048551.0
2025-07-07,71.02,72.54,70.72,72.03,2123245.0
2025-07-08,72.63,72.71,71.34,71.46,2888991.0
2025-07-09,71.8,71.89,70.72,70.92,2474751.0
2025-07-10,71.29,71.53,69.89,70.58,2978943.0
2025-07-11,70.52,70.84,69.16,69.28,1995459.0
2025-07-14,69.97,71.42,69.3512,70.48,2520649.0
2025-07-15,70.67,70.775,69.18,69.3,1468268.0
2025-07-16,70.0,70.31,69.05,70.13,1834734.0
2025-07-17,69.91,70.54,69.35,70.27,1594524.0
2025-07-18,70.29,70.45,67.95,68.2,2481534.0
2025-07-21,68.76,69.07,67.51,69.0,1894132.0
2025-07-22,69.05,70.2,68.3,69.97,1851081.0
2025-07-23,71.51,72.4297,70.9525,71.91,2083509.0
2025-07-24,70.94,71.45,69.75,70.46,2319738.0
2025-07-25,70.77,71.22,69.805,70.91,1807192.0
2025-07-28,70.72,70.98,69.69,69.87,2013592.0
2025-07-29,70.04,70.37,68.19,68.24,2638610.0
2025-07-30,68.59,68.69,66.25,66.68,4595872.0
2025-07-31,68.23,69.79,66.4,68.64,3932597.0
2025-08-01,67.65,67.65,65.31,65.65,2788315.0
2025-08-04,66.2,66.28,64.63,64.86,2657365.0
2025-08-05,65.68,65.68,63.495,64.78,7144625.0
2025-08-06,65.83,66.08,64.81,65.12,2209578.0
2025-08-07,65.84,66.29,65.3,65.8,3082704.0
2025-08-08,65.66,67.08,65.41,66.9,1948328.0
2025-08-11,67.42,68.15,66.6,66.78,2344048.0
2025-08-12,67.2,71.77,67.06,71.7,4128122.0
2025-08-13,71.88,74.76,71.5801,74.72,2879180.0
2025-08-14,73.35,74.4,72.45,74.29,2727372.0
2025-08-15,74.5,74.85,73.96,74.18,1896384.0
2025-08-18,74.1,76.16,74.0058,75.71,3216416.0
2025-08-19,75.89,77.09,75.46,76.14,1563059.0
2025-08-20,75.15,76.05,74.6,75.15,2470908.0
2025-08-21,74.36,74.54,73.285,74.37,1679277.0
2025-08-22,74.9,78.44,74.15,78.43,2149473.0
2025-08-25,78.02,79.035,77.98,78.83,1601105.0
2025-08-26,78.52,80.02,78.5,79.88,3674503.0
2025-08-27,80.5,81.13,79.46,79.95,2562787.0
2025-08-28,80.28,80.52,79.195,80.3,2062341.0
2025-08-29,80.37,80.64,79.08,79.53,1834099.0
2025-09-02,78.12,78.89,77.5,78.39,3164281.0
2025-09-03,78.86,80.46,78.8,79.63,3122312.0
2025-09-04,79.78,80.62,79.32,80.45,1807737.0
2025-09-05,81.4,82.05,79.69,80.44,2586517.0
2025-09-08,80.26,82.345,79.5,82.3,2073923.0
2025-09-09,82.15,82.74,80.775,82.14,1661249.0
2025-09-10,81.725,82.11,80.46,81.61,2738619.0
2025-09-11,82.5,84.47,82.2,83.72,2399329.0
2025-09-12,84.72,84.72,82.585,82.79,1662282.0
2025-09-15,82.95,84.08,82.577,82.8,1586484.0
2025-09-16,82.74,83.3,81.14,83.12,2903919.0
2025-09-17,83.0,84.6467,81.9,82.88,1788727.0
2025-09-18,83.21,85.57,82.505,85.37,2137017.0
2025-09-19,85.09,86.43,84.065,85.28,5223118.0
2025-09-22,85.57,86.12,84.99,85.39,1991987.0
2025-09-23,85.93,86.5,85.15,85.46,2121914.0
2025-09-24,84.82,85.73,84.23,85.04,2193457.0
2025-09-25,83.79,84.845,83.16,84.72,1870130.0
2025-09-26,84.87,86.33,84.7,86.22,1255099.0
2025-09-29,87.0,87.0,85.42,85.77,1246399.0
2025-09-30,85.83,86.38,84.915,86.22,1306242.0
