date,open,high,low,close,volume
2025-04-24,77.22,77.7599,76.51,77.26,1115085.0
2025-04-25,77.0,77.555,75.1,75.88,1220449.0
2025-04-28,76.13,77.22,75.585,76.98,1680514.0
2025-04-29,75.07,75.5,71.63,72.57,3466778.0
2025-04-30,71.64,72.94,70.57,72.66,2479522.0
2025-05-01,73.0,74.27,71.9495,73.42,1671696.0
2025-05-02,75.05,75.52,73.89,74.47,1389067.0
2025-05-05,74.0,74.5249,73.17,73.54,1809260.0
2025-05-06,73.0,73.4288,71.51,71.57,1686757.0
2025-05-07,71.6,72.57,71.35,71.89,1831303.0
2025-05-08,72.36,74.72,71.84,73.69,1791146.0
2025-05-09,73.84,74.62,73.48,74.07,1349727.0
2025-05-12,76.25,76.75,73.06,74.23,2399044.0
2025-05-13,74.62,75.46,71.73,72.4,2025636.0
2025-05-14,71.92,72.25,70.15,70.99,2692086.0
2025-05-15,70.97,71.595,70.2,71.56,1848861.0
2025-05-16,71.75,72.88,71.28,72.85,1599478.0
2025-05-19,72.0,74.39,71.6,74.05,1899308.0
2025-05-20,73.19,73.77,72.11,72.18,1481204.0
2025-05-21,71.65,71.81,68.53,68.57,1870951.0
2025-05-22,68.59,69.0299,67.485,68.61,1624071.0
2025-05-23,67.8,68.48,67.37,67.83,1310458.0
2025-05-27,69.16,70.57,68.04,70.36,2219790.0
2025-05-28,70.46,70.56,69.05,69.67,1314509.0
2025-05-29,70.25,71.9475,70.25,71.25,1587529.0
2025-05-30,70.65,71.005,69.73,70.19,2295767.0
2025-06-02,70.0,70.0,68.3,69.6,1535566.0
2025-06-03,69.6,70.5,68.43,70.3,1626154.0
2025-06-04,70.59,71.36,70.1,70.57,1723563.0
2025-06-05,70.32,71.15,69.32,69.55,1417865.0
2025-06-06,70.42,71.305,70.1,70.53,1144776.0
2025-06-09,70.98,72.545,70.6,71.75,1276064.0
2025-06-10,72.225,74.37,71.79,73.33,1764974.0
2025-06-11,73.65,74.4499,72.81,73.19,1563541.0
2025-06-12,73.17,73.2904,72.28,73.06,985013.0
2025-06-13,72.1,73.02,71.5,72.11,1127945.0
2025-06-16,72.83,73.16,71.91,72.64,1789286.0
2025-06-17,72.09,72.61,70.89,71.22,1370631.0
2025-06-18,71.47,72.04,70.83,70.88,1657811.0
2025-06-20,71.35,72.1964,71.11,71.37,3295077.0
2025-06-23,71.64,73.05,71.21,72.92,1749982.0
2025-06-24,73.02,75.8,73.02,75.37,2917750.0
2025-06-25,74.33,75.0,73.25,73.68,2026337.0
2025-06-26,74.13,74.82,73.46,74.21,1864086.0
2025-06-27,74.03,74.75,73.04,73.37,2406156.0
2025-06-30,72.27,72.82,70.98,72.63,1593810.0
2025-07-01,72.28,76.15,72.05,74.49,1795306.0
2025-07-02,74.61,76.43,74.55,76.27,1735072.0
2025-07-03,76.38,77.19,75.99,76.92,904443.0
2025-07-07,76.59,77.07,74.53,75.04,2172572.0
2025-07-08,74.83,77.52,74.81,77.02,1864998.0
2025-07-09,77.42,78.38,76.2175,77.07,1304094.0
2025-07-10,77.21,79.76,77.05,79.29,1422745.0
2025-07-11,78.0,80.0,77.75,79.55,1310761.0
2025-07-14,79.74,80.3585,78.11,78.61,2185266.0
2025-07-15,79.05,79.66,77.2,77.32,1345282.0
2025-07-16,77.7,79.2,77.0114,78.15,1297572.0
2025-07-17,78.16,79.59,78.06,78.89,1602560.0
2025-07-18,78.83,79.3,77.79,78.17,1471583.0
2025-07-21,78.89,79.37,77.97,78.27,1204158.0
2025-07-22,78.71,81.6625,77.9,80.69,2554211.0
2025-07-23,81.02,83.36,80.53,82.94,3143895.0
2025-07-24,82.47,83.03,82.005,82.05,1409518.0
2025-07-25,81.96,82.48,79.0,82.19,1805460.0
2025-07-28,81.74,81.74,79.12,79.12,1233404.0
2025-07-29,79.25,79.58,78.66,79.48,1169909.0
2025-07-30,79.81,80.15,77.47,78.03,1290807.0
2025-07-31,77.55,78.175,76.23,76.43,2659092.0
2025-08-01,76.72,77.035,74.71,76.01,1745352.0
2025-08-04,76.13,77.53,75.66,77.12,1303122.0
2025-08-05,77.68,78.53,77.01,78.14,1013504.0
2025-08-06,78.4,78.51,73.64,73.85,2984769.0
2025-08-07,74.64,75.6,73.51,74.56,2092945.0
2025-08-08,74.55,75.4349,73.97,74.21,915043.0
2025-08-11,74.3,74.85,71.64,71.86,1928947.0
2025-08-12,72.45,73.73,71.55,73.69,1967741.0
2025-08-13,73.73,75.27,73.1,74.98,1498382.0
2025-08-14,73.84,74.88,73.01,74.51,1144041.0
2025-08-15,75.01,76.3,74.5501,76.09,1892711.0
2025-08-18,76.23,78.16,76.0,77.21,1596165.0
2025-08-19,77.86,79.35,77.51,78.27,1290755.0
2025-08-20,78.4,79.23,77.24,77.46,949159.0
2025-08-21,76.77,77.54,76.51,77.41,716307.0
2025-08-22,77.8,81.42,77.59,80.93,1139490.0
2025-08-25,80.68,81.0,79.65,80.42,940090.0
2025-08-26,80.21,81.375,79.76,80.83,1814290.0
2025-08-27,81.1,82.51,80.88,81.72,905406.0
2025-08-28,81.71,82.0538,80.64,81.83,793818.0
2025-08-29,81.88,82.69,81.565,82.44,890870.0
2025-09-02,81.39,81.885,80.44,80.91,1226466.0
2025-09-03,80.45,81.73,80.26,81.56,1026702.0
2025-09-04,82.02,83.01,81.31,82.89,696723.0
2025-09-05,83.77,85.5541,83.5,84.7,1008248.0
2025-09-08,83.78,85.79,83.1772,85.56,1499812.0
2025-09-09,85.365,85.365,83.47,83.72,1269731.0
2025-09-10,83.64,84.6412,83.415,84.0,1326968.0
2025-09-11,84.18,85.8,84.18,84.74,1314398.0
2025-09-12,84.91,85.8,84.215,84.92,1560059.0
2025-09-15,85.77,86.2,84.62,85.57,1284193.0
