date,open,high,low,close,volume
2025-05-07,161.24,163.47,161.22,162.66,1332374.0
2025-05-08,166.0,167.45,160.83,161.25,1841888.0
2025-05-09,161.48,161.645,157.81,159.86,1106962.0
2025-05-12,158.15,159.935,153.825,155.23,1275037.0
2025-05-13,155.41,155.9,153.45,153.66,1000978.0
2025-05-14,153.52,153.64,150.0,152.25,1504704.0
2025-05-15,153.64,156.03,152.43,155.97,1088658.0
2025-05-16,155.26,157.68,154.96,157.68,1206220.0
2025-05-19,157.9,160.0,157.08,159.98,1226895.0
2025-05-20,159.87,160.3,158.7901,159.1,1075269.0
2025-05-21,158.59,158.94,156.665,156.96,1127432.0
2025-05-22,156.59,156.894,154.14,155.29,1135036.0
2025-05-23,156.46,157.52,154.8,157.28,984685.0
2025-05-27,157.27,157.27,155.68,156.49,911566.0
2025-05-28,155.95,156.51,153.5,153.72,1050938.0
2025-05-29,152.96,154.5,152.105,154.34,743517.0
2025-05-30,154.24,155.405,153.62,154.68,3090022.0
2025-06-02,153.66,154.89,153.23,154.64,935342.0
2025-06-03,155.27,155.3,153.065,154.61,1259237.0
2025-06-04,154.41,154.58,152.04,152.15,901470.0
2025-06-05,152.27,152.85,151.46,152.35,867219.0
2025-06-06,152.98,153.58,151.3,152.18,624502.0
2025-06-09,151.49,152.8,150.72,151.97,791808.0
2025-06-10,152.06,153.285,151.415,152.98,871505.0
2025-06-11,152.94,153.48,152.43,152.47,919391.0
2025-06-12,152.81,154.59,152.59,154.49,783856.0
2025-06-13,154.24,154.5466,152.53,152.99,646228.0
2025-06-16,153.62,154.17,151.38,152.04,738301.0
2025-06-17,151.85,152.51,150.675,152.3,510995.0
2025-06-18,152.5,153.2031,152.14,152.39,501025.0
2025-06-20,152.32,154.16,152.32,153.56,1558322.0
2025-06-23,154.51,156.825,154.51,156.37,820084.0
2025-06-24,155.9,157.1041,155.69,156.44,746451.0
2025-06-25,155.67,155.79,152.72,152.73,672709.0
2025-06-26,152.82,153.91,152.135,152.92,573290.0
2025-06-27,152.54,153.98,152.37,152.49,1551588.0
2025-06-30,152.23,154.19,152.07,154.11,810237.0
2025-07-01,153.92,155.78,152.87,153.65,980324.0
2025-07-02,152.94,153.67,149.975,151.51,808784.0
2025-07-03,150.95,152.81,150.625,152.28,412875.0
2025-07-07,152.32,153.36,152.13,152.79,637968.0
2025-07-08,151.74,152.585,150.51,151.99,721900.0
2025-07-09,152.02,153.44,151.28,153.1,680316.0
2025-07-10,152.15,154.73,152.15,154.37,531124.0
2025-07-11,153.74,155.045,152.89,154.19,436931.0
2025-07-14,154.19,156.61,154.11,155.4,733412.0
2025-07-15,154.92,155.17,152.7971,154.1,530748.0
2025-07-16,154.29,155.18,153.84,154.83,631079.0
2025-07-17,155.055,155.94,153.94,155.27,488276.0
2025-07-18,155.6,157.47,155.6,156.66,751424.0
2025-07-21,156.66,159.105,156.66,158.22,753412.0
2025-07-22,158.69,160.58,158.49,158.78,495519.0
2025-07-23,158.98,159.4,156.46,157.09,509051.0
2025-07-24,157.64,158.55,157.08,157.71,451127.0
2025-07-25,157.39,158.015,156.12,156.84,533688.0
2025-07-28,156.4,156.585,154.23,154.68,734529.0
2025-07-29,155.4,156.53,154.53,156.11,614337.0
2025-07-30,156.69,157.54,155.75,156.2,656360.0
2025-07-31,155.87,156.8699,154.55,155.92,1166475.0
2025-08-01,157.49,157.49,154.62,155.81,829964.0
