date,open,high,low,close,volume
2025-04-24,206.22,208.63,205.075,206.73,536267.0
2025-04-25,207.17,207.17,204.23,205.76,642824.0
2025-04-28,206.0,208.29,205.505,207.8,510380.0
2025-04-29,207.37,208.21,204.99,207.18,714451.0
2025-04-30,206.87,210.9,204.19,209.98,1114410.0
2025-05-01,209.0,212.375,205.06,209.0,1195204.0
2025-05-02,212.46,213.335,210.38,212.2,780184.0
2025-05-05,210.63,211.645,208.96,210.02,709010.0
2025-05-06,208.01,209.23,206.98,207.87,590584.0
2025-05-07,207.9,209.67,207.01,207.89,1011970.0
2025-05-08,208.21,208.4,204.15,204.45,744883.0
2025-05-09,205.19,206.3,203.59,205.53,522050.0
2025-05-12,207.54,209.27,207.145,208.59,672598.0
2025-05-13,208.72,208.72,203.94,204.7,794844.0
2025-05-14,203.59,204.19,200.68,201.6,858393.0
2025-05-15,202.68,205.785,202.18,205.58,1029654.0
2025-05-16,206.59,208.37,204.98,208.1,806900.0
2025-05-19,205.9,208.72,205.47,208.62,849065.0
2025-05-20,207.48,209.21,206.945,208.59,603373.0
2025-05-21,206.89,207.49,201.73,201.74,626445.0
2025-05-22,202.02,202.02,198.41,199.86,902767.0
2025-05-23,199.4,199.41,196.815,198.03,882094.0
2025-05-27,200.35,202.125,198.02,201.46,857392.0
2025-05-28,201.94,202.93,200.89,201.98,752030.0
2025-05-29,202.86,206.21,201.13,206.02,856343.0
2025-05-30,205.8,207.285,204.33,206.77,2083709.0
2025-06-02,205.69,207.21,203.21,207.15,545088.0
2025-06-03,205.98,206.8925,201.19,203.96,1001121.0
2025-06-04,203.52,205.57,201.17,204.61,943313.0
2025-06-05,204.39,205.895,202.66,202.97,875309.0
2025-06-06,204.39,205.4336,202.08,203.15,597424.0
2025-06-09,202.93,208.43,202.835,206.92,1150367.0
2025-06-10,207.86,209.51,206.54,207.97,1124970.0
2025-06-11,207.67,209.12,205.7,206.54,836193.0
2025-06-12,206.66,209.35,206.6,208.83,587682.0
2025-06-13,207.09,208.775,204.42,206.18,664873.0
2025-06-16,208.11,209.385,206.74,207.22,733336.0
2025-06-17,207.15,207.82,205.03,206.3,681319.0
2025-06-18,206.69,208.13,205.7385,206.52,883320.0
2025-06-20,207.21,208.7,205.72,207.01,1264783.0
2025-06-23,207.55,209.86,205.14,207.67,975889.0
2025-06-24,207.92,208.75,205.5,206.13,1351876.0
2025-06-25,203.5,204.645,201.01,201.22,1483909.0
2025-06-26,201.88,204.79,201.185,204.13,990062.0
2025-06-27,204.64,206.62,203.54,204.38,1483655.0
2025-06-30,202.67,203.68,199.6,203.5,1316972.0
2025-07-01,203.57,206.48,201.22,203.28,1077763.0
2025-07-02,202.42,203.77,199.27,202.0,866406.0
2025-07-03,202.22,203.9399,201.19,202.57,347838.0
2025-07-07,202.07,204.665,201.48,202.46,883960.0
2025-07-08,201.29,203.125,200.98,201.47,782309.0
2025-07-09,201.51,203.12,200.53,200.63,934961.0
2025-07-10,200.69,204.23,200.52,202.7,825067.0
2025-07-11,199.96,202.78,199.96,201.86,513236.0
2025-07-14,202.11,203.71,201.5501,201.95,678306.0
2025-07-15,201.76,201.985,198.4478,199.48,621426.0
2025-07-16,199.92,202.14,199.34,201.86,606511.0
2025-07-17,201.93,203.08,200.72,202.13,667503.0
2025-07-18,202.46,203.31,201.3,202.63,474930.0
2025-07-21,203.33,205.0,200.18,200.79,645095.0
2025-07-22,201.49,204.68,201.335,204.51,662573.0
2025-07-23,204.68,204.68,202.39,203.39,500527.0
2025-07-24,203.16,203.275,201.35,201.59,506371.0
2025-07-25,201.24,203.11,200.41,201.75,319705.0
2025-07-28,201.35,202.24,198.64,198.77,588931.0
2025-07-29,199.62,203.29,198.775,203.12,533598.0
2025-07-30,202.065,202.065,194.445,196.31,1078274.0
2025-07-31,193.32,194.2,185.815,186.28,1582994.0
2025-08-01,187.58,188.24,181.23,184.44,1843814.0
2025-08-04,184.0,186.18,182.26,182.72,1301529.0
2025-08-05,184.18,189.5,182.96,186.31,1919239.0
2025-08-06,186.72,187.7,184.565,186.5,1283571.0
2025-08-07,187.04,189.37,187.04,188.24,1001760.0
2025-08-08,188.83,189.09,186.32,186.78,720404.0
2025-08-11,186.4,187.14,184.5325,185.08,831057.0
2025-08-12,185.36,187.03,184.285,186.93,701792.0
2025-08-13,188.8,191.54,186.77,191.06,826324.0
2025-08-14,188.39,189.92,187.29,189.32,1030232.0
2025-08-15,189.29,190.67,188.445,190.58,767538.0
2025-08-18,190.3,190.64,188.05,188.25,690205.0
2025-08-19,188.86,192.69,188.73,191.45,1436251.0
2025-08-20,192.14,193.9,190.51,190.62,843371.0
2025-08-21,189.14,191.7799,189.14,190.43,681012.0
2025-08-22,191.9,195.06,191.705,193.62,1211695.0
2025-08-25,193.18,194.27,191.11,192.27,582805.0
2025-08-26,192.54,193.69,191.79,192.01,1353383.0
2025-08-27,192.04,194.27,191.94,194.12,613517.0
2025-08-28,194.43,194.72,192.62,194.61,894956.0
2025-08-29,193.86,196.4574,193.61,195.85,886025.0
2025-09-02,194.92,194.92,188.48,189.02,877368.0
2025-09-03,188.19,191.09,188.19,191.07,699502.0
2025-09-04,192.05,193.1,191.06,192.72,672593.0
2025-09-05,193.93,196.85,193.89,195.41,600397.0
2025-09-08,193.45,194.7,192.79,194.47,604582.0
2025-09-09,194.0,195.325,193.495,195.24,675075.0
2025-09-10,194.48,196.095,192.3,192.64,852516.0
2025-09-11,194.14,197.31,193.32,196.83,656710.0
2025-09-12,196.96,198.29,195.12,195.15,545794.0
2025-09-15,195.21,195.71,192.665,192.84,941823.0
2025-09-16,192.51,193.64,191.9,192.28,1051991.0
2025-09-17,192.39,195.26,191.91,192.54,781038.0
2025-09-18,192.9,194.3,192.17,193.63,727606.0
2025-09-19,193.37,195.13,192.73,192.96,1878914.0
2025-09-22,193.51,193.95,191.68,193.01,1079562.0
2025-09-23,192.85,194.68,192.42,194.4,792466.0
2025-09-24,194.4,194.47,192.35,192.77,1193202.0
2025-09-25,192.5,193.92,191.0,191.57,925978.0
2025-09-26,192.23,195.3,192.23,194.86,695828.0
2025-09-29,193.74,194.875,192.77,193.56,787999.0
2025-09-30,191.82,193.31,190.08,193.17,944097.0
2025-10-01,192.43,193.81,191.25,191.37,792360.0
2025-10-02,190.85,191.46,189.24,190.1,555529.0
2025-10-03,190.4,192.63,190.25,190.69,519146.0
2025-10-06,191.0,191.02,187.34,187.58,964121.0
2025-10-07,187.99,189.755,186.4301,187.52,722471.0
2025-10-08,186.45,187.45,185.74,186.42,583565.0
2025-10-09,187.05,187.52,185.0,185.85,403688.0
2025-10-10,186.94,187.1962,183.66,184.53,742330.0
2025-10-13,184.28,185.53,183.82,184.68,490094.0
2025-10-14,184.68,185.965,183.75,185.42,606688.0
2025-10-15,185.53,187.265,183.28,184.0,889712.0
2025-10-16,184.15,185.77,183.11,184.46,993649.0
2025-10-17,184.52,187.06,184.38,187.02,762790.0
2025-10-20,188.01,189.11,186.78,187.05,502170.0
2025-10-21,187.47,189.34,186.71,187.12,864238.0
2025-10-22,188.12,190.44,186.305,189.32,866619.0
2025-10-23,189.28,190.025,187.2,189.04,560350.0
2025-10-24,189.51,190.82,188.85,189.43,642676.0
2025-10-27,188.88,189.53,186.42,188.37,670256.0
2025-10-28,187.85,187.85,183.7824,184.12,587123.0
2025-10-29,182.385,182.385,175.6,176.29,1636829.0
2025-10-30,171.5,175.4335,166.73,174.71,1574400.0
2025-10-31,174.35,176.7,173.315,173.92,1273490.0
2025-11-03,172.0,175.7075,171.27,175.37,1255956.0
2025-11-04,175.31,176.15,172.95,176.06,1283270.0
2025-11-05,176.57,178.32,175.31,177.74,1021190.0
2025-11-06,177.39,178.9888,175.03,175.24,910639.0
2025-11-07,175.91,177.67,175.23,177.38,910853.0
2025-11-10,177.65,177.65,174.72,176.75,741680.0
2025-11-11,177.86,179.15,177.3,178.84,823266.0
2025-11-12,177.54,179.09,177.46,178.05,1120332.0
2025-11-13,176.58,178.34,176.33,176.98,1435504.0
2025-11-14,178.09,178.73,176.41,177.7,836793.0
2025-11-17,178.76,179.22,176.88,177.51,1209209.0
2025-11-18,177.38,178.2489,176.01,177.41,744223.0
2025-11-19,177.85,178.23,176.3,176.97,824536.0
2025-11-20,178.27,179.38,176.69,177.04,1263341.0
2025-11-21,177.84,181.5699,177.84,180.68,1284391.0
2025-11-24,180.19,180.97,178.675,180.41,1858576.0
2025-11-25,182.8,183.6,181.57,181.64,824939.0
2025-11-26,181.0,182.86,180.075,181.87,608752.0
2025-11-28,182.0,182.59,181.05,181.94,478182.0
2025-12-01,180.61,182.13,179.2,179.65,1054503.0
2025-12-02,180.15,181.65,178.2,181.12,1048231.0
2025-12-03,181.41,182.4,180.1,181.52,836165.0
2025-12-04,179.25,181.75,178.855,179.42,1131140.0
2025-12-05,178.67,180.33,177.54,178.02,1549674.0
2025-12-08,177.32,178.02,174.1979,177.61,1298024.0
2025-12-09,178.43,180.3208,175.04,175.38,1052497.0
2025-12-10,175.42,177.56,174.85,176.34,1311394.0
2025-12-11,177.35,178.55,175.24,176.07,1388260.0
2025-12-12,177.0,177.0,175.35,176.9,1176812.0
2025-12-15,177.41,178.07,176.44,177.79,873019.0
2025-12-16,177.96,178.135,175.9501,176.94,1022918.0
2025-12-17,177.39,182.54,177.01,181.26,1148145.0
2025-12-18,181.69,182.94,180.395,181.23,1123630.0
2025-12-19,180.73,181.18,178.91,179.13,2031390.0
2025-12-22,178.68,183.15,178.37,182.52,1200672.0
2025-12-23,182.95,182.95,179.81,181.64,722340.0
2025-12-24,181.75,183.53,181.73,183.07,241887.0
2025-12-26,182.96,183.5915,181.9501,183.21,353707.0
2025-12-29,183.75,184.115,182.82,183.9,587420.0
2025-12-30,185.56,185.64,183.7123,185.0,623817.0
2025-12-31,183.37,183.37,181.0,181.31,729052.0
2026-01-02,180.98,181.72,178.5901,180.48,980087.0
2026-01-05,179.33,180.99,178.99,180.28,1759219.0
2026-01-06,179.4,184.21,179.265,183.74,738605.0
2026-01-07,184.3,186.77,179.37,179.5,1279689.0
2026-01-08,178.52,185.38,178.52,184.08,758040.0
2026-01-09,183.91,184.3,178.01,179.37,1145583.0
2026-01-12,179.15,179.8,177.95,178.39,1086906.0
2026-01-13,178.93,179.655,175.0,178.81,932785.0
2026-01-14,178.88,182.54,178.29,180.16,1094313.0
2026-01-15,180.25,181.94,179.82,180.8,898566.0
2026-01-16,180.15,183.0,178.16,182.42,1642489.0
2026-01-20,179.09,180.605,176.63,178.26,1143164.0
2026-01-21,178.85,179.58,177.18,178.96,931428.0
2026-01-22,179.09,179.41,174.47,175.76,2148813.0
2026-01-23,175.37,178.83,175.08,178.77,1198849.0
2026-01-26,179.55,180.0,177.06,177.77,1047438.0
2026-01-27,177.66,179.02,175.95,176.03,1168780.0
2026-01-28,176.16,176.72,172.07,172.97,1125460.0
2026-01-29,174.59,175.65,172.79,174.8,1968305.0
2026-01-30,174.78,177.74,173.78,177.67,1341649.0
2026-02-02,177.78,177.99,175.125,175.32,1127247.0
2026-02-03,174.6,177.365,173.25,174.29,1387844.0
2026-02-04,176.33,180.135,174.815,177.81,1404178.0
2026-02-05,177.0,181.37,168.83,169.7,1771180.0
2026-02-06,169.54,173.94,169.525,173.83,1803994.0
2026-02-09,172.64,173.79,171.76,173.46,839126.0
2026-02-10,173.6,178.0,173.6,177.43,1128869.0
2026-02-11,177.02,181.18,175.72,179.83,1479379.0
2026-02-12,180.32,180.9999,173.75,175.26,1896243.0
2026-02-13,175.27,177.6,174.23,176.19,979015.0
2026-02-17,177.71,177.98,173.54,177.65,1186874.0
2026-02-18,177.89,178.67,176.515,178.06,678065.0
2026-02-19,176.71,178.91,175.6,177.57,532781.0
2026-02-20,178.22,179.21,176.945,177.4,681541.0
2026-02-23,178.5,179.7,175.35,176.36,960189.171592
2026-02-24,176.18,177.705,175.1,177.58,639462.88829
2026-02-25,177.36,178.85,176.22,178.27,740318.629089
2026-02-26,179.23,180.1825,178.33,179.67,1470422.299484
2026-02-27,178.41,179.24,174.71,177.23,2092245.139596
2026-03-02,176.99,179.79,176.555,179.01,1303560.735776
2026-03-03,176.21,178.02,174.37,177.32,1051917.349466
2026-03-04,175.27,178.13,175.27,178.1,592232.032697
2026-03-05,176.25,179.325,176.145,179.29,661797.305465
2026-03-06,177.9,178.21,174.98,177.89,772823.292556
2026-03-09,176.53,177.31,173.02,176.71,1108332.9781
2026-03-10,175.88,177.07,173.06,174.45,841211.020641
2026-03-11,173.83,173.83,169.96,171.82,1119334.461637
2026-03-12,171.26,173.88,170.54,171.04,1063964.456856
2026-03-13,173.14,173.5,168.675,168.96,945656.519338
2026-03-16,170.32,171.655,169.12,169.14,1053481.955596
2026-03-17,170.88,171.44,169.81,170.57,853576.403908
2026-03-18,168.92,169.58,165.335,166.11,1651519.952916
2026-03-19,165.41,167.05,165.17,165.24,1028759.0024
2026-03-20,164.51,165.2,160.72,161.37,1646872.965004
2026-03-23,164.0,165.64,162.08,163.27,858437.363658
2026-03-24,162.1,164.85,161.03,163.56,898778.753085
2026-03-25,164.53,164.9175,162.59,163.65,594407.164394
2026-03-26,163.21,165.2,163.0,163.41,1133853.495678
2026-03-27,163.41,164.25,160.35,160.81,840284.200009
2026-03-30,162.32,164.16,160.93,161.56,1060997.380846
2026-03-31,161.89,163.41,160.095,163.35,1878235.891675
2026-04-01,162.9,165.8499,162.79,164.9,1385808.816548
2026-04-02,164.64,167.37,163.91,166.02,1108022.09915
2026-04-06,165.52,167.27,165.14,166.47,673554.408758
2026-04-07,166.53,168.6,166.17,167.73,889614.153501
2026-04-08,170.16,170.91,167.88,168.5,933013.492852
2026-04-09,167.73,169.77,167.42,168.51,915379.438131
2026-04-10,169.04,170.82,168.53,169.78,717511.261504
2026-04-13,169.12,169.85,167.69,169.55,1025281.826938
2026-04-14,169.25,171.25,169.25,171.0,740266.469284
2026-04-15,171.0,171.33,169.495,171.29,627588.827695
2026-04-16,171.37,172.33,168.925,169.63,773895.17887
2026-04-17,170.225,174.785,169.78,173.89,999434.777907
2026-04-20,173.05,176.37,172.76,176.36,748540.658015
2026-04-21,176.01,176.25,172.13,172.14,690505.007549
2026-04-22,172.75,174.11,170.15,171.31,625944.251152
2026-04-23,171.94,173.7,170.63,173.35,605550.931485
2026-04-24,173.14,173.9,172.02,172.38,623363.650683
2026-04-27,172.4,174.685,172.16,174.28,1310417.039785
2026-04-28,177.85,183.78,176.615,183.5,1683768.01266
2026-04-29,183.85,186.195,182.67,184.37,1692994.944323
2026-04-30,185.17,186.1,181.93,183.0,1436625.081025
2026-05-01,183.01,185.21,182.19,183.45,744694.153299
2026-05-04,182.76,185.06,182.01,182.44,651691.983977
2026-05-05,182.56,186.48,182.0069,185.25,747673.458771
2026-05-06,185.68,187.92,185.0501,186.44,937219.857761
2026-05-07,186.07,186.99,185.1,185.79,1560163.026036
2026-05-08,186.07,186.07,183.26,184.08,2001230.251356
2026-05-11,184.96,187.38,184.63,187.27,714919.062306
2026-05-12,188.01,188.01,185.21,187.02,845203.15735
2026-05-13,186.23,186.84,184.79,186.46,948602.064852
2026-05-14,187.18,187.58,183.185,183.54,1172982.856925
2026-05-15,183.82,184.64,180.35,180.84,997299.811285
2026-05-18,181.27,185.41,181.27,185.25,599637.242349
2026-05-19,184.59,186.11,183.24,185.11,858269.255877
2026-05-20,186.17,187.38,185.17,186.69,915838.813235
2026-05-21,185.05,185.84,180.5,184.11,2509768.921485
2026-05-22,185.12,186.62,183.58,185.65,1311866.063716
2026-05-26,185.63,187.2,185.08,185.09,1027491.702455
2026-05-27,186.14,188.085,185.66,186.23,876952.589013
2026-05-28,185.25,186.4,184.75,184.83,799541.955077
2026-05-29,183.6,183.81,181.25,182.51,1769118.306166
2026-06-01,183.52,185.955,182.58,182.87,1276609.28542
2026-06-02,182.62,183.57,181.48,183.38,896103.479112
2026-06-03,182.88,184.745,182.27,183.19,758188.525826
2026-06-04,185.63,189.3,184.53,189.19,1693427.668788
2026-06-05,188.77,190.89,188.35,189.72,874657.307178
2026-06-08,190.33,190.39,186.695,187.61,1687014.632266
2026-06-09,187.24,188.97,185.43,186.85,1293924.552072
2026-06-10,187.92,188.675,185.59,186.59,1232571.0676
2026-06-11,186.66,187.855,184.12,184.36,875232.202968
2026-06-12,184.78,187.05,184.78,187.03,1077126.463867
2026-06-15,186.6,187.16,183.69,184.48,1146378.74895
2026-06-16,185.87,186.79,183.915,184.73,899935.336698
2026-06-17,184.65,185.12,179.08,179.63,1264590.795527
