date,open,high,low,close,volume
2025-07-02,774.68,782.9813,756.72,774.55,574326.0
2025-07-03,781.77,797.89,780.0,795.48,268670.0
2025-07-07,796.02,804.4375,790.0,802.16,453034.0
2025-07-08,802.72,815.0,774.0957,790.22,507791.0
2025-07-09,794.3,809.99,785.0,805.86,339967.0
2025-07-10,802.11,803.0,728.43,732.99,1227628.0
2025-07-11,740.33,753.018,723.001,729.62,1121522.0
2025-07-14,727.1,752.97,723.99,750.26,538912.0
2025-07-15,752.74,753.57,740.16,745.87,373471.0
2025-07-16,743.56,748.27,725.05,742.77,516134.0
2025-07-17,744.8,753.25,739.79,745.86,341234.0
2025-07-18,747.83,757.9799,741.07,756.09,404325.0
2025-07-21,755.92,758.25,741.91,751.55,377483.0
2025-07-22,749.01,749.01,720.18,720.74,759573.0
2025-07-23,725.8,728.95,694.72,705.22,1098487.0
2025-07-24,705.22,715.745,695.0001,709.26,1105053.0
2025-07-25,711.39,742.23,709.82,735.01,723678.0
2025-07-28,740.36,747.3,722.07,736.29,627694.0
2025-07-29,742.19,742.19,725.79,728.74,383542.0
2025-07-30,728.74,749.8,725.0,748.6,448258.0
2025-07-31,752.62,762.05,747.24,755.49,513614.0
2025-08-01,739.46,747.4081,728.0,742.47,457681.0
2025-08-04,751.04,755.0,736.95,744.88,769837.0
2025-08-05,818.0,885.915,802.9601,867.12,2534971.0
2025-08-06,859.76,879.22,843.0227,863.65,842126.0
2025-08-07,867.23,885.0,860.98,870.97,700950.0
2025-08-08,872.47,878.6169,835.7,842.5,667561.0
2025-08-11,842.89,844.15,817.36,818.69,616018.0
2025-08-12,819.64,824.66,767.51,768.57,999533.0
2025-08-13,776.98,780.0,731.7421,765.52,1129168.0
2025-08-14,764.26,764.26,745.0,749.83,517787.0
2025-08-15,750.21,762.0,739.01,754.24,583413.0
2025-08-18,755.18,792.64,753.77,791.62,848300.0
2025-08-19,779.83,783.995,755.0,758.29,654278.0
2025-08-20,754.17,763.71,740.5,760.89,409959.0
2025-08-21,763.0,768.0,752.5,763.51,367048.0
2025-08-22,764.37,784.14,757.5,766.24,395921.0
2025-08-25,766.22,777.54,762.27,763.52,301529.0
2025-08-26,764.2,775.0,761.05,769.02,413957.0
2025-08-27,774.76,779.79,767.0,769.68,327223.0
2025-08-28,772.83,794.29,771.5001,781.9,553782.0
2025-08-29,784.32,785.8399,745.46,747.29,583592.0
