date,open,high,low,close,volume
2025-04-10,46.31,46.68,44.7553,45.96,3882426.0
2025-04-11,45.8,48.477,45.54,48.09,3255243.0
2025-04-14,48.69,48.93,48.15,48.8,1813227.0
2025-04-15,48.44,48.85,47.54,47.6,1476453.0
2025-04-16,48.08,48.0803,46.805,47.07,1117724.0
2025-04-17,47.06,47.82,46.93,47.38,5596373.0
2025-04-21,46.99,47.4,46.71,47.3,2360034.0
2025-04-22,47.87,48.71,47.47,48.37,2511201.0
2025-04-23,48.64,49.69,48.12,48.5,2347015.0
2025-04-24,48.91,50.69,48.32,50.52,2292424.0
2025-04-25,50.38,50.82,50.065,50.56,2094073.0
2025-04-28,50.49,50.945,49.825,50.51,1624696.0
2025-04-29,50.68,52.65,50.67,52.39,2962633.0
2025-04-30,52.21,52.67,51.35,51.94,2569010.0
2025-05-01,51.41,51.85,51.14,51.22,2345320.0
2025-05-02,52.02,52.035,51.13,51.66,2518064.0
2025-05-05,51.42,52.1,51.19,51.85,2623338.0
2025-05-06,53.29,53.99,51.61,51.68,4375668.0
2025-05-07,52.6,52.6,50.65,50.66,2965505.0
2025-05-08,51.18,52.15,50.88,51.78,2116215.0
2025-05-09,51.49,52.23,51.455,52.13,1711322.0
2025-05-12,53.69,54.09,52.52,53.23,3246370.0
2025-05-13,53.38,53.665,52.51,52.79,2542469.0
2025-05-14,53.4,53.4,52.52,52.9,3182978.0
2025-05-15,52.91,53.41,52.35,53.37,1796837.0
2025-05-16,53.13,53.79,53.12,53.77,1800665.0
2025-05-19,53.23,54.4,53.04,54.33,2246011.0
2025-05-20,54.07,54.48,53.77,54.33,3128210.0
2025-05-21,53.94,54.39,53.55,53.83,3962812.0
2025-05-22,53.76,53.76,52.3,53.32,4706126.0
2025-05-23,52.86,52.98,51.64,51.76,3813551.0
2025-05-27,52.16,53.42,52.0,53.36,2922641.0
2025-05-28,53.31,53.49,52.74,52.85,2469862.0
2025-05-29,53.06,53.58,52.87,53.55,2221063.0
2025-05-30,53.3,53.94,52.94,53.58,5447728.0
2025-06-02,52.91,53.24,51.685,52.15,2511656.0
2025-06-03,51.96,53.55,51.74,53.46,2394834.0
2025-06-04,53.46,53.85,53.16,53.24,2046641.0
2025-06-05,53.46,53.765,52.9,53.49,1702102.0
2025-06-06,53.84,54.22,53.4009,53.73,1267387.0
2025-06-09,53.49,54.56,53.08,54.23,2000712.0
2025-06-10,54.44,55.355,54.17,55.02,2158377.0
2025-06-11,54.81,54.9799,54.35,54.93,2927738.0
2025-06-12,54.62,55.39,54.465,55.15,1542628.0
2025-06-13,54.52,54.91,54.08,54.37,1636367.0
2025-06-16,55.07,56.125,54.64,56.0,2311108.0
2025-06-17,55.71,55.91,55.2,55.31,3511811.0
2025-06-18,55.22,56.555,54.92,55.83,3376297.0
2025-06-20,55.95,56.5,55.525,56.23,8579514.0
2025-06-23,56.04,56.88,55.79,56.68,3026905.0
2025-06-24,56.95,57.189,56.49,56.98,3033592.0
2025-06-25,56.43,56.91,55.9884,56.75,1905009.0
2025-06-26,57.1,57.65,56.873,56.99,2236867.0
2025-06-27,57.21,57.21,56.25,56.41,2974438.0
2025-06-30,56.31,56.31,55.78,56.09,2973588.0
2025-07-01,56.09,58.33,55.77,57.88,2827335.0
2025-07-02,58.12,58.875,57.66,58.74,1520952.0
2025-07-03,59.0,59.03,58.6,58.73,876958.0
2025-07-07,58.66,59.03,58.25,58.41,1856584.0
2025-07-08,58.47,59.14,58.26,58.76,2250959.0
2025-07-09,57.63,58.42,57.33,57.94,1736720.0
2025-07-10,58.02,58.82,57.91,58.4,1609700.0
2025-07-11,58.1,58.48,57.78,58.31,1691300.0
2025-07-14,58.15,58.39,57.8,58.2,1161349.0
2025-07-15,58.35,58.5,57.475,57.6,1359441.0
2025-07-16,57.62,58.34,57.35,58.29,1678868.0
2025-07-17,58.2,58.4,57.485,58.07,1802462.0
2025-07-18,58.16,58.305,57.7,57.85,2130615.0
2025-07-21,57.94,58.1364,57.42,58.01,1781477.0
2025-07-22,58.085,59.8,57.93,59.7,1766614.0
2025-07-23,59.99,60.285,59.4147,59.62,2371980.0
2025-07-24,59.64,60.055,58.92,58.95,2117515.0
2025-07-25,59.02,59.235,58.14,59.01,1593150.0
2025-07-28,58.7,59.06,58.32,58.68,1948732.0
2025-07-29,58.74,58.9,58.35,58.78,1429680.0
2025-07-30,58.37,58.82,57.84,58.09,2321099.0
2025-07-31,57.0,57.78,56.9364,57.26,3128100.0
2025-08-01,57.08,57.37,55.98,57.14,4335629.0
2025-08-04,56.96,57.64,56.51,57.61,2445685.0
2025-08-05,58.8,59.1699,54.05,54.3,5604783.0
2025-08-06,54.26,54.89,52.42,52.55,4772604.0
2025-08-07,52.87,54.3,52.77,54.04,3077475.0
2025-08-08,54.17,54.3799,53.645,54.06,1729427.0
2025-08-11,54.12,54.485,53.41,53.66,2380028.0
2025-08-12,53.93,53.93,52.87,53.5,1401271.0
2025-08-13,53.6,54.94,53.3,54.89,1982527.0
2025-08-14,54.46,54.57,52.875,53.64,2036207.0
2025-08-15,53.63,53.905,53.24,53.85,1398881.0
2025-08-18,54.0,54.22,52.85,52.85,2579868.0
2025-08-19,53.14,53.63,52.87,53.14,3650362.0
2025-08-20,53.25,53.56,52.87,53.13,2867800.0
2025-08-21,52.91,53.11,52.425,52.71,2560622.0
2025-08-22,53.0,54.265,52.8,53.73,2529459.0
2025-08-25,53.5,53.81,52.82,53.01,1572966.0
2025-08-26,53.03,53.28,52.5,52.66,2593216.0
2025-08-27,52.38,52.73,51.935,52.31,1994930.0
2025-08-28,52.57,52.57,51.46,52.07,2186764.0
2025-08-29,51.99,52.68,51.88,52.64,1787854.0
2025-09-02,51.7,51.74,50.63,51.06,2450278.0
2025-09-03,50.9,50.9,49.12,50.15,3467236.0
2025-09-04,50.34,50.45,49.675,50.42,2064972.0
2025-09-05,50.64,51.24,50.32,50.94,1549286.0
2025-09-08,50.83,51.0375,50.325,50.96,2329117.0
2025-09-09,50.97,51.08,50.4,50.41,1540884.0
