date,open,high,low,close,volume
2025-04-11,17.51,18.03,17.255,17.9,5794769.0
2025-04-14,18.14,18.27,17.82,18.06,3745605.0
2025-04-15,18.22,18.41,17.93,17.97,3386358.0
2025-04-16,17.86,18.1,17.415,17.55,3505033.0
2025-04-17,17.6,17.87,17.51,17.61,4102942.0
2025-04-21,17.41,17.55,17.165,17.35,4107361.0
2025-04-22,17.62,18.095,17.62,18.05,3404112.0
2025-04-23,18.6,19.02,18.25,18.39,3836711.0
2025-04-24,18.43,18.87,18.32,18.75,2549614.0
2025-04-25,18.65,18.82,18.52,18.72,3536166.0
2025-04-28,18.67,18.935,18.58,18.73,3351680.0
2025-04-29,18.65,18.78,18.55,18.75,2965336.0
2025-04-30,18.43,18.83,18.165,18.76,5809523.0
2025-05-01,18.91,19.02,18.65,18.74,4898559.0
2025-05-02,19.19,20.125,18.8,20.06,8990763.0
2025-05-05,20.0,20.305,19.92,20.01,5284895.0
2025-05-06,19.79,20.23,19.79,20.07,5169661.0
2025-05-07,20.11,20.625,20.08,20.46,6426703.0
2025-05-08,20.65,21.22,20.59,20.84,6730808.0
2025-05-09,21.0,21.11,20.865,20.94,4693033.0
2025-05-12,21.8,22.09,21.56,21.69,5871746.0
2025-05-13,21.72,21.965,21.565,21.58,5353305.0
2025-05-14,21.91,22.08,21.5103,22.01,8293649.0
2025-05-15,21.98,22.2,21.905,22.18,3624403.0
2025-05-16,22.16,22.415,22.15,22.38,5060293.0
2025-05-19,22.15,22.26,22.04,22.21,3458141.0
2025-05-20,22.13,22.2,22.045,22.17,2911846.0
2025-05-21,21.96,22.05,21.585,21.61,3630319.0
2025-05-22,21.5,21.75,21.41,21.61,5210292.0
2025-05-23,21.24,21.605,21.1442,21.51,3288665.0
2025-05-27,21.78,22.235,21.63,22.21,4907268.0
2025-05-28,22.26,22.305,21.59,21.65,6813624.0
2025-05-29,21.82,21.88,21.635,21.8,4681818.0
2025-05-30,21.66,21.72,21.4,21.64,23398929.0
2025-06-02,21.47,21.515,21.2,21.3,3986685.0
2025-06-03,21.19,21.53,21.06,21.38,4325943.0
2025-06-04,21.4,21.52,21.25,21.36,3673826.0
2025-06-05,21.75,22.22,21.64,21.75,4666100.0
2025-06-06,22.0,22.1217,21.775,21.87,2949435.0
2025-06-09,21.97,22.115,21.835,21.88,2837286.0
2025-06-10,21.86,22.075,21.74,21.86,3044274.0
2025-06-11,21.93,22.595,21.92,22.54,7022658.0
2025-06-12,22.43,22.735,22.26,22.6,4274053.0
2025-06-13,22.19,22.43,22.09,22.17,2203259.0
2025-06-16,22.68,22.95,22.375,22.78,3738938.0
2025-06-17,22.6,22.725,22.285,22.35,2820676.0
2025-06-18,22.31,22.86,22.27,22.59,3041561.0
2025-06-20,22.71,22.835,22.625,22.79,7124985.0
2025-06-23,22.69,22.935,22.41,22.89,2843019.0
2025-06-24,23.12,23.415,23.095,23.23,5569369.0
2025-06-25,23.165,23.23,23.035,23.21,2647601.0
2025-06-26,23.3,23.52,23.2546,23.48,2797744.0
2025-06-27,23.96,24.14,23.53,23.82,9929531.0
2025-06-30,23.83,24.03,23.75,23.85,3791829.0
2025-07-01,23.79,24.53,23.76,24.34,4055667.0
2025-07-02,24.33,24.84,24.32,24.79,3597061.0
2025-07-03,24.7,24.94,24.64,24.88,2467095.0
2025-07-07,24.7,24.98,24.45,24.55,3908768.0
2025-07-08,24.57,24.775,24.465,24.5,4415147.0
2025-07-09,24.85,24.9,24.605,24.9,3700680.0
2025-07-10,24.91,25.3582,24.7804,25.14,3196218.0
2025-07-11,24.91,24.9699,24.67,24.87,3108331.0
2025-07-14,24.85,24.92,24.68,24.85,3393314.0
2025-07-15,24.81,24.94,24.095,24.14,3936039.0
2025-07-16,24.18,24.39,23.82,24.35,3373532.0
2025-07-17,24.29,24.66,24.233,24.52,4245910.0
2025-07-18,24.68,24.845,24.52,24.6,3943253.0
2025-07-21,24.8,24.83,24.265,24.28,3363687.0
2025-07-22,24.25,24.63,24.25,24.56,3135181.0
2025-07-23,24.66,24.815,24.595,24.75,2769272.0
2025-07-24,24.74,24.87,24.6,24.72,3389967.0
2025-07-25,24.74,24.89,24.4847,24.82,3633774.0
2025-07-28,24.73,24.8,24.56,24.67,4146521.0
2025-07-29,24.84,24.84,24.415,24.58,2662905.0
2025-07-30,24.59,24.68,24.17,24.31,3914311.0
2025-07-31,24.23,24.43,23.84,24.0,11790231.0
2025-08-01,23.28,24.37,22.84,23.95,8425939.0
2025-08-04,24.26,25.255,24.125,25.13,4947937.0
2025-08-05,25.25,25.38,24.885,25.25,3654359.0
2025-08-06,25.34,25.42,25.09,25.19,3343078.0
2025-08-07,24.655,25.305,24.54,24.86,5694666.0
2025-08-08,25.05,25.18,24.8827,24.99,2460500.0
2025-08-11,25.1,25.4,25.035,25.29,2524541.0
2025-08-12,25.4,25.79,25.359,25.69,2711064.0
2025-08-13,25.81,26.075,25.52,26.03,3507633.0
2025-08-14,25.75,25.97,25.515,25.63,3099102.0
2025-08-15,25.72,25.72,25.28,25.33,4280733.0
2025-08-18,25.3,25.33,25.05,25.06,1889104.0
2025-08-19,25.03,25.175,24.785,24.82,2538831.0
2025-08-20,24.79,24.825,24.34,24.56,2737029.0
2025-08-21,24.52,24.615,24.39,24.52,2490558.0
2025-08-22,24.58,25.39,24.58,25.39,3951222.0
2025-08-25,25.32,25.44,25.19,25.36,3121708.0
2025-08-26,25.29,25.35,25.165,25.29,4015944.0
2025-08-27,25.18,25.7779,25.17,25.64,3442140.0
2025-08-28,25.77,25.77,25.355,25.54,2302842.0
2025-08-29,25.54,25.74,25.53,25.66,4192051.0
2025-09-02,25.31,25.475,25.015,25.42,3499218.0
2025-09-03,25.31,25.645,25.22,25.53,2685252.0
2025-09-04,25.66,25.905,25.505,25.74,3691915.0
2025-09-05,25.85,25.85,24.72,24.97,4708396.0
2025-09-08,25.04,25.1,24.74,24.88,4057806.0
2025-09-09,24.73,24.805,24.49,24.56,4806612.0
2025-09-10,24.69,24.77,24.175,24.31,5029584.0
2025-09-11,24.39,24.86,24.34,24.86,4880827.0
2025-09-12,24.75,24.8,24.57,24.64,3034057.0
2025-09-15,24.62,24.81,24.29,24.36,2601203.0
2025-09-16,24.42,24.44,24.145,24.24,1880027.0
2025-09-17,24.26,24.635,23.98,24.21,3025513.0
2025-09-18,24.33,24.525,24.27,24.4,3328063.0
2025-09-19,24.47,24.5,24.22,24.42,4873326.0
2025-09-22,24.23,24.34,24.075,24.24,4707226.0
2025-09-23,24.28,24.515,23.935,24.03,3189973.0
2025-09-24,24.08,24.11,23.535,23.58,3734441.0
2025-09-25,23.44,23.565,23.34,23.4,3566968.0
2025-09-26,23.46,23.58,23.24,23.27,3393687.0
2025-09-29,23.45,23.45,23.14,23.37,4406356.0
2025-09-30,23.09,23.265,22.755,23.13,7720702.0
2025-10-01,23.22,23.22,22.51,22.54,5560056.0
2025-10-02,22.63,22.995,22.56,22.91,3066391.0
2025-10-03,23.12,23.89,23.07,23.8,6544436.0
2025-10-06,23.77,23.84,22.69,23.18,5384449.0
2025-10-07,23.22,23.555,23.17,23.4,3345850.0
2025-10-08,23.45,23.79,23.21,23.59,4622055.0
2025-10-09,23.5,23.67,23.315,23.63,5224379.0
2025-10-10,23.74,23.91,22.6,22.67,12014066.0
2025-10-13,22.94,23.12,22.775,22.84,6177911.0
2025-10-14,22.57,23.215,22.52,22.92,4804468.0
2025-10-15,23.11,23.315,22.605,22.79,6270178.0
2025-10-16,22.87,22.97,22.09,22.1,3357192.0
2025-10-17,22.22,22.29,21.96,22.28,5137058.0
2025-10-20,22.37,22.73,22.3263,22.65,4365543.0
2025-10-21,22.43,22.7756,22.43,22.65,2139003.0
2025-10-22,22.57,22.7399,22.405,22.59,2282337.0
