date,open,high,low,close,volume
2025-04-24,34.53,34.845,34.13,34.61,1718580.0
2025-04-25,34.42,34.66,33.51,33.96,2031405.0
2025-04-28,34.03,34.63,33.785,34.11,2465752.0
2025-04-29,33.85,34.39,33.68,34.34,1570107.0
2025-04-30,34.44,34.85,34.15,34.84,2657340.0
2025-05-01,34.74,34.74,34.03,34.16,2097282.0
2025-05-02,34.53,34.89,34.34,34.5,1553595.0
2025-05-05,34.4,34.81,34.23,34.4,1617559.0
2025-05-06,34.34,34.7799,34.185,34.4,2207473.0
2025-05-07,34.46,34.58,33.915,34.46,1682643.0
2025-05-08,34.39,35.16,34.33,34.77,2030325.0
2025-05-09,34.55,34.98,34.49,34.66,2530035.0
2025-05-12,35.25,35.903,34.82,35.28,2341761.0
2025-05-13,35.25,35.545,34.89,34.94,2951788.0
2025-05-14,34.8,34.99,34.34,34.83,3304813.0
2025-05-15,34.76,35.72,34.6,35.58,1771159.0
2025-05-16,35.71,36.145,35.58,36.09,2036184.0
2025-05-19,35.77,36.18,35.36,35.65,2421233.0
2025-05-20,35.69,36.105,35.31,35.38,1865424.0
2025-05-21,35.42,35.44,34.69,34.71,2129341.0
2025-05-22,34.53,34.5985,34.06,34.23,1740745.0
2025-05-23,33.88,34.14,33.53,33.94,1777109.0
2025-05-27,34.26,34.65,34.03,34.56,2172757.0
2025-05-28,34.42,34.66,33.81,33.86,2424330.0
2025-05-29,34.15,34.44,33.67,34.09,3105351.0
2025-05-30,33.97,34.1319,33.32,33.34,4182082.0
2025-06-02,33.11,33.22,32.54,33.2,4161648.0
2025-06-03,32.87,33.415,32.54,33.21,3616381.0
2025-06-04,33.28,33.495,32.995,33.2,7199659.0
2025-06-05,27.49,28.4,27.03,27.25,21221372.0
2025-06-06,27.59,28.28,27.59,28.11,12389323.0
2025-06-09,28.18,28.32,26.93,27.66,9355236.0
2025-06-10,27.89,28.6,27.62,27.77,6378626.0
2025-06-11,27.76,27.99,27.43,27.5,7659450.0
2025-06-12,27.22,27.419,26.72,27.29,8341127.0
2025-06-13,27.105,27.16,26.325,26.44,7013296.0
2025-06-16,26.75,26.84,25.56,25.92,9775425.0
2025-06-17,25.9,26.16,25.53,25.81,6687812.0
2025-06-18,25.72,26.18,25.58,25.65,6797157.0
2025-06-20,25.75,26.23,25.63,25.68,15733536.0
2025-06-23,25.86,26.64,25.6101,26.48,7651783.0
2025-06-24,26.57,26.68,26.27,26.29,4771526.0
2025-06-25,26.04,26.2898,25.8,26.06,3686169.0
2025-06-26,26.05,26.34,25.98,26.19,5787274.0
2025-06-27,26.38,26.57,26.15,26.46,5011058.0
2025-06-30,26.5,27.03,26.41,26.91,4130144.0
2025-07-01,26.91,28.075,26.75,27.85,5433393.0
2025-07-02,28.15,28.96,27.98,28.71,4018752.0
2025-07-03,28.66,28.7,28.27,28.27,2183461.0
2025-07-07,28.07,28.17,27.6,27.78,5544547.0
2025-07-08,27.71,28.61,27.625,28.47,4487389.0
2025-07-09,28.56,28.74,27.83,28.32,4432774.0
2025-07-10,28.44,29.61,28.29,29.09,4655013.0
2025-07-11,28.67,29.27,28.48,29.01,2947414.0
2025-07-14,29.01,29.05,28.13,28.22,5178817.0
2025-07-15,28.35,28.35,27.47,27.49,4232447.0
2025-07-16,27.58,27.91,27.2,27.67,4830825.0
2025-07-17,27.68,29.16,27.68,29.04,4767120.0
2025-07-18,29.24,29.37,28.69,28.92,3807708.0
2025-07-21,29.08,29.2187,28.29,28.35,3098187.0
2025-07-22,28.57,30.22,28.4226,30.19,5425520.0
2025-07-23,30.29,31.147,29.93,30.9,5841030.0
2025-07-24,30.73,31.33,30.59,31.15,3417756.0
2025-07-25,31.23,31.23,30.53,30.96,2647805.0
2025-07-28,30.65,30.855,30.22,30.32,3120978.0
2025-07-29,30.33,30.38,30.02,30.34,2586993.0
2025-07-30,30.15,30.305,29.15,29.38,2554774.0
2025-07-31,28.56,28.93,28.43,28.85,5935647.0
2025-08-01,29.1,29.15,28.235,28.75,3717737.0
2025-08-04,28.77,29.735,28.7,29.65,3117668.0
2025-08-05,29.74,30.6,29.655,30.34,2575222.0
2025-08-06,30.54,30.85,30.22,30.51,3336411.0
2025-08-07,30.8,31.12,30.58,30.99,2819482.0
2025-08-08,30.45,30.89,30.18,30.79,2939080.0
2025-08-11,30.77,31.28,30.7,30.75,2526900.0
