date,open,high,low,close,volume
2025-05-07,80.28,80.28,75.5172,75.9,3268889.0
2025-05-08,75.46,76.79,75.0,76.27,2048446.0
2025-05-09,76.44,77.8,76.29,77.35,1822861.0
2025-05-12,78.44,80.28,78.38,80.15,2459181.0
2025-05-13,80.03,83.88,79.93,82.91,2641272.0
2025-05-14,82.59,83.7899,81.78,81.94,2052642.0
2025-05-15,81.14,81.19,78.1,80.02,2619561.0
2025-05-16,80.09,81.68,79.76,81.54,1226344.0
2025-05-19,81.0,81.2,79.69,80.3,1659415.0
2025-05-20,80.53,81.12,79.795,80.4,1832450.0
2025-05-21,79.97,80.175,77.82,78.2,2538046.0
2025-05-22,77.59,78.27,76.67,77.8,2130665.0
2025-05-23,76.98,78.49,76.6,78.1,1272057.0
2025-05-27,78.75,79.29,77.805,79.24,1436332.0
2025-05-28,79.31,79.92,79.0394,79.38,2230605.0
2025-05-29,79.42,80.4725,78.415,79.22,1266988.0
2025-05-30,78.64,79.135,77.745,78.15,2864135.0
2025-06-02,78.39,78.63,77.1,78.37,1416453.0
2025-06-03,77.68,77.81,75.62,76.27,1584360.0
2025-06-04,76.15,76.2946,74.59,74.59,1656998.0
2025-06-05,74.76,74.76,73.67,73.85,1540233.0
2025-06-06,74.41,74.94,74.18,74.55,956640.0
2025-06-09,74.93,75.3,74.37,74.67,1543824.0
2025-06-10,74.95,76.55,74.63,76.04,1185724.0
2025-06-11,76.02,76.35,74.955,75.47,1128065.0
2025-06-12,74.94,77.11,74.01,77.03,1868553.0
2025-06-13,77.07,83.63,77.04,81.41,3966619.0
2025-06-16,81.67,86.71,81.53,86.28,2877569.0
2025-06-17,86.32,87.49,85.22,85.69,2245884.0
2025-06-18,85.78,87.11,85.41,85.55,2038772.0
2025-06-20,86.1,87.015,85.04,85.38,2658995.0
2025-06-23,84.85,85.86,84.06,84.15,1598392.0
2025-06-24,84.15,84.375,83.34,83.59,1861529.0
2025-06-25,82.88,83.22,81.9778,82.22,1355818.0
2025-06-26,82.68,83.42,81.48,82.3,1707550.0
2025-06-27,82.15,82.24,79.78,80.44,2375471.0
2025-06-30,80.06,81.355,79.95,80.28,2432260.0
2025-07-01,80.04,81.53,78.96,80.25,2823681.0
2025-07-02,81.0,81.74,78.76,81.39,2352310.0
2025-07-03,81.5,81.75,77.9,78.44,2076553.0
2025-07-07,78.53,78.53,74.825,74.85,2463551.0
2025-07-08,75.215,76.845,74.81,75.8,2661121.0
2025-07-09,75.62,76.02,73.81,75.64,2558278.0
2025-07-10,75.5,77.545,74.7201,76.54,1495711.0
2025-07-11,76.13,77.05,75.37,76.74,1525049.0
2025-07-14,76.61,76.77,74.31,74.99,1652241.0
2025-07-15,74.92,75.1599,74.02,74.21,1387383.0
2025-07-16,74.41,74.74,72.83,73.0,2332183.0
2025-07-17,72.5,73.299,71.6,73.16,1735722.0
2025-07-18,73.35,74.63,73.173,74.42,1512891.0
2025-07-21,74.89,75.48,74.14,74.24,1313979.0
2025-07-22,74.35,75.846,74.35,75.68,1371620.0
2025-07-23,76.0,78.33,75.62,78.15,1478306.0
2025-07-24,77.9,78.07,76.5325,76.93,1589732.0
2025-07-25,76.44,77.48,75.67,77.27,1073685.0
2025-07-28,77.25,77.25,76.19,76.7,1070053.0
2025-07-29,76.84,77.02,74.95,76.34,2399294.0
2025-07-30,78.4,81.38,77.1401,80.3,4030657.0
2025-07-31,79.0,80.53,78.0,79.76,3014943.0
2025-08-01,79.8,80.0,77.245,78.0,1878576.0
2025-08-04,77.68,80.76,77.68,80.6,2292280.0
2025-08-05,81.2,82.72,80.81,82.41,2617987.0
2025-08-06,82.94,83.88,80.93,80.97,2387039.0
2025-08-07,81.91,83.16,81.23,82.75,1830620.0
2025-08-08,83.19,84.38,82.77,82.94,1505559.0
2025-08-11,83.24,83.89,82.06,82.22,1579538.0
2025-08-12,82.3,85.31,81.95,82.52,2793617.0
2025-08-13,81.98,83.29,80.33,83.24,1660542.0
2025-08-14,82.92,83.0835,81.32,82.1,1989501.0
2025-08-15,82.17,82.6,81.05,81.78,1131134.0
2025-08-18,81.57,82.0708,80.26,80.57,1910168.0
2025-08-19,80.36,80.36,78.3662,79.87,1832543.0
2025-08-20,80.65,82.63,80.65,82.37,2254657.0
2025-08-21,82.33,84.69,82.215,83.4,2102619.0
2025-08-22,83.43,87.16,83.43,87.11,3253104.0
2025-08-25,87.21,88.51,87.1,88.15,2277853.0
2025-08-26,87.37,87.745,84.76,84.93,2425621.0
2025-08-27,84.58,85.93,84.39,84.67,1350107.0
2025-08-28,84.74,85.07,83.92,84.63,1373782.0
2025-08-29,84.12,85.085,84.0,84.22,1424784.0
2025-09-02,83.62,84.39,80.48,81.42,3710032.0
2025-09-03,81.09,81.57,80.22,81.23,1945480.0
2025-09-04,81.12,81.93,80.47,81.13,1549631.0
2025-09-05,80.96,84.38,80.96,84.33,1981864.0
2025-09-08,84.35,85.307,83.0,84.34,2509788.0
2025-09-09,84.5,85.06,83.99,84.15,1693787.0
