date,open,high,low,close,volume
2025-04-24,36.25,36.45,35.5,36.38,9679187.0
2025-04-25,35.94,36.495,35.63,36.45,7103075.0
2025-04-28,36.5,36.68,35.93,36.21,6833355.0
2025-04-29,36.03,36.16,35.485,35.92,7427987.0
2025-04-30,35.43,35.53,34.56,35.4,10530942.0
2025-05-01,35.11,36.63,35.1,36.19,8903649.0
2025-05-02,36.74,37.15,36.18,37.1,7294623.0
2025-05-05,36.43,36.925,36.1303,36.75,6809911.0
2025-05-06,36.8,36.9,36.22,36.4,9078297.0
2025-05-07,36.61,36.79,36.15,36.31,7172253.0
2025-05-08,36.76,37.35,36.19,36.25,15274171.0
2025-05-09,36.88,36.88,36.37,36.49,8993917.0
2025-05-12,38.19,38.36,37.16,37.62,7868799.0
2025-05-13,37.94,38.325,37.47,38.18,6701265.0
2025-05-14,37.96,38.35,37.77,37.84,5939019.0
2025-05-15,37.36,37.75,36.985,37.73,6493664.0
2025-05-16,37.845,38.5,37.23,37.79,6160894.0
2025-05-19,37.545,38.03,37.29,37.91,5296001.0
2025-05-20,37.74,37.89,37.18,37.34,7102829.0
2025-05-21,37.28,37.28,36.6,36.65,7133548.0
2025-05-22,36.56,36.805,35.83,36.59,9175076.0
2025-05-23,36.07,36.815,36.03,36.74,4631992.0
2025-05-27,36.95,37.25,36.36,37.23,6790401.0
2025-05-28,37.6,37.65,36.565,36.68,4856395.0
2025-05-29,37.03,37.41,36.62,37.36,5824420.0
2025-05-30,37.11,37.17,36.53,37.05,11354627.0
2025-06-02,37.6,37.76,36.82,37.32,6046362.0
2025-06-03,37.28,37.805,36.89,37.54,5952314.0
2025-06-04,37.55,38.08,36.985,37.29,9110993.0
2025-06-05,37.51,37.73,37.08,37.15,4732043.0
2025-06-06,37.57,38.0,37.4,37.9,4268251.0
2025-06-09,38.25,38.62,37.825,38.33,6845551.0
2025-06-10,38.73,39.31,38.51,39.08,6991681.0
2025-06-11,39.175,39.305,38.605,39.03,8111975.0
2025-06-12,38.715,39.03,38.42,38.63,4991529.0
2025-06-13,39.135,39.41,38.4621,39.04,8570265.0
2025-06-16,39.17,39.645,38.75,38.99,7320354.0
2025-06-17,39.34,40.02,39.05,39.6,7535918.0
2025-06-18,39.61,39.8,38.85,38.98,5618297.0
2025-06-20,39.07,39.51,38.88,39.0,15735129.0
2025-06-23,39.39,39.5799,37.405,37.83,8625893.0
2025-06-24,37.55,38.135,37.38,37.97,6892313.0
2025-06-25,38.01,38.125,37.455,37.58,5933865.0
2025-06-26,37.63,38.52,37.525,38.32,10366310.0
2025-06-27,38.4,38.6,37.665,38.06,9914869.0
2025-06-30,38.04,38.825,37.69,38.34,6773665.0
2025-07-01,38.31,39.04,37.765,38.69,7639122.0
2025-07-02,39.015,39.93,38.595,39.83,8279232.0
2025-07-03,39.62,39.9,39.545,39.64,3607099.0
2025-07-07,39.58,39.675,38.6467,39.09,5336468.0
2025-07-08,39.09,40.52,38.935,40.11,6472092.0
2025-07-09,40.1,40.1,39.14,39.33,7624953.0
2025-07-10,39.22,39.755,38.795,39.71,6619647.0
2025-07-11,39.5,40.78,39.4,40.7,5834268.0
2025-07-14,40.54,40.58,39.8,39.87,6835768.0
2025-07-15,39.81,39.935,38.9418,38.99,5069821.0
2025-07-16,38.9,39.16,38.37,38.68,6032451.0
2025-07-17,38.55,39.37,38.47,39.18,7022250.0
2025-07-18,39.575,39.91,38.97,39.72,12128677.0
2025-07-21,39.52,40.21,39.465,39.85,9311150.0
2025-07-22,39.91,40.24,39.615,40.02,13086993.0
2025-07-23,41.5,44.89,41.15,44.68,21794154.0
2025-07-24,44.46,45.83,44.2901,45.72,12110416.0
2025-07-25,45.8,46.07,45.46,46.05,5869813.0
2025-07-28,46.32,46.715,46.1833,46.55,5775040.0
2025-07-29,45.0,46.24,44.9,45.75,15815819.0
2025-07-30,45.7,46.13,45.04,45.53,12435362.0
2025-07-31,45.24,45.94,44.895,45.05,7725190.0
2025-08-01,44.47,44.665,43.07,43.51,7323832.0
2025-08-04,43.46,43.87,43.31,43.75,6387655.0
2025-08-05,43.605,43.945,43.24,43.82,4937376.0
2025-08-06,44.16,44.33,43.275,43.43,4626831.0
2025-08-07,43.96,44.44,42.845,42.94,4555450.0
2025-08-08,43.16,43.6,42.8,43.29,3948051.0
2025-08-11,43.25,43.4,42.23,42.7,5633716.0
2025-08-12,42.92,43.065,42.46,42.51,5113946.0
2025-08-13,42.42,42.88,41.96,42.85,5269696.0
2025-08-14,42.96,43.34,42.21,43.25,5490371.0
2025-08-15,43.36,43.62,42.665,42.8,6567681.0
2025-08-18,42.77,43.23,42.3,42.87,3719381.0
2025-08-19,42.65,43.205,42.56,42.95,3790517.0
2025-08-20,43.18,43.3352,42.675,42.85,4327652.0
2025-08-21,42.91,43.72,42.75,43.46,4270175.0
2025-08-22,43.625,44.98,43.61,44.76,4486261.0
2025-08-25,44.59,44.755,44.275,44.43,4152908.0
2025-08-26,44.15,44.63,44.05,44.45,6069821.0
2025-08-27,44.36,45.05,44.31,44.78,3576905.0
2025-08-28,44.78,45.67,44.495,45.565,4218368.0
2025-08-29,45.5,45.84,45.365,45.4,4786718.0
2025-09-02,45.21,45.76,44.721,45.36,8580266.0
2025-09-03,45.34,45.5,44.48,45.0,6486758.0
2025-09-04,45.27,46.695,44.83,46.32,7537939.0
2025-09-05,46.01,46.24,44.94,45.58,4978751.0
2025-09-08,45.87,46.01,45.12,45.64,3870440.0
2025-09-09,45.79,46.16,45.44,45.45,3338504.0
2025-09-10,45.37,47.005,45.37,46.92,5679114.0
2025-09-11,46.55,47.315,46.4056,46.97,4858667.0
2025-09-12,47.16,47.3,46.47,46.49,4015190.0
2025-09-15,46.49,47.005,46.235,46.28,5420372.0
2025-09-16,46.52,47.38,46.38,47.23,5092986.0
2025-09-17,47.15,47.38,46.09,46.48,4613255.0
2025-09-18,46.78,47.3475,46.47,47.28,5242642.0
2025-09-19,47.22,47.65,46.4,47.34,15869218.0
2025-09-22,47.14,47.8483,46.68,47.67,5157472.0
2025-09-23,47.83,50.065,47.81,48.93,9071389.0
2025-09-24,49.47,50.14,49.15,49.87,9056221.0
2025-09-25,49.68,50.24,49.5,50.1,6455344.0
2025-09-26,50.38,50.925,49.82,50.52,7750970.0
2025-09-29,50.36,50.58,49.79,50.55,6319224.0
2025-09-30,49.925,50.2601,48.12,48.72,11666733.0
2025-10-01,48.505,48.76,48.22,48.36,6263888.0
2025-10-02,48.09,48.64,47.85,48.4,6680394.0
2025-10-03,48.74,49.01,48.455,48.5,5414474.0
2025-10-06,48.915,49.575,48.8,49.08,5371928.0
2025-10-07,49.1,49.435,48.225,48.58,4877883.0
2025-10-08,48.75,48.9543,47.42,47.85,6007056.0
2025-10-09,48.0,48.29,47.0876,47.89,5456954.0
2025-10-10,47.475,47.69,44.99,45.04,7467021.0
2025-10-13,45.94,45.94,45.04,45.49,11108272.0
