date,open,high,low,close,volume
2025-07-17,126.49,127.88,125.34,126.85,1317821.0
2025-07-18,126.01,126.4822,121.55,123.15,1810362.0
2025-07-21,125.57,125.7003,121.83,121.9,1244879.0
2025-07-22,124.53,131.29,124.0,130.83,2161709.0
2025-07-23,132.45,135.23,132.08,134.72,1888443.0
2025-07-24,134.48,134.9705,131.77,132.79,1585576.0
2025-07-25,134.59,136.68,133.3,136.46,1455646.0
2025-07-28,136.0,138.445,134.21,135.63,1832160.0
2025-07-29,136.1,136.91,132.32,133.42,1240039.0
2025-07-30,133.1,133.72,125.125,126.11,3207245.0
2025-07-31,121.94,127.81,118.17,127.13,4595661.0
2025-08-01,126.7,132.27,123.74,130.18,3999763.0
2025-08-04,129.0,130.94,127.36,128.18,2662650.0
2025-08-05,128.5,133.9199,128.18,132.95,2772189.0
2025-08-06,132.78,134.46,130.4245,130.74,2384409.0
2025-08-07,133.03,134.56,131.24,131.26,1585639.0
2025-08-08,130.79,133.9023,130.6401,132.2,1356725.0
2025-08-11,132.43,134.0999,126.36,128.76,1812136.0
2025-08-12,130.32,137.75,128.58,137.45,2358769.0
2025-08-13,138.47,144.75,137.95,144.4,3524395.0
2025-08-14,140.0,141.2,136.49,138.15,2304844.0
2025-08-15,140.625,140.625,136.55,136.88,1351092.0
2025-08-18,137.13,138.7138,135.7901,136.52,1106891.0
2025-08-19,138.05,142.2,137.8821,138.15,1629789.0
2025-08-20,137.25,138.55,132.6,132.75,2075889.0
2025-08-21,131.74,133.39,130.35,133.22,1628009.0
2025-08-22,133.4,145.17,131.445,144.45,4185143.0
2025-08-25,142.18,142.8463,140.25,141.91,1887049.0
2025-08-26,141.125,143.19,140.29,142.67,2501604.0
2025-08-27,142.0,143.79,140.3,141.76,1696710.0
2025-08-28,143.08,144.0,138.89,140.14,1790203.0
2025-08-29,140.12,140.7399,137.65,138.68,1345923.0
2025-09-02,136.0,138.25,135.5001,137.36,1581801.0
2025-09-03,136.91,137.55,134.53,136.33,1385906.0
2025-09-04,137.25,144.01,136.83,143.27,1744498.0
2025-09-05,147.5,151.03,145.8,149.21,2472395.0
2025-09-08,149.35,149.35,145.7101,147.89,1330081.0
2025-09-09,146.25,146.25,138.455,140.45,2108555.0
2025-09-10,141.92,143.16,139.35,140.25,1571597.0
2025-09-11,141.72,148.91,141.03,146.56,2061319.0
2025-09-12,144.69,145.675,142.33,142.73,1239723.0
2025-09-15,142.01,142.5,138.52,140.17,1592583.0
2025-09-16,142.08,142.26,136.4162,136.99,1609368.0
2025-09-17,137.47,141.325,129.16,129.28,2730967.0
2025-09-18,131.0,131.62,127.88,128.93,2299827.0
2025-09-19,127.46,127.58,123.7,124.15,4296100.0
2025-09-22,123.5,123.5,120.205,121.81,2811722.0
2025-09-23,122.74,123.09,120.31,121.21,1864244.0
2025-09-24,120.0,122.13,118.9,119.25,1515573.0
2025-09-25,117.19,119.305,116.78,116.91,1932902.0
2025-09-26,117.3,118.84,116.3,118.2,1387680.0
2025-09-29,118.95,120.1799,116.46,119.61,1593917.0
2025-09-30,119.03,121.44,117.09,121.25,2014502.0
2025-10-01,122.57,127.095,121.935,126.74,2536239.0
2025-10-02,125.95,127.81,125.04,127.72,1176257.0
2025-10-03,128.12,130.21,127.73,128.55,1310000.0
2025-10-06,129.39,129.85,123.73,127.11,1644503.0
2025-10-07,127.345,127.93,125.12,126.88,1609336.0
2025-10-08,127.53,130.11,125.73,129.54,1549674.0
2025-10-09,129.14,129.14,124.89,127.76,1707100.0
2025-10-10,128.73,129.0,122.24,122.5,1952221.0
2025-10-13,122.83,125.1999,119.945,120.71,1685061.0
2025-10-14,119.5,128.71,119.0001,128.09,2102788.0
2025-10-15,127.4,130.42,125.64,126.29,1316895.0
2025-10-16,127.07,127.07,122.59,122.95,1557319.0
2025-10-17,123.08,125.0,121.05,122.54,1615853.0
2025-10-20,122.36,123.855,121.22,122.46,1539414.0
2025-10-21,120.0,127.473,119.56,125.68,1482115.0
2025-10-22,125.19,125.97,122.2511,122.57,1229676.0
2025-10-23,122.25,125.36,122.0,124.2,1201169.0
2025-10-24,126.53,127.0846,123.94,124.06,907706.0
2025-10-27,125.39,125.6,122.21,123.19,1229610.0
2025-10-28,120.27,121.69,118.13,119.35,1690844.0
2025-10-29,118.75,119.25,114.0,115.29,2977286.0
2025-10-30,119.625,124.95,110.78,111.69,3714518.0
2025-10-31,112.5,116.78,111.2501,116.17,2444551.0
2025-11-03,114.86,114.86,111.33,112.97,2347633.0
2025-11-04,112.25,112.25,109.03,109.79,1771106.0
2025-11-05,109.12,112.6,107.845,111.56,2476781.0
2025-11-06,111.38,111.38,108.0101,109.04,1580038.0
2025-11-07,107.86,111.61,107.48,109.42,2823965.0
2025-11-10,109.8,109.8,106.705,107.06,3043597.0
2025-11-11,108.24,108.24,106.138,106.91,3808946.0
2025-11-12,107.37,108.9,105.33,106.42,3167191.0
2025-11-13,105.65,107.88,103.45,103.89,2146186.0
2025-11-14,103.37,105.6,102.995,103.44,2129252.0
2025-11-17,102.5,103.46,99.07,99.42,2512158.0
2025-11-18,98.48,99.88,97.5,98.6,2726272.0
2025-11-19,99.59,99.59,95.44,95.75,2425135.0
2025-11-20,96.57,97.12,94.35,94.85,2583694.0
