date,open,high,low,close,volume
2025-03-07,10.48,10.52,10.4,10.52,72430.0
2025-03-10,10.51,10.52,10.45,10.49,44704.0
2025-03-11,10.46,10.49,10.35,10.38,92443.0
2025-03-12,10.41,10.41,10.28,10.35,66630.0
2025-03-13,10.3,10.3,10.2,10.26,63425.0
2025-03-14,10.23,10.23,10.15,10.17,47040.0
2025-03-17,10.18,10.24,10.15,10.17,38413.0
2025-03-18,10.17,10.23,10.12,10.13,78721.0
2025-03-19,10.12,10.14,10.05,10.13,91101.0
2025-03-20,10.16,10.24,10.11,10.165,95370.0
2025-03-21,10.25,10.37,10.17,10.34,89568.0
2025-03-24,10.34,10.39,10.2671,10.27,33104.0
2025-03-25,10.31,10.36,10.2541,10.29,23699.0
2025-03-26,10.31,10.31,10.2,10.2,37670.0
2025-03-27,10.18,10.18,10.11,10.13,45191.0
2025-03-28,10.19,10.2,10.12,10.17,57387.0
2025-03-31,10.19,10.22,10.1292,10.17,35319.0
2025-04-01,10.22,10.24,10.18,10.24,42936.0
2025-04-02,10.29,10.29,10.17,10.2,35396.0
2025-04-03,10.29,10.31,10.25,10.3,25278.0
2025-04-04,10.37,10.39,10.01,10.09,48869.0
2025-04-07,10.05,10.1168,9.87,9.93,33475.0
2025-04-08,9.93,9.9642,9.67,9.74,74917.0
2025-04-09,9.67,9.8,9.56,9.69,73050.0
2025-04-10,9.73,9.78,9.555,9.63,99648.0
2025-04-11,9.68,9.74,9.5507,9.72,50475.0
2025-04-14,9.77,9.8,9.62,9.76,85229.0
2025-04-15,9.76,9.78,9.705,9.74,23572.0
2025-04-16,9.69,9.76,9.63,9.74,20689.0
2025-04-17,9.8,9.83,9.74,9.78,16132.0
2025-04-21,9.73,9.81,9.65,9.68,44851.0
2025-04-22,9.76,9.9,9.68,9.73,19973.0
2025-04-23,9.82,9.8518,9.68,9.71,40627.0
2025-04-24,9.81,9.91,9.72,9.86,34334.0
2025-04-25,9.88,9.911,9.82,9.84,37953.0
2025-04-28,9.87,9.9,9.72,9.81,45356.0
2025-04-29,9.86,9.88,9.79,9.84,54417.0
2025-04-30,9.85,9.94,9.8015,9.92,33592.0
2025-05-01,10.0,10.0,9.92,9.95,29979.0
2025-05-02,9.94,9.98,9.92,9.96,24958.0
2025-05-05,9.97,9.97,9.91,9.96,22248.0
2025-05-06,9.95,10.0,9.9216,9.96,43658.0
2025-05-07,9.96,10.0,9.94,9.94,37231.0
2025-05-08,9.95,10.0,9.92,9.93,40508.0
2025-05-09,9.95,10.0,9.95,9.99,17993.0
2025-05-12,10.0,10.08,9.74,9.94,150825.0
2025-05-13,9.92,9.95,9.85,9.9,84624.0
2025-05-14,9.9,9.9,9.74,9.81,90784.0
2025-05-15,9.82,9.85,9.74,9.83,86680.0
2025-05-16,9.83,9.85,9.72,9.8,69067.0
2025-05-19,9.78,9.8,9.64,9.74,80484.0
2025-05-20,9.77,9.77,9.7,9.71,41224.0
2025-05-21,9.73,9.73,9.61,9.61,95312.0
2025-05-22,9.67,9.67,9.52,9.65,64922.0
2025-05-23,9.69,9.71,9.56,9.62,57596.0
2025-05-27,9.67,9.74,9.65,9.73,92317.0
2025-05-28,9.67,9.71,9.61,9.61,45228.0
2025-05-29,9.67,9.6743,9.6201,9.67,40597.0
2025-05-30,9.69,9.71,9.62,9.67,32981.0
2025-06-02,9.52,9.74,9.52,9.65,91127.0
2025-06-03,9.72,9.72,9.61,9.66,54462.0
2025-06-04,9.59,9.68,9.59,9.62,166743.0
2025-06-05,9.64,9.6562,9.6,9.61,51676.0
2025-06-06,9.61,9.61,9.5638,9.6,49532.0
2025-06-09,9.64,9.65,9.6,9.64,31825.0
2025-06-10,9.63,9.67,9.5909,9.64,17566.0
2025-06-11,9.64,9.68,9.62,9.62,85217.0
2025-06-12,9.65,9.75,9.64,9.72,39984.0
2025-06-13,9.69,9.69,9.56,9.62,95057.0
2025-06-16,9.69,9.69,9.58,9.63,62901.0
2025-06-17,9.68,9.68,9.62,9.64,19916.0
2025-06-18,9.67,9.7,9.6218,9.69,50304.0
2025-06-20,9.66,9.7,9.6101,9.62,38988.0
2025-06-23,9.63,9.67,9.61,9.62,33058.0
2025-06-24,9.64,9.69,9.62,9.64,63754.0
2025-06-25,9.67,9.67,9.6,9.62,45272.0
2025-06-26,9.64,9.644,9.59,9.61,32700.0
2025-06-27,9.65,9.65,9.6,9.6,66669.0
2025-06-30,9.64,9.69,9.6251,9.67,21078.0
2025-07-01,9.65,9.74,9.65,9.74,37460.0
2025-07-02,9.71,9.75,9.6951,9.73,53273.0
