date,open,high,low,close,volume
2025-05-08,138.28,142.195,137.52,139.81,4852968.0
2025-05-09,140.42,142.18,138.97,139.39,3114283.0
2025-05-12,148.75,152.0,146.53,149.0,6669123.0
2025-05-13,149.17,150.81,147.98,148.6,3474137.0
2025-05-14,148.9,149.9999,147.62,148.42,2247908.0
2025-05-15,147.62,147.85,145.28,146.75,3397040.0
2025-05-16,147.54,147.54,145.335,146.7,3790545.0
2025-05-19,143.09,145.8999,142.46,145.45,3181192.0
2025-05-20,144.0,145.01,143.11,144.2,4566209.0
2025-05-21,142.02,142.8203,137.04,137.49,4588091.0
2025-05-22,136.92,137.87,135.7044,136.93,3856762.0
2025-05-23,133.5,137.2655,133.25,136.12,2613861.0
2025-05-27,138.0,139.5651,137.0,139.3,3448285.0
2025-05-28,139.72,139.9224,138.08,138.41,2228815.0
2025-05-29,139.94,139.94,137.4445,138.88,2208765.0
2025-05-30,138.155,138.88,136.06,138.76,6191192.0
2025-06-02,138.17,139.08,136.185,138.81,3007772.0
2025-06-03,138.74,139.8,137.43,139.01,3936180.0
2025-06-04,139.52,139.93,138.41,138.76,2433965.0
2025-06-05,139.15,139.39,136.7,137.76,2456518.0
2025-06-06,139.88,141.4785,139.16,140.45,3676678.0
2025-06-09,141.35,141.41,139.2881,139.98,3061692.0
2025-06-10,140.0,143.05,139.15,142.96,3665091.0
2025-06-11,144.0,145.51,140.79,141.39,3233394.0
2025-06-12,140.09,141.57,139.33,140.79,2382849.0
2025-06-13,138.55,139.03,136.1,136.41,3021831.0
2025-06-16,137.54,140.04,137.54,138.26,2584977.0
2025-06-17,137.455,137.6014,134.79,135.69,2664438.0
2025-06-18,135.39,139.1,135.0,137.49,2688627.0
2025-06-20,138.4,139.08,137.0701,137.69,4295958.0
2025-06-23,137.5,138.53,133.84,138.32,2927331.0
2025-06-24,140.02,144.45,139.51,144.05,3950959.0
2025-06-25,144.33,144.68,142.27,143.57,1911775.0
2025-06-26,144.49,148.34,144.0774,148.18,4384652.0
2025-06-27,149.7,152.67,148.87,151.11,7633557.0
2025-06-30,152.38,152.63,148.895,149.58,4182082.0
2025-07-01,148.94,153.58,148.575,152.77,4544294.0
2025-07-02,152.34,153.74,150.74,153.56,3095014.0
2025-07-03,154.49,155.6376,153.57,155.13,2048009.0
2025-07-07,154.62,155.44,151.3501,152.99,4113120.0
2025-07-08,153.8,156.85,153.68,156.35,4037064.0
2025-07-09,157.0,158.71,156.36,158.68,3773696.0
2025-07-10,158.97,164.23,158.69,164.06,5578661.0
2025-07-11,162.32,162.98,161.3,162.0,3977860.0
2025-07-14,162.0,163.595,160.8,163.36,2521515.0
2025-07-15,163.33,163.57,159.18,159.8,3994679.0
2025-07-16,163.01,166.72,161.51,165.92,5663717.0
2025-07-17,165.9,173.15,165.51,172.49,6507077.0
2025-07-18,173.58,173.79,168.54,168.72,4128134.0
2025-07-21,169.57,170.14,166.54,166.69,3103236.0
2025-07-22,167.63,170.09,166.1001,169.38,3359939.0
2025-07-23,170.12,172.17,169.38,171.96,3448230.0
2025-07-24,179.07,181.15,175.16,178.11,7589104.0
2025-07-25,179.0,181.32,177.34,178.1,3596987.0
2025-07-28,178.05,178.77,175.9,176.94,2679079.0
2025-07-29,177.67,179.0791,175.34,177.04,2753755.0
2025-07-30,177.62,178.2209,173.12,175.34,3475616.0
2025-07-31,174.0,175.54,171.415,172.96,3445488.0
2025-08-01,169.95,171.29,166.86,170.4,3663493.0
2025-08-04,170.2,171.47,169.77,170.5,3975326.0
2025-08-05,171.3,171.3,166.26,167.68,4761970.0
2025-08-06,168.35,170.59,167.72,169.35,2470477.0
2025-08-07,172.15,172.15,166.35,167.64,3082597.0
2025-08-08,168.5,170.89,167.64,168.91,2279567.0
2025-08-11,170.6,171.2999,169.225,170.07,2609506.0
2025-08-12,171.45,175.29,171.34,173.74,4181395.0
2025-08-13,175.9,177.41,173.94,176.62,5598693.0
2025-08-14,175.59,176.045,172.49,174.68,2834908.0
2025-08-15,175.4,175.51,171.4,171.62,3684385.0
2025-08-18,171.41,171.9513,168.763,169.22,3974778.0
2025-08-19,169.62,170.24,166.77,167.29,5367761.0
2025-08-20,166.9,167.1281,162.69,164.47,4877707.0
2025-08-21,164.0,164.86,162.92,163.44,3656652.0
2025-08-22,164.77,172.48,163.77,170.5,5188826.0
2025-08-25,169.56,171.91,169.25,169.5,2801115.0
2025-08-26,168.82,171.6,168.14,171.43,3563574.0
2025-08-27,171.05,172.5741,170.69,171.64,2052953.0
2025-08-28,172.0,173.55,171.7,172.02,2667618.0
2025-08-29,172.42,173.0,170.35,171.4,1943650.0
2025-09-02,167.63,169.885,165.3157,169.55,3512478.0
2025-09-03,169.45,169.97,165.56,167.34,2450856.0
2025-09-04,168.26,170.37,167.58,169.9,2548573.0
2025-09-05,172.97,173.46,167.75,169.99,3110422.0
2025-09-08,170.64,173.65,169.8,173.3,3085334.0
2025-09-09,172.62,175.8,172.45,173.17,2958160.0
2025-09-10,174.98,179.69,174.5601,178.23,4345946.0
2025-09-11,178.53,186.65,178.53,183.92,6395810.0
2025-09-12,182.99,183.69,180.16,181.35,3356247.0
2025-09-15,181.8,184.125,181.4036,183.8,2818623.0
2025-09-16,184.45,185.14,183.33,183.72,2924416.0
2025-09-17,184.07,187.56,182.5,183.62,4719526.0
2025-09-18,184.77,190.085,184.46,188.68,4396015.0
2025-09-19,188.87,189.32,186.62,187.62,7404021.0
2025-09-22,185.87,188.43,184.5,185.64,3038080.0
2025-09-23,185.59,189.875,183.72,184.91,2503492.0
2025-09-24,185.0,186.1,177.19,178.08,3826568.0
2025-09-25,175.0,176.95,173.8904,175.6,3744067.0
2025-09-26,176.49,178.29,174.65,175.32,2047100.0
2025-09-29,176.38,177.2299,174.45,176.14,2630630.0
2025-09-30,176.38,176.9999,166.755,170.85,5391998.0
2025-10-01,169.36,170.45,168.0,168.1,3630101.0
2025-10-02,168.21,169.0,166.4,166.58,3570256.0
2025-10-03,167.31,169.53,167.287,168.45,3218807.0
2025-10-06,168.91,170.0,164.38,166.89,2334228.0
2025-10-07,167.3,169.21,163.94,164.91,2884143.0
2025-10-08,164.91,164.91,161.28,162.46,2993491.0
2025-10-09,162.49,163.1299,159.665,160.65,2873169.0
2025-10-10,160.49,161.4,153.16,153.77,6611417.0
2025-10-13,156.41,158.57,154.4398,158.16,3400625.0
2025-10-14,156.17,165.09,156.17,163.98,4665420.0
2025-10-15,166.09,166.39,161.36,163.91,4089509.0
2025-10-16,164.01,165.32,155.53,157.97,6474863.0
2025-10-17,157.91,158.81,155.27,156.31,3761376.0
2025-10-20,158.07,161.22,157.715,160.44,3081264.0
2025-10-21,159.99,162.66,159.81,161.43,2440599.0
2025-10-22,161.245,162.58,159.0,161.72,4352204.0
2025-10-23,161.81,162.0999,152.215,154.98,7391376.0
2025-10-24,158.4,159.44,154.47,154.6,4451667.0
2025-10-27,155.28,157.85,153.13,153.85,4209927.0
2025-10-28,153.81,153.97,151.04,151.69,3654044.0
2025-10-29,151.0,152.25,148.4,148.92,3836767.0
2025-10-30,147.5,151.0,146.24,148.39,4497560.0
2025-10-31,147.67,147.955,144.54,146.64,6158454.0
2025-11-03,145.38,145.89,142.64,144.42,6155752.0
2025-11-04,142.61,145.9,142.45,142.85,5850646.0
2025-11-05,142.9,144.8,141.11,144.32,4643584.0
2025-11-06,144.6,145.8999,141.33,143.43,3711850.0
2025-11-07,142.94,146.24,141.61,145.94,3614025.0
2025-11-10,148.13,149.0,143.8,144.3,3946024.0
2025-11-11,144.46,146.17,143.29,144.98,3694127.0
2025-11-12,145.12,146.69,143.69,144.36,3947929.0
2025-11-13,142.95,143.66,137.96,139.53,8996426.0
2025-11-14,138.37,142.5,136.89,141.44,4645382.0
2025-11-17,140.71,141.2,137.03,138.42,3510677.0
2025-11-18,137.17,138.8728,135.875,136.53,5751098.0
2025-11-19,137.25,138.71,135.44,138.65,5141653.0
2025-11-20,141.0,142.06,137.66,138.42,5503846.0
2025-11-21,139.67,143.1599,137.875,142.67,4812719.0
2025-11-24,142.43,143.61,141.0901,141.42,4847786.0
2025-11-25,141.8,144.4799,140.69,143.43,3506447.0
2025-11-26,143.44,146.18,143.11,144.92,3117125.0
2025-11-28,146.14,147.78,145.5,146.42,1626552.0
2025-12-01,144.09,147.9,143.21,146.35,3128279.0
2025-12-02,147.69,147.9,146.16,146.74,2749505.0
2025-12-03,147.16,151.815,146.4,151.52,3678230.0
2025-12-04,151.97,152.915,150.24,151.39,3572144.0
2025-12-05,150.87,153.82,150.35,152.15,2903379.0
2025-12-08,152.345,152.345,150.71,151.37,2996432.0
2025-12-09,151.77,157.89,151.52,156.02,6539976.0
