date,open,high,low,close,volume
2025-05-08,153.87,154.07,146.63,147.27,4363967.0
2025-05-09,147.86,149.74,147.18,148.22,3241387.0
2025-05-12,148.395,148.92,142.94,148.62,3997803.0
2025-05-13,148.16,149.21,147.45,148.26,2293130.0
2025-05-14,148.87,149.52,147.74,148.41,1978939.0
2025-05-15,148.92,151.96,148.0001,151.95,1948115.0
2025-05-16,151.88,154.32,151.2533,154.25,2804931.0
2025-05-19,154.13,154.63,153.26,153.86,1578883.0
2025-05-20,154.61,156.435,152.55,154.77,1928913.0
2025-05-21,154.11,154.74,152.799,153.31,1811733.0
2025-05-22,152.76,153.67,151.93,152.49,1129492.0
2025-05-23,152.15,153.15,150.765,152.75,1856640.0
2025-05-27,153.53,154.73,153.106,154.68,1901199.0
2025-05-28,154.5,154.715,152.91,153.13,1408227.0
2025-05-29,153.0,154.05,152.47,153.99,1233968.0
2025-05-30,153.52,155.28,153.12,154.44,2759522.0
2025-06-02,154.21,155.46,153.32,155.25,1595391.0
2025-06-03,156.8,157.82,153.48,155.48,1560826.0
2025-06-04,155.44,155.72,154.035,154.07,1346464.0
2025-06-05,154.6,155.0,153.35,154.12,2257272.0
2025-06-06,153.54,154.84,153.415,154.71,959428.0
2025-06-09,153.96,154.27,151.85,153.62,1392025.0
2025-06-10,153.79,155.0,151.625,153.08,2258940.0
2025-06-11,152.64,153.849,152.06,153.53,2163904.0
2025-06-12,155.1,161.07,152.08,160.52,2968781.0
2025-06-13,161.32,162.94,160.19,161.41,2722406.0
2025-06-16,161.0,162.8699,160.655,162.41,2029922.0
2025-06-17,162.51,165.11,162.24,164.91,2177498.0
2025-06-18,165.19,166.025,164.3213,165.4,2598165.0
2025-06-20,165.84,166.3156,162.35,163.4,4642773.0
2025-06-23,164.04,164.91,162.93,163.99,2944590.0
2025-06-24,164.69,165.0,161.57,164.21,4188919.0
2025-06-25,164.88,164.88,162.15,163.75,2693581.0
2025-06-26,164.51,166.24,163.795,165.61,1552607.0
2025-06-27,165.09,168.17,164.6,167.18,2603418.0
2025-06-30,167.21,168.4,166.575,168.0,3398114.0
2025-07-01,167.55,168.44,162.1,164.4,2785478.0
2025-07-02,163.35,164.25,161.65,161.98,3129587.0
2025-07-03,161.8,164.93,161.0004,164.93,1234057.0
2025-07-07,165.03,167.74,164.37,167.63,1910580.0
2025-07-08,166.82,168.065,163.56,164.45,2066913.0
2025-07-09,165.86,165.86,162.05,164.26,1492808.0
2025-07-10,164.23,164.409,160.94,162.17,2223608.0
2025-07-11,161.46,162.0,160.66,160.97,1314232.0
2025-07-14,160.81,162.25,160.2732,161.69,1410390.0
2025-07-15,161.25,161.8499,160.11,161.02,1922988.0
2025-07-16,161.44,161.82,160.2,161.11,1350735.0
2025-07-17,160.69,160.965,158.61,159.46,1253554.0
2025-07-18,159.24,160.46,157.81,159.56,2035339.0
2025-07-21,158.97,159.68,157.04,158.58,1323897.0
2025-07-22,158.45,159.5,156.37,157.1,1980141.0
2025-07-23,157.48,157.97,156.09,157.76,1772487.0
2025-07-24,158.3,158.915,157.0346,158.28,1935297.0
2025-07-25,158.29,159.25,157.04,157.14,1213916.0
2025-07-28,157.11,157.11,155.105,156.33,1832501.0
2025-07-29,157.03,158.24,156.385,157.39,1199430.0
2025-07-30,156.35,158.03,155.75,157.9,1284521.0
2025-07-31,157.55,158.73,152.585,155.22,3114136.0
2025-08-01,154.71,157.41,153.27,156.0,1592821.0
2025-08-04,156.2,158.69,155.9,158.62,1639505.0
2025-08-05,158.5,159.64,157.97,158.24,2305872.0
2025-08-06,157.75,158.17,153.81,156.6,1709491.0
2025-08-07,156.41,156.755,151.42,153.41,3229137.0
2025-08-08,153.9,157.53,153.67,157.41,1634311.0
2025-08-11,157.02,159.41,156.5,157.66,3111690.0
2025-08-12,140.995,148.2833,137.75,146.3,7846886.0
2025-08-13,147.63,148.76,145.47,148.12,3479449.0
2025-08-14,147.69,151.49,147.69,150.22,2787328.0
2025-08-15,150.35,151.55,149.25,149.61,2571921.0
2025-08-18,149.05,151.2,148.52,149.73,2062927.0
2025-08-19,148.0,149.645,147.3,149.02,2076669.0
2025-08-20,149.38,152.99,148.84,152.95,2523350.0
2025-08-21,152.5,153.7,151.56,151.57,3325686.0
2025-08-22,151.84,152.75,147.21,148.1,2686074.0
2025-08-25,148.09,148.8,145.96,146.04,1674897.0
2025-08-26,146.38,147.78,146.04,147.49,2982175.0
2025-08-27,147.91,149.44,147.01,149.24,2302215.0
2025-08-28,148.92,151.0,148.28,149.51,3290770.0
2025-08-29,149.72,150.51,148.16,148.78,2723214.0
2025-09-02,147.87,150.45,147.2701,149.55,1767271.0
2025-09-03,149.55,150.58,148.87,150.56,1652601.0
2025-09-04,150.62,151.38,146.22,149.34,2366688.0
2025-09-05,149.02,149.595,148.12,149.56,1715441.0
2025-09-08,149.68,150.49,148.39,150.28,2771548.0
2025-09-09,150.01,151.45,148.77,150.94,1306364.0
2025-09-10,150.57,152.51,149.25,149.29,1962471.0
2025-09-11,150.09,152.77,149.35,152.47,1790661.0
2025-09-12,152.37,153.89,151.825,152.24,1162574.0
2025-09-15,152.22,152.39,150.23,150.27,1207468.0
