date,open,high,low,close,volume
2025-04-10,59.13,59.66,57.08,59.05,7081417.0
2025-04-11,58.62,59.8,57.79,59.26,7161610.0
2025-04-14,60.26,61.33,59.31,60.59,5391547.0
2025-04-15,60.59,61.27,60.07,60.47,4390697.0
2025-04-16,59.48,60.58,58.6,59.19,3909534.0
2025-04-17,59.74,60.4,59.24,59.9,3714434.0
2025-04-21,59.28,59.48,57.42,58.18,4607601.0
2025-04-22,58.17,59.76,58.17,59.47,3411697.0
2025-04-23,60.28,60.88,58.57,58.6,7743587.0
2025-04-24,59.2,60.57,59.0,60.31,4665900.0
2025-04-25,60.15,60.6,59.68,60.06,3869356.0
2025-04-28,60.21,61.207,59.77,60.49,4197302.0
2025-04-29,60.26,61.47,60.24,60.82,4881709.0
2025-04-30,60.6,62.67,60.08,62.54,8626218.0
2025-05-01,67.72,70.305,66.07,69.8,10603898.0
2025-05-02,70.0,71.75,69.34,71.53,6134530.0
2025-05-05,71.25,71.9015,70.65,70.81,5563284.0
2025-05-06,69.85,70.74,69.61,70.19,5031529.0
2025-05-07,70.42,70.9538,69.26,69.99,5762177.0
2025-05-08,70.71,71.775,70.34,70.5,5139983.0
2025-05-09,71.03,71.54,70.69,71.44,5540344.0
2025-05-12,74.05,74.4,72.84,73.44,5802043.0
2025-05-13,74.11,75.08,73.655,74.65,10638484.0
2025-05-14,74.24,74.85,73.24,73.36,5086870.0
2025-05-15,73.13,73.5999,73.09,73.48,3782561.0
2025-05-16,74.11,75.65,73.76,75.62,7296609.0
2025-05-19,74.34,76.3,73.76,75.83,6554498.0
2025-05-20,75.85,76.6265,74.45,74.95,5093208.0
2025-05-21,73.81,74.1,71.92,72.09,5182146.0
2025-05-22,71.98,72.31,71.32,71.77,4882934.0
2025-05-23,70.64,71.38,70.253,70.98,4450733.0
2025-05-27,72.17,72.35,70.89,72.33,3453402.0
2025-05-28,72.43,72.52,70.97,71.04,3829975.0
2025-05-29,71.63,71.65,70.76,71.41,2998184.0
2025-05-30,71.3,71.53,70.575,71.2,6337871.0
2025-06-02,70.71,70.85,69.31,70.34,3564613.0
2025-06-03,70.45,70.89,69.94,70.8,3328940.0
2025-06-04,71.27,71.91,70.99,71.39,3281065.0
2025-06-05,71.68,71.92,70.685,71.4,4001523.0
2025-06-06,71.94,71.94,70.68,71.04,4754934.0
2025-06-09,71.29,71.905,71.05,71.65,3608492.0
2025-06-10,72.0,72.265,71.45,71.75,4815554.0
2025-06-11,72.14,72.68,71.57,72.48,6236287.0
2025-06-12,72.29,72.81,71.95,72.48,4131291.0
2025-06-13,71.41,71.97,71.01,71.24,3559162.0
2025-06-16,71.55,71.7622,70.49,71.04,4711631.0
2025-06-17,70.37,70.82,69.49,69.78,5685106.0
2025-06-18,69.83,70.6,69.54,69.86,4073157.0
2025-06-20,70.48,70.8594,69.88,70.47,10629857.0
2025-06-23,70.4,71.845,70.05,71.78,3282994.0
2025-06-24,72.24,72.54,71.79,72.46,3664467.0
2025-06-25,72.45,72.69,72.0,72.43,3344309.0
2025-06-26,72.51,73.31,72.19,72.59,3939943.0
2025-06-27,73.34,74.27,73.02,73.67,6162936.0
2025-06-30,73.62,73.73,72.99,73.19,4623651.0
2025-07-01,72.6,74.875,72.31,74.3,5148146.0
2025-07-02,74.31,75.32,74.0439,75.26,3606641.0
