date,open,high,low,close,volume
2025-05-07,467.41,474.97,465.82,465.96,251365.0
2025-05-08,465.03,471.7796,450.31,452.5,471610.0
2025-05-09,451.04,456.235,434.145,448.66,811251.0
2025-05-12,450.26,454.9822,434.73,436.8,666430.0
2025-05-13,436.8,440.2921,430.6,432.8,446655.0
2025-05-14,431.59,435.23,430.65,430.86,294093.0
2025-05-15,430.67,445.92,430.0,442.43,374177.0
2025-05-16,442.43,456.4935,442.43,456.15,376892.0
2025-05-19,450.87,456.75,450.87,456.09,230628.0
2025-05-20,455.98,460.32,455.98,458.64,238057.0
2025-05-21,454.33,456.25,448.29,450.43,325915.0
2025-05-22,449.98,452.365,443.72,444.05,203432.0
2025-05-23,442.08,448.1,441.6,445.73,225285.0
2025-05-27,446.91,449.92,444.72,447.5,501125.0
2025-05-28,447.5,451.605,444.8,447.51,300393.0
2025-05-29,446.75,446.75,438.0,440.51,403036.0
2025-05-30,440.79,448.475,437.58,437.76,433764.0
2025-06-02,436.51,443.52,435.47,440.0,800989.0
2025-06-03,438.67,444.3259,433.16,438.68,421593.0
2025-06-04,439.26,449.76,436.03,448.25,563106.0
2025-06-05,448.41,450.49,443.525,445.69,513832.0
2025-06-06,447.21,449.12,440.11,444.04,403618.0
2025-06-09,441.59,443.5,433.63,439.29,693549.0
2025-06-10,496.02,509.08,481.3001,490.2,1341457.0
2025-06-11,490.99,504.08,488.91,499.53,706779.0
2025-06-12,500.85,507.305,495.0,506.99,603870.0
2025-06-13,506.96,512.88,502.065,506.16,457903.0
2025-06-16,506.0,512.23,505.015,506.39,466298.0
2025-06-17,505.74,512.42,503.0,507.63,501264.0
2025-06-18,511.05,511.05,505.3,506.31,397124.0
2025-06-20,506.67,511.8,498.715,500.27,456582.0
2025-06-23,505.45,510.82,500.334,510.43,308415.0
2025-06-24,510.5,514.32,501.37,510.91,360611.0
2025-06-25,510.51,511.01,504.11,505.13,286595.0
2025-06-26,507.05,509.2199,501.001,504.01,303345.0
2025-06-27,503.53,511.71,499.95,506.18,462923.0
2025-06-30,504.7,510.91,499.81,510.27,284667.0
2025-07-01,508.01,512.775,504.49,510.64,398835.0
2025-07-02,509.36,511.75,505.005,510.92,311563.0
2025-07-03,510.3,517.31,508.89,517.23,173672.0
2025-07-07,517.23,526.3294,514.135,526.16,341932.0
2025-07-08,522.64,526.82,509.19,512.3,413997.0
2025-07-09,513.22,522.71,508.25,522.32,352707.0
2025-07-10,521.04,526.7199,517.74,523.6,380541.0
2025-07-11,523.6,526.66,514.31,516.59,274758.0
2025-07-14,517.41,526.4699,514.1213,523.28,256521.0
2025-07-15,522.55,524.212,517.38,517.66,225162.0
2025-07-16,520.66,521.635,515.045,517.8,222734.0
2025-07-17,519.715,519.715,508.61,515.67,250335.0
2025-07-18,516.62,518.5,506.69,510.25,214496.0
2025-07-21,510.19,520.0,510.19,518.26,278456.0
2025-07-22,520.31,526.0,519.12,523.42,264453.0
2025-07-23,523.38,530.17,519.69,524.0,456198.0
2025-07-24,524.0,528.9999,519.0601,526.06,271442.0
2025-07-25,527.82,531.24,525.5,527.51,280317.0
2025-07-28,525.54,530.59,523.55,525.04,327928.0
2025-07-29,524.17,527.75,519.7,521.96,254283.0
2025-07-30,522.97,527.9255,521.56,525.12,174441.0
2025-07-31,524.03,530.59,518.81,520.13,258927.0
2025-08-01,519.38,524.52,516.01,522.78,200026.0
2025-08-04,521.61,529.53,520.265,523.25,309784.0
2025-08-05,521.29,524.335,513.77,514.75,237492.0
2025-08-06,514.17,522.29,514.17,521.49,249448.0
2025-08-07,523.0,523.0,512.81,518.28,219149.0
2025-08-08,520.2,523.9584,517.105,518.97,209421.0
2025-08-11,519.06,521.97,513.82,515.78,206850.0
2025-08-12,517.3,520.325,512.54,519.65,157645.0
2025-08-13,518.91,518.91,509.33,515.09,196332.0
2025-08-14,515.98,522.2299,507.15,508.18,243127.0
2025-08-15,508.56,509.79,505.04,507.84,194946.0
2025-08-18,506.54,510.52,505.905,506.2,190702.0
2025-08-19,505.0,511.7205,505.0,509.04,164084.0
2025-08-20,510.95,515.91,508.7987,513.39,338143.0
2025-08-21,511.46,512.21,505.65,510.18,184603.0
2025-08-22,510.52,510.52,498.87,503.26,301761.0
2025-08-25,502.37,503.425,496.18,496.61,173947.0
2025-08-26,498.92,505.65,493.98,496.78,268787.0
2025-08-27,496.31,500.0,491.0,498.29,243841.0
2025-08-28,498.58,498.58,490.0,496.0,168972.0
2025-08-29,497.77,497.77,490.0,494.52,242876.0
2025-09-02,490.89,498.77,490.5,497.98,342404.0
2025-09-03,497.57,501.16,493.7001,499.6,203820.0
2025-09-04,501.73,501.73,494.64,498.18,217943.0
2025-09-05,499.3,506.7,498.3361,505.64,281272.0
2025-09-08,516.11,523.045,505.64,521.5,1244189.0
2025-09-09,514.26,543.2,505.3,541.3,1287184.0
2025-09-10,546.48,549.21,529.33,538.5,630258.0
2025-09-11,540.28,557.38,540.28,553.99,501884.0
2025-09-12,554.75,559.37,549.1176,553.89,315108.0
2025-09-15,554.28,562.975,552.46,554.91,331813.0
2025-09-16,554.88,565.71,548.65,561.18,582416.0
2025-09-17,565.72,571.565,554.65,555.31,601725.0
2025-09-18,550.81,557.5192,541.38,543.71,473397.0
2025-09-19,545.36,547.945,537.985,547.1,594197.0
2025-09-22,542.44,548.185,542.44,547.45,321900.0
2025-09-23,549.6,556.02,546.94,551.08,324403.0
2025-09-24,551.0,556.44,544.5,547.05,215998.0
2025-09-25,545.12,547.9099,542.43,543.13,232777.0
2025-09-26,545.69,549.48,533.98,547.54,210922.0
2025-09-29,548.84,560.95,545.025,560.94,273222.0
2025-09-30,558.36,566.725,558.08,565.32,234102.0
2025-10-01,564.09,569.3399,558.61,559.16,310713.0
2025-10-02,555.36,564.144,555.36,561.4,303514.0
2025-10-03,564.37,567.48,554.77,567.48,181462.0
