date,open,high,low,close,volume
2025-05-08,104.55,105.075,103.19,103.28,2933576.0
2025-05-09,103.57,105.535,102.97,105.0,3043459.0
2025-05-12,102.82,102.82,99.67,100.48,3494705.0
2025-05-13,100.96,101.3,97.73,98.32,3157841.0
2025-05-14,98.05,98.39,97.0732,98.23,2967923.0
2025-05-15,99.15,100.84,98.81,100.77,2455281.0
2025-05-16,101.14,102.35,100.7862,102.32,2966801.0
2025-05-19,102.04,103.1,101.23,102.98,1579909.0
2025-05-20,102.21,103.25,101.79,102.92,1902480.0
2025-05-21,102.83,103.125,101.39,101.52,3019162.0
2025-05-22,101.8,101.885,99.1,99.92,2992795.0
2025-05-23,100.63,101.16,99.42,100.16,1853081.0
2025-05-27,100.1,101.08,99.94,100.55,2094821.0
2025-05-28,100.42,100.56,98.93,99.64,1901683.0
2025-05-29,99.17,100.36,98.57,100.35,1811286.0
2025-05-30,100.08,100.77,99.51,100.35,5068739.0
2025-06-02,99.85,100.0,98.49,99.89,2935603.0
2025-06-03,99.46,100.01,98.43,99.86,2867415.0
2025-06-04,100.0,100.93,99.18,100.23,3852490.0
2025-06-05,100.63,100.76,99.81,100.28,2989797.0
2025-06-06,99.64,100.35,98.66,98.95,2805497.0
2025-06-09,98.65,99.62,97.89,99.02,2643218.0
2025-06-10,100.18,100.44,98.93,99.89,3863537.0
2025-06-11,99.7,100.42,98.74,99.43,3617284.0
2025-06-12,99.72,100.28,99.34,100.03,2803818.0
2025-06-13,98.74,99.675,98.07,98.39,2301129.0
2025-06-16,98.24,100.38,97.9,99.0,4456727.0
2025-06-17,99.03,99.5183,98.14,98.81,1881204.0
2025-06-18,99.01,99.67,98.03,99.38,3549386.0
2025-06-20,99.36,100.59,99.1634,100.18,5035153.0
2025-06-23,100.63,103.02,100.32,102.53,5335823.0
2025-06-24,102.43,103.71,101.03,103.19,4688577.0
2025-06-25,102.46,102.935,101.41,101.82,2327252.0
2025-06-26,102.2,102.45,99.74,100.35,4204207.0
2025-06-27,100.0,101.27,99.73,100.65,3004443.0
2025-06-30,100.35,102.79,99.3,102.73,3899183.0
2025-07-01,102.7,104.33,102.08,103.72,3405595.0
2025-07-02,103.39,103.87,102.91,103.17,1951495.0
2025-07-03,102.61,103.14,101.0675,102.92,1246284.0
2025-07-07,102.87,103.11,101.07,101.85,2110422.0
