date,open,high,low,close,volume
2025-05-08,19.98,20.5,19.9,20.25,30449307.0
2025-05-09,20.23,20.367,19.915,20.19,17379267.0
2025-05-12,21.59,22.355,21.5503,22.13,43025837.0
2025-05-13,22.22,22.78,21.98,22.74,27784478.0
2025-05-14,22.72,23.23,22.7,22.99,28264102.0
2025-05-15,22.75,23.11,22.5,23.0,25853401.0
2025-05-16,23.26,23.46,23.05,23.39,18741010.0
2025-05-19,22.975,23.41,22.75,23.39,19197094.0
2025-05-20,22.97,23.09,22.595,22.9,18785189.0
2025-05-21,22.53,22.6,21.84,22.04,22318780.0
2025-05-22,22.045,22.54,22.03,22.43,15230969.0
2025-05-23,21.73,22.295,21.6217,22.25,15876634.0
2025-05-27,22.59,23.67,22.59,23.6,27592644.0
2025-05-28,23.44,23.45,22.96,23.0,18060781.0
2025-05-29,23.05,23.34,22.92,23.16,14961787.0
2025-05-30,23.05,23.34,22.9,23.22,22350636.0
2025-06-02,23.07,23.59,22.895,23.54,19914897.0
2025-06-03,23.605,24.025,23.48,23.93,21199692.0
2025-06-04,23.915,24.01,23.59,23.83,21135568.0
2025-06-05,23.77,24.4007,23.68,24.02,23993027.0
2025-06-06,24.29,24.32,24.0027,24.28,16655129.0
2025-06-09,24.46,24.655,24.16,24.21,17924504.0
2025-06-10,24.26,24.52,24.12,24.51,14021792.0
2025-06-11,24.605,24.63,23.7803,23.87,21334475.0
2025-06-12,23.58,23.735,23.24,23.57,22811703.0
2025-06-13,22.28,22.83,22.1119,22.41,36875882.0
2025-06-16,23.11,23.85,22.89,23.84,32993545.0
2025-06-17,23.64,23.95,23.2,23.28,25124060.0
2025-06-18,23.19,23.81,23.19,23.61,19275536.0
2025-06-20,23.78,23.895,23.625,23.77,23641147.0
2025-06-23,23.35,24.1,22.5818,24.04,43972135.0
2025-06-24,25.07,26.525,24.95,25.7,70082442.0
2025-06-25,25.775,25.8,25.23,25.48,27543737.0
2025-06-26,25.705,26.27,25.53,26.17,29096470.0
2025-06-27,26.36,27.35,26.21,27.26,46846157.0
2025-06-30,27.36,28.18,27.18,28.12,32239401.0
2025-07-01,28.075,28.825,28.07,28.64,35589170.0
2025-07-02,28.625,29.72,28.62,29.65,33758029.0
2025-07-03,29.79,30.2381,29.66,29.96,20052785.0
2025-07-07,29.78,30.46,28.96,29.31,45731615.0
2025-07-08,29.62,29.74,28.8,28.84,26835514.0
2025-07-09,29.2,29.29,28.73,28.83,23875302.0
2025-07-10,29.055,29.405,28.94,29.1,22873509.0
2025-07-11,29.06,29.19,28.65,28.66,14579219.0
2025-07-14,28.66,29.375,28.5901,29.32,16149979.0
2025-07-15,29.23,29.29,28.61,28.97,18347525.0
2025-07-16,29.27,29.51,28.83,29.04,17907823.0
2025-07-17,29.35,29.51,28.88,29.45,18769933.0
2025-07-18,29.55,29.64,29.255,29.55,17147508.0
2025-07-21,29.72,30.23,29.655,29.79,17523780.0
2025-07-22,29.96,30.07,29.25,29.89,12900595.0
