date,open,high,low,close,volume
2025-04-24,270.305,283.0,270.0,281.78,2177653.0
2025-04-25,279.99,290.5,279.4457,289.63,2414012.0
2025-04-28,288.02,289.41,281.7,285.74,3416053.0
2025-04-29,289.64,303.6,289.64,302.22,3815648.0
2025-04-30,294.51,299.98,293.85,297.74,2781042.0
2025-05-01,301.74,304.7,299.4067,299.73,2304240.0
2025-05-02,305.27,310.58,304.1936,308.15,1935561.0
2025-05-05,307.0,311.98,305.6,308.83,1794504.0
2025-05-06,302.89,308.65,302.29,305.78,1643005.0
2025-05-07,306.145,310.88,304.77,308.34,1774697.0
2025-05-08,311.22,313.0,307.7,307.96,1609503.0
2025-05-09,309.53,309.53,303.82,305.78,1480106.0
2025-05-12,320.0,320.0,308.58,311.77,2439752.0
2025-05-13,312.42,319.565,311.565,318.66,1707340.0
2025-05-14,316.95,321.86,316.79,319.39,1463283.0
2025-05-15,318.36,321.87,317.74,318.77,1535422.0
2025-05-16,320.16,322.19,317.18,321.56,1575130.0
2025-05-19,318.77,322.275,317.41,320.3,1510674.0
2025-05-20,316.96,320.9999,315.36,320.55,1374232.0
2025-05-21,317.37,322.64,316.31,317.55,1869690.0
2025-05-22,315.505,318.6,313.91,316.63,1481096.0
2025-05-23,312.04,317.28,311.645,315.51,1010566.0
2025-05-27,319.46,323.28,318.1,323.08,1446709.0
2025-05-28,322.87,323.39,284.3,288.61,7018683.0
2025-05-29,293.11,294.13,276.61,284.5,6282229.0
2025-05-30,284.43,288.21,280.34,287.07,2901854.0
2025-06-02,286.76,292.87,285.48,292.53,1993355.0
2025-06-03,289.12,294.81,289.12,293.33,1617618.0
2025-06-04,293.91,296.09,291.6201,294.4,1430628.0
2025-06-05,294.4,302.0,294.4,296.29,1904766.0
2025-06-06,299.34,299.64,295.65,296.95,1365843.0
2025-06-09,307.58,310.95,301.517,301.66,2517418.0
2025-06-10,302.41,306.08,300.465,305.69,1603667.0
2025-06-11,306.0,309.39,302.4501,307.2,1259707.0
2025-06-12,306.4,310.0,306.1,307.85,1012783.0
2025-06-13,302.0,305.3,299.62,300.0,1188950.0
2025-06-16,300.69,302.405,297.03,300.81,1697079.0
2025-06-17,299.79,304.44,298.13,299.0,1130561.0
2025-06-18,297.78,300.1,295.6086,296.84,1221116.0
2025-06-20,299.63,300.76,293.84,295.4,2373325.0
2025-06-23,294.33,295.82,289.69,293.56,2134880.0
2025-06-24,295.85,297.14,293.61,296.8,1906386.0
2025-06-25,297.834,301.26,295.33,297.53,1736796.0
2025-06-26,299.0,303.87,298.33,303.69,2128233.0
2025-06-27,307.03,315.9,304.29,305.2,2331778.0
2025-06-30,306.12,310.12,305.21,308.15,1748252.0
2025-07-01,306.35,310.99,304.73,309.46,1332210.0
2025-07-02,307.23,312.75,306.0001,310.95,1164871.0
2025-07-03,326.47,330.09,321.3764,326.81,2274696.0
2025-07-07,326.81,327.98,318.8,320.3,1824445.0
2025-07-08,322.12,323.705,319.0201,323.28,2022887.0
2025-07-09,324.14,325.54,320.54,322.91,1092525.0
2025-07-10,325.26,325.26,318.2,322.66,1463741.0
2025-07-11,321.57,324.32,318.16,320.6,1201776.0
2025-07-14,320.13,320.97,314.7,317.49,1863085.0
2025-07-15,319.84,324.4899,317.67,318.04,1447559.0
2025-07-16,318.7,318.7,311.085,314.58,1595846.0
2025-07-17,313.08,321.23,311.45,320.855,1276061.0
2025-07-18,321.37,322.1482,315.04,315.57,1391024.0
2025-07-21,315.04,318.83,315.04,316.32,1042247.0
2025-07-22,317.54,321.69,313.0001,319.6,1211417.0
2025-07-23,320.48,326.52,318.49,326.46,1524023.0
2025-07-24,325.56,327.5,324.37,324.64,1649843.0
2025-07-25,325.0,335.16,324.5,332.19,2718308.0
2025-07-28,334.475,334.9999,328.455,333.76,2682369.0
2025-07-29,355.0,370.6065,353.0,366.26,4666680.0
2025-07-30,367.49,374.05,363.75,371.03,3894030.0
2025-07-31,371.52,376.445,363.47,364.57,3012745.0
2025-08-01,358.0,360.31,353.01,356.97,2070357.0
2025-08-04,358.78,364.89,355.63,364.88,1841948.0
2025-08-05,366.2,369.1399,357.7,360.5,1682437.0
2025-08-06,361.86,364.07,358.7,360.16,1058804.0
2025-08-07,363.015,365.4,349.66,354.33,1526700.0
2025-08-08,356.43,357.59,351.5,352.06,1373176.0
2025-08-11,352.08,354.1641,346.77,349.09,1624559.0
2025-08-12,349.09,353.66,345.48,353.61,1263284.0
2025-08-13,356.04,356.4,346.09,349.12,1208629.0
2025-08-14,348.33,350.0,346.28,348.92,1220379.0
2025-08-15,349.05,351.03,344.79,349.88,1567784.0
