date,open,high,low,close,volume
2025-04-10,154.465,155.08,144.18,146.7,2816855.0
2025-04-11,145.21,149.59,143.61,148.8,1815290.0
2025-04-14,151.78,153.23,149.191,151.74,1441391.0
2025-04-15,151.76,153.565,150.1568,150.83,908740.0
2025-04-16,148.89,151.1568,147.32,148.77,778112.0
2025-04-17,149.94,152.735,149.31,151.47,1166891.0
2025-04-21,149.7,150.745,146.98,148.42,1476421.0
2025-04-22,149.91,152.59,149.91,152.03,959252.0
2025-04-23,155.64,159.17,154.04,154.86,1106400.0
2025-04-24,155.9,159.06,154.315,158.94,960997.0
2025-04-25,157.74,158.32,155.78,157.95,1042344.0
2025-04-28,158.975,159.8,155.95,158.59,1066193.0
2025-04-29,157.55,160.6,156.36,159.96,1004086.0
2025-04-30,158.3,160.94,156.41,160.56,877111.0
2025-05-01,160.9,163.54,159.01,162.4,1474519.0
2025-05-02,165.62,167.54,164.545,166.83,1768016.0
2025-05-05,164.89,167.68,164.89,165.75,879374.0
2025-05-06,164.12,166.04,163.13,163.93,1391567.0
2025-05-07,163.46,177.28,162.46,175.52,2701839.0
2025-05-08,177.69,183.18,177.69,180.09,2409989.0
2025-05-09,180.98,181.69,178.84,178.94,1101319.0
2025-05-12,186.0,190.06,185.12,188.82,1652607.0
2025-05-13,188.82,191.7,188.745,190.68,1637406.0
2025-05-14,190.79,192.3,189.34,189.36,2171926.0
2025-05-15,188.86,190.08,187.14,188.43,1611426.0
2025-05-16,187.91,189.33,186.825,189.03,961668.0
2025-05-19,186.65,189.45,186.64,188.04,912581.0
2025-05-20,187.44,189.28,186.82,188.1,770723.0
2025-05-21,186.74,187.315,181.41,181.82,970884.0
2025-05-22,181.66,184.52,180.69,183.38,1162904.0
2025-05-23,178.51,183.245,177.42,182.16,1359784.0
2025-05-27,185.34,185.94,182.79,185.72,993828.0
2025-05-28,185.54,186.695,183.17,183.34,927624.0
2025-05-29,185.16,185.16,181.01,182.35,617254.0
2025-05-30,181.41,182.01,178.55,180.36,1046284.0
2025-06-02,176.87,177.44,171.16,174.76,2285210.0
2025-06-03,175.46,179.67,174.7,179.35,819461.0
2025-06-04,179.62,180.42,176.73,176.8,1005719.0
2025-06-05,176.61,177.78,175.34,175.83,1130143.0
2025-06-06,177.71,178.94,176.635,178.24,615364.0
2025-06-09,179.51,180.02,177.23,177.43,1038612.0
2025-06-10,177.91,179.12,176.82,178.73,1368972.0
2025-06-11,179.48,179.9999,175.26,175.75,785505.0
2025-06-12,175.69,176.21,173.865,174.75,971162.0
2025-06-13,172.45,173.67,169.96,170.42,1116084.0
2025-06-16,171.915,173.65,171.19,172.35,1477151.0
2025-06-17,171.47,173.7,170.41,170.8,1025696.0
2025-06-18,170.32,172.19,169.49,170.0,1240383.0
2025-06-20,171.87,172.37,169.28,170.62,2210517.0
2025-06-23,170.62,174.43,170.05,173.77,1268131.0
2025-06-24,175.72,180.45,174.4301,179.84,1340718.0
2025-06-25,180.6,181.02,176.615,177.83,1022437.0
2025-06-26,178.975,179.51,175.8,177.28,933622.0
2025-06-27,178.08,179.06,176.351,177.41,2773832.0
2025-06-30,178.0,179.385,176.9098,178.59,937061.0
2025-07-01,178.58,183.7,177.29,181.16,958401.0
2025-07-02,181.0,182.98,179.57,182.84,738210.0
2025-07-03,183.37,183.91,181.92,182.13,494454.0
2025-07-07,180.86,182.44,177.185,177.36,737509.0
2025-07-08,178.01,181.615,177.86,180.65,847623.0
2025-07-09,181.59,182.19,177.535,180.75,791000.0
2025-07-10,180.83,182.9,179.6,179.7,962544.0
2025-07-11,178.06,178.615,176.96,177.38,775092.0
2025-07-14,177.415,179.285,175.86,177.7,1118354.0
2025-07-15,179.21,179.21,175.71,175.77,972563.0
2025-07-16,176.64,177.43,174.1,175.73,617777.0
2025-07-17,175.83,180.9,175.12,179.99,991406.0
2025-07-18,180.85,181.27,178.88,179.59,833868.0
2025-07-21,179.32,180.11,176.76,176.87,589603.0
2025-07-22,177.72,180.74,177.69,180.07,668333.0
2025-07-23,180.6,182.81,179.61,181.37,792863.0
2025-07-24,179.84,182.05,179.515,180.83,754799.0
2025-07-25,181.68,182.28,180.14,181.14,631856.0
2025-07-28,181.73,182.93,181.558,181.78,545586.0
2025-07-29,182.83,183.66,181.04,182.18,641848.0
2025-07-30,182.74,182.74,178.73,179.94,854885.0
2025-07-31,178.48,179.27,173.85,174.38,1408093.0
2025-08-01,172.8,173.09,167.47,168.86,1165055.0
2025-08-04,170.23,172.2,168.94,172.14,1316718.0
2025-08-05,172.33,173.38,165.04,165.24,2352090.0
2025-08-06,167.69,169.9999,159.69,165.51,2705763.0
2025-08-07,166.91,167.185,160.4328,161.88,1869838.0
2025-08-08,162.7,163.645,162.05,162.92,1066641.0
2025-08-11,162.66,165.0,159.7818,160.15,1174822.0
2025-08-12,161.02,164.76,160.56,164.06,1212876.0
2025-08-13,164.39,167.705,163.5401,167.48,1179955.0
2025-08-14,166.2,166.49,163.92,166.09,1183317.0
2025-08-15,165.83,167.35,163.44,163.76,1829568.0
2025-08-18,163.9,166.51,163.43,165.84,787019.0
2025-08-19,166.04,169.29,165.41,167.58,1037443.0
2025-08-20,167.59,168.25,166.15,166.91,947859.0
2025-08-21,165.69,165.91,162.88,164.18,710818.0
2025-08-22,165.65,169.84,164.275,167.0,1576481.0
2025-08-25,166.06,166.63,165.16,166.46,856486.0
2025-08-26,166.0,166.565,163.39,163.67,1531201.0
2025-08-27,163.75,166.305,163.1,165.23,1343450.0
2025-08-28,166.3,166.365,163.9,165.87,1225150.0
2025-08-29,165.62,168.055,164.11,164.76,1109842.0
2025-09-02,162.06,163.87,160.19,162.27,849674.0
2025-09-03,161.7,163.7,161.15,163.37,844283.0
2025-09-04,163.68,166.75,161.77,166.25,1198662.0
2025-09-05,166.96,170.73,165.64,169.73,1439016.0
2025-09-08,169.81,169.965,166.496,167.85,1194427.0
2025-09-09,167.97,169.505,167.11,168.95,1085004.0
2025-09-10,167.93,170.97,167.1001,170.77,1795909.0
2025-09-11,171.55,171.55,164.01,165.73,2040020.0
2025-09-12,165.05,166.19,163.93,164.29,1120718.0
2025-09-15,164.51,167.05,162.7501,163.13,1289799.0
2025-09-16,163.89,166.58,162.59,166.15,1452568.0
2025-09-17,166.22,169.2,164.6,167.29,1244116.0
2025-09-18,168.57,168.68,161.99,162.87,2143670.0
2025-09-19,162.51,163.3175,161.0,161.22,2889618.0
2025-09-22,161.01,165.67,160.74,164.16,1598870.0
2025-09-23,164.86,165.735,163.29,164.58,1252006.0
