date,open,high,low,close,volume
2025-04-24,36.37,37.53,36.285,37.44,4389027.0
2025-04-25,37.03,37.37,36.83,37.06,3350567.0
2025-04-28,37.13,37.58,36.81,37.34,3762052.0
2025-04-29,37.07,37.745,36.94,37.55,4515031.0
2025-04-30,36.14,37.0,35.9,36.89,4811714.0
2025-05-01,36.99,37.81,36.715,37.29,3201190.0
2025-05-02,38.1,38.7555,37.88,38.65,4876270.0
2025-05-05,38.17,39.22,38.17,38.71,4765777.0
2025-05-06,38.19,38.67,38.04,38.2,4353572.0
2025-05-07,38.54,38.93,37.93,38.08,3489047.0
2025-05-08,38.74,39.355,38.44,39.0,3868963.0
2025-05-09,39.09,39.28,38.835,39.12,3512814.0
2025-05-12,41.21,42.1,41.16,41.59,6897730.0
2025-05-13,41.68,42.185,41.5,41.87,4822702.0
2025-05-14,41.78,41.97,41.43,41.59,3571828.0
2025-05-15,41.61,41.95,41.28,41.72,3890295.0
2025-05-16,41.59,42.025,41.35,41.82,2962999.0
2025-05-19,41.22,41.77,41.11,41.58,2801291.0
2025-05-20,41.45,41.635,41.17,41.3,2315377.0
2025-05-21,40.88,41.2,39.62,39.64,3606173.0
2025-05-22,39.51,40.08,39.42,39.77,3433221.0
2025-05-23,38.81,39.745,38.796,39.57,3461333.0
2025-05-27,40.17,40.465,39.72,40.42,4661276.0
2025-05-28,40.46,40.54,39.67,39.73,5167463.0
2025-05-29,40.1,40.28,39.695,40.26,4553055.0
2025-05-30,40.16,40.47,39.8,40.35,7319253.0
2025-06-02,40.17,40.2,39.4,40.06,4901511.0
2025-06-03,40.0,40.895,39.79,40.83,4537069.0
2025-06-04,40.8,41.15,40.14,40.17,3575390.0
2025-06-05,40.21,40.6,39.695,40.27,5967249.0
2025-06-06,41.05,41.435,40.865,41.37,4759596.0
2025-06-09,41.58,41.9,41.29,41.35,4422060.0
2025-06-10,41.31,42.12,41.155,41.97,6139474.0
2025-06-11,42.25,42.5,41.345,41.4,7073886.0
2025-06-12,41.13,41.22,40.6,41.17,5923715.0
