date,open,high,low,close,volume
2025-05-07,335.0,335.87,331.32,334.44,1325064.0
2025-05-08,333.08,337.25,330.21,333.11,1322303.0
2025-05-09,333.19,335.42,331.84,333.46,787938.0
2025-05-12,324.08,328.255,309.59,315.74,3560738.0
2025-05-13,309.59,310.25,301.48,301.89,3144364.0
2025-05-14,305.25,307.16,302.11,303.35,2517211.0
2025-05-15,303.22,308.97,296.26,308.86,2723351.0
2025-05-16,309.4,320.97,307.78,320.94,2056251.0
2025-05-19,320.55,322.88,318.0,321.96,1242737.0
2025-05-20,323.85,325.48,322.3605,325.0,1329732.0
2025-05-21,322.63,326.0,317.01,317.09,984422.0
2025-05-22,315.91,316.46,310.2,312.68,1699864.0
2025-05-23,314.2,316.59,310.51,315.99,1667846.0
2025-05-27,316.9,316.99,311.7,315.28,1573804.0
2025-05-28,314.98,315.8,310.285,310.86,1157468.0
2025-05-29,310.0,312.1,308.39,312.05,1745737.0
2025-05-30,312.28,319.25,310.05,316.64,2732238.0
2025-06-02,315.6,319.95,312.18,314.99,1247849.0
2025-06-03,312.31,315.0,310.3,311.67,1321064.0
2025-06-04,311.26,312.8,309.71,310.12,991227.0
2025-06-05,310.58,312.99,309.2101,311.02,1682932.0
2025-06-06,311.64,312.51,309.5,312.18,2048289.0
2025-06-09,310.84,314.155,309.05,311.4,2313185.0
2025-06-10,312.8,318.13,311.05,313.62,2228284.0
2025-06-11,314.7,315.855,309.48,310.2,2210123.0
2025-06-12,311.06,315.825,308.375,315.37,2074449.0
2025-06-13,315.03,318.71,313.75,317.4,1866266.0
2025-06-16,317.33,318.03,309.81,314.44,1225918.0
2025-06-17,313.3,315.645,311.14,312.51,1114485.0
2025-06-18,312.26,316.04,311.08,314.4,1170309.0
2025-06-20,314.13,316.58,311.96,314.35,3249878.0
2025-06-23,315.0,317.45,313.1,316.97,1248232.0
2025-06-24,314.95,317.77,313.235,316.83,1328293.0
2025-06-25,314.88,317.27,310.82,316.0,1434891.0
2025-06-26,317.61,331.87,316.725,330.0,2453702.0
2025-06-27,329.0,332.57,325.96,326.31,3402335.0
2025-06-30,325.95,330.83,325.56,330.58,4328635.0
2025-07-01,331.92,338.8899,330.615,334.39,2684077.0
2025-07-02,330.45,332.2876,320.25,320.39,2925969.0
2025-07-03,320.34,323.096,318.68,319.75,852424.0
2025-07-07,320.92,320.92,310.535,313.63,1397186.0
2025-07-08,311.82,314.6,310.61,312.0,1599366.0
2025-07-09,312.49,312.49,306.78,309.78,983956.0
2025-07-10,308.0,311.82,306.335,308.78,989554.0
2025-07-11,306.0,307.2308,302.07,303.27,1590773.0
2025-07-14,303.43,304.36,301.0,303.06,926317.0
2025-07-15,303.76,305.08,299.54,302.44,1139785.0
2025-07-16,301.64,306.46,300.01,305.82,1416213.0
2025-07-17,303.21,304.24,295.935,298.28,1696496.0
2025-07-18,298.79,298.79,293.272,295.71,2071591.0
2025-07-21,296.32,297.5605,293.53,294.8,2004333.0
2025-07-22,295.8,302.89,295.355,300.05,1392397.0
2025-07-23,301.19,304.8,300.74,304.34,1443554.0
2025-07-24,300.0,303.0,293.0401,293.93,1652520.0
2025-07-25,294.67,298.849,294.0,296.37,1326049.0
2025-07-28,294.69,296.015,290.92,292.39,1193704.0
2025-07-29,290.19,297.4,285.81,292.17,1808320.0
2025-07-30,289.81,298.71,287.46,297.86,2649670.0
2025-07-31,293.19,297.5,264.22,267.38,5452433.0
2025-08-01,269.49,271.0,256.89,262.23,3429121.0
2025-08-04,262.22,267.54,260.1201,266.59,2498437.0
2025-08-05,268.25,276.59,267.31,270.74,3150026.0
2025-08-06,270.78,274.6,266.29,269.96,2153953.0
2025-08-07,270.0,272.19,267.57,271.0,1964191.0
2025-08-08,270.0,275.64,269.99,274.9,1518326.0
2025-08-11,275.43,279.524,274.71,277.04,1609656.0
2025-08-12,275.06,281.731,274.76,280.47,1600559.0
2025-08-13,282.97,287.39,281.34,287.1,1410109.0
2025-08-14,281.36,291.995,281.11,290.35,1990826.0
2025-08-15,295.25,300.1799,293.92,296.86,2918171.0
2025-08-18,298.24,303.12,297.5,298.32,1961557.0
2025-08-19,299.05,302.59,298.0,302.11,1482105.0
2025-08-20,303.35,305.67,301.3,304.57,1588118.0
2025-08-21,304.39,305.2944,300.69,300.95,999198.0
2025-08-22,302.66,308.42,302.42,304.35,1127505.0
2025-08-25,304.14,304.14,298.78,300.76,1051852.0
2025-08-26,300.14,301.11,297.945,300.32,2487041.0
2025-08-27,301.28,301.59,298.28,299.95,994843.0
2025-08-28,299.15,299.5,294.86,299.0,1949222.0
2025-08-29,299.84,302.97,298.35,300.87,1588857.0
2025-09-02,301.28,306.34,300.14,300.72,1431170.0
2025-09-03,299.99,301.125,297.77,300.48,1514099.0
2025-09-04,299.26,304.04,296.28,304.03,1556491.0
2025-09-05,303.63,307.55,303.28,305.31,1157710.0
2025-09-08,306.59,306.59,299.26,300.89,1210091.0
2025-09-09,302.67,304.77,300.15,302.01,1230151.0
2025-09-10,300.65,303.9676,299.03,302.44,1574098.0
2025-09-11,304.48,307.58,303.0001,305.87,1443954.0
2025-09-12,304.73,308.3,302.61,302.76,1107074.0
2025-09-15,302.99,303.5,295.73,297.14,1053812.0
2025-09-16,297.25,298.76,292.32,294.21,1661168.0
2025-09-17,294.97,299.7,294.84,296.59,1256569.0
2025-09-18,296.21,297.24,293.255,293.76,1179598.0
2025-09-19,293.83,294.94,287.06,290.36,2573933.0
2025-09-22,290.1,290.1,287.36,288.62,1340262.0
2025-09-23,288.77,292.08,287.016,290.08,1447404.0
2025-09-24,288.72,292.499,288.72,291.43,1348490.0
2025-09-25,292.97,293.01,282.8,284.06,1571430.0
2025-09-26,285.27,286.78,284.66,286.17,1468578.0
2025-09-29,285.1,287.73,283.57,286.64,1218014.0
2025-09-30,286.82,292.45,286.45,288.25,1692845.0
2025-10-01,287.98,292.53,286.3666,291.65,1788285.0
2025-10-02,290.01,297.07,288.1,296.98,1699579.0
2025-10-03,296.775,315.47,295.95,311.0,2836998.0
2025-10-06,310.0,311.295,301.39,302.99,1555272.0
2025-10-07,302.79,309.25,302.79,307.14,1037937.0
2025-10-08,308.0,310.88,305.18,306.76,1172186.0
2025-10-09,307.69,312.18,305.125,306.13,1153887.0
2025-10-10,307.5,308.46,300.0,300.73,1108369.0
2025-10-13,298.75,301.3498,295.12,295.41,845793.0
2025-10-14,296.33,303.875,296.12,302.13,1073899.0
2025-10-15,299.29,301.17,292.08,294.57,986610.0
2025-10-16,294.02,296.25,289.71,291.07,1029038.0
2025-10-17,291.75,299.915,290.5163,299.27,1729881.0
2025-10-20,299.93,308.695,299.385,306.84,1608871.0
2025-10-21,306.51,309.595,304.11,307.5,1381152.0
2025-10-22,307.54,311.05,303.68,307.87,923345.0
2025-10-23,306.0,306.0,300.5,305.07,1214277.0
2025-10-24,306.43,306.43,300.08,301.78,1318276.0
2025-10-27,301.45,309.71,301.0,309.18,1374998.0
2025-10-28,309.63,311.34,306.235,308.41,1173587.0
2025-10-29,305.92,306.01,298.22,299.12,1992371.0
2025-10-30,265.0,273.32,245.61,247.1,9349022.0
2025-10-31,248.06,248.525,240.67,244.41,5144682.0
2025-11-03,242.74,261.06,239.51,258.62,5479629.0
2025-11-04,257.7,264.8,256.0,264.66,3686454.0
2025-11-05,261.46,266.18,259.465,259.58,3202224.0
2025-11-06,259.58,264.57,255.67,256.38,2882191.0
2025-11-07,257.0,265.88,255.5275,264.58,3025532.0
2025-11-10,261.1,263.585,256.52,258.16,2543365.0
2025-11-11,260.255,269.15,259.51,268.0,3298603.0
2025-11-12,266.5,276.14,266.5,270.61,2459758.0
2025-11-13,270.75,275.41,270.29,270.89,2678116.0
2025-11-14,272.0,273.6,267.69,269.66,1960476.0
2025-11-17,269.95,274.61,268.35,271.33,2003422.0
2025-11-18,270.2,274.21,268.28,272.61,2048275.0
2025-11-19,274.75,276.0,271.02,271.99,1732776.0
2025-11-20,271.41,274.4263,267.515,269.6,2005935.0
2025-11-21,271.61,280.09,270.22,278.09,1928691.0
2025-11-24,278.59,281.0,269.54,271.47,2640372.0
2025-11-25,273.69,280.19,271.24,278.2,1862085.0
2025-11-26,278.2,280.59,276.0,278.35,1103165.0
2025-11-28,278.94,280.24,277.0459,277.28,562880.0
2025-12-01,277.07,278.6926,273.27,273.57,1978681.0
2025-12-02,274.47,276.1199,271.31,274.1,1534571.0
2025-12-03,276.0,277.96,270.06,270.32,1925820.0
2025-12-04,270.0,272.09,266.51,268.42,1551557.0
2025-12-05,268.46,269.08,263.87,265.44,1095906.0
2025-12-08,265.44,265.495,258.27,263.54,2547039.0
2025-12-09,265.17,266.5,262.44,262.71,1160273.0
2025-12-10,262.16,264.15,261.25,262.6,1373664.0
2025-12-11,264.91,273.53,263.79,272.26,2084132.0
2025-12-12,273.86,275.27,272.4,274.7,1758829.0
2025-12-15,276.01,278.0,274.21,277.15,1713732.0
2025-12-16,277.49,277.68,274.68,276.11,1600233.0
2025-12-17,275.58,277.51,273.68,273.84,1681148.0
2025-12-18,273.13,275.53,270.62,274.0,1678890.0
2025-12-19,273.48,275.39,270.72,271.89,4195394.0
2025-12-22,268.99,275.74,268.8,275.6,1420101.0
2025-12-23,275.43,275.94,273.292,273.75,1013024.0
2025-12-24,274.0,275.71,272.56,274.86,578409.0
2025-12-26,275.16,276.775,273.94,276.51,760231.0
2025-12-29,277.0,277.8899,275.31,276.01,992389.0
2025-12-30,276.02,277.323,275.0,276.48,787666.0
2025-12-31,276.51,277.44,274.6,275.23,1200926.0
2026-01-02,276.66,280.5,274.0,279.12,1099441.0
2026-01-05,277.62,285.17,277.15,283.97,1499007.0
2026-01-06,284.94,289.03,280.755,284.76,1720031.0
2026-01-07,287.0,287.0,277.79,279.12,1947373.0
2026-01-08,280.31,286.73,279.51,283.91,1398780.0
2026-01-09,286.53,286.88,278.2,278.95,1696447.0
2026-01-12,279.5,279.5,270.56,276.02,1616634.0
2026-01-13,276.49,276.5,270.31,271.81,1014254.0
2026-01-14,272.19,276.67,270.96,271.0,1822650.0
2026-01-15,271.54,278.0,268.95,277.94,1656823.0
2026-01-16,276.32,276.96,270.77,272.21,1702745.0
2026-01-20,270.57,274.4799,268.36,271.24,1512812.0
2026-01-21,271.54,276.43,270.62,274.91,1212771.0
2026-01-22,274.75,280.73,274.26,280.39,1427792.0
2026-01-23,279.99,281.03,277.74,279.2,1024035.0
2026-01-26,279.5,281.49,277.1,280.41,1323995.0
2026-01-27,279.0,281.385,269.575,270.09,2225375.0
2026-01-28,268.9,273.58,265.75,272.38,1583530.0
2026-01-29,273.52,276.09,270.17,271.27,1554578.0
2026-01-30,271.51,274.11,268.45,274.11,1752652.0
2026-02-02,272.09,275.84,268.7575,271.54,1890562.0
2026-02-03,271.76,276.71,271.325,275.39,1419867.0
2026-02-04,269.8,281.87,269.16,271.71,4096185.0
2026-02-05,277.2,285.0,273.95,284.53,3927059.0
2026-02-06,283.72,297.8,283.5,292.05,2866219.0
2026-02-09,295.0,297.0,288.7,294.4,1731067.0
2026-02-10,296.65,296.8999,287.49,287.81,1814212.0
2026-02-11,286.95,296.36,283.195,294.73,2434199.0
2026-02-12,294.73,297.0,286.5,287.61,1412705.0
2026-02-13,287.63,293.32,287.63,291.44,1071688.0
2026-02-17,294.43,297.25,289.41,290.71,1048203.0
2026-02-18,290.34,292.1299,287.61,290.12,932766.0
2026-02-19,290.01,290.01,285.29,285.92,830393.0
2026-02-20,285.64,286.235,277.16,280.31,1943672.0
2026-02-23,279.1,284.36,278.7201,283.18,1632388.383862
2026-02-24,283.51,284.72,277.17,281.0,2287638.180219
2026-02-25,283.82,287.09,281.825,284.44,1759538.83989
2026-02-26,286.75,289.59,285.86,288.82,1215720.548314
2026-02-27,287.78,290.38,284.715,289.82,2245831.432712
2026-03-02,288.91,292.32,287.4,290.85,1295479.516935
2026-03-03,283.0,286.43,271.7838,283.93,2673700.322979
2026-03-04,281.1,285.91,280.8,284.74,1422117.667382
2026-03-05,280.84,282.59,279.1101,281.27,1577814.702544
2026-03-06,282.39,282.39,267.77,271.63,2109160.364371
2026-03-09,268.67,271.25,264.47,269.66,1677709.296318
2026-03-10,269.87,270.0,262.02,262.44,2045240.882409
2026-03-11,262.41,263.55,258.14,260.87,2058027.52353
2026-03-12,263.28,268.88,263.08,265.88,2086570.359059
2026-03-13,270.0,270.965,265.36,267.19,1331753.027815
2026-03-16,268.81,269.84,266.02,268.35,1166246.149453
2026-03-17,270.67,271.6,261.135,263.47,2092625.733336
2026-03-18,262.99,268.59,259.21,264.61,1650542.686909
2026-03-19,266.44,268.705,263.33,264.57,1522563.62805
2026-03-20,263.28,266.175,261.01,262.84,3839946.873497
2026-03-23,265.21,265.5,259.0,261.49,2044862.22968
2026-03-24,262.02,266.76,260.605,265.87,1319794.113762
2026-03-25,266.37,270.95,264.29,270.36,1771939.459852
2026-03-26,269.85,273.11,269.85,272.08,1676944.036462
2026-03-27,271.79,271.79,259.82,261.96,2261616.532713
2026-03-30,264.03,264.79,257.85,258.08,2392978.609447
2026-03-31,259.5,267.0,258.01,266.75,1509517.100034
2026-04-01,266.55,268.91,265.27,267.32,1158030.1432
2026-04-02,267.48,271.19,265.6501,270.02,904639.239225
2026-04-06,271.19,276.64,269.635,275.69,1045078.164205
2026-04-07,278.36,279.0,272.67,274.25,1515302.507933
2026-04-08,275.96,277.79,272.475,277.56,1067747.951654
2026-04-09,275.93,279.36,275.785,278.45,908052.436302
2026-04-10,277.87,278.41,271.15,271.25,906749.882417
2026-04-13,270.03,275.14,269.01,275.12,1173171.499292
2026-04-14,273.86,276.3,271.51,272.6,939526.787272
2026-04-15,270.97,271.5347,264.895,268.63,1887345.446755
2026-04-16,270.59,276.47,269.79,276.37,1270731.398179
2026-04-17,275.55,279.9299,274.81,278.64,1899095.037556
2026-04-20,279.78,281.0,278.11,279.92,1271621.85528
2026-04-21,284.0,285.67,275.91,276.69,1974996.678283
2026-04-22,277.04,280.82,274.68,274.7,1357902.248159
2026-04-23,276.27,280.36,275.42,279.72,1694581.394837
2026-04-24,279.33,280.21,272.33,275.64,1594748.531407
2026-04-27,275.31,284.435,275.31,282.58,1468039.573401
2026-04-28,284.67,288.9,284.29,284.92,1800166.06584
2026-04-29,283.365,293.26,283.365,292.32,2120362.167287
2026-04-30,293.77,293.77,280.12,290.58,2412480.784096
2026-05-01,289.08,290.14,281.31,282.9,1520049.400074
2026-05-04,283.0,284.05,277.41,279.35,1597990.676668
2026-05-05,279.24,280.775,274.01,275.66,1840354.701065
2026-05-06,276.52,284.82,275.76,281.98,2579184.201596
2026-05-07,283.3,285.57,280.745,284.04,1201206.90903
2026-05-08,285.67,288.47,283.8,288.06,1659409.021765
2026-05-11,290.39,293.0,287.0,289.07,1695802.864444
2026-05-12,290.0,298.71,286.43,298.49,2291545.927109
2026-05-13,298.29,303.33,296.51,300.71,2224480.449515
2026-05-14,300.9,300.9,294.22,294.93,1409764.340646
2026-05-15,294.0,296.27,284.91,285.27,2178005.139515
2026-05-18,286.24,290.32,283.74,286.69,1375062.598784
2026-05-19,286.08,293.25,281.33,291.28,1259694.025014
2026-05-20,291.27,292.36,283.0,283.1,1291839.662319
2026-05-21,281.52,285.48,279.6749,282.02,1158419.749085
2026-05-22,284.08,286.555,281.96,286.24,1435101.590168
2026-05-26,283.0,284.24,279.67,280.83,2321896.895738
2026-05-27,281.5,286.64,281.09,285.75,1422944.841339
2026-05-28,286.13,288.67,284.0,284.33,1531892.419185
2026-05-29,284.2,287.3142,276.14,277.4,2400177.743597
2026-06-01,275.62,277.98,273.07,274.19,1078030.697182
2026-06-02,273.7,277.08,271.46,272.72,1300450.115838
2026-06-03,272.49,274.76,270.425,270.73,1408497.256556
2026-06-04,277.0,284.12,275.56,280.68,2551090.367668
2026-06-05,283.0,290.32,283.0,289.48,1704089.501791
2026-06-08,287.51,291.4,286.26,289.61,1512319.338347
2026-06-09,290.8,295.04,289.38,295.0,1685635.380831
2026-06-10,298.0,298.0,290.39,295.81,1472406.24259
2026-06-11,296.87,297.22,293.4,294.84,1132600.188037
2026-06-12,296.22,299.27,295.25,298.0,1324122.509454
2026-06-15,296.6,298.0,291.49,293.83,1125096.543827
2026-06-16,295.68,295.72,288.373,291.88,1081956.23467
2026-06-17,290.13,291.145,284.11,285.09,1047636.332374
2026-06-18,284.83,286.1899,279.2,279.27,2445956.811066
2026-06-22,282.26,284.25,279.39,282.08,1498645.370464
2026-06-23,286.73,286.73,281.04,283.08,1402169.580013
2026-06-24,283.64,283.64,275.29,279.46,2698140.843955
2026-06-25,278.9,285.5,278.9,281.87,1264262.617101
2026-06-26,284.16,289.0,280.71,282.79,3279723.47208
