date,open,high,low,close,volume
2025-04-24,62.74,64.98,62.42,64.29,984715.0
2025-04-25,64.2,66.035,63.985,65.94,1600991.0
2025-04-28,65.41,67.49,65.41,66.48,1696808.0
2025-04-29,66.36,67.555,66.19,67.36,1264931.0
2025-04-30,65.06,67.26,64.705,67.16,1739132.0
2025-05-01,69.5,72.73,69.06,71.43,3039417.0
2025-05-02,72.23,73.85,72.23,72.85,1854237.0
2025-05-05,71.68,73.93,71.3,72.91,1375564.0
2025-05-06,70.9,73.11,70.667,72.66,1158903.0
2025-05-07,72.63,73.85,71.9,73.34,1710880.0
2025-05-08,74.47,75.68,73.685,74.78,1581285.0
2025-05-09,75.38,75.81,73.71,74.74,882241.0
2025-05-12,78.58,79.6723,77.16,79.01,1514686.0
2025-05-13,79.05,81.41,78.625,80.59,1438609.0
2025-05-14,80.98,81.48,78.84,79.53,1876317.0
2025-05-15,78.67,80.5611,78.46,79.8,1405950.0
2025-05-16,80.08,81.3,79.445,81.24,1271816.0
2025-05-19,79.5,81.339,79.0001,80.99,761832.0
2025-05-20,80.9,81.09,80.26,81.05,761586.0
2025-05-21,79.93,82.21,79.6,79.92,1249013.0
2025-05-22,80.18,81.25,79.665,80.12,929164.0
2025-05-23,78.01,80.53,77.14,80.22,705328.0
2025-05-27,83.13,83.49,81.67,82.35,1354091.0
2025-05-28,82.65,83.05,81.86,82.7,1301109.0
2025-05-29,83.19,83.4,81.44,81.55,1122030.0
2025-05-30,80.14,80.665,78.45,80.06,2302904.0
2025-06-02,80.15,81.75,79.27,81.75,2591345.0
2025-06-03,82.42,83.34,81.05,83.26,2690754.0
2025-06-04,84.67,86.21,83.24,83.89,4094893.0
2025-06-05,76.85,79.51,70.77,73.05,11621308.0
2025-06-06,73.88,74.44,71.75,72.72,3207199.0
2025-06-09,73.03,74.62,71.7,72.46,3397530.0
2025-06-10,72.73,73.1,70.85,72.44,3878773.0
2025-06-11,72.95,73.25,71.52,72.22,2769232.0
2025-06-12,71.52,74.2,71.52,74.13,2160924.0
2025-06-13,72.72,73.67,71.72,72.16,1845237.0
2025-06-16,72.6,74.93,72.5559,73.76,1854400.0
2025-06-17,73.02,74.55,72.96,73.45,1566453.0
2025-06-18,74.14,74.75,73.23,73.82,1496917.0
2025-06-20,74.43,75.56,73.96,74.53,2813684.0
2025-06-23,73.96,75.72,73.55,75.44,2061647.0
2025-06-24,77.0,79.87,76.06,79.35,2945273.0
2025-06-25,79.75,80.24,78.35,79.43,1821743.0
2025-06-26,80.06,82.45,79.786,81.51,3138911.0
2025-06-27,81.93,82.41,80.7001,82.12,3397430.0
2025-06-30,82.94,83.28,81.25,81.33,1822869.0
2025-07-01,80.5,81.36,79.07,80.11,2042655.0
2025-07-02,79.16,80.07,78.09,79.52,3045227.0
2025-07-03,79.76,81.84,79.76,81.38,1082538.0
2025-07-07,80.81,81.265,79.405,80.13,1591007.0
2025-07-08,77.25,79.88,77.11,78.66,3457846.0
2025-07-09,79.21,79.875,78.29,79.33,1330316.0
2025-07-10,79.74,79.74,77.4,78.45,2332698.0
2025-07-11,77.98,78.29,77.1,77.75,1638173.0
2025-07-14,77.48,81.47,76.89,81.42,3647286.0
2025-07-15,82.57,83.21,81.38,82.61,3086079.0
2025-07-16,82.87,84.44,80.83,84.12,2534212.0
2025-07-17,84.65,85.4,83.9,84.81,1760606.0
2025-07-18,85.13,85.63,84.3295,84.98,1784662.0
2025-07-21,84.5,85.875,83.4,85.47,1162854.0
2025-07-22,85.75,85.7733,83.2,84.36,1680304.0
2025-07-23,84.95,87.29,84.38,86.75,1503625.0
2025-07-24,87.01,87.669,86.38,87.19,1708775.0
2025-07-25,87.68,88.92,86.84,88.6,1116062.0
2025-07-28,88.75,90.76,88.245,90.55,1136530.0
2025-07-29,92.0,93.48,90.8099,91.07,2215518.0
2025-07-30,91.4,93.01,91.165,92.95,1426233.0
2025-07-31,94.01,95.51,92.785,92.84,1980277.0
2025-08-01,90.16,90.68,87.3,88.63,2151943.0
2025-08-04,89.42,92.895,88.65,92.67,1434312.0
2025-08-05,93.02,93.12,90.47,91.49,1470727.0
2025-08-06,92.61,94.34,91.65,94.31,1363498.0
2025-08-07,95.07,95.8,93.435,95.18,1216389.0
2025-08-08,96.0,96.43,94.63,95.06,2021378.0
2025-08-11,94.75,95.71,93.16,93.38,1409376.0
2025-08-12,93.58,96.56,93.495,96.4,1488541.0
2025-08-13,97.0,98.19,94.08,94.66,1547894.0
2025-08-14,92.88,93.4,89.09,91.42,2612707.0
2025-08-15,90.94,91.7,89.52,90.87,1478835.0
2025-08-18,90.46,92.21,90.1,91.93,1077649.0
2025-08-19,91.01,91.365,88.45,88.77,1593822.0
2025-08-20,87.87,88.0,84.41,86.64,1889743.0
2025-08-21,86.34,87.625,86.0,87.36,1496080.0
2025-08-22,87.54,90.45,87.245,89.81,1971325.0
2025-08-25,90.12,91.12,89.41,90.74,1663773.0
2025-08-26,91.09,92.52,90.65,91.49,1187162.0
2025-08-27,91.43,94.035,91.43,92.74,1657631.0
2025-08-28,93.0,98.88,92.865,97.89,2790447.0
2025-08-29,97.25,97.545,93.47,93.97,2230701.0
2025-09-02,92.68,93.61,90.0,93.59,2702432.0
2025-09-03,93.74,95.21,92.46,94.82,5741194.0
2025-09-04,115.0,122.0,110.9,116.92,11296480.0
2025-09-05,115.86,117.06,113.6601,116.69,4410394.0
2025-09-08,118.45,120.1786,117.02,119.0,2593260.0
2025-09-09,119.0,122.27,117.935,122.19,2132139.0
2025-09-10,123.81,131.4,123.65,129.86,3432065.0
2025-09-11,131.0,134.31,130.0,132.5,3381503.0
2025-09-12,132.22,133.28,130.13,131.28,2778218.0
2025-09-15,132.0,138.35,131.45,135.9,3375837.0
2025-09-16,136.39,137.64,133.94,137.48,2906967.0
2025-09-17,139.55,139.55,132.9332,136.38,3196798.0
2025-09-18,138.7,139.74,137.45,138.04,2048119.0
2025-09-19,137.71,138.96,136.07,138.37,3153562.0
2025-09-22,138.06,139.44,136.33,139.31,2613193.0
2025-09-23,139.85,141.43,138.13,139.48,2846229.0
2025-09-24,139.38,140.205,136.0401,138.42,2367329.0
2025-09-25,134.51,137.61,133.67,137.17,2808129.0
2025-09-26,140.24,143.79,138.12,141.93,3796081.0
2025-09-29,145.81,146.51,143.0,144.12,2318615.0
2025-09-30,144.52,146.53,143.755,145.67,2088155.0
2025-10-01,144.235,151.89,143.19,151.72,3107595.0
2025-10-02,153.23,153.61,148.02,152.66,2280349.0
