date,open,high,low,close,volume
2025-04-24,49.2,50.6057,48.4,49.54,29453282.0
2025-04-25,49.5,52.02,49.27,51.78,26671899.0
2025-04-28,51.94,52.51,50.72,50.9,18142897.0
2025-04-29,50.62,51.01,49.86,50.65,12111587.0
2025-04-30,49.81,50.54,49.13,50.52,13763549.0
2025-05-01,50.72,50.98,50.12,50.32,11811429.0
2025-05-02,50.95,51.78,50.865,51.56,9059037.0
2025-05-05,51.05,51.115,49.98,50.01,11398680.0
2025-05-06,49.575,50.92,49.51,50.36,9758715.0
2025-05-07,50.535,51.895,50.24,51.64,11360588.0
2025-05-08,51.7,52.165,51.36,51.45,12471742.0
2025-05-09,51.27,51.27,49.41,49.72,16064237.0
2025-05-12,51.15,51.16,50.19,50.76,15890586.0
2025-05-13,50.78,51.33,50.21,50.65,12936261.0
2025-05-14,50.65,52.685,50.65,52.24,14023620.0
2025-05-15,51.86,52.38,51.62,52.04,10315483.0
2025-05-16,52.03,52.45,51.37,52.32,10856474.0
2025-05-19,51.81,52.56,51.77,52.27,7753313.0
2025-05-20,51.91,52.18,51.3625,51.47,8583381.0
2025-05-21,51.0,51.18,50.67,50.79,11217705.0
2025-05-22,50.73,50.93,50.22,50.78,9736215.0
2025-05-23,50.1,50.83,50.1,50.63,9335259.0
2025-05-27,51.19,51.4254,50.78,50.99,11484700.0
2025-05-28,51.07,51.2,49.835,50.07,10728111.0
2025-05-29,50.2,50.58,49.67,49.73,7993804.0
2025-05-30,49.71,50.335,49.31,50.08,14827405.0
2025-06-02,49.7,49.89,48.72,49.84,11426722.0
2025-06-03,49.73,50.465,49.13,50.07,13435851.0
2025-06-04,50.21,52.39,50.07,52.16,17875987.0
2025-06-05,52.45,53.855,52.19,52.6,19104717.0
2025-06-06,52.89,53.12,52.27,52.5,9387308.0
2025-06-09,52.5,52.5,51.05,51.13,10212689.0
2025-06-10,51.2,51.39,50.29,50.62,13994586.0
2025-06-11,50.82,52.16,50.76,51.79,12380799.0
2025-06-12,51.91,51.99,50.84,50.89,10220043.0
2025-06-13,50.285,50.7436,49.965,50.24,9307675.0
2025-06-16,50.61,53.085,50.57,52.54,15203673.0
2025-06-17,52.25,52.65,51.08,51.38,9999138.0
2025-06-18,51.5,52.38,51.36,51.83,8845488.0
2025-06-20,52.015,52.96,51.64,52.78,16810352.0
2025-06-23,52.775,53.81,52.19,53.78,15723447.0
2025-06-24,54.2,54.99,54.16,54.65,11490034.0
2025-06-25,54.93,55.325,54.63,55.14,10443359.0
2025-06-26,54.85,55.08,53.38,54.27,13125049.0
2025-06-27,54.195,55.245,54.18,55.05,14969919.0
2025-06-30,55.005,56.44,55.005,56.15,15307421.0
2025-07-01,56.165,58.335,56.165,58.24,21803810.0
2025-07-02,58.14,58.42,56.525,56.77,14399316.0
2025-07-03,56.97,57.25,56.72,57.07,10384051.0
2025-07-07,56.68,56.71,54.785,55.46,14068518.0
2025-07-08,55.49,55.83,54.735,55.45,9939240.0
2025-07-09,55.65,56.05,55.08,55.94,8640878.0
2025-07-10,56.46,57.04,56.075,56.41,10338712.0
2025-07-11,56.26,56.31,55.5,56.0,8285678.0
2025-07-14,55.72,55.75,54.26,54.82,12636100.0
2025-07-15,54.95,55.14,53.94,53.95,8718869.0
2025-07-16,54.07,54.21,53.13,53.38,11712927.0
2025-07-17,53.62,54.05,52.52,53.54,10968733.0
2025-07-18,54.215,54.29,53.49,53.93,9518132.0
2025-07-21,54.13,54.2,52.44,52.46,14140094.0
2025-07-22,52.67,52.98,51.53,52.38,15930314.0
2025-07-23,52.45,53.03,52.16,52.78,20980487.0
2025-07-24,46.2,47.02,45.13,45.74,77860670.0
2025-07-25,45.9,47.18,45.76,46.76,33814927.0
2025-07-28,46.56,46.61,44.86,44.86,32072008.0
2025-07-29,44.72,44.83,44.12,44.38,28369134.0
2025-07-30,44.43,44.54,43.63,43.76,28442210.0
2025-07-31,43.51,43.905,42.825,42.88,26262822.0
2025-08-01,42.61,43.1497,42.46,42.52,19124230.0
