date,open,high,low,close,volume
2025-04-24,88.11,92.07,87.53,91.35,5149285.0
2025-04-25,92.51,93.38,91.77,92.44,5629792.0
2025-04-28,92.45,93.68,92.35,93.04,6238486.0
2025-04-29,93.0,93.75,91.345,93.46,4159532.0
2025-04-30,92.81,95.61,92.1302,95.42,5809764.0
2025-05-01,96.79,97.82,96.24,96.28,4745656.0
2025-05-02,97.93,99.12,97.2301,98.51,4690437.0
2025-05-05,97.71,98.67,97.15,98.25,5744105.0
2025-05-06,94.375,95.62,93.79,93.95,8254272.0
2025-05-07,94.53,94.63,91.42,91.82,8987156.0
2025-05-08,93.0,95.14,92.44,93.94,4921281.0
2025-05-09,94.42,94.864,93.761,94.59,3783524.0
2025-05-12,98.89,100.01,97.555,98.73,5831614.0
2025-05-13,99.7,100.41,97.98,98.16,6100742.0
2025-05-14,99.4,99.4,97.31,97.47,3309090.0
2025-05-15,96.3,97.9,96.3,97.83,3222609.0
2025-05-16,97.6,99.08,97.435,98.94,3180814.0
2025-05-19,97.19,98.79,96.72,98.65,4834861.0
2025-05-20,98.58,98.62,96.61,96.72,3791990.0
2025-05-21,96.06,96.79,94.98,95.08,4773881.0
2025-05-22,94.02,95.82,93.7,95.16,3116800.0
2025-05-23,92.97,94.75,92.8,94.09,5235921.0
2025-05-27,95.12,95.7,94.56,95.21,3933185.0
2025-05-28,94.48,94.7,91.801,91.96,3420256.0
2025-05-29,92.68,92.745,91.13,91.96,5640309.0
2025-05-30,90.23,91.42,89.29,91.16,8756709.0
2025-06-02,90.64,91.0,88.85,90.99,4916983.0
2025-06-03,90.56,91.76,90.35,91.12,3891250.0
2025-06-04,91.31,91.79,90.82,90.88,2878246.0
2025-06-05,92.06,93.22,90.745,92.8,3750352.0
2025-06-06,93.42,93.71,92.01,92.54,2151455.0
2025-06-09,92.33,93.53,91.92,93.18,3466499.0
2025-06-10,93.26,93.76,92.42,92.9,3236576.0
2025-06-11,93.14,93.24,90.675,91.08,3900950.0
2025-06-12,90.59,93.42,90.36,92.61,3435954.0
2025-06-13,89.835,91.39,89.69,90.04,2528086.0
2025-06-16,90.89,91.72,90.19,90.51,3927974.0
2025-06-17,90.61,90.65,89.58,89.81,2589653.0
2025-06-18,89.0,90.79,88.92,89.03,3825483.0
