date,open,high,low,close,volume
2025-04-24,96.5,103.7121,96.5,103.5125,18499688.0
2025-04-25,103.6725,106.4338,103.15,106.22,13342172.0
2025-04-28,106.21,107.0,103.8325,105.77,11194832.0
2025-04-29,106.1225,108.0925,105.77,107.7475,9628380.0
2025-04-30,104.7525,107.3875,103.6025,107.2175,12748808.0
2025-05-01,107.8775,109.9075,106.9375,107.97,12320384.0
2025-05-02,109.545,110.925,108.6,110.145,10834824.0
2025-05-05,109.0,112.7875,108.8511,110.8675,13124060.0
2025-05-06,108.0505,111.875,107.6425,110.8025,13724616.0
2025-05-07,106.355,107.46,104.2655,105.63,26717808.0
2025-05-08,106.8713,108.2266,106.18,107.1575,14475948.0
2025-05-09,104.7363,105.0,101.1575,102.6425,18773368.0
2025-05-12,104.9225,107.3675,103.775,107.36,13114072.0
2025-05-13,107.0525,112.0,106.75,110.05,14938324.0
2025-05-14,110.625,111.3675,107.815,108.985,11389108.0
2025-05-15,105.8975,108.465,105.5225,107.96,10127748.0
2025-05-16,108.9675,110.2225,107.955,109.815,8533736.0
2025-05-19,108.1075,111.375,107.9225,111.0875,8062228.0
2025-05-20,110.4725,110.7525,109.1738,110.5625,8530536.0
2025-05-21,109.2,112.6675,108.015,108.685,17284224.0
2025-05-22,107.6788,112.22,107.5,111.0175,10363576.0
2025-05-23,109.625,114.9825,109.35,113.8975,17951056.0
2025-05-27,116.0,118.5575,114.9,118.055,15988660.0
2025-05-28,118.2463,118.3525,116.495,117.2075,11573764.0
2025-05-29,118.0,118.1225,113.3563,114.7025,13313916.0
2025-05-30,115.5075,118.28,114.1913,117.8425,17954752.0
2025-06-02,117.75,119.9925,116.3813,119.7925,13933744.0
2025-06-03,120.1913,122.8,119.3625,122.19,30528608.0
2025-06-04,113.6875,117.7375,111.315,115.14,61814336.0
2025-06-05,115.5813,117.15,113.1775,115.735,24755288.0
2025-06-06,115.78,119.6165,115.78,117.1025,17371828.0
2025-06-09,117.5775,117.9425,114.532,116.0975,10898548.0
2025-06-10,116.3725,117.5025,114.3075,116.9125,9889808.0
2025-06-11,116.505,119.985,116.3879,119.245,11026164.0
2025-06-12,118.505,122.184,118.25,120.4325,14080628.0
2025-06-13,118.75,121.3737,118.265,120.155,10442720.0
2025-06-16,120.46,121.865,119.32,119.8475,10841220.0
2025-06-17,119.8625,123.3,118.5,123.0075,13594628.0
2025-06-18,122.6775,122.6775,119.705,121.29,11321140.0
2025-06-20,121.135,122.5,118.5725,119.075,20732272.0
2025-06-23,117.6888,123.575,115.3775,122.9525,17726916.0
2025-06-24,122.725,123.375,120.28,121.345,14533912.0
2025-06-25,122.02,125.1025,121.8863,123.5225,11830508.0
2025-06-26,124.27,126.5875,123.5225,126.305,12068140.0
2025-06-27,126.1475,126.3425,123.8925,124.8325,13865152.0
2025-06-30,125.6563,127.505,124.93,127.3275,10811348.0
2025-07-01,127.3425,129.155,120.375,123.0175,16356216.0
2025-07-02,122.75,124.125,122.2859,124.025,8452948.0
2025-07-03,124.9975,129.495,124.9975,128.525,10616104.0
2025-07-07,126.925,127.0388,124.7275,126.365,13077580.0
2025-07-08,126.91,127.3461,124.435,126.9275,8573304.0
2025-07-09,128.0,128.48,126.76,128.3775,7477192.0
2025-07-10,128.2475,128.625,121.6425,121.7775,16754060.0
2025-07-11,122.0,122.3316,119.3675,119.6125,13537464.0
2025-07-14,116.705,120.1792,115.875,119.045,13361936.0
2025-07-15,119.7725,120.18,117.63,118.32,10116496.0
2025-07-16,118.955,119.1625,116.2088,117.6125,7931752.0
2025-07-17,117.5875,118.5775,116.735,117.4575,9026536.0
2025-07-18,118.0775,119.315,116.44,118.99,11613572.0
2025-07-21,119.6788,122.51,118.5275,120.395,13664608.0
2025-07-22,120.375,121.364,117.5,117.8075,7902260.0
