date,open,high,low,close,volume
2025-05-08,28.57,29.19,28.3311,28.96,13770267.0
2025-05-09,28.92,29.17,28.655,28.74,9630192.0
2025-05-12,29.98,30.56,29.75,30.31,15707678.0
2025-05-13,30.33,30.72,30.25,30.54,16825346.0
2025-05-14,30.43,31.12,30.32,31.03,21883792.0
2025-05-15,30.96,31.42,30.86,31.3,15563370.0
2025-05-16,31.265,31.4,31.03,31.32,11394258.0
2025-05-19,31.09,31.23,30.98,31.21,10553640.0
2025-05-20,31.02,31.35,31.02,31.23,14966209.0
2025-05-21,31.12,31.12,30.43,30.49,13769291.0
2025-05-22,30.52,30.88,30.32,30.64,18430537.0
2025-05-23,30.26,30.96,30.17,30.82,21149214.0
2025-05-27,31.1,31.575,30.93,31.43,17934918.0
2025-05-28,31.5,31.67,31.32,31.34,13834454.0
2025-05-29,31.47,31.6575,31.21,31.42,15013340.0
2025-05-30,31.26,31.77,31.18,31.59,22998720.0
2025-06-02,31.38,31.4225,30.85,31.24,25167762.0
2025-06-03,31.24,31.905,31.15,31.86,18163200.0
2025-06-04,31.84,32.06,31.655,31.93,13669376.0
2025-06-05,31.91,31.92,31.64,31.74,11821446.0
2025-06-06,31.97,32.35,31.97,32.23,16163901.0
2025-06-09,32.335,32.38,31.91,31.98,14841693.0
2025-06-10,32.115,33.09,31.92,32.61,24562852.0
2025-06-11,32.59,32.65,32.155,32.32,12114177.0
2025-06-12,32.235,32.4,31.99,32.39,9380522.0
2025-06-13,32.28,32.475,32.025,32.12,9032825.0
2025-06-16,32.235,32.615,32.155,32.56,11703836.0
2025-06-17,32.49,32.52,32.04,32.12,12951509.0
2025-06-18,32.185,32.52,32.08,32.24,12808443.0
2025-06-20,32.43,32.475,31.835,32.06,31011224.0
2025-06-23,32.19,32.48,31.94,32.42,12350480.0
2025-06-24,32.415,32.6,32.29,32.48,12913898.0
2025-06-25,32.46,32.52,32.1,32.49,11235069.0
2025-06-26,32.6,32.8,32.445,32.57,12448041.0
2025-06-27,32.58,32.98,32.455,32.91,20445474.0
2025-06-30,32.8,32.81,32.56,32.63,12112571.0
2025-07-01,32.74,33.82,32.63,33.47,12863090.0
2025-07-02,33.445,33.7,33.32,33.61,8596867.0
2025-07-03,33.61,33.765,33.53,33.6,5638784.0
2025-07-07,33.49,33.59,32.9735,33.05,11868849.0
2025-07-08,33.11,33.62,32.98,33.39,11249678.0
2025-07-09,33.43,33.48,33.16,33.33,9174756.0
2025-07-10,33.28,33.98,33.2125,33.54,9782589.0
2025-07-11,33.4,34.59,33.28,34.1,27261965.0
2025-07-14,33.94,34.17,33.645,33.98,15304121.0
2025-07-15,33.92,34.06,33.45,33.48,16506337.0
2025-07-16,33.59,33.7,33.12,33.26,11556326.0
