date,open,high,low,close,volume
2025-04-24,70.72,72.33,70.69,72.12,4130320.0
2025-04-25,71.83,72.47,71.5,72.17,2906588.0
2025-04-28,72.06,73.34,71.715,72.58,3363998.0
2025-04-29,72.11,73.83,71.8601,73.29,3471076.0
2025-04-30,72.56,73.75,71.8,73.57,4769108.0
2025-05-01,76.71,77.47,75.15,75.23,7356545.0
2025-05-02,76.29,77.84,76.09,77.7,5330494.0
2025-05-05,77.37,78.75,77.345,77.91,3028673.0
2025-05-06,77.12,78.24,76.7465,77.64,2491921.0
2025-05-07,77.75,78.37,77.23,77.93,3682989.0
2025-05-08,78.55,80.03,78.32,79.21,2870544.0
2025-05-09,79.29,79.75,78.98,79.17,3665803.0
2025-05-12,81.44,81.89,80.6,81.81,3264292.0
2025-05-13,81.82,82.04,81.075,81.27,2732310.0
2025-05-14,80.87,81.06,80.15,80.36,2504368.0
2025-05-15,80.32,81.78,80.005,81.36,2911782.0
2025-05-16,80.47,81.5,79.52,81.44,5603561.0
2025-05-19,80.88,81.92,80.23,81.57,2585381.0
2025-05-20,81.37,81.63,80.675,80.99,2790109.0
2025-05-21,80.41,81.24,79.9,79.99,3562081.0
2025-05-22,79.88,80.67,79.25,79.9,2917487.0
2025-05-23,78.92,79.475,78.48,79.12,2243158.0
2025-05-27,80.05,80.82,79.48,80.64,2752715.0
2025-05-28,80.64,80.98,80.195,80.46,2445197.0
2025-05-29,80.82,81.0,79.91,80.65,2837221.0
2025-05-30,80.33,81.2293,79.9,80.99,9241307.0
2025-06-02,80.24,80.33,79.4656,80.27,3201966.0
2025-06-03,80.27,80.66,79.94,80.32,3873910.0
2025-06-04,80.3,80.675,79.735,79.74,2106941.0
2025-06-05,80.07,80.28,79.1,79.32,3195555.0
2025-06-06,80.03,80.47,79.765,80.28,2510415.0
2025-06-09,80.28,81.03,80.11,80.47,2385975.0
2025-06-10,80.61,81.51,80.61,81.05,1851527.0
2025-06-11,81.27,81.49,80.37,80.65,2763698.0
2025-06-12,80.23,80.745,79.95,80.46,1930377.0
2025-06-13,79.76,80.005,78.755,78.95,2469269.0
2025-06-16,79.35,80.25,79.35,80.15,5398650.0
2025-06-17,79.88,80.6,79.55,79.71,2798625.0
2025-06-18,79.85,79.9072,78.845,79.14,2915885.0
2025-06-20,79.19,79.19,75.25,75.47,11686498.0
2025-06-23,75.8,76.78,75.41,76.72,4741532.0
2025-06-24,77.35,77.715,76.79,77.59,4588468.0
2025-06-25,77.82,78.09,76.795,76.98,2314260.0
2025-06-26,77.39,77.95,77.13,77.59,2957023.0
2025-06-27,77.59,78.2,76.89,77.74,3968900.0
2025-06-30,77.79,78.315,77.56,78.03,2704652.0
2025-07-01,78.03,80.79,77.875,80.44,4900490.0
2025-07-02,80.3,80.53,79.305,80.25,3594600.0
2025-07-03,80.46,81.315,80.02,80.98,1777059.0
2025-07-07,80.93,81.605,80.2,80.46,2091380.0
2025-07-08,80.65,81.475,80.35,80.71,1965829.0
2025-07-09,80.9,81.04,79.4025,79.95,1935957.0
2025-07-10,79.26,79.445,76.41,76.73,4752287.0
2025-07-11,76.19,76.51,75.29,75.36,2673338.0
2025-07-14,75.31,75.89,74.8896,75.39,2598363.0
