date,open,high,low,close,volume
2025-04-24,44.524,47.357,44.0,47.004,18909650.0
2025-04-25,47.058,48.558,46.872,47.43,14743755.0
2025-04-28,47.808,48.686,47.108,48.306,12659860.0
2025-04-29,48.148,48.8452,47.402,48.718,8405835.0
2025-04-30,46.84,48.952,45.88,48.87,13363040.0
2025-05-01,49.6,52.834,49.0,50.374,21902200.0
2025-05-02,50.88,51.764,50.1778,51.42,10990465.0
2025-05-05,50.896,52.5048,50.764,51.914,10658475.0
2025-05-06,51.0,52.1949,50.698,51.762,15964115.0
2025-05-07,51.356,52.6,51.158,51.834,28959240.0
2025-05-08,55.14,58.724,54.0,57.106,46078940.0
2025-05-09,56.268,56.8456,53.522,53.624,40750080.0
2025-05-12,55.703,55.974,53.436,55.924,20470440.0
2025-05-13,56.112,59.8,55.6981,58.612,29444590.0
2025-05-14,59.456,62.376,59.336,61.104,32416690.0
2025-05-15,60.528,60.802,58.746,59.48,16473240.0
2025-05-16,59.95,60.828,58.844,59.978,18386290.0
2025-05-19,58.9,61.396,58.612,61.042,18793160.0
2025-05-20,60.38,60.5242,58.622,60.458,19685605.0
2025-05-21,58.834,59.698,58.26,58.418,20124820.0
2025-05-22,58.398,60.878,58.0,60.45,18242090.0
2025-05-23,59.5,61.608,59.018,60.822,12747095.0
2025-05-27,62.274,62.668,60.958,62.582,15545430.0
2025-05-28,63.3799,64.626,62.6,64.062,17552280.0
2025-05-29,64.714,64.714,63.132,63.93,10479215.0
2025-05-30,63.615,65.55,63.238,65.432,22306055.0
2025-06-02,65.248,66.4,63.282,66.288,18191475.0
2025-06-03,67.0,68.188,66.46,68.024,17254340.0
2025-06-04,67.792,69.462,67.018,69.128,18411245.0
2025-06-05,68.804,69.7348,67.702,68.66,19850645.0
2025-06-06,69.556,70.286,67.834,68.292,14958535.0
2025-06-09,67.38,68.5,65.802,67.982,16807855.0
2025-06-10,68.444,69.019,66.098,67.7,11977345.0
2025-06-11,67.886,68.53,66.658,68.064,10409035.0
2025-06-12,67.166,67.506,63.55,63.79,23711205.0
2025-06-13,61.274,62.6,59.078,59.406,33061045.0
2025-06-16,60.411,60.884,56.734,58.01,25567760.0
2025-06-17,57.7,59.0938,57.7,58.796,16944485.0
2025-06-18,58.24,61.74,58.18,61.582,17645640.0
2025-06-20,62.54,64.3,61.6485,63.978,26397155.0
2025-06-23,63.06,64.676,61.666,64.016,13302710.0
2025-06-24,65.03,65.64,64.3336,64.594,12961890.0
2025-06-25,65.034,65.354,62.356,63.152,9881485.0
2025-06-26,63.258,63.4,61.016,61.296,18260205.0
2025-06-27,61.746,64.0,61.3,63.852,39705275.0
2025-06-30,64.6,67.868,64.6,67.392,22863560.0
2025-07-01,67.18,68.778,66.516,67.652,16660955.0
2025-07-02,67.616,69.6,67.376,68.678,14959140.0
2025-07-03,68.956,69.9793,67.714,69.666,7714445.0
2025-07-07,69.54,71.98,69.18,71.464,15802955.0
2025-07-08,72.35,72.8,68.54,69.184,14203065.0
2025-07-09,69.984,70.786,68.6,70.218,9510135.0
2025-07-10,69.87,71.494,69.082,69.11,10666670.0
2025-07-11,68.892,70.388,68.3208,68.734,9370305.0
2025-07-14,69.25,70.906,68.562,69.468,9783340.0
2025-07-15,69.302,69.804,67.51,69.682,9357855.0
2025-07-16,70.2,71.6981,69.4,70.404,17872050.0
2025-07-17,70.41,71.716,68.858,69.22,16708740.0
2025-07-18,69.834,69.956,67.344,69.504,14002580.0
2025-07-21,68.817,69.178,67.767,68.384,7811015.0
2025-07-22,68.354,69.376,66.226,68.312,13154485.0
2025-07-23,67.758,68.688,66.368,68.6,16121285.0
2025-07-24,68.48,68.48,65.172,65.218,13282130.0
2025-07-25,67.2,67.966,65.774,66.424,10329460.0
2025-07-28,67.162,67.964,66.602,67.266,11330770.0
2025-07-29,67.69,68.992,65.426,67.3,17518680.0
2025-07-30,67.292,68.16,65.716,66.718,19931805.0
2025-07-31,78.047,82.667,76.7,78.034,54420920.0
2025-08-01,76.198,76.8522,73.0,73.556,25252500.0
2025-08-04,73.944,74.288,70.474,72.132,18932860.0
2025-08-05,73.018,73.8984,69.236,70.148,16757940.0
2025-08-06,70.233,71.484,69.144,70.978,9941300.0
2025-08-07,72.568,73.674,70.292,71.55,10903815.0
2025-08-08,71.346,71.446,68.27,69.512,14104740.0
2025-08-11,69.56,69.88,67.822,69.05,11316480.0
2025-08-12,70.4,70.9,67.032,69.022,13729125.0
2025-08-13,69.557,70.298,68.68,69.974,11648895.0
2025-08-14,69.29,69.774,68.13,68.518,8760625.0
2025-08-15,68.832,70.3075,67.694,69.998,18267050.0
2025-08-18,70.1,72.7,69.838,71.902,16236870.0
2025-08-19,71.832,72.2271,68.459,68.848,11943725.0
2025-08-20,65.4,68.307,63.634,67.722,20441780.0
2025-08-21,67.0,68.291,66.3,67.814,8045085.0
2025-08-22,68.028,72.572,67.324,71.562,17380845.0
2025-08-25,70.878,73.676,70.6,72.424,17437035.0
2025-08-26,72.4,74.48,71.56,74.44,11604565.0
2025-08-27,74.0,74.796,73.47,73.47,10362785.0
2025-08-28,73.984,75.476,73.966,75.476,7490530.0
2025-08-29,75.4,75.708,73.244,74.384,9184375.0
2025-09-02,72.408,73.862,70.82,73.278,10699135.0
2025-09-03,73.463,74.316,71.9887,72.464,7353305.0
2025-09-04,72.876,74.409,71.6,74.034,7041565.0
2025-09-05,75.038,75.5,71.296,73.776,12226485.0
2025-09-08,74.2,75.664,72.9,74.442,8489235.0
2025-09-09,74.662,75.237,73.68,75.0,10183415.0
2025-09-10,75.36,76.378,72.606,73.024,14767360.0
2025-09-11,73.546,73.546,70.526,70.848,17540130.0
2025-09-12,70.536,74.108,69.814,72.354,14386955.0
2025-09-15,72.67,73.89,72.112,73.07,7370850.0
2025-09-16,73.05,73.416,71.876,72.918,5893050.0
2025-09-17,73.8,75.95,73.712,75.612,17454755.0
2025-09-18,76.355,79.392,75.322,75.632,19427220.0
2025-09-19,76.307,78.6,76.181,78.378,26904055.0
2025-09-22,77.568,78.586,76.8,78.17,8509935.0
2025-09-23,78.024,78.89,75.275,75.62,17139355.0
2025-09-24,75.86,75.958,73.731,74.962,8197865.0
2025-09-25,72.034,75.7,71.0,74.276,15373565.0
2025-09-26,74.022,74.6,72.066,73.858,9667505.0
2025-09-29,74.6,78.986,74.1,78.532,19666295.0
2025-09-30,77.906,79.126,74.78,75.448,14893730.0
2025-10-01,77.664,79.778,75.69,79.082,16502465.0
2025-10-02,80.0,80.2,77.283,78.942,7981190.0
2025-10-03,79.176,79.349,74.744,75.144,9686390.0
2025-10-06,75.912,76.0032,73.2,73.92,9006365.0
2025-10-07,74.371,75.61,72.6,74.062,11696540.0
2025-10-08,74.02,74.6,72.125,72.182,13494760.0
2025-10-09,72.448,72.595,69.56,72.006,12428360.0
2025-10-10,72.0,72.8,65.504,65.848,19295130.0
2025-10-13,66.704,68.395,65.9,67.656,11879895.0
2025-10-14,65.828,69.966,64.69,69.182,12927450.0
2025-10-15,70.274,72.6442,70.133,71.084,11963185.0
2025-10-16,71.024,72.874,68.416,68.942,9590085.0
2025-10-17,69.4,69.952,64.932,66.762,18234155.0
2025-10-20,67.036,68.286,64.886,67.52,12006545.0
2025-10-21,69.142,71.536,68.6035,71.174,13837515.0
2025-10-22,69.892,70.0,62.0019,65.376,29009455.0
2025-10-23,63.0,68.45,63.0,68.402,17117130.0
2025-10-24,68.91,71.418,68.9,70.24,13333060.0
2025-10-27,71.26,72.742,70.262,71.03,9513365.0
2025-10-28,73.91,74.4622,71.9536,72.44,14925540.0
2025-10-29,71.988,73.912,70.0315,70.79,25376820.0
2025-10-30,62.42,65.342,60.252,61.014,61083250.0
2025-10-31,61.656,61.932,59.616,61.308,28522360.0
2025-11-03,61.328,66.95,60.484,66.466,24332830.0
2025-11-04,64.58,65.28,61.934,61.958,19281920.0
2025-11-05,61.61,65.442,61.4244,61.936,17413865.0
2025-11-06,61.378,62.051,57.606,58.028,23653800.0
2025-11-07,57.126,61.144,57.005,60.798,14961850.0
2025-11-10,61.492,65.236,61.492,64.456,13523785.0
2025-11-11,65.07,66.0,63.694,65.376,10897410.0
2025-11-12,65.958,69.048,65.432,65.638,12501705.0
2025-11-13,65.214,65.712,62.68,63.708,10657700.0
2025-11-14,61.942,66.086,61.0,63.662,11187630.0
2025-11-17,63.2,66.872,62.4,64.624,13850755.0
2025-11-18,63.924,65.298,61.821,63.444,12934420.0
2025-11-19,64.35,66.456,63.896,65.95,13012135.0
2025-11-20,67.161,68.158,61.86,62.65,16337015.0
2025-11-21,63.708,65.4,61.7,61.976,16997180.0
2025-11-24,64.125,67.178,63.9984,66.18,21378685.0
