date,open,high,low,close,volume
2025-05-08,46.45,48.76,45.88,48.54,17708306.0
2025-05-09,48.83,49.365,47.72,48.34,13494789.0
2025-05-12,52.02,53.56,50.36,51.14,18925968.0
2025-05-13,51.175,53.395,51.02,52.99,14097882.0
2025-05-14,52.52,53.15,50.54,50.58,13883289.0
2025-05-15,50.52,50.6736,49.56,50.28,8102735.0
2025-05-16,50.12,51.27,50.04,50.92,8326029.0
2025-05-19,50.93,51.64,50.15,51.19,8092231.0
2025-05-20,50.98,51.374,49.815,49.98,9055320.0
2025-05-21,49.28,49.5498,48.081,48.27,8021510.0
2025-05-22,48.35,48.935,47.92,48.5,9957819.0
2025-05-23,47.08,48.185,46.88,47.92,7811909.0
2025-05-27,48.755,50.13,48.53,49.4,11316077.0
2025-05-28,49.27,49.52,48.415,48.6,7390530.0
2025-05-29,49.17,49.38,48.2,48.5,9063337.0
2025-05-30,48.235,48.71,47.84,48.39,9190737.0
2025-06-02,48.09,48.86,47.485,48.5,8117461.0
2025-06-03,48.58,49.31,48.08,48.83,9400136.0
2025-06-04,48.72,49.715,48.605,48.98,8231188.0
2025-06-05,48.69,49.58,48.48,48.84,7400991.0
2025-06-06,49.8,51.045,49.79,50.95,7449515.0
2025-06-09,51.3,51.94,51.01,51.2,6378882.0
2025-06-10,51.2,52.08,50.8,51.68,5877925.0
2025-06-11,51.87,52.0,48.605,49.17,10205368.0
2025-06-12,48.49,48.94,47.88,48.88,7655037.0
2025-06-13,46.2,48.195,45.86,47.04,12952596.0
2025-06-16,47.73,49.6,47.4,49.46,10242252.0
2025-06-17,48.5,48.935,47.045,47.32,9221610.0
2025-06-18,47.1,48.46,47.0558,47.56,7391812.0
2025-06-20,47.82,48.19,47.12,47.2,10796137.0
2025-06-23,46.8,48.44,45.28,48.25,16437940.0
2025-06-24,49.5,50.29,49.09,49.56,11886529.0
2025-06-25,49.65,49.72,48.12,48.31,7885332.0
2025-06-26,48.54,49.25,48.19,48.97,8286327.0
2025-06-27,49.24,49.975,48.7,49.59,10177171.0
2025-06-30,49.82,50.0,48.62,49.18,12531206.0
2025-07-01,49.095,49.42,48.555,49.0,10037595.0
2025-07-02,49.18,50.15,48.24,50.13,9833438.0
2025-07-03,50.5,51.39,50.35,50.86,6123398.0
2025-07-07,50.66,51.7,49.19,50.0,12226982.0
2025-07-08,50.78,51.83,50.42,50.52,10734531.0
2025-07-09,51.27,51.515,49.83,50.7,12870393.0
2025-07-10,56.2,57.82,54.8,56.78,46966379.0
2025-07-11,56.23,56.8001,54.655,56.65,17788939.0
2025-07-14,56.78,58.3,56.16,58.11,13722129.0
2025-07-15,57.99,58.18,55.49,55.71,13709552.0
2025-07-16,56.5,56.54,54.8899,55.56,9066795.0
2025-07-17,56.21,57.368,55.6296,56.34,13198972.0
2025-07-18,56.36,56.58,55.0596,56.29,8978442.0
2025-07-21,56.375,56.61,55.85,56.04,6074505.0
2025-07-22,55.99,56.17,54.94,55.67,7547741.0
2025-07-23,56.35,56.9,55.95,55.98,6782328.0
2025-07-24,55.45,56.6,54.43,54.71,10696521.0
2025-07-25,54.8,55.0,54.2396,54.86,6819906.0
2025-07-28,54.99,55.685,54.65,55.61,6545629.0
2025-07-29,55.97,55.97,54.22,54.5,5916330.0
2025-07-30,54.2,54.48,53.26,53.6,7354824.0
2025-07-31,53.45,53.73,52.82,53.21,6538105.0
2025-08-01,51.93,51.93,50.445,51.15,9535085.0
2025-08-04,51.46,52.59,51.23,52.52,7476411.0
2025-08-05,52.79,52.96,51.52,52.87,5846530.0
2025-08-06,53.0,54.34,52.9501,54.12,8476722.0
2025-08-07,54.45,54.46,53.1,53.63,4976497.0
2025-08-08,54.13,54.3,52.8801,53.64,6637972.0
2025-08-11,53.25,54.405,53.1227,53.5,4821615.0
2025-08-12,54.72,58.57,54.675,58.44,15735843.0
2025-08-13,58.22,59.52,57.51,59.42,9103670.0
2025-08-14,58.85,59.06,58.2,58.96,4300256.0
2025-08-15,59.45,60.485,59.06,60.24,9825549.0
2025-08-18,59.97,61.32,59.5901,61.09,6504229.0
2025-08-19,61.15,61.7397,60.36,60.5,5733995.0
2025-08-20,59.845,60.31,58.32,59.05,6516988.0
2025-08-21,58.98,59.05,57.59,57.84,5175073.0
2025-08-22,58.25,61.945,58.11,61.69,10312374.0
2025-08-25,61.1,61.115,59.99,60.41,6192160.0
2025-08-26,60.415,61.83,60.21,61.15,5618823.0
2025-08-27,61.09,62.07,60.845,61.26,4693070.0
2025-08-28,61.69,62.46,60.86,61.97,5825184.0
2025-08-29,61.91,62.53,61.27,61.78,4856272.0
2025-09-02,60.54,61.34,59.97,61.13,6925297.0
2025-09-03,61.43,63.91,61.12,61.27,7237372.0
2025-09-04,61.34,62.68,60.37,60.55,7023818.0
2025-09-05,60.86,62.39,60.44,61.18,6398461.0
2025-09-08,61.0,61.858,60.5,61.76,7579207.0
2025-09-09,61.6,61.789,60.02,60.68,6424323.0
2025-09-10,60.56,61.9335,60.3,61.39,5199840.0
2025-09-11,61.81,62.0,58.36,60.44,18816849.0
2025-09-12,60.82,60.92,59.84,59.87,6771037.0
2025-09-15,59.88,59.88,58.15,58.42,9773295.0
2025-09-16,58.48,58.64,57.05,57.86,10140857.0
2025-09-17,58.43,60.14,58.1601,58.82,8361012.0
2025-09-18,59.44,59.85,58.9692,59.47,5574441.0
2025-09-19,59.8,59.93,58.48,59.76,15278869.0
2025-09-22,59.45,59.62,57.73,58.89,7157842.0
2025-09-23,59.0,59.74,58.7,58.75,4527508.0
2025-09-24,59.02,59.09,57.57,57.71,5372648.0
2025-09-25,57.25,57.56,56.35,56.74,6781433.0
2025-09-26,57.38,57.925,56.84,57.2,6634433.0
2025-09-29,58.03,58.34,56.67,57.66,7822060.0
2025-09-30,57.64,58.15,55.715,56.75,8263369.0
2025-10-01,57.57,57.82,55.99,56.11,7005442.0
2025-10-02,56.64,57.5655,55.8,57.08,7619685.0
2025-10-03,57.68,57.99,57.245,57.26,6390344.0
2025-10-06,57.68,58.53,56.68,58.26,7821503.0
2025-10-07,58.32,58.46,56.27,56.63,10623474.0
2025-10-08,56.99,57.61,56.3,57.12,12402677.0
2025-10-09,61.9,62.27,58.9,59.57,29289534.0
2025-10-10,59.93,60.97,57.45,57.48,14375121.0
2025-10-13,58.225,59.94,57.465,58.72,9448588.0
2025-10-14,57.8,61.8,57.6836,61.27,10945043.0
2025-10-15,61.66,62.07,61.0508,61.7,8882223.0
2025-10-16,61.63,62.02,59.17,60.4,12415912.0
2025-10-17,60.34,60.84,59.41,59.64,6230862.0
2025-10-20,60.08,62.23,59.2125,61.75,6512121.0
2025-10-21,61.46,62.91,61.18,62.32,7041195.0
2025-10-22,62.0,62.55,59.98,60.0,7235728.0
2025-10-23,60.5,60.71,58.26,58.77,7687560.0
2025-10-24,59.87,61.82,59.38,60.95,8857492.0
2025-10-27,61.37,61.7,60.175,60.45,5658114.0
2025-10-28,60.335,60.42,57.74,57.86,8516645.0
2025-10-29,57.9,59.5,57.64,58.76,8625011.0
2025-10-30,58.21,58.72,56.99,57.12,7191581.0
2025-10-31,57.3,57.57,56.7536,57.38,7677540.0
2025-11-03,57.29,58.83,56.86,58.5,7597994.0
2025-11-04,57.4,57.455,55.03,55.65,11622714.0
2025-11-05,56.3,59.0,56.025,58.54,8311014.0
2025-11-06,57.9,58.8719,57.16,57.81,6605433.0
2025-11-07,56.86,60.17,56.225,58.88,8748706.0
2025-11-10,59.9,60.61,58.03,58.56,7918238.0
2025-11-11,58.45,58.875,57.35,57.74,5693789.0
2025-11-12,58.25,60.655,58.105,60.48,9805427.0
2025-11-13,60.37,61.42,59.46,59.91,8536132.0
2025-11-14,58.28,59.39,58.02,58.41,5320812.0
2025-11-17,58.15,58.32,55.42,55.76,8424532.0
2025-11-18,55.42,57.425,55.27,57.13,6441819.0
2025-11-19,57.79,58.21,56.3735,56.87,5538382.0
2025-11-20,57.72,58.24,55.69,55.97,6228950.0
2025-11-21,56.86,59.51,56.6,58.57,9567991.0
2025-11-24,59.07,60.74,58.2,60.67,9994900.0
2025-11-25,60.51,62.82,60.51,62.15,7753380.0
2025-11-26,62.39,64.81,62.1,64.27,8121985.0
2025-11-28,64.57,64.97,64.1,64.1,3476225.0
2025-12-01,63.39,64.97,63.0,64.15,7252925.0
2025-12-02,64.4,65.731,63.82,65.14,7337561.0
2025-12-03,65.12,67.62,65.12,67.49,10140647.0
2025-12-04,67.6,68.06,66.865,67.24,9455899.0
2025-12-05,66.75,67.75,66.3,67.1,7895552.0
2025-12-08,67.68,67.75,66.045,67.22,9235516.0
2025-12-09,66.71,68.275,66.3,67.41,7340435.0
2025-12-10,67.69,69.95,67.26,69.93,11823243.0
2025-12-11,69.43,70.715,69.19,70.56,9134653.0
2025-12-12,70.95,71.59,69.615,69.81,7937925.0
2025-12-15,70.76,71.64,70.135,71.27,7993299.0
2025-12-16,71.48,72.34,70.1,71.14,10443597.0
2025-12-17,70.94,71.95,69.505,69.72,7222251.0
2025-12-18,70.82,70.99,70.0,70.15,5988021.0
2025-12-19,70.24,71.25,70.02,71.06,16154245.0
2025-12-22,71.5,72.115,71.17,72.06,5141595.0
2025-12-23,71.79,71.9,70.34,70.5,6050266.0
2025-12-24,70.51,71.19,70.28,70.96,1821796.0
2025-12-26,70.83,71.205,70.41,70.85,2892421.0
2025-12-29,70.11,70.57,68.79,69.53,5262470.0
2025-12-30,69.49,69.85,69.0998,69.34,3807643.0
2025-12-31,69.41,69.7,68.91,69.4,3233415.0
2026-01-02,69.85,70.0,68.5,69.06,5115436.0
2026-01-05,69.42,72.85,69.325,71.82,9263233.0
2026-01-06,71.98,73.16,71.13,72.22,7717866.0
2026-01-07,72.74,73.07,71.53,71.65,6399668.0
2026-01-08,71.45,72.33,71.235,71.29,4981758.0
2026-01-09,71.89,72.9531,71.163,72.31,7971412.0
2026-01-12,70.8,71.38,69.61,71.03,10736369.0
2026-01-13,68.1,71.37,68.1,69.33,18342652.0
2026-01-14,69.39,70.76,67.545,68.49,9529668.0
2026-01-15,69.15,71.38,69.06,71.34,8223768.0
2026-01-16,71.37,71.67,70.07,70.43,7580126.0
2026-01-20,68.78,69.46,66.85,67.46,7740385.0
2026-01-21,68.45,69.94,68.16,68.95,9791221.0
2026-01-22,69.78,71.33,68.38,68.95,6874534.0
2026-01-23,68.27,68.48,67.48,67.96,6400252.0
2026-01-26,67.72,68.12,67.0,67.5,6981942.0
2026-01-27,68.13,68.3,65.55,66.14,8097224.0
2026-01-28,67.01,67.21,65.68,65.83,6165790.0
2026-01-29,65.81,66.57,64.4684,66.54,9613456.0
2026-01-30,66.2,66.935,65.17,65.89,6680579.0
2026-02-02,66.75,69.5,66.08,69.08,10090639.0
2026-02-03,69.85,71.48,69.53,70.44,10014824.0
2026-02-04,70.59,71.94,68.4,70.86,9912003.0
