date,open,high,low,close,volume
2025-05-08,180.4607,183.7525,178.36,182.96,4158763.0
2025-05-09,183.19,185.59,180.58,183.52,3423236.0
2025-05-12,191.61,192.8299,185.9001,192.1,4918097.0
2025-05-13,192.09,198.45,191.78,197.8,3844543.0
2025-05-14,197.17,199.27,195.95,196.84,3505346.0
2025-05-15,195.58,199.47,194.96,197.1,3558528.0
2025-05-16,197.995,202.63,196.83,202.0,4188463.0
2025-05-19,198.775,203.42,198.75,202.18,3337130.0
2025-05-20,200.9,206.0,198.51,205.18,6046526.0
2025-05-21,202.49,209.64,201.5,204.77,5674308.0
2025-05-22,204.5,206.535,200.66,200.87,3169735.0
2025-05-23,197.615,207.22,197.25,206.15,4365898.0
2025-05-27,205.44,208.56,202.5215,204.89,5325169.0
2025-05-28,204.75,210.71,204.24,206.59,6635010.0
2025-05-29,208.8,209.2,202.6827,204.58,3080832.0
2025-05-30,204.1,209.39,202.7,208.65,4853711.0
2025-06-02,209.22,213.4,207.61,212.79,4527633.0
2025-06-03,213.43,215.2,211.3,213.7,4272345.0
2025-06-04,213.29,220.64,212.4,220.23,5140447.0
2025-06-05,219.37,220.59,213.85,215.84,3647727.0
2025-06-06,218.81,220.88,217.75,218.45,2587018.0
2025-06-09,218.03,219.83,216.955,217.49,2710304.0
2025-06-10,216.59,219.21,210.9266,214.97,3916697.0
2025-06-11,214.185,219.5299,212.24,217.8,3091839.0
2025-06-12,218.08,219.42,215.675,216.6,2511292.0
2025-06-13,214.19,220.17,213.0,218.96,2955909.0
2025-06-16,220.0,223.29,219.63,221.73,3919973.0
2025-06-17,221.29,222.18,218.24,219.39,3157057.0
2025-06-18,216.98,221.31,214.94,220.58,5072177.0
2025-06-20,222.0,223.81,219.82,220.46,6879112.0
2025-06-23,225.255,230.87,222.482,230.32,5159763.0
2025-06-24,231.75,237.42,231.39,236.17,5602777.0
2025-06-25,236.66,238.47,231.75,232.68,3070348.0
2025-06-26,232.65,239.8325,231.75,239.64,3202390.0
2025-06-27,239.705,242.63,235.68,242.315,7324620.0
2025-06-30,244.3,247.08,241.9583,246.51,8089915.0
2025-07-01,247.62,248.74,236.54,238.01,5776945.0
2025-07-02,237.71,242.2799,236.7,238.8,3968307.0
2025-07-03,239.41,242.15,237.83,238.79,1699692.0
2025-07-07,239.34,246.94,236.57,246.89,5710030.0
2025-07-08,247.47,248.38,238.7,241.47,2888573.0
2025-07-09,244.99,246.39,240.98,246.06,2763624.0
2025-07-10,245.61,247.26,237.76,238.24,3253250.0
2025-07-11,238.29,241.96,237.0,240.44,2842994.0
2025-07-14,240.15,243.6,238.79,242.85,2600880.0
2025-07-15,239.39,239.57,234.6,236.77,3484561.0
2025-07-16,236.94,237.845,233.92,234.5,2614146.0
2025-07-17,235.45,236.055,232.1,235.02,3013134.0
2025-07-18,235.715,239.2,233.5,239.17,3408480.0
2025-07-21,240.44,242.655,237.68,240.53,2465200.0
2025-07-22,240.33,240.485,234.45,239.82,1725281.0
2025-07-23,240.03,241.57,236.0,240.56,2558632.0
2025-07-24,240.49,244.2,240.34,243.69,1918150.0
2025-07-25,244.78,250.23,243.36,249.92,3052424.0
2025-07-28,250.0,250.71,244.02,246.44,2134106.0
2025-07-29,247.9,248.01,240.38,243.2,2308492.0
2025-07-30,244.79,248.35,244.45,248.0,2629944.0
2025-07-31,248.3,252.87,247.47,250.25,2611999.0
2025-08-01,247.72,249.2399,242.01,248.35,2945721.0
2025-08-04,251.47,258.73,248.78,258.02,3351796.0
2025-08-05,257.96,259.87,252.7,255.28,3633218.0
2025-08-06,257.24,259.85,254.39,258.08,5425497.0
2025-08-07,272.64,278.15,259.1201,270.99,10884084.0
2025-08-08,269.46,270.07,254.39,259.19,5343269.0
2025-08-11,258.19,260.14,251.13,256.09,4738852.0
2025-08-12,258.17,264.51,257.99,264.32,2905221.0
2025-08-13,263.5,264.22,250.21,254.2,4379437.0
2025-08-14,253.66,253.66,247.1,247.44,3433584.0
2025-08-15,248.31,249.69,243.56,248.0,3085063.0
2025-08-18,248.99,254.16,248.695,253.34,3214646.0
2025-08-19,250.53,253.29,248.1,248.37,2568497.0
2025-08-20,244.0,246.42,233.11,243.82,6572920.0
2025-08-21,243.47,245.34,241.959,245.18,2439550.0
2025-08-22,245.0,248.185,242.8085,247.32,2812738.0
2025-08-25,247.08,247.51,242.77,245.28,2020114.0
2025-08-26,245.56,249.56,244.9,248.79,3104654.0
2025-08-27,248.01,248.42,244.04,245.65,2977293.0
2025-08-28,245.82,248.48,244.14,247.33,1858884.0
2025-08-29,247.35,248.814,242.96,245.25,1966843.0
2025-09-02,240.89,244.74,238.2,244.1,2684107.0
2025-09-03,244.045,254.0999,243.065,248.83,3541547.0
2025-09-04,248.83,250.7,244.26,248.78,2507142.0
2025-09-05,249.715,251.49,243.55,246.85,2195836.0
2025-09-08,249.4,254.96,248.299,250.6,3333615.0
2025-09-09,252.09,257.105,249.78,256.53,3042842.0
2025-09-10,257.57,258.8,252.55,257.43,4631284.0
2025-09-11,258.82,262.48,258.22,260.19,2357161.0
2025-09-12,259.04,261.43,255.465,257.98,2215994.0
2025-09-15,257.77,260.56,256.29,258.09,2592800.0
2025-09-16,257.94,263.43,257.23,263.09,2926557.0
2025-09-17,263.07,266.37,253.86,259.25,3197294.0
2025-09-18,258.92,268.29,258.15,268.07,3058745.0
2025-09-19,268.58,269.06,264.0,265.29,10684519.0
2025-09-22,264.52,266.5599,262.42,262.75,2952373.0
2025-09-23,261.92,267.77,261.0,265.75,2248823.0
2025-09-24,266.16,268.58,259.705,260.74,3148104.0
2025-09-25,258.485,263.76,257.5,262.08,1886474.0
2025-09-26,263.44,264.2,259.3629,262.47,1603356.0
2025-09-29,267.67,272.64,267.0,272.5,3546309.0
2025-09-30,273.56,275.51,266.0,271.99,3245283.0
2025-10-01,269.5,271.39,265.2,267.64,2500759.0
2025-10-02,268.9,270.435,260.1501,270.09,2168206.0
2025-10-03,270.0,272.44,268.14,271.22,2418042.0
2025-10-06,274.53,282.92,273.68,281.74,3905093.0
2025-10-07,283.15,285.08,271.835,276.78,2863354.0
2025-10-08,277.73,281.63,277.44,281.05,2390915.0
2025-10-09,280.46,282.32,275.05,275.44,2121580.0
2025-10-10,274.39,277.26,265.7,266.02,2434349.0
2025-10-13,269.01,274.07,268.5401,273.52,2253019.0
2025-10-14,272.91,275.55,266.99,270.54,1983434.0
2025-10-15,272.59,277.84,271.39,272.61,1920856.0
2025-10-16,279.0,285.5,264.34,266.67,3755928.0
2025-10-17,263.86,265.38,257.7142,263.06,3440346.0
2025-10-20,263.86,267.2,262.6902,265.37,2376178.0
2025-10-21,266.62,267.25,259.86,261.97,2029644.0
2025-10-22,261.52,262.83,250.38,252.31,4247910.0
2025-10-23,251.0,258.94,246.72,254.59,4772296.0
2025-10-24,255.63,261.675,253.24,258.15,2720037.0
2025-10-27,265.4,269.0,262.35,263.35,3706619.0
2025-10-28,263.16,265.59,259.83,261.42,2775452.0
2025-10-29,261.29,268.0,259.11,266.06,4231831.0
2025-10-30,264.165,265.455,254.03,254.07,3204453.0
2025-10-31,257.0,260.7399,254.1,254.37,2704321.0
2025-11-03,255.89,258.0,241.0,242.05,5147045.0
2025-11-04,238.41,244.17,236.39,239.93,4975876.0
2025-11-05,241.51,241.51,234.79,238.0,8126701.0
2025-11-06,211.26,211.26,194.68,196.46,18356903.0
2025-11-07,195.66,206.685,195.56,204.31,9524127.0
2025-11-10,207.52,208.64,201.41,204.08,6391877.0
2025-11-11,202.23,203.6,198.85,200.63,5152070.0
2025-11-12,201.25,201.99,196.01,196.51,5119321.0
2025-11-13,197.75,203.0,195.0,195.21,6346069.0
2025-11-14,196.69,209.32,192.9,206.96,11454424.0
2025-11-17,207.335,211.0,204.42,210.65,10819618.0
2025-11-18,210.8,214.34,207.2,212.08,7354989.0
2025-11-19,216.045,216.498,201.65,202.315,9410086.0
2025-11-20,203.25,203.61,186.83,187.73,14574543.0
2025-11-21,187.63,191.31,182.04,189.63,6709143.0
2025-11-24,190.48,190.48,184.86,188.08,8715879.0
2025-11-25,188.08,196.67,187.22,195.49,5652633.0
2025-11-26,196.95,200.49,195.325,195.98,3646172.0
2025-11-28,196.99,199.79,196.2381,198.37,1383923.0
2025-12-01,204.5,208.35,200.55,205.58,6384374.0
2025-12-02,205.58,218.67,202.29,216.98,10330209.0
2025-12-03,216.355,223.99,215.71,222.48,7354752.0
2025-12-04,220.9,223.18,217.03,221.19,4925627.0
2025-12-05,221.19,227.71,220.48,225.0,4488031.0
2025-12-08,224.65,225.65,219.38,225.43,5334096.0
2025-12-09,225.0,232.63,222.64,229.99,5384290.0
2025-12-10,228.965,229.05,216.72,220.3,6952811.0
2025-12-11,219.5,226.6,216.3,224.52,4250177.0
2025-12-12,225.01,230.18,224.52,227.49,3672167.0
2025-12-15,228.58,229.77,221.18,226.98,5021540.0
2025-12-16,226.88,229.95,225.0,227.94,4154253.0
2025-12-17,228.99,229.91,221.18,221.3,4010404.0
2025-12-18,224.11,233.49,223.65,230.94,3326852.0
2025-12-19,232.235,238.9999,231.46,234.25,8727743.0
2025-12-22,235.86,235.98,232.0,234.89,3840382.0
2025-12-23,233.29,233.98,230.1,232.7,2694872.0
2025-12-24,231.98,233.24,230.57,232.06,1223393.0
2025-12-26,232.52,234.695,231.76,233.95,1706729.0
2025-12-29,233.07,235.0,230.09,231.01,2717299.0
2025-12-30,230.24,231.52,228.0,228.13,2546922.0
2025-12-31,228.405,228.6115,226.08,226.48,2445671.0
2026-01-02,229.73,230.776,219.65,219.79,3794351.0
2026-01-05,220.5,230.96,218.22,226.72,4917375.0
2026-01-06,226.51,232.27,225.36,229.38,4629827.0
2026-01-07,228.01,234.43,224.985,230.52,3107691.0
2026-01-08,227.66,228.31,221.15,224.1,3711339.0
2026-01-09,222.33,222.45,212.51,215.56,4886968.0
2026-01-12,212.51,216.1,208.11,214.87,4530463.0
2026-01-13,212.915,217.67,210.085,217.4,2641818.0
2026-01-14,215.14,215.505,207.81,213.13,4339909.0
2026-01-15,213.79,214.16,207.62,210.11,3949700.0
2026-01-16,210.24,211.05,204.03,205.32,5155136.0
2026-01-20,201.32,207.65,200.2,205.67,5435118.0
2026-01-21,203.652,208.35,201.23,206.48,5045775.0
2026-01-22,209.59,214.21,207.18,207.65,4314299.0
2026-01-23,206.81,211.42,205.99,207.23,2296044.0
2026-01-26,207.015,211.78,206.65,209.41,2874456.0
2026-01-27,210.055,210.055,204.82,207.36,2917460.0
2026-01-28,208.975,212.5,205.33,206.66,3270215.0
2026-01-29,206.25,209.43,202.5,207.68,3308023.0
2026-01-30,206.8,210.0,202.705,204.62,3915118.0
2026-02-02,207.88,211.96,203.55,207.67,3033943.0
2026-02-03,207.1104,208.135,198.33,202.0,4386174.0
2026-02-04,201.79,201.94,190.52,195.83,6291186.0
2026-02-05,194.36,194.5,182.8,183.86,6931483.0
2026-02-06,186.31,188.87,180.1,182.47,7203367.0
2026-02-09,181.28,186.325,178.14,186.24,6403936.0
2026-02-10,185.62,190.697,184.24,185.64,4488236.0
2026-02-11,185.64,185.7,174.63,175.47,6050972.0
2026-02-12,176.66,178.59,160.702,161.14,9976643.0
2026-02-13,161.295,166.7917,159.465,160.34,7292847.0
2026-02-17,160.75,164.27,158.0,162.34,7509425.0
2026-02-18,162.59,175.17,162.07,173.38,14407093.0
2026-02-19,185.0,185.8944,175.16,176.19,17970963.0
2026-02-20,174.25,178.56,171.5,176.29,7761343.0
2026-02-23,167.95,168.57,161.3876,164.66,10339378.817532
2026-02-24,166.055,172.7099,161.18,164.38,5931772.431311
2026-02-25,166.31,175.13,165.19,173.06,5714462.437243
