date,open,high,low,close,volume
2025-07-10,127.0,128.32,126.34,127.91,5371349.0
2025-07-11,127.57,127.63,125.7,126.83,3560249.0
2025-07-14,126.2,126.5,123.78,125.67,3626919.0
2025-07-15,127.18,128.61,125.01,125.69,4041727.0
2025-07-16,125.5,125.5,120.66,123.57,5955938.0
2025-07-17,123.73,124.435,121.87,123.88,3763654.0
2025-07-18,125.28,131.99,124.83,131.24,11025208.0
2025-07-21,130.62,130.98,128.59,128.96,5560236.0
2025-07-22,128.0,128.07,123.18,124.33,6278006.0
2025-07-23,125.54,127.9,125.2835,127.22,4175675.0
2025-07-24,127.61,129.47,127.15,128.35,3785008.0
2025-07-25,127.96,131.83,127.71,131.22,4300969.0
2025-07-28,131.95,133.9,131.1557,133.86,4846577.0
2025-07-29,134.91,136.02,132.52,133.51,4013237.0
2025-07-30,133.43,135.19,132.6,133.54,3765782.0
2025-07-31,135.2,136.14,132.21,132.69,3876200.0
2025-08-01,128.38,129.25,125.41,127.32,5520996.0
2025-08-04,128.64,130.71,127.89,130.23,2765311.0
2025-08-05,131.39,131.8808,126.7011,130.48,4754756.0
2025-08-06,127.99,129.8,123.88,128.14,6250887.0
2025-08-07,130.17,134.0,130.105,133.93,5691229.0
2025-08-08,135.0,138.86,134.0,137.61,5458586.0
2025-08-11,138.0,140.48,137.02,138.32,4402805.0
2025-08-12,139.49,142.11,138.6678,141.64,4859427.0
2025-08-13,140.32,140.6,136.06,139.14,6025185.0
2025-08-14,137.11,139.82,136.75,138.86,3813770.0
2025-08-15,140.71,141.15,137.43,138.28,3448196.0
2025-08-18,138.28,139.38,137.72,138.13,3202498.0
2025-08-19,137.88,138.705,134.58,135.2,3570149.0
2025-08-20,134.0,134.0,126.84,128.48,7222713.0
2025-08-21,129.31,130.3142,127.55,127.83,4057774.0
2025-08-22,128.85,132.05,128.12,130.84,3785951.0
2025-08-25,130.49,132.145,129.77,131.01,3202732.0
2025-08-26,131.19,132.5,130.27,130.99,3735748.0
2025-08-27,130.93,132.6679,130.6541,132.5,3799268.0
2025-08-28,133.7,135.18,132.74,134.05,11144072.0
2025-08-29,124.03,124.9,119.63,122.15,24363215.0
2025-09-02,119.11,121.38,117.7,120.96,8969874.0
2025-09-03,121.7,124.03,120.9,124.02,5966804.0
2025-09-04,124.03,127.35,122.9225,126.67,7053769.0
2025-09-05,127.25,128.42,123.28,124.83,6413059.0
2025-09-08,125.3,125.605,122.79,123.0,5187097.0
2025-09-09,120.87,121.71,118.15,121.29,10704358.0
2025-09-10,123.43,127.12,123.42,124.45,8447197.0
2025-09-11,124.905,128.76,124.52,125.37,6159381.0
2025-09-12,125.9,127.64,124.97,125.04,4365666.0
2025-09-15,126.39,128.305,125.01,126.8,5734417.0
2025-09-16,127.64,128.6899,125.9018,127.68,4461322.0
2025-09-17,128.1,133.0,127.9,130.34,8236969.0
2025-09-18,131.965,133.649,131.46,132.11,5528870.0
2025-09-19,132.945,133.9687,131.94,131.94,9051982.0
2025-09-22,132.62,137.98,131.81,135.69,10255248.0
2025-09-23,136.08,137.345,133.25,134.34,4750827.0
2025-09-24,135.0,135.5,131.72,132.09,3921892.0
2025-09-25,129.375,131.2592,127.1201,130.96,4758872.0
2025-09-26,128.01,131.11,127.6,130.76,3841026.0
2025-09-29,132.125,134.59,132.125,133.9,3833449.0
2025-09-30,134.0,141.77,134.0,141.77,9934552.0
2025-10-01,140.91,149.68,140.395,149.68,13611989.0
2025-10-02,150.49,152.1,144.61,147.37,7490815.0
2025-10-03,148.26,149.2,140.41,140.74,6526655.0
2025-10-06,145.52,149.28,144.26,145.76,10454686.0
2025-10-07,152.8,154.7,144.4,150.87,18683188.0
2025-10-08,154.71,166.1,154.0,164.53,18937941.0
2025-10-09,164.32,164.94,155.15,155.95,13275627.0
2025-10-10,157.57,159.28,150.42,150.57,11749106.0
2025-10-13,155.55,155.55,151.11,153.4,6800939.0
2025-10-14,149.975,152.56,148.1,148.77,7096445.0
2025-10-15,152.165,155.7799,151.415,153.7,5804509.0
2025-10-16,155.295,158.5,149.67,151.31,6947603.0
2025-10-17,150.415,151.2399,147.29,149.59,5301468.0
2025-10-20,150.19,151.41,147.13,147.87,5829581.0
2025-10-21,147.95,151.3,145.09,149.43,5191375.0
2025-10-22,150.195,151.39,145.25,150.13,6136709.0
2025-10-23,150.0,155.34,149.6,154.23,5817217.0
2025-10-24,157.6,159.94,156.8001,158.64,5081468.0
2025-10-27,160.5,162.37,159.1601,162.19,5480028.0
2025-10-28,162.42,167.0,160.6801,164.88,6446412.0
2025-10-29,167.0,167.94,161.97,163.6,4511493.0
2025-10-30,160.89,164.07,160.21,161.01,3105193.0
2025-10-31,162.94,163.384,158.0,162.01,4079199.0
2025-11-03,167.15,168.08,159.86,160.11,4614614.0
2025-11-04,155.47,157.9165,153.31,154.64,5330224.0
2025-11-05,152.1,154.93,149.15,152.41,7326542.0
2025-11-06,152.735,155.0,148.82,149.18,4255086.0
2025-11-07,147.99,147.99,143.08,146.7,5780820.0
2025-11-10,149.74,150.045,141.09,142.69,8203558.0
2025-11-11,140.3,141.0,136.29,138.76,7116087.0
2025-11-12,140.65,143.785,139.75,140.71,5502993.0
2025-11-13,139.8,140.15,132.3,133.94,6911959.0
2025-11-14,129.92,137.1825,129.33,133.76,5573277.0
2025-11-17,124.0,128.41,120.0103,122.48,15291144.0
2025-11-18,120.5,126.04,119.3901,122.69,10147079.0
2025-11-19,122.59,123.585,118.87,119.38,6729224.0
2025-11-20,123.65,125.68,116.75,117.4,8855023.0
2025-11-21,118.56,123.455,116.56,122.51,8401641.0
2025-11-24,124.8,129.41,124.275,127.22,8985949.0
2025-11-25,123.09,127.12,123.05,125.92,14794070.0
2025-11-26,133.58,135.35,128.0801,133.26,16424919.0
2025-11-28,134.17,134.5,130.01,133.35,5612640.0
2025-12-01,131.71,132.14,127.765,132.09,6720096.0
2025-12-02,135.01,138.04,134.813,135.95,6981599.0
2025-12-03,135.4,136.105,133.24,133.63,5630736.0
2025-12-04,134.0,139.31,132.61,138.99,6857097.0
2025-12-05,138.95,139.2,136.11,138.91,5001590.0
2025-12-08,138.615,142.34,138.6,140.41,3915438.0
2025-12-09,139.04,139.92,137.12,138.22,3464821.0
2025-12-10,138.05,141.13,136.26,140.63,4576003.0
2025-12-11,138.825,139.06,134.68,138.6,4933520.0
2025-12-12,138.5,139.49,129.44,129.98,9299012.0
2025-12-15,131.3,133.4299,129.61,130.51,5336226.0
2025-12-16,130.285,135.0,130.02,133.75,5365614.0
2025-12-17,133.465,133.74,126.61,127.89,6125680.0
2025-12-18,128.01,128.6925,122.1,122.94,9344794.0
2025-12-19,123.96,127.15,123.7,126.42,9715400.0
2025-12-22,128.77,128.85,125.36,126.61,4852725.0
2025-12-23,126.33,128.63,126.33,127.62,3494371.0
2025-12-24,126.69,129.05,126.21,128.38,1755985.0
2025-12-26,128.65,129.67,128.0,129.24,2733190.0
2025-12-29,128.15,129.345,127.11,127.46,3111973.0
2025-12-30,126.94,128.45,126.9,127.92,2754523.0
2025-12-31,128.17,128.41,125.78,125.88,2925715.0
2026-01-02,128.4,129.35,125.75,127.8,4959254.0
2026-01-05,129.56,131.19,122.09,124.01,8471012.0
2026-01-06,125.1,126.2,121.83,123.93,6595593.0
2026-01-07,123.0,123.295,118.75,120.07,10343405.0
2026-01-08,117.555,119.365,114.79,118.5,11522059.0
2026-01-09,119.98,121.01,117.32,120.62,7001487.0
2026-01-12,119.0,122.08,118.71,120.47,5203381.0
2026-01-13,121.5,121.88,118.91,119.66,5641635.0
2026-01-14,119.15,122.07,117.93,118.69,4788293.0
2026-01-15,121.81,123.65,119.48,119.66,6834002.0
2026-01-16,120.205,122.99,119.2178,120.53,9023326.0
2026-01-20,116.51,117.05,110.835,111.07,11625652.0
2026-01-21,112.33,114.419,110.22,113.26,9162264.0
2026-01-22,114.225,119.59,113.98,117.17,8372247.0
2026-01-23,115.42,115.99,113.76,115.43,6342803.0
2026-01-26,115.01,117.29,115.01,115.93,6309421.0
2026-01-27,116.78,117.84,114.48,114.66,5058330.0
2026-01-28,115.4,118.5,114.221,117.32,5300447.0
2026-01-29,115.67,119.0992,115.31,118.49,6246442.0
2026-01-30,116.82,116.9,112.26,114.44,10734697.0
2026-02-02,114.54,119.295,114.39,119.16,8019704.0
2026-02-03,119.98,121.2,116.2,117.15,8764644.0
2026-02-04,118.155,123.043,116.82,122.04,10914510.0
2026-02-05,120.25,122.72,113.0501,115.39,9298445.0
2026-02-06,116.9,122.565,116.5,121.05,7918021.0
2026-02-09,120.3,122.0,117.8596,120.91,5016813.0
2026-02-10,122.545,126.63,122.45,126.01,6194076.0
2026-02-11,127.69,128.06,122.29,124.16,5431215.0
2026-02-12,117.5,120.92,111.2,112.82,11756645.0
2026-02-13,115.47,120.83,114.215,117.49,10480404.0
2026-02-17,116.25,119.05,114.97,116.09,5303651.0
2026-02-18,114.85,117.455,112.86,116.78,5783427.0
2026-02-19,118.96,121.44,117.61,119.06,7042264.0
2026-02-20,117.76,122.66,117.6,122.27,7763458.0
2026-02-23,121.26,124.3199,118.87,119.14,6962259.230146
2026-02-24,120.5,122.64,119.0,119.78,4937680.983454
2026-02-25,118.12,124.95,117.2,123.48,8220005.401213
2026-02-26,125.1,126.0,120.31,121.45,14418103.633049
2026-02-27,137.37,148.86,136.11,148.08,33475578.829394
2026-03-02,146.755,153.72,146.0003,153.55,12554157.470228
2026-03-03,149.73,150.94,141.02,145.18,15258237.255491
2026-03-04,145.995,148.33,144.05,147.1,8505495.118003
2026-03-05,146.0,149.16,142.052,146.52,7032450.798427
2026-03-06,143.83,148.66,142.12,146.48,7100433.694014
2026-03-09,144.6,146.7,141.36,146.51,7400609.864511
2026-03-10,146.285,146.89,137.495,143.8,7518682.528401
2026-03-11,145.66,149.4699,145.15,147.37,5405664.741945
2026-03-12,147.15,151.85,147.085,149.91,7340868.644814
2026-03-13,151.0,152.95,146.82,151.62,6441089.864964
2026-03-16,153.05,157.8,152.68,156.54,7923360.007603
2026-03-17,154.75,155.02,151.8,153.01,6675798.619755
2026-03-18,152.71,155.02,148.93,149.21,5460722.755265
2026-03-19,146.585,157.07,146.57,156.76,7715340.220962
2026-03-20,163.5,169.9,157.67,157.67,23135869.610938
2026-03-23,159.24,165.42,158.63,164.59,10721325.590755
2026-03-24,163.62,178.31,163.37,176.91,15886495.226705
2026-03-25,177.76,184.86,177.62,184.01,11330772.373256
2026-03-26,182.71,186.39,175.55,175.82,11061283.280909
2026-03-27,175.13,176.29,170.345,171.81,8011470.5879
2026-03-30,172.77,174.0,162.48,164.66,10135271.18973
2026-03-31,164.29,167.99,155.37,164.13,13713718.395082
2026-04-01,166.98,171.33,164.76,169.38,7311128.017697
2026-04-02,166.99,174.37,166.495,174.37,5217126.489158
2026-04-06,175.83,176.5,172.79,173.18,3925402.507201
2026-04-07,172.235,178.84,172.22,177.69,5753013.781135
2026-04-08,185.76,189.7499,182.67,185.47,7212000.622368
2026-04-09,186.97,187.7999,179.685,181.46,4500859.975576
2026-04-10,183.225,184.0,177.04,177.8,4279738.590692
2026-04-13,179.0,191.365,177.5,189.79,10506654.529529
2026-04-14,185.55,186.79,180.1013,184.51,6256367.63025
2026-04-15,182.94,182.99,177.0,177.28,7793327.930475
2026-04-16,179.57,193.8,178.5,193.09,11474725.632402
2026-04-17,192.83,197.3387,191.75,196.55,6311200.618455
2026-04-20,196.55,205.7799,196.54,204.24,7155812.433555
2026-04-21,205.85,214.3299,205.35,212.36,9078170.048165
2026-04-22,215.01,217.39,209.5,214.65,5482147.27986
2026-04-23,214.49,219.26,210.68,212.14,4421454.433587
2026-04-24,213.99,219.0,209.5001,216.09,4621365.893298
2026-04-27,217.78,221.5,212.76,215.97,5820969.883275
2026-04-28,209.97,210.51,201.555,205.93,4437704.897349
2026-04-29,206.06,207.925,203.2514,205.66,3635688.394001
2026-04-30,208.5,209.15,200.84,208.95,5635830.738131
2026-05-01,208.53,212.77,206.44,210.17,3010589.112972
2026-05-04,210.85,214.98,205.7,211.64,3842381.928068
2026-05-05,215.02,217.4,210.9387,216.32,4360824.285263
2026-05-06,220.8,239.45,219.6,238.8,9187209.648168
2026-05-07,235.26,237.75,228.0,230.27,4848341.154481
2026-05-08,233.59,263.99,233.59,260.46,12168099.632468
2026-05-11,253.595,255.45,242.0,247.04,11517041.484435
2026-05-12,242.51,242.51,228.5,238.94,7150812.080379
2026-05-13,244.6,247.0,236.8,243.87,5008542.637369
2026-05-14,248.85,260.54,240.811,247.89,6241866.938366
2026-05-15,240.41,246.86,236.79,241.99,4833109.991438
2026-05-18,244.6,244.95,232.2001,238.03,5132555.228866
2026-05-19,234.25,239.75,227.27,235.26,4082709.254608
2026-05-20,239.47,246.93,237.19,242.93,4332860.915758
2026-05-21,242.96,254.38,240.27,252.8,5075014.220697
2026-05-22,268.1,298.32,265.21,295.19,15291495.023096
2026-05-26,300.25,308.6401,298.97,305.08,10305678.091853
2026-05-27,307.475,312.1399,298.57,305.32,8262376.101193
2026-05-28,317.03,327.73,311.52,317.05,26611335.908093
2026-05-29,418.0,429.151,402.27,420.91,41832954.099156
