date,open,high,low,close,volume
2025-07-02,179.12,179.12,174.635,176.6,895745.0
2025-07-03,176.14,176.92,175.7,176.92,436517.0
2025-07-07,175.96,176.11,173.08,173.97,839409.0
2025-07-08,173.21,174.48,172.13,172.5,1080477.0
2025-07-09,173.56,173.79,171.29,173.62,871070.0
2025-07-10,171.86,174.47,171.36,171.45,914082.0
2025-07-11,170.52,170.88,167.14,168.09,1335610.0
2025-07-14,168.25,169.28,166.875,168.37,1274738.0
2025-07-15,168.37,168.89,164.65,166.42,1177685.0
2025-07-16,166.29,167.76,165.45,167.03,1148483.0
2025-07-17,166.08,168.71,165.19,168.18,1358670.0
2025-07-18,168.57,170.29,165.88,166.91,1557274.0
2025-07-21,167.01,167.42,165.3,166.45,1999944.0
2025-07-22,170.625,178.86,170.03,178.24,2697888.0
2025-07-23,179.63,180.89,168.32,170.48,3086540.0
2025-07-24,172.53,175.76,170.47,171.9,2114216.0
2025-07-25,172.6,173.04,167.164,168.55,1877511.0
2025-07-28,167.59,168.76,165.7769,167.85,1086616.0
2025-07-29,168.72,169.615,167.0272,167.93,810660.0
2025-07-30,167.4,169.75,166.75,168.73,1094038.0
2025-07-31,166.76,170.14,166.76,167.41,941447.0
2025-08-01,168.24,171.91,167.96,170.85,1421070.0
2025-08-04,170.53,172.73,170.53,172.44,788423.0
2025-08-05,172.6,174.575,171.91,173.27,744236.0
2025-08-06,172.86,175.48,171.79,173.0,994285.0
2025-08-07,173.59,174.47,172.7,174.27,898400.0
2025-08-08,174.65,177.245,174.58,176.96,616283.0
2025-08-11,177.09,178.55,177.04,178.36,653187.0
2025-08-12,177.36,178.87,175.562,178.68,763292.0
2025-08-13,178.87,179.4728,177.59,179.04,928498.0
2025-08-14,178.84,178.84,177.2901,178.44,679545.0
2025-08-15,178.94,180.3687,177.27,179.77,810247.0
2025-08-18,180.23,180.44,178.84,178.95,808451.0
2025-08-19,179.08,183.37,179.045,182.83,784696.0
2025-08-20,183.34,184.97,182.44,184.4,957864.0
2025-08-21,183.51,185.26,182.84,183.72,1074619.0
2025-08-22,185.0,185.62,179.93,180.23,947798.0
2025-08-25,177.22,179.19,176.97,178.66,753364.0
2025-08-26,178.77,180.37,178.39,180.36,1044445.0
2025-08-27,180.54,180.89,179.45,179.76,597069.0
2025-08-28,179.51,179.71,178.13,179.2,560041.0
2025-08-29,179.56,182.35,179.055,181.64,731489.0
2025-09-02,180.9,182.01,178.31,178.7,1109253.0
2025-09-03,178.34,179.62,177.04,179.51,689498.0
2025-09-04,180.54,180.84,179.38,180.11,585707.0
2025-09-05,180.2,183.78,180.2,183.49,556225.0
2025-09-08,183.5,183.5,180.91,182.53,438458.0
2025-09-09,182.17,183.38,181.166,182.68,435490.0
2025-09-10,181.92,182.11,179.77,180.14,652123.0
2025-09-11,180.28,184.14,180.0,183.46,598548.0
2025-09-12,183.24,185.05,182.505,182.91,454078.0
2025-09-15,182.37,183.27,180.58,180.62,642156.0
2025-09-16,180.48,181.59,179.66,180.16,549537.0
2025-09-17,181.15,183.455,180.515,182.25,662867.0
2025-09-18,180.84,184.13,180.705,183.33,667853.0
2025-09-19,183.69,185.0,183.26,183.6,1435563.0
2025-09-22,183.32,185.505,182.895,184.69,975984.0
2025-09-23,184.72,187.96,184.72,186.97,774967.0
2025-09-24,186.49,187.92,185.98,186.82,748102.0
