date,open,high,low,close,volume
2025-05-07,122.98,123.62,122.09,122.77,3123963.0
2025-05-08,123.8,125.32,123.24,123.84,3471611.0
2025-05-09,123.91,124.255,121.71,122.03,3956141.0
2025-05-12,126.35,128.36,124.195,126.14,3379642.0
2025-05-13,127.77,128.05,126.09,126.36,2971880.0
2025-05-14,125.9,126.09,121.63,122.07,4039425.0
2025-05-15,122.42,123.4,120.09,123.39,3128512.0
2025-05-16,123.38,125.78,122.87,125.75,2415581.0
2025-05-19,123.08,125.195,122.87,124.93,2069177.0
2025-05-20,124.49,125.43,122.31,122.68,1973676.0
2025-05-21,121.6,122.51,119.17,119.58,3698659.0
2025-05-22,118.73,119.38,117.47,118.9,3228767.0
2025-05-23,117.97,119.3,117.07,118.65,2448447.0
2025-05-27,119.95,121.48,119.12,121.48,2683539.0
2025-05-28,120.75,121.17,117.31,117.39,3510094.0
2025-05-29,118.63,118.98,117.11,118.27,3723265.0
2025-05-30,117.82,118.48,117.0,118.06,4305224.0
2025-06-02,116.99,117.125,114.17,116.89,3780562.0
2025-06-03,116.78,118.6487,115.79,118.35,3588973.0
2025-06-04,118.93,124.12,118.65,123.53,3722055.0
2025-06-05,122.97,123.71,121.41,122.74,2283627.0
2025-06-06,122.86,123.435,120.58,120.74,2338227.0
2025-06-09,122.21,123.23,120.17,122.65,2224895.0
2025-06-10,124.48,127.08,123.14,126.94,3508003.0
2025-06-11,128.76,130.27,124.605,124.81,4179194.0
2025-06-12,124.28,126.9,123.1,126.24,2318102.0
2025-06-13,124.81,126.41,122.15,123.08,3219926.0
2025-06-16,124.41,124.63,122.69,123.65,2202574.0
2025-06-17,123.32,126.33,119.535,119.92,3848193.0
2025-06-18,120.47,123.47,119.635,121.28,3266114.0
2025-06-20,121.74,124.5,121.375,124.2,5351469.0
2025-06-23,123.11,128.91,122.83,128.66,4075493.0
2025-06-24,127.8,130.67,126.44,129.63,4484021.0
2025-06-25,128.3,129.315,126.755,127.29,2551381.0
2025-06-26,127.48,127.715,125.04,127.15,3016740.0
2025-06-27,127.53,130.01,127.34,128.69,4089801.0
2025-06-30,128.94,129.46,127.7906,128.92,2414975.0
2025-07-01,128.53,136.4299,128.0001,133.9,5367561.0
2025-07-02,134.42,136.48,133.43,135.61,4363717.0
2025-07-03,136.0,136.38,131.65,131.9,3428397.0
2025-07-07,131.68,132.905,129.53,130.97,3086805.0
2025-07-08,130.43,132.72,130.0,131.37,2878388.0
