date,open,high,low,close,volume
2025-04-24,18.76,19.045,18.76,18.81,5285940.0
2025-04-25,18.81,18.8309,17.585,17.83,11084807.0
2025-04-28,17.79,17.84,17.53,17.75,6635566.0
2025-04-29,17.83,17.94,17.465,17.76,8170183.0
2025-04-30,17.69,17.935,17.5001,17.84,7753802.0
2025-05-01,17.89,18.01,17.72,17.78,4502228.0
2025-05-02,17.96,18.14,17.75,17.81,5480605.0
2025-05-05,17.7,17.87,17.57,17.58,5386391.0
2025-05-06,17.55,17.79,17.39,17.44,5056859.0
2025-05-07,17.37,17.51,17.21,17.25,9863051.0
2025-05-08,17.32,17.565,17.2101,17.39,7054264.0
2025-05-09,17.39,17.6,17.3638,17.47,4245665.0
2025-05-12,17.59,17.69,17.325,17.55,7264784.0
2025-05-13,17.55,17.6,17.145,17.25,6254115.0
2025-05-14,17.17,17.17,16.9,16.97,6808336.0
2025-05-15,17.03,17.32,16.94,17.31,8330235.0
2025-05-16,17.38,17.73,17.31,17.73,7607209.0
2025-05-19,17.44,17.73,17.44,17.72,5908927.0
2025-05-20,17.58,17.765,17.48,17.49,7367278.0
2025-05-21,17.42,17.47,16.82,16.83,9504699.0
2025-05-22,16.83,16.92,16.635,16.82,5683035.0
2025-05-23,16.78,16.92,16.67,16.84,5878309.0
2025-05-27,16.97,17.405,16.945,17.35,6536430.0
2025-05-28,17.44,17.45,17.12,17.41,10146951.0
2025-05-29,17.46,17.67,17.25,17.52,6774065.0
2025-05-30,17.42,17.535,17.32,17.41,9932477.0
2025-06-02,17.3,17.43,17.14,17.41,4934112.0
2025-06-03,17.38,17.38,16.905,17.15,6344867.0
2025-06-04,17.2,17.22,17.05,17.1,4165881.0
2025-06-05,17.06,17.265,16.905,17.08,5475777.0
2025-06-06,17.235,17.29,17.12,17.26,4569569.0
2025-06-09,17.29,17.48,17.12,17.27,4366333.0
2025-06-10,17.29,17.665,17.25,17.6,5181777.0
2025-06-11,17.65,17.75,17.41,17.51,4769351.0
2025-06-12,17.5,17.55,17.365,17.5,4496914.0
2025-06-13,17.34,17.475,17.245,17.38,4889979.0
2025-06-16,17.35,17.465,17.09,17.14,5171082.0
2025-06-17,17.09,17.205,16.95,17.01,4495483.0
2025-06-18,17.09,17.28,16.96,17.05,5384444.0
2025-06-20,17.12,17.358,17.09,17.1,10740396.0
2025-06-23,17.14,17.52,17.13,17.49,6258030.0
2025-06-24,17.42,17.64,17.42,17.49,7394522.0
2025-06-25,17.44,17.48,17.167,17.31,10403832.0
2025-06-26,17.37,17.51,17.295,17.48,7602460.0
2025-06-27,17.5,17.59,17.24,17.36,9420997.0
2025-06-30,17.37,17.52,17.09,17.51,7523329.0
2025-07-01,17.425,18.135,17.425,17.88,8679653.0
2025-07-02,17.77,18.36,17.77,18.31,9219282.0
2025-07-03,18.26,18.475,18.19,18.22,5546828.0
2025-07-07,18.32,18.32,17.82,17.98,6445315.0
2025-07-08,17.935,18.28,17.83,18.21,5116805.0
2025-07-09,18.27,18.325,18.18,18.26,5035495.0
2025-07-10,18.26,18.7,18.21,18.54,6325430.0
2025-07-11,18.395,18.515,18.285,18.45,5349179.0
2025-07-14,18.41,18.57,18.38,18.54,5492165.0
