date,open,high,low,close,volume
2025-04-11,452.18,465.89,445.33,462.17,625154.0
2025-04-14,465.39,476.59,464.5,475.87,588112.0
2025-04-15,473.38,473.8783,464.92,468.56,409406.0
2025-04-16,467.85,469.775,457.4,462.25,368688.0
2025-04-17,463.41,470.7,460.245,466.74,403893.0
2025-04-21,466.77,474.09,462.93,468.27,569790.0
2025-04-22,474.9,488.47,469.805,486.14,646011.0
2025-04-23,486.33,491.95,481.66,485.88,581385.0
2025-04-24,482.635,488.07,476.21,487.97,507163.0
2025-04-25,486.96,488.0,480.11,487.58,1020558.0
2025-04-28,477.02,497.56,471.0,490.64,1432576.0
2025-04-29,489.0,498.36,485.95,493.43,650097.0
2025-04-30,489.85,493.93,482.3,490.37,611591.0
2025-05-01,488.39,490.8246,480.93,481.39,499275.0
2025-05-02,486.22,489.45,475.0,484.61,594893.0
2025-05-05,482.0,484.3,477.69,477.84,486025.0
2025-05-06,474.6,480.345,470.0,479.49,458766.0
2025-05-07,480.0,482.13,475.28,476.68,493472.0
2025-05-08,477.95,481.3056,475.02,476.82,435275.0
2025-05-09,477.99,481.55,473.83,478.9,435136.0
2025-05-12,484.6,488.0,477.35,482.11,772677.0
2025-05-13,484.0,489.68,481.17,484.4,681061.0
2025-05-14,483.37,486.4,481.21,483.23,454200.0
2025-05-15,484.195,488.7299,483.83,485.91,352889.0
2025-05-16,490.5,495.85,484.99,495.05,349327.0
2025-05-19,492.23,499.08,492.105,497.52,305225.0
2025-05-20,497.0,499.075,492.17,493.07,358031.0
2025-05-21,488.01,490.1691,478.78,480.49,471494.0
2025-05-22,480.39,485.06,477.005,482.26,416490.0
2025-05-23,476.52,481.93,476.52,480.43,352287.0
2025-05-27,483.31,486.35,480.76,484.56,389032.0
2025-05-28,484.32,488.81,482.96,483.11,373589.0
2025-05-29,483.82,485.465,471.1,474.52,592288.0
2025-05-30,473.1,475.35,470.76,473.82,1229905.0
2025-06-02,471.69,473.095,455.19,466.0,711534.0
2025-06-03,463.89,467.0,458.52,464.53,559629.0
2025-06-04,464.0,470.55,463.92,465.91,384598.0
2025-06-05,465.85,466.885,458.6019,460.03,433689.0
2025-06-06,463.94,468.56,462.0001,468.21,432106.0
2025-06-09,468.69,470.05,461.115,467.95,501572.0
2025-06-10,461.135,462.75,452.045,455.49,626695.0
2025-06-11,455.65,457.0,445.86,446.9,741630.0
2025-06-12,446.24,451.99,444.297,451.0,538619.0
2025-06-13,448.38,460.55,446.4,452.15,852872.0
2025-06-16,455.0,458.63,446.1,454.45,627529.0
2025-06-17,452.77,463.97,452.77,458.78,501926.0
2025-06-18,458.43,458.43,446.75,446.77,586039.0
2025-06-20,450.7,453.99,446.275,447.28,861884.0
2025-06-23,450.03,458.07,445.0,457.61,538727.0
2025-06-24,458.03,463.0,452.13,459.97,459472.0
2025-06-25,459.66,465.0,451.81,453.13,571303.0
2025-06-26,458.04,458.645,448.06,454.72,604124.0
2025-06-27,454.27,454.27,439.32,446.39,963262.0
2025-06-30,445.75,451.21,443.53,450.6,668875.0
2025-07-01,451.19,462.02,449.105,457.53,434198.0
2025-07-02,455.23,457.0,445.44,453.94,510219.0
2025-07-03,451.7,453.25,448.88,452.18,390501.0
2025-07-07,451.97,455.5,448.2,453.22,512198.0
2025-07-08,453.07,460.2,448.36,459.43,600870.0
2025-07-09,459.49,469.26,457.02,463.48,571634.0
2025-07-10,463.48,473.46,462.67,469.92,476249.0
2025-07-11,470.79,470.79,462.94,464.48,421959.0
2025-07-14,465.0,474.9499,463.575,472.94,627414.0
2025-07-15,473.02,477.95,465.24,465.39,419466.0
2025-07-16,467.63,472.58,462.84,465.3,783170.0
2025-07-17,465.41,472.0,460.285,468.705,852561.0
2025-07-18,469.72,472.0,464.34,465.95,1159623.0
2025-07-21,488.98,496.0,452.825,462.24,2382381.0
2025-07-22,465.15,482.7,458.12,480.97,1234599.0
2025-07-23,483.03,484.435,474.74,478.05,727848.0
2025-07-24,472.64,483.5,469.82,476.34,745516.0
2025-07-25,478.1,486.45,477.34,485.53,422946.0
2025-07-28,486.0,486.6757,471.32,474.32,744792.0
2025-07-29,472.71,473.4,466.355,470.05,711161.0
2025-07-30,470.05,475.9,469.76,475.38,515909.0
2025-07-31,470.13,477.0,461.49,463.21,848807.0
2025-08-01,464.89,467.65,461.4,466.17,511463.0
2025-08-04,466.36,468.49,461.5,467.98,512311.0
2025-08-05,464.61,465.49,446.81,447.13,855772.0
2025-08-06,447.1,451.4999,439.38,443.78,749350.0
2025-08-07,446.39,448.09,439.0,442.42,645410.0
2025-08-08,440.0,446.905,439.55,440.04,469133.0
2025-08-11,439.71,442.44,433.5,440.54,679132.0
2025-08-12,441.45,444.99,438.71,441.19,540572.0
2025-08-13,440.2,451.69,439.95,450.98,449195.0
2025-08-14,447.78,452.17,446.76,450.59,534001.0
2025-08-15,451.25,455.25,447.82,451.26,559614.0
2025-08-18,451.5,453.375,444.45,444.85,745757.0
2025-08-19,444.85,456.17,444.45,450.56,687212.0
2025-08-20,451.0,454.655,441.8,442.86,843592.0
2025-08-21,440.47,448.64,437.45,446.86,713824.0
2025-08-22,448.58,451.52,445.5,450.99,768804.0
2025-08-25,451.22,463.075,450.6,460.66,817745.0
2025-08-26,460.24,461.15,444.47,451.22,754029.0
2025-08-27,452.84,465.595,451.2,452.55,855649.0
2025-08-28,454.08,455.28,447.01,448.96,477351.0
2025-08-29,451.31,460.27,451.31,458.3,430521.0
2025-09-02,459.21,469.0,459.21,467.3,597241.0
2025-09-03,464.62,468.87,463.9825,466.6,386729.0
2025-09-04,467.11,467.825,455.535,462.6,463479.0
2025-09-05,463.06,466.6,458.7592,463.83,329253.0
2025-09-08,464.16,467.22,456.51,466.105,527696.0
2025-09-09,463.2,464.2262,458.0,458.97,418975.0
2025-09-10,456.19,458.9,445.43,450.56,682870.0
2025-09-11,449.5,458.29,446.88,456.62,533776.0
2025-09-12,455.84,458.27,451.13,452.05,437271.0
2025-09-15,451.66,455.72,448.12,449.95,512821.0
2025-09-16,448.08,450.03,440.525,442.42,634910.0
2025-09-17,443.94,446.49,436.98,438.21,611113.0
2025-09-18,436.59,436.59,427.32,430.08,813736.0
2025-09-19,432.7,432.7,427.43,428.71,1485803.0
2025-09-22,428.71,429.5,422.86,424.96,1033359.0
2025-09-23,425.0,426.285,420.52,423.89,689204.0
2025-09-24,424.0,429.0,423.355,425.3,554066.0
2025-09-25,427.33,427.64,420.23,422.75,565261.0
2025-09-26,431.0,441.635,429.395,435.75,932213.0
2025-09-29,437.19,437.6278,432.0,434.41,704851.0
2025-09-30,432.3,432.97,427.665,431.71,564859.0
2025-10-01,431.95,435.94,427.16,428.16,606760.0
2025-10-02,426.52,432.98,423.378,431.24,492262.0
2025-10-03,430.0,431.24,426.12,426.71,541262.0
2025-10-06,426.0,430.0,421.38,422.91,442634.0
2025-10-07,423.37,424.975,409.83,411.43,789676.0
2025-10-08,414.14,417.15,411.293,413.5,557394.0
2025-10-09,415.56,415.78,405.11,405.33,883302.0
2025-10-10,407.0,412.0,404.37,406.37,882210.0
2025-10-13,404.56,410.9,403.535,408.26,991883.0
2025-10-14,407.245,428.26,398.81,424.23,1630730.0
2025-10-15,421.48,425.62,413.005,417.46,873415.0
2025-10-16,417.22,426.0,414.32,416.95,661235.0
2025-10-17,417.71,420.705,415.52,416.26,514994.0
2025-10-20,417.13,425.05,417.13,422.94,402942.0
2025-10-21,422.94,424.1,418.5,419.88,434440.0
2025-10-22,420.52,425.2397,416.0,424.82,635203.0
2025-10-23,423.11,424.81,420.525,421.76,689809.0
2025-10-24,422.25,423.69,414.24,414.86,482575.0
2025-10-27,415.05,415.25,407.7844,412.7,554938.0
2025-10-28,412.71,414.99,409.95,410.97,430876.0
2025-10-29,408.2,410.0256,403.27,405.87,550240.0
2025-10-30,402.83,407.08,401.84,403.96,685368.0
2025-10-31,403.0,403.0,394.3,398.46,716558.0
2025-11-03,398.66,406.9,392.89,403.63,715192.0
2025-11-04,407.89,410.05,403.34,406.88,649107.0
2025-11-05,406.28,408.21,399.25,400.41,686568.0
2025-11-06,400.8,405.99,397.72,401.46,516104.0
2025-11-07,402.49,411.08,401.0,410.18,486479.0
2025-11-10,409.0,410.1799,398.85,407.59,463807.0
2025-11-11,409.03,410.86,406.405,409.23,279060.0
2025-11-12,409.04,411.51,402.2,403.76,544147.0
2025-11-13,404.63,412.3,403.99,408.68,486008.0
2025-11-14,409.41,412.77,405.2101,410.16,445580.0
2025-11-17,410.6,411.414,403.15,404.63,500655.0
2025-11-18,403.41,408.0,400.0001,403.34,312470.0
2025-11-19,403.45,405.35,399.5,399.67,326024.0
2025-11-20,399.96,403.0,397.07,397.21,486481.0
2025-11-21,398.67,413.65,398.17,407.4,476290.0
2025-11-24,409.0,413.57,401.25,402.67,667397.0
