date,open,high,low,close,volume
2025-04-10,129.83,130.9,126.71,128.75,1848824.0
2025-04-11,128.29,129.8925,126.7535,129.82,2031555.0
2025-04-14,130.35,133.962,129.9377,133.19,1398563.0
2025-04-15,133.19,134.27,132.555,132.92,1459906.0
2025-04-16,134.11,134.245,131.48,132.02,781208.0
2025-04-17,132.71,135.29,132.685,133.55,1389437.0
2025-04-21,132.83,133.275,130.19,131.78,2357646.0
2025-04-22,133.09,136.42,132.795,135.8,2345145.0
2025-04-23,135.51,136.76,134.04,136.16,2383790.0
2025-04-24,135.69,137.75,134.91,136.98,1832973.0
2025-04-25,136.66,136.79,134.32,134.76,1294720.0
2025-04-28,134.84,136.12,133.06,135.69,1118360.0
2025-04-29,135.1,137.75,134.75,136.76,1780976.0
2025-04-30,137.21,137.48,133.98,137.0,2719079.0
2025-05-01,138.0,138.4,135.195,135.84,1626552.0
2025-05-02,136.1,136.68,135.06,136.36,709912.0
2025-05-05,136.52,136.97,135.06,136.69,1407375.0
2025-05-06,136.74,138.38,136.03,137.66,1206099.0
2025-05-07,137.43,139.53,137.43,138.61,1197604.0
2025-05-08,137.98,138.355,135.44,135.71,1404483.0
2025-05-09,136.05,136.5,134.94,136.12,913130.0
2025-05-12,135.0,135.115,131.79,133.1,1376565.0
2025-05-13,132.99,133.93,131.88,132.84,1837822.0
2025-05-14,132.78,133.11,129.64,132.69,2181266.0
2025-05-15,133.73,136.605,133.15,136.3,2464380.0
2025-05-16,135.98,138.21,135.89,138.07,1722395.0
2025-05-19,137.62,138.72,136.5,138.57,1101854.0
2025-05-20,138.3,139.25,137.93,138.39,762918.0
2025-05-21,138.05,138.25,135.24,136.11,1459459.0
2025-05-22,135.24,135.44,133.39,134.62,2046315.0
2025-05-23,135.8,136.69,134.03,136.32,1069038.0
2025-05-27,137.49,137.6199,136.2,137.12,746361.0
2025-05-28,136.73,136.73,134.34,134.98,1055377.0
2025-05-29,134.72,136.27,134.58,136.26,1022904.0
2025-05-30,135.95,137.0225,135.745,136.65,1520081.0
2025-06-02,135.9,136.695,135.21,135.98,1073301.0
2025-06-03,136.46,136.61,134.08,135.56,1097492.0
2025-06-04,135.52,135.52,133.28,133.31,1159023.0
2025-06-05,133.26,133.26,132.1,132.7,1479905.0
2025-06-06,133.26,134.3,132.405,133.85,1419916.0
2025-06-09,133.5,134.68,132.99,133.9,1077394.0
2025-06-10,134.17,135.18,133.24,134.88,1250735.0
2025-06-11,135.12,135.25,134.4,134.97,1290443.0
2025-06-12,135.1,136.03,134.88,136.03,1037954.0
2025-06-13,136.03,136.255,134.87,135.22,1182839.0
2025-06-16,134.53,135.115,132.24,133.16,1532803.0
2025-06-17,132.93,133.275,131.2,131.97,2067093.0
2025-06-18,132.29,132.71,131.09,131.8,1565978.0
2025-06-20,132.0,133.3,131.8376,132.32,1615350.0
2025-06-23,133.29,134.42,133.265,134.04,835003.0
2025-06-24,133.16,134.165,132.78,133.22,1346274.0
2025-06-25,132.36,132.715,130.335,130.87,1156333.0
2025-06-26,131.08,131.89,130.6,131.56,1196343.0
2025-06-27,131.6,132.74,131.23,131.62,1870358.0
