date,open,high,low,close,volume
2025-05-08,69.7,71.53,69.4,70.56,5813723.0
2025-05-09,70.55,70.615,69.27,69.51,3476490.0
2025-05-12,70.795,71.09,67.87,69.16,7539237.0
2025-05-13,69.66,70.26,68.6,69.17,4900139.0
2025-05-14,69.0,69.675,68.89,69.15,3683759.0
2025-05-15,69.65,70.8,69.41,70.6,5585308.0
2025-05-16,70.81,71.9,70.415,71.84,5575074.0
2025-05-19,71.1,72.49,70.72,72.43,4096752.0
2025-05-20,72.39,72.94,72.035,72.59,5081289.0
2025-05-21,72.25,72.61,71.43,71.58,3949907.0
2025-05-22,71.0,72.52,71.0,72.15,4064714.0
2025-05-23,71.57,72.65,71.53,71.92,3562380.0
2025-05-27,72.52,72.94,71.685,72.44,4285707.0
2025-05-28,72.48,73.18,71.85,72.4,6426869.0
2025-05-29,72.71,73.09,72.12,72.74,3271961.0
2025-05-30,72.42,73.34,72.33,73.17,8557967.0
2025-06-02,72.84,74.94,72.835,74.53,5304801.0
2025-06-03,74.33,76.06,74.21,75.95,6931784.0
2025-06-04,76.27,77.33,75.96,77.1,6285402.0
2025-06-05,77.25,78.65,77.12,77.74,6642375.0
2025-06-06,78.11,79.5,77.885,78.61,4755977.0
2025-06-09,78.31,79.655,77.78,79.365,4877437.0
2025-06-10,79.33,79.84,78.62,78.77,6075307.0
2025-06-11,78.63,78.77,77.16,77.88,6244829.0
2025-06-12,78.08,78.15,77.08,77.44,4679860.0
2025-06-13,76.95,78.11,76.73,77.36,3415924.0
2025-06-16,77.81,78.1,76.89,77.71,4940497.0
2025-06-17,77.44,77.7,77.03,77.4,5041594.0
2025-06-18,77.48,78.25,76.86,77.53,6705715.0
2025-06-20,77.8,78.19,77.05,77.62,11018090.0
2025-06-23,77.5,77.95,76.4,76.86,5935100.0
2025-06-24,77.05,77.08,74.32,74.35,9152883.0
2025-06-25,74.225,75.46,74.0401,74.52,4787772.0
2025-06-26,74.62,74.9479,72.84,73.68,6989631.0
2025-06-27,73.91,74.4,73.18,73.76,7445645.0
2025-06-30,74.24,74.6,73.68,74.46,4932345.0
2025-07-01,74.785,77.065,74.66,76.1,6177640.0
2025-07-02,75.87,76.32,75.24,75.78,3920767.0
2025-07-03,76.13,76.8,75.95,76.36,2162941.0
2025-07-07,76.17,76.7486,75.28,75.91,4845942.0
2025-07-08,75.69,75.9,75.12,75.33,3405273.0
2025-07-09,75.56,76.33,75.1708,76.32,3495293.0
2025-07-10,76.97,77.7,76.085,77.22,3905024.0
2025-07-11,77.31,77.31,76.235,77.11,3593597.0
2025-07-14,77.25,78.25,77.1606,77.63,3283926.0
2025-07-15,77.57,78.43,77.17,77.22,3587877.0
2025-07-16,76.945,77.35,76.23,76.92,4002990.0
2025-07-17,77.21,77.852,75.775,76.79,4393388.0
2025-07-18,76.96,78.37,76.8501,78.14,6744582.0
2025-07-21,78.62,79.23,78.29,79.03,3425096.0
2025-07-22,79.48,81.905,79.35,81.76,4214611.0
2025-07-23,82.02,82.11,81.03,81.93,5339450.0
2025-07-24,82.22,82.95,81.82,82.45,5202750.0
2025-07-25,83.02,83.53,81.39,81.43,6918937.0
2025-07-28,81.19,81.28,78.46,79.0,9522172.0
2025-07-29,79.05,79.3361,78.0,78.5,4531225.0
2025-07-30,78.62,78.78,77.12,77.56,8042903.0
2025-07-31,88.2,92.79,87.75,91.75,20280217.0
2025-08-01,89.18,92.48,88.95,91.74,11878219.0
2025-08-04,91.885,93.455,91.51,92.86,6767882.0
2025-08-05,92.92,93.1,91.06,91.28,6218997.0
2025-08-06,90.92,93.35,90.76,92.54,4729247.0
2025-08-07,92.78,93.5,92.26,93.02,4940402.0
2025-08-08,93.39,93.5,92.24,93.14,5326480.0
2025-08-11,93.12,95.37,92.795,95.3,6543517.0
2025-08-12,94.925,97.185,94.7868,97.06,5690655.0
2025-08-13,97.83,100.96,97.7,100.77,7374054.0
2025-08-14,99.51,99.87,97.45,98.48,6048737.0
2025-08-15,98.45,101.15,97.99,100.7,6130964.0
2025-08-18,100.64,100.85,98.655,99.03,5531406.0
2025-08-19,98.94,99.93,98.49,99.89,3714914.0
2025-08-20,99.44,100.5251,98.94,99.15,6345776.0
2025-08-21,98.41,99.375,97.81,98.86,4321618.0
2025-08-22,99.56,99.56,98.15,99.22,6651894.0
2025-08-25,99.52,99.74,98.52,98.55,3610084.0
2025-08-26,98.36,98.42,93.56,94.64,10007214.0
2025-08-27,94.8,95.09,93.55,93.67,5617900.0
2025-08-28,93.61,93.75,91.8707,92.8,6203708.0
2025-08-29,92.54,93.0,90.31,90.61,7270560.0
2025-09-02,89.42,90.68,89.1554,89.89,7019581.0
2025-09-03,88.94,90.17,87.95,90.16,4889697.0
2025-09-04,90.54,93.27,90.49,93.03,4797387.0
2025-09-05,93.215,94.2,91.55,92.66,5657421.0
2025-09-08,92.97,93.59,92.13,93.02,6847125.0
2025-09-09,92.41,92.78,90.62,92.455,4756189.0
2025-09-10,91.89,92.38,90.81,91.29,2989495.0
2025-09-11,91.63,93.47,91.505,92.46,4427638.0
2025-09-12,91.68,91.82,89.35,90.8,4717495.0
2025-09-15,90.52,90.96,89.43,90.36,4002945.0
2025-09-16,90.36,90.46,88.04,88.85,7728473.0
