date,open,high,low,close,volume
2026-06-24,101.16,102.31,98.25,99.86,8741763.263513
2026-06-25,100.275,100.719,94.78,97.19,8712845.261771
2026-06-26,94.9,100.2,94.6237,97.3,24495320.746092
2026-06-29,100.15,102.68,99.22,100.84,10408347.899782
2026-06-30,97.98,102.775,97.53,101.5,9310299.455182
2026-07-01,100.94,102.86,98.62,100.88,5115491.900672
2026-07-02,101.05,103.68,100.0,101.5,4013026.587683
2026-07-06,102.27,104.74,96.72,98.29,5212914.524974
2026-07-07,100.51,101.68,97.3,97.91,4914483.221561
2026-07-08,97.545,100.508,95.39,96.28,4047261.200833
2026-07-09,96.2,98.985,95.8,97.96,4045334.93101
2026-07-10,97.71,98.21,95.35,96.0,3407677.887819
2026-07-13,94.56,94.88,91.92,92.9,3763692.51567
2026-07-14,93.775,96.42,93.53,94.5,7040390.537114
2026-07-15,94.18,96.92,92.33,96.57,4111974.132503
2026-07-16,95.92,96.11,90.485,91.54,5377872.469576
2026-07-17,90.79,93.43,89.15,92.0,5872383.936098
