date,open,high,low,close,volume
2025-07-14,266.0,268.49,264.92,268.23,949183.0
2025-07-15,268.23,268.23,264.67,264.83,1146567.0
2025-07-16,264.93,267.75,263.43,267.72,973727.0
2025-07-17,267.17,269.42,266.57,269.01,742010.0
2025-07-18,269.43,269.53,267.21,268.75,1432642.0
2025-07-21,269.11,270.57,267.51,268.11,799313.0
2025-07-22,268.26,270.79,267.7201,270.55,1107457.0
2025-07-23,271.45,271.45,267.42,268.5,971372.0
2025-07-24,268.42,270.59,266.09,269.83,1302788.0
2025-07-25,270.22,272.32,268.952,271.75,972465.0
2025-07-28,270.97,272.3195,269.07,269.99,1793841.0
2025-07-29,267.12,267.12,255.025,259.39,2264943.0
2025-07-30,260.11,265.91,259.01,263.13,1710336.0
2025-07-31,261.62,266.19,261.48,261.76,1364969.0
2025-08-01,261.77,261.795,259.35,261.01,893772.0
2025-08-04,261.06,264.32,259.61,264.28,716935.0
2025-08-05,265.0,266.6762,263.02,266.48,1138914.0
2025-08-06,267.42,269.0,265.5201,268.79,981282.0
2025-08-07,270.38,271.9999,268.26,269.77,632627.0
2025-08-08,270.1,273.8,269.65,272.87,833184.0
2025-08-11,273.0,274.0,271.57,273.5,943629.0
2025-08-12,274.69,276.66,270.57,276.62,1209772.0
2025-08-13,277.775,281.96,277.16,281.83,1360572.0
2025-08-14,280.91,281.0,278.3,279.98,1191198.0
2025-08-15,280.58,281.03,277.82,280.83,1250289.0
2025-08-18,281.22,282.67,279.425,280.08,1428196.0
2025-08-19,280.31,285.11,280.31,283.66,1000159.0
2025-08-20,283.41,286.04,282.25,285.47,1118583.0
2025-08-21,283.89,284.395,282.23,283.06,1060363.0
2025-08-22,284.39,286.04,283.35,283.73,1149491.0
2025-08-25,283.2,284.1,278.07,278.36,1098262.0
2025-08-26,277.61,279.375,277.26,279.22,1817272.0
2025-08-27,279.07,280.98,278.285,280.38,959500.0
2025-08-28,279.73,280.4,277.45,279.02,852574.0
2025-08-29,279.05,280.0901,276.575,277.04,925310.0
2025-09-02,275.26,276.66,274.28,274.79,988862.0
2025-09-03,274.38,275.555,271.81,273.23,1428961.0
2025-09-04,273.97,275.3467,272.87,274.94,1526616.0
2025-09-05,276.35,277.5,272.96,273.56,1244000.0
2025-09-08,273.28,275.62,271.39,275.35,1595615.0
