date,open,high,low,close,volume
2025-04-10,106.48,109.49,105.57,108.3,3382289.0
2025-04-11,108.18,110.64,106.96,109.84,2617288.0
2025-04-14,109.28,112.445,108.9,112.25,2133340.0
2025-04-15,112.42,112.88,111.58,111.81,2314523.0
2025-04-16,112.63,112.98,111.06,111.44,2133038.0
2025-04-17,111.47,113.41,111.4,112.1,2055242.0
2025-04-21,111.89,112.15,109.98,110.96,2333943.0
2025-04-22,111.5,113.56,111.471,113.3,1833656.0
2025-04-23,112.23,113.1,111.34,112.52,2098373.0
2025-04-24,112.28,112.5,110.78,111.29,2389269.0
2025-04-25,111.38,111.48,109.75,110.45,2820849.0
2025-04-28,110.26,111.27,108.86,111.13,2938240.0
2025-04-29,110.95,112.38,110.315,112.13,2000418.0
2025-04-30,112.81,113.27,110.7,112.75,4940839.0
2025-05-01,112.9,113.46,111.535,112.56,3265519.0
2025-05-02,110.36,111.89,109.25,110.03,3421767.0
2025-05-05,110.34,110.6703,108.9,109.52,3225219.0
2025-05-06,109.84,111.34,109.03,110.47,2186858.0
2025-05-07,110.21,111.76,110.21,111.04,3555181.0
2025-05-08,110.65,110.9475,107.5,107.75,3652455.0
2025-05-09,108.2,108.2,107.0387,107.68,2248912.0
2025-05-12,105.63,106.6,102.95,103.54,3918415.0
2025-05-13,103.25,103.31,100.1,100.58,4495917.0
2025-05-14,99.265,99.6,97.78,99.27,3383905.0
2025-05-15,100.135,102.09,99.87,102.01,3497345.0
2025-05-16,102.03,104.43,101.7,104.29,2758882.0
2025-05-19,104.35,105.41,103.9,105.38,2047865.0
2025-05-20,105.05,106.08,105.01,105.71,2177662.0
2025-05-21,105.62,105.91,104.75,105.22,2741568.0
2025-05-22,104.98,104.98,102.95,103.42,2266069.0
2025-05-23,104.38,104.68,102.45,104.1,2116235.0
2025-05-27,104.27,104.48,103.47,103.97,2638922.0
2025-05-28,103.63,104.15,101.93,102.11,1945687.0
2025-05-29,101.69,103.73,101.475,103.38,2762859.0
2025-05-30,103.48,105.1,102.95,104.49,6398572.0
2025-06-02,103.64,104.81,103.155,103.86,2292241.0
2025-06-03,103.86,103.89,102.18,103.24,2316659.0
2025-06-04,103.23,103.8,101.8875,102.21,1845717.0
2025-06-05,102.5,102.5,101.27,102.27,2734457.0
2025-06-06,102.11,102.545,101.08,101.61,1694578.0
2025-06-09,101.36,101.98,100.58,101.11,1781808.0
2025-06-10,101.4,102.73,100.91,102.4,2311885.0
2025-06-11,102.19,102.7,101.8,102.55,2439137.0
2025-06-12,103.14,103.77,102.67,103.76,1902564.0
2025-06-13,103.94,105.28,103.695,103.96,3337359.0
2025-06-16,104.0,104.52,100.93,101.63,2737989.0
2025-06-17,101.61,101.76,100.5,101.35,2844894.0
2025-06-18,101.5,101.89,100.58,100.73,2620595.0
2025-06-20,100.67,101.82,100.51,100.97,7504224.0
2025-06-23,101.81,102.47,100.635,101.15,3957784.0
2025-06-24,100.67,101.34,100.07,100.19,2952898.0
2025-06-25,99.34,99.925,97.34,98.05,4397192.0
2025-06-26,98.31,98.69,97.9,98.41,2655622.0
2025-06-27,98.4,98.66,97.84,98.15,2880053.0
2025-06-30,98.825,100.43,98.6,100.35,2930483.0
2025-07-01,100.77,101.61,99.58,100.78,2749128.0
2025-07-02,100.4,101.28,99.09,99.92,2485839.0
2025-07-03,100.38,100.76,99.685,100.31,1316576.0
2025-07-07,100.3,100.4,99.245,99.71,1800719.0
2025-07-08,98.64,100.0,97.9,99.31,3451218.0
2025-07-09,99.4,100.35,99.0,99.97,2782533.0
2025-07-10,99.2,101.38,99.2,101.07,1851807.0
2025-07-11,100.46,101.31,99.83,100.59,1853687.0
2025-07-14,100.56,101.97,100.3,101.01,1409864.0
2025-07-15,100.38,100.71,99.49,99.95,1731322.0
2025-07-16,99.78,100.65,99.58,100.46,1865373.0
2025-07-17,100.14,100.97,99.935,100.6,2131709.0
2025-07-18,101.0,101.77,100.485,101.08,1813453.0
2025-07-21,101.04,102.81,101.01,102.07,1667769.0
2025-07-22,102.31,104.33,102.26,103.59,1663862.0
2025-07-23,103.37,103.9,101.955,102.55,2563086.0
2025-07-24,102.47,102.8,101.75,102.05,2467810.0
2025-07-25,101.97,102.645,101.485,102.26,1375737.0
2025-07-28,101.88,101.935,100.4744,100.98,1995248.0
2025-07-29,101.02,102.27,100.8,102.24,1265041.0
2025-07-30,102.14,103.66,101.76,102.59,1565213.0
