date,open,high,low,close,volume
2025-04-10,345.95,346.74,335.1687,341.4,361934.0
2025-04-11,347.07,351.28,337.17,349.54,383665.0
2025-04-14,354.4,359.03,351.78,353.02,337123.0
2025-04-15,344.91,354.9899,344.91,349.85,292740.0
2025-04-16,351.75,354.5,347.1,347.6,344246.0
2025-04-17,349.08,352.035,346.58,349.93,355874.0
2025-04-21,348.85,349.263,340.36,342.87,318848.0
2025-04-22,348.04,358.0,347.28,357.2,305298.0
2025-04-23,357.65,359.745,353.94,356.2,393670.0
2025-04-24,353.49,356.49,350.3352,355.19,357496.0
2025-04-25,355.07,357.42,348.01,353.15,256098.0
2025-04-28,353.15,356.79,352.82,355.03,354674.0
2025-04-29,355.77,359.92,354.43,359.29,379638.0
2025-04-30,359.94,359.94,351.26,358.83,386798.0
2025-05-01,325.0,350.88,325.0,337.38,644990.0
2025-05-02,342.0,349.795,340.28,348.39,366842.0
2025-05-05,346.83,349.78,344.28,347.36,402850.0
2025-05-06,346.86,350.475,344.55,344.61,410806.0
2025-05-07,345.4,347.7,339.89,342.05,572069.0
2025-05-08,343.85,351.95,342.31,347.21,544778.0
2025-05-09,349.15,349.93,346.59,348.04,325168.0
2025-05-12,350.55,354.76,342.65,347.8,529714.0
2025-05-13,346.81,350.835,345.99,346.15,419550.0
2025-05-14,346.74,347.435,340.89,341.0,567952.0
2025-05-15,342.07,344.7348,339.96,343.89,649822.0
2025-05-16,343.91,349.69,343.005,348.08,417176.0
2025-05-19,348.2,349.21,346.2,347.57,280222.0
2025-05-20,348.48,349.33,346.37,347.51,536527.0
2025-05-21,347.27,347.795,339.58,340.53,483963.0
2025-05-22,340.0,340.01,335.53,336.3,386807.0
2025-05-23,335.05,337.415,331.34,335.94,421507.0
2025-05-27,338.85,343.81,335.97,343.76,356475.0
2025-05-28,340.97,342.4,335.17,335.59,423905.0
2025-05-29,336.86,346.35,336.0,346.35,582031.0
2025-05-30,344.45,349.27,343.03,347.19,630817.0
2025-06-02,343.96,351.84,343.54,351.74,296018.0
2025-06-03,350.88,353.0,345.625,351.22,379653.0
2025-06-04,350.44,351.435,344.5201,344.78,326391.0
2025-06-05,346.27,346.27,338.51,343.82,343752.0
2025-06-06,348.62,348.62,344.165,346.18,186081.0
2025-06-09,346.2,346.975,332.52,340.62,365131.0
2025-06-10,339.85,339.91,335.0,336.29,303521.0
2025-06-11,337.97,338.165,334.0,335.3,284858.0
2025-06-12,333.51,339.87,333.51,339.82,311298.0
2025-06-13,334.62,338.05,333.725,334.61,430435.0
2025-06-16,337.39,340.585,335.61,339.13,328074.0
2025-06-17,337.83,338.015,330.16,333.02,525116.0
2025-06-18,332.19,335.34,331.17,332.9,486639.0
2025-06-20,334.02,340.0,334.0,337.3,1196868.0
2025-06-23,338.09,342.6,337.25,341.82,399439.0
2025-06-24,342.13,343.415,338.91,340.83,484231.0
2025-06-25,339.49,339.565,334.48,336.44,273341.0
2025-06-26,337.56,343.23,336.2857,339.41,216071.0
2025-06-27,337.32,341.0,335.11,336.78,499493.0
2025-06-30,337.04,341.11,335.0,339.85,387505.0
2025-07-01,340.11,342.41,337.075,340.87,554276.0
2025-07-02,340.95,340.95,330.19,334.03,473274.0
2025-07-03,335.54,338.08,333.9,337.48,295283.0
2025-07-07,338.24,339.0,332.225,334.06,243605.0
2025-07-08,332.84,342.79,330.0,341.42,520463.0
2025-07-09,344.14,345.0,339.54,340.19,282830.0
2025-07-10,338.75,341.0,337.89,340.45,300720.0
2025-07-11,337.5,340.74,336.71,339.35,294103.0
2025-07-14,338.0,342.895,337.32,341.05,334716.0
2025-07-15,339.37,340.95,330.23,330.27,324964.0
2025-07-16,331.53,334.7494,328.76,331.91,298800.0
2025-07-17,330.35,334.3,329.5018,334.0,211130.0
2025-07-18,334.36,335.43,332.48,333.07,269574.0
2025-07-21,332.58,334.21,329.68,329.97,313558.0
2025-07-22,331.75,338.0,330.95,337.02,312670.0
2025-07-23,339.37,339.72,333.57,335.87,210551.0
2025-07-24,333.1,337.3,331.65,331.89,238067.0
2025-07-25,332.07,336.98,331.74,336.86,189705.0
2025-07-28,335.38,337.3,330.51,331.35,198377.0
2025-07-29,333.87,335.69,330.51,332.28,271533.0
2025-07-30,330.51,335.53,328.429,332.56,575414.0
2025-07-31,341.12,350.8697,335.13,335.8,702482.0
2025-08-01,334.8,341.96,327.99,331.34,318747.0
2025-08-04,332.36,333.395,325.0,326.04,506209.0
2025-08-05,328.9,330.54,325.15,327.92,420453.0
2025-08-06,330.14,331.795,325.73,328.49,326923.0
2025-08-07,329.34,330.12,325.6313,328.15,262992.0
2025-08-08,330.0,332.56,328.295,329.8,245615.0
2025-08-11,329.5,330.62,328.36,330.4,227571.0
2025-08-12,331.69,332.225,326.485,328.21,281131.0
2025-08-13,328.54,336.95,328.54,336.76,314283.0
2025-08-14,336.01,337.87,334.68,337.12,260821.0
2025-08-15,338.59,338.75,330.87,331.84,355989.0
2025-08-18,330.91,333.6899,330.0,331.97,176393.0
2025-08-19,333.28,338.08,332.62,337.79,193011.0
2025-08-20,338.27,344.6,338.27,343.52,305195.0
2025-08-21,344.0,349.24,344.0,348.06,384958.0
2025-08-22,350.88,352.755,343.23,343.94,260302.0
2025-08-25,342.7,343.505,340.355,341.32,202524.0
2025-08-26,340.22,341.61,337.81,338.72,278661.0
2025-08-27,339.31,345.748,337.525,343.34,252107.0
2025-08-28,342.71,344.0227,338.51,339.88,224643.0
2025-08-29,341.31,344.81,341.31,341.88,220932.0
2025-09-02,341.52,346.0,339.93,345.35,445446.0
2025-09-03,342.0,349.74,341.1,348.53,507950.0
2025-09-04,350.0,351.755,344.93,345.26,341569.0
2025-09-05,343.6,345.265,339.39,340.0,195439.0
2025-09-08,338.79,340.295,334.65,339.58,298620.0
2025-09-09,339.76,341.82,338.85,340.61,332388.0
2025-09-10,338.94,341.3,335.895,340.03,273997.0
2025-09-11,340.93,349.15,338.5,348.44,320445.0
2025-09-12,349.51,352.45,347.66,349.37,487609.0
2025-09-15,348.5,353.4699,339.61,339.84,317776.0
2025-09-16,334.77,336.855,327.35,330.63,386384.0
2025-09-17,331.28,338.77,330.0,333.65,396961.0
2025-09-18,333.03,336.154,332.5,334.75,332183.0
2025-09-19,335.76,337.01,332.27,335.38,1062746.0
2025-09-22,333.0,336.075,332.65,334.83,295549.0
2025-09-23,336.72,340.32,334.6826,337.93,302255.0
2025-09-24,337.87,346.72,333.89,345.54,428187.0
2025-09-25,344.7,349.15,341.945,345.21,409910.0
2025-09-26,347.56,351.95,343.97,349.11,359906.0
2025-09-29,348.86,348.86,343.285,345.49,346835.0
2025-09-30,345.73,350.947,344.5,350.23,234339.0
2025-10-01,351.35,356.29,348.3,353.53,230861.0
2025-10-02,350.06,355.05,348.6301,351.05,196701.0
2025-10-03,350.44,358.95,350.44,356.85,247538.0
2025-10-06,360.0,364.61,358.87,361.56,252534.0
2025-10-07,364.39,368.065,361.88,364.86,299923.0
2025-10-08,366.97,368.29,359.46,360.0,290062.0
2025-10-09,361.65,362.055,349.36,351.77,372035.0
2025-10-10,352.86,356.143,346.64,346.69,272638.0
2025-10-13,344.77,351.09,343.95,351.02,257764.0
2025-10-14,351.18,356.98,347.9649,356.74,242642.0
2025-10-15,354.53,358.53,345.73,348.55,304154.0
2025-10-16,342.99,346.275,338.93,340.85,355727.0
2025-10-17,340.78,352.62,340.78,349.13,463864.0
2025-10-20,350.13,352.7,347.41,350.95,250044.0
2025-10-21,350.05,351.14,348.31,349.16,186004.0
2025-10-22,349.29,353.575,346.98,348.42,231749.0
2025-10-23,349.55,352.23,346.77,349.27,211950.0
2025-10-24,349.61,350.39,345.635,348.94,152031.0
2025-10-27,348.67,349.96,343.27,343.98,234541.0
2025-10-28,325.1,325.1,302.44,304.91,1557830.0
2025-10-29,307.0,314.32,304.595,309.45,711277.0
2025-10-30,311.63,314.4,307.15,309.18,673022.0
2025-10-31,312.79,317.0,309.05,314.52,638005.0
2025-11-03,311.85,317.5599,309.87,313.45,484769.0
2025-11-04,313.53,318.44,312.0,317.69,396280.0
2025-11-05,318.78,324.37,318.4425,321.99,605504.0
2025-11-06,321.0,326.35,318.46,319.61,508099.0
2025-11-07,320.53,328.72,320.53,326.14,598060.0
2025-11-10,324.5,328.96,321.87,328.61,440946.0
2025-11-11,329.54,330.58,323.95,324.43,759471.0
2025-11-12,323.87,327.97,323.26,325.03,552283.0
2025-11-13,326.76,330.37,324.31,327.49,401709.0
2025-11-14,327.95,330.3,324.28,326.23,372445.0
