date,open,high,low,close,volume
2025-05-07,58.5,59.55,57.91,59.26,2876468.0
2025-05-08,59.86,62.16,59.26,61.24,4019576.0
2025-05-09,61.35,62.44,60.92,60.99,2802661.0
2025-05-12,64.65,67.7,64.65,65.36,5516551.0
2025-05-13,65.21,65.85,64.6502,65.48,2836301.0
2025-05-14,65.02,65.02,63.87,64.11,3107146.0
2025-05-15,62.11,64.09,62.03,63.67,2434894.0
2025-05-16,64.77,65.83,63.72,65.17,4460264.0
2025-05-19,64.46,65.81,64.3,65.35,3754081.0
2025-05-20,65.75,67.26,65.16,66.08,3863738.0
2025-05-21,65.2,66.67,63.45,63.66,5315529.0
2025-05-22,63.3,65.19,63.1901,64.42,2927455.0
2025-05-23,63.11,63.93,62.57,63.69,2537382.0
2025-05-27,65.13,67.09,64.5375,67.06,3758720.0
2025-05-28,67.05,67.56,66.15,66.27,2650880.0
2025-05-29,67.82,69.49,67.55,68.67,5816961.0
2025-05-30,68.2,68.5,66.91,66.94,4619449.0
2025-06-02,66.51,66.97,65.415,66.65,2530045.0
2025-06-03,66.69,69.12,64.83,68.93,4211356.0
2025-06-04,69.21,70.29,68.82,68.83,3081281.0
2025-06-05,68.82,68.945,67.2701,67.45,2456906.0
2025-06-06,68.12,68.57,67.25,68.46,2264029.0
2025-06-09,69.78,70.58,68.96,69.0,4188101.0
2025-06-10,69.69,71.17,69.2,70.46,3180714.0
2025-06-11,70.73,71.86,69.65,69.86,3181772.0
2025-06-12,69.03,70.82,68.79,69.99,2649860.0
2025-06-13,68.77,69.88,67.11,67.31,3201657.0
2025-06-16,68.85,74.6,68.78,74.59,6399877.0
2025-06-17,73.02,75.24,71.7468,74.79,6569403.0
2025-06-18,74.78,75.06,73.08,74.72,4884208.0
2025-06-20,75.0,75.42,74.2782,75.19,5265437.0
2025-06-23,77.36,79.25,76.5,78.83,6611185.0
2025-06-24,79.65,80.055,76.1,77.05,8579988.0
2025-06-25,76.51,78.055,75.625,77.56,3718331.0
2025-06-26,78.11,79.32,77.44,79.03,4245926.0
2025-06-27,81.5,83.43,79.7,80.09,10753434.0
2025-06-30,80.1,81.23,79.1408,80.8,4377697.0
2025-07-01,80.75,85.67,80.4,85.11,6024823.0
2025-07-02,85.08,89.25,84.5,88.58,6990161.0
2025-07-03,89.02,89.86,87.92,88.72,2288201.0
2025-07-07,88.08,88.48,85.2715,85.79,4270937.0
2025-07-08,86.0,86.22,84.58,85.56,3056325.0
2025-07-09,86.23,87.22,85.19,86.61,3350746.0
2025-07-10,88.92,92.65,88.92,92.1,5900765.0
2025-07-11,91.05,91.9,90.36,91.08,2975996.0
2025-07-14,90.8,90.805,88.43,89.59,2477754.0
2025-07-15,89.9,90.1967,85.74,86.1,3790855.0
2025-07-16,87.38,87.58,84.09,86.4,2982557.0
2025-07-17,86.4,86.87,85.01,86.56,2844295.0
2025-07-18,86.58,87.34,86.18,87.21,2294032.0
2025-07-21,87.21,87.98,86.04,86.04,2459723.0
2025-07-22,86.1,89.1218,85.83,89.0,3027470.0
2025-07-23,90.2,90.4299,88.83,89.68,3629883.0
2025-07-24,89.01,90.5,86.69,86.77,4803740.0
2025-07-25,89.71,90.49,87.03,90.4,7610750.0
2025-07-28,90.38,93.09,90.26,92.52,4329809.0
2025-07-29,92.91,93.66,90.76,91.4,3738845.0
2025-07-30,92.73,94.69,92.06,93.66,5796230.0
2025-07-31,93.12,95.3,92.4,93.34,3758327.0
2025-08-01,90.6,91.227,88.44,91.04,3145608.0
2025-08-04,91.71,93.0,91.3,92.5,3005976.0
2025-08-05,92.61,93.04,90.54,90.92,2513407.0
2025-08-06,91.26,91.53,89.91,90.15,2350519.0
2025-08-07,90.99,91.405,89.49,91.22,2470607.0
2025-08-08,91.06,92.07,90.41,90.69,2407570.0
2025-08-11,90.85,91.8,88.96,89.14,2821480.0
2025-08-12,89.61,92.2797,89.29,91.7,2712842.0
2025-08-13,92.2,95.47,91.7807,95.26,3639697.0
2025-08-14,92.3,92.3,88.17,89.5,4713716.0
2025-08-15,89.77,91.81,89.275,90.97,4145233.0
2025-08-18,91.0,92.25,88.84,90.74,5075545.0
2025-08-19,91.58,91.61,89.59,89.87,6460906.0
2025-08-20,86.0,89.8,84.42,86.57,12990273.0
2025-08-21,85.165,88.52,84.51,87.72,6316821.0
2025-08-22,88.21,91.94,87.77,91.23,4051423.0
2025-08-25,90.53,91.1,87.9706,88.68,4378522.0
2025-08-26,88.89,89.8925,88.6244,89.82,3811870.0
2025-08-27,89.91,93.25,89.505,92.61,4059731.0
2025-08-28,93.1,93.75,91.395,91.77,1852697.0
2025-08-29,90.39,92.33,90.39,91.73,2357906.0
2025-09-02,90.14,91.02,89.17,90.79,2807960.0
2025-09-03,90.74,92.02,89.88,91.93,3137328.0
2025-09-04,91.79,92.21,87.131,87.46,4786833.0
2025-09-05,87.46,89.88,86.871,89.2,3698853.0
2025-09-08,89.56,89.615,87.2601,88.85,3489502.0
2025-09-09,89.36,89.545,88.3158,88.7,1906695.0
2025-09-10,87.66,88.4,87.21,87.43,2380603.0
2025-09-11,87.45,88.42,86.79,86.81,2302877.0
2025-09-12,86.21,86.48,83.45,83.65,3243831.0
2025-09-15,85.52,87.66,85.11,87.4,3341619.0
2025-09-16,87.55,89.1,86.775,88.52,2257393.0
2025-09-17,88.08,90.6,87.43,88.17,2099521.0
2025-09-18,87.98,89.15,87.49,88.0,1800334.0
2025-09-19,88.15,88.46,86.53,87.8,5342538.0
2025-09-22,87.7,88.88,87.2,87.27,2016398.0
2025-09-23,88.72,89.11,87.42,87.72,1852298.0
2025-09-24,87.75,87.75,85.07,85.33,2352508.0
2025-09-25,84.45,84.785,83.12,83.99,4391014.0
2025-09-26,84.28,86.87,83.775,86.66,2350049.0
2025-09-29,87.77,89.46,86.4404,89.13,6037093.0
2025-09-30,89.07,89.9,87.4,88.12,2877616.0
2025-10-01,88.17,88.32,85.01,86.2,3157108.0
2025-10-02,86.0,89.26,85.78,88.77,2544634.0
2025-10-03,88.5,89.9,87.87,88.02,1825508.0
2025-10-06,88.65,89.23,87.2307,88.66,2051153.0
2025-10-07,89.0,92.71,88.99,92.68,3041227.0
2025-10-08,93.1,96.43,92.08,95.76,3855725.0
2025-10-09,96.0,96.5,93.64,93.97,2341067.0
2025-10-10,94.54,94.77,85.24,87.65,4181093.0
2025-10-13,92.5,95.04,91.64,92.74,3773473.0
2025-10-14,91.24,96.2,91.1,95.0,3874140.0
2025-10-15,97.0,97.15,94.43,95.27,3692802.0
2025-10-16,95.55,98.98,95.5,96.8,4060864.0
2025-10-17,97.47,100.8,97.3,100.78,4414610.0
2025-10-20,103.62,104.53,102.13,102.52,4417379.0
2025-10-21,102.46,102.46,98.32,98.54,5338015.0
2025-10-22,97.86,99.82,97.53,98.63,3464333.0
2025-10-23,99.14,101.3536,99.14,99.49,2717536.0
2025-10-24,101.25,102.54,100.64,102.16,2706205.0
2025-10-27,102.64,103.52,99.6,100.46,3266089.0
2025-10-28,100.03,100.35,97.99,98.76,2441948.0
2025-10-29,98.8,99.85,96.59,97.36,3615032.0
2025-10-30,94.59,100.2,92.39,97.61,5636968.0
2025-10-31,97.13,98.0,94.62,96.69,3833910.0
2025-11-03,96.29,96.53,93.2,93.25,3911175.0
2025-11-04,90.46,92.95,90.2562,92.88,2243385.0
2025-11-05,91.41,92.28,90.47,91.09,8579048.0
2025-11-06,91.095,91.095,87.74,87.78,7269577.0
2025-11-07,87.03,88.08,84.61,87.75,5083204.0
2025-11-10,88.11,90.86,88.1,89.63,3512981.0
