date,open,high,low,close,volume
2025-04-10,101.53,102.32,96.01,99.73,3565956.0
2025-04-11,99.19,101.35,97.61,100.49,3621147.0
2025-04-14,102.16,102.16,99.7436,101.04,3387971.0
2025-04-15,100.86,101.6429,99.88,100.44,2972896.0
2025-04-16,99.52,100.36,97.7198,98.67,2460362.0
2025-04-17,99.2,101.0479,99.2,99.57,2879178.0
2025-04-21,97.89,98.54,95.31,96.42,2721637.0
2025-04-22,97.65,100.11,97.605,99.79,2797670.0
2025-04-23,103.31,106.79,100.79,101.07,3838128.0
2025-04-24,101.05,105.235,100.69,105.05,2762752.0
2025-04-25,104.62,105.97,104.52,105.28,2636092.0
2025-04-28,105.12,106.295,103.42,104.5,2676572.0
2025-04-29,104.31,105.4,103.8,105.09,1635313.0
2025-04-30,103.89,105.33,102.84,105.11,3842208.0
2025-05-01,105.64,107.02,104.52,105.81,2687189.0
2025-05-02,108.0,109.39,106.51,108.32,2569992.0
2025-05-05,107.1,109.25,106.74,108.38,2551561.0
2025-05-06,107.06,108.555,106.53,107.27,4424879.0
2025-05-07,114.96,115.0,108.37,109.86,5066125.0
2025-05-08,110.52,113.44,109.5272,112.38,3481469.0
2025-05-09,113.26,113.54,112.0,112.55,2581418.0
2025-05-12,118.73,120.14,117.01,119.41,4028434.0
2025-05-13,119.85,122.62,119.02,121.49,3944255.0
2025-05-14,121.35,122.235,121.1,121.47,3305142.0
2025-05-15,120.93,121.246,119.59,120.25,2496554.0
2025-05-16,120.2,120.71,119.31,120.61,2712225.0
2025-05-19,118.92,120.12,118.77,119.58,2651858.0
2025-05-20,118.68,119.38,117.46,117.99,2770708.0
2025-05-21,117.07,118.515,116.1,116.15,2243610.0
2025-05-22,115.79,118.25,114.83,117.35,3058506.0
2025-05-23,114.95,118.44,114.91,118.24,4430967.0
2025-05-27,119.97,121.02,118.865,120.97,2591992.0
2025-05-28,121.25,121.49,119.38,119.74,2372694.0
2025-05-29,120.48,120.62,118.87,119.92,1990244.0
2025-05-30,119.45,119.65,118.16,119.38,4057168.0
2025-06-02,119.01,119.16,117.16,118.86,2102153.0
2025-06-03,118.95,121.03,118.48,120.39,2626947.0
2025-06-04,121.0,122.1675,120.465,121.61,2481118.0
2025-06-05,122.38,123.67,121.56,122.5,2823469.0
2025-06-06,124.07,124.45,122.11,123.51,2668600.0
2025-06-09,124.18,126.48,124.0,125.6,3303746.0
2025-06-10,125.75,127.08,125.1701,126.94,3314763.0
2025-06-11,126.45,128.0,125.71,126.49,3488625.0
2025-06-12,125.44,126.86,124.75,126.72,3605705.0
2025-06-13,125.91,126.94,125.25,125.54,3368306.0
2025-06-16,127.26,128.9285,126.45,128.68,2853704.0
2025-06-17,128.13,128.87,127.35,127.37,2788013.0
2025-06-18,127.17,130.07,127.018,128.66,2429527.0
2025-06-20,129.45,129.835,127.85,128.33,5780119.0
2025-06-23,128.61,129.565,126.8,129.41,1901243.0
2025-06-24,130.29,131.33,129.64,130.73,2723076.0
2025-06-25,130.94,130.99,129.03,129.44,2589404.0
2025-06-26,130.26,133.005,130.02,132.73,3019425.0
2025-06-27,133.41,134.15,132.33,133.17,4286977.0
2025-06-30,133.34,133.56,132.47,133.33,2277870.0
2025-07-01,132.94,135.96,132.6001,135.51,2724815.0
2025-07-02,135.87,138.12,134.66,137.79,2874574.0
2025-07-03,138.11,139.9,137.86,139.76,1475984.0
2025-07-07,139.07,139.66,137.5,138.4,5800867.0
2025-07-08,138.9,139.65,138.32,138.73,3312537.0
2025-07-09,139.7,139.91,138.02,139.8,1939767.0
2025-07-10,140.0,142.32,139.59,140.67,2237617.0
2025-07-11,139.64,140.6207,139.07,140.1,2107746.0
2025-07-14,139.6,140.07,138.915,139.9,1636155.0
2025-07-15,140.84,141.1,139.28,139.69,2311834.0
2025-07-16,140.05,140.86,138.43,140.3,3253660.0
2025-07-17,141.0,144.56,140.5,144.39,3394393.0
2025-07-18,144.97,145.28,143.5,144.23,1918401.0
2025-07-21,144.94,144.94,142.86,142.91,1986235.0
2025-07-22,143.04,144.94,141.9,144.34,2684507.0
2025-07-23,145.54,147.02,145.17,146.88,2996618.0
2025-07-24,146.78,147.57,146.1917,146.82,3024572.0
2025-07-25,147.49,149.84,146.59,149.63,2594158.0
2025-07-28,149.51,149.83,148.755,149.48,2528643.0
2025-07-29,150.0,150.27,146.14,147.61,3428161.0
2025-07-30,147.65,147.65,145.23,146.06,3815277.0
2025-07-31,146.16,147.25,144.95,145.51,4561759.0
2025-08-01,142.11,142.475,139.82,141.78,4078741.0
2025-08-04,142.49,143.1425,141.61,142.62,4189904.0
2025-08-05,142.6,143.14,139.37,140.57,5765293.0
2025-08-06,130.79,134.39,123.71,133.93,12875834.0
2025-08-07,135.75,135.985,131.0002,132.83,5119873.0
2025-08-08,133.21,134.165,131.8,132.74,2443667.0
2025-08-11,132.98,133.32,131.73,131.96,2259160.0
2025-08-12,132.2,133.3642,131.14,132.95,3713846.0
2025-08-13,133.5,135.14,133.0301,135.0,3274222.0
2025-08-14,134.26,135.0635,132.8601,134.37,3193373.0
2025-08-15,133.92,133.985,131.44,131.75,3316428.0
2025-08-18,131.03,132.34,130.67,131.83,2781915.0
2025-08-19,132.0,132.83,130.55,131.59,1714691.0
2025-08-20,131.24,132.0299,130.15,130.89,2062228.0
2025-08-21,130.41,131.32,129.9,130.09,3035777.0
2025-08-22,130.94,134.545,130.22,133.77,3643527.0
2025-08-25,133.78,134.135,132.38,132.38,2123218.0
2025-08-26,132.35,133.51,132.2354,133.35,3381420.0
