date,open,high,low,close,volume
2025-05-08,109.04,112.12,108.61,109.71,6135469.0
2025-05-09,110.48,111.15,109.52,111.12,4080006.0
2025-05-12,116.05,117.17,113.96,114.06,3983571.0
2025-05-13,114.63,117.769,113.97,116.65,4113071.0
2025-05-14,115.28,116.2,114.6,115.59,3878579.0
2025-05-15,113.91,115.98,113.12,115.86,3243833.0
2025-05-16,116.51,116.71,114.87,115.5,3406061.0
2025-05-19,114.25,114.625,112.69,113.95,2864014.0
2025-05-20,114.07,114.32,112.43,112.58,2336476.0
2025-05-21,112.86,113.18,111.15,111.38,3198507.0
2025-05-22,110.41,111.44,108.65,110.79,3050877.0
2025-05-23,109.31,110.6,109.31,110.18,1993261.0
2025-05-27,110.61,111.4926,109.43,111.23,2475133.0
2025-05-28,112.7,112.7,110.07,110.45,2260894.0
2025-05-29,110.46,111.03,109.37,109.88,3421596.0
2025-05-30,108.5,109.51,107.46,108.57,5536320.0
2025-06-02,111.11,111.81,109.7,111.34,4151461.0
2025-06-03,111.36,113.89,110.1729,112.82,3279210.0
2025-06-04,112.96,114.53,110.77,110.77,3333941.0
2025-06-05,111.92,112.08,110.43,111.03,2697583.0
2025-06-06,112.69,114.7,112.69,114.05,3055903.0
2025-06-09,114.2,115.28,113.18,114.33,3647654.0
2025-06-10,116.34,119.52,116.0,117.88,4952225.0
2025-06-11,118.95,120.575,117.17,119.92,3893007.0
2025-06-12,119.26,120.76,118.46,120.59,3318656.0
2025-06-13,125.24,125.88,122.5,125.28,7915162.0
2025-06-16,123.39,124.8699,121.66,123.18,5142497.0
2025-06-17,124.585,125.96,123.64,124.64,4563620.0
2025-06-18,125.0,126.73,123.14,123.78,4553402.0
2025-06-20,123.99,125.96,123.8,125.32,11229382.0
2025-06-23,126.855,127.81,121.52,121.99,5079968.0
2025-06-24,120.88,122.2675,119.8,120.68,3981320.0
2025-06-25,120.24,121.18,119.27,119.82,2799001.0
2025-06-26,120.0,121.16,119.46,121.13,2705318.0
