date,open,high,low,close,volume
2025-05-08,70.8,70.93,69.62,69.68,2324829.0
2025-05-09,69.76,70.16,69.48,69.94,1134969.0
2025-05-12,70.7,71.05,70.46,70.9,1557076.0
2025-05-13,70.77,71.02,69.28,69.59,2416234.0
2025-05-14,68.96,69.67,68.345,69.06,2106187.0
2025-05-15,69.29,70.95,69.205,70.86,1772873.0
2025-05-16,71.09,71.8,70.68,71.56,5064755.0
2025-05-19,70.83,71.52,70.58,71.35,1571722.0
2025-05-20,70.98,71.39,70.535,71.11,1355705.0
2025-05-21,70.76,70.97,68.91,68.93,1514959.0
2025-05-22,68.92,69.16,67.85,68.3,1646300.0
2025-05-23,67.98,68.43,66.95,67.61,1354822.0
2025-05-27,68.56,68.875,67.37,68.62,2025616.0
2025-05-28,68.69,69.13,68.17,69.01,2230301.0
2025-05-29,69.09,70.31,68.92,69.98,1818949.0
2025-05-30,69.51,70.295,69.155,70.14,3122806.0
2025-06-02,69.48,70.05,68.66,69.93,1486809.0
2025-06-03,69.54,69.73,68.26,68.9,2043299.0
2025-06-04,68.79,69.255,68.0,69.01,1938528.0
2025-06-05,69.02,69.135,68.3,68.46,1545123.0
2025-06-06,68.88,69.41,67.99,68.5,1287954.0
2025-06-09,68.25,69.86,68.21,69.32,1739156.0
2025-06-10,69.64,70.2,69.42,70.0,1257560.0
2025-06-11,70.21,70.21,68.81,69.27,1441242.0
2025-06-12,69.5,70.18,69.12,70.17,1291668.0
2025-06-13,69.53,70.155,68.29,68.88,1586511.0
2025-06-16,69.4,69.84,68.915,69.1,1362809.0
2025-06-17,69.38,69.38,68.435,68.73,1667384.0
2025-06-18,68.99,69.42,68.36,68.87,1480198.0
2025-06-20,68.97,69.405,68.53,68.99,2959947.0
2025-06-23,69.17,69.87,68.4,69.06,1777337.0
2025-06-24,68.37,68.7458,67.28,67.54,2826721.0
2025-06-25,66.31,66.86,65.1936,65.64,4190752.0
2025-06-26,66.0,67.475,65.54,67.46,2914008.0
2025-06-27,67.79,68.115,66.99,67.35,2081566.0
2025-06-30,67.19,67.54,66.24,67.49,2407850.0
2025-07-01,67.2,68.09,66.5793,67.26,3192761.0
2025-07-02,66.89,67.36,65.87,66.67,1715045.0
2025-07-03,66.56,67.26,66.36,66.88,1362183.0
2025-07-07,67.24,67.99,66.31,66.72,2884404.0
2025-07-08,66.29,67.08,66.04,66.62,1763600.0
2025-07-09,66.62,67.065,66.43,66.53,1737016.0
2025-07-10,66.34,67.54,66.29,67.08,1811103.0
2025-07-11,66.29,67.01,66.11,66.79,1284643.0
2025-07-14,66.89,67.32,66.55,67.02,1215721.0
2025-07-15,66.86,66.97,65.71,66.13,1293953.0
2025-07-16,66.4,67.065,66.16,66.95,1263715.0
2025-07-17,67.05,67.49,66.83,67.28,1497786.0
2025-07-18,67.23,67.54,66.78,67.17,1787704.0
2025-07-21,67.23,67.56,66.61,66.98,1611895.0
2025-07-22,67.03,68.38,66.87,68.32,1801882.0
2025-07-23,68.38,68.51,67.885,68.34,1625133.0
2025-07-24,68.34,68.5,67.52,67.65,2218233.0
2025-07-25,67.62,68.07,67.08,67.37,1507274.0
2025-07-28,67.45,67.49,66.11,66.21,1540937.0
2025-07-29,66.54,67.83,66.29,67.78,1730106.0
2025-07-30,67.34,67.48,64.52,65.3,3933619.0
2025-07-31,64.95,65.1,62.975,63.2,5288532.0
2025-08-01,63.93,63.93,61.71,62.75,3720115.0
2025-08-04,62.72,63.64,62.53,62.67,2858529.0
2025-08-05,64.465,64.465,63.07,63.41,2982639.0
2025-08-06,63.54,64.02,63.11,63.4,2212201.0
2025-08-07,63.59,64.33,63.56,63.89,2492581.0
2025-08-08,64.01,64.1,63.095,63.2,1337579.0
2025-08-11,62.87,63.22,62.24,62.3,1850007.0
2025-08-12,62.32,62.72,62.09,62.7,1612594.0
2025-08-13,62.84,64.03,62.65,63.99,1710457.0
2025-08-14,63.36,63.695,63.19,63.51,1690190.0
2025-08-15,63.48,64.38,63.48,64.12,3890270.0
2025-08-18,64.27,64.45,63.19,63.24,2562790.0
2025-08-19,63.47,64.66,63.315,64.44,1841138.0
2025-08-20,64.76,65.37,64.285,64.48,1840622.0
2025-08-21,64.13,64.687,64.0,64.27,1325142.0
2025-08-22,64.69,65.7,64.48,65.26,1486806.0
2025-08-25,65.24,65.43,64.43,64.8,1205953.0
2025-08-26,64.94,65.2,64.33,64.48,5972521.0
2025-08-27,64.7,65.255,64.45,65.14,1412354.0
2025-08-28,65.43,65.43,64.67,65.29,1069845.0
2025-08-29,65.18,66.2,65.065,66.12,1412928.0
2025-09-02,65.66,65.7,63.645,64.01,1802008.0
2025-09-03,63.65,64.69,63.61,64.67,1369979.0
2025-09-04,65.0,65.62,64.74,65.59,1391157.0
2025-09-05,66.0,67.07,65.85,66.81,2171157.0
2025-09-08,66.22,66.66,65.805,66.39,2189517.0
2025-09-09,66.04,66.76,66.02,66.62,1371678.0
2025-09-10,66.62,67.12,65.73,65.86,1561004.0
2025-09-11,65.89,67.05,65.56,66.89,1448763.0
2025-09-12,66.92,67.105,66.39,66.44,1264534.0
2025-09-15,66.72,66.84,65.2,65.28,1827081.0
2025-09-16,65.15,65.49,64.62,64.75,2576916.0
2025-09-17,64.54,65.715,64.54,64.63,2282970.0
2025-09-18,64.85,65.08,64.29,64.87,2044285.0
2025-09-19,64.82,65.62,64.52,65.05,5032329.0
2025-09-22,64.92,65.34,64.39,65.29,1938934.0
2025-09-23,65.28,65.76,64.99,65.68,1916179.0
2025-09-24,65.47,65.715,64.83,65.16,2675608.0
2025-09-25,64.47,64.84,63.62,63.74,2297215.0
2025-09-26,64.01,64.84,63.72,64.53,2124475.0
2025-09-29,64.18,64.61,63.93,64.12,1990864.0
2025-09-30,63.91,64.77,63.84,64.73,2771399.0
2025-10-01,64.57,64.86,64.03,64.1,2258597.0
2025-10-02,63.84,63.995,63.11,63.48,1686556.0
2025-10-03,63.6,64.11,63.29,63.3,1839759.0
2025-10-06,63.35,63.43,62.175,62.22,1856723.0
2025-10-07,62.44,63.04,62.2,62.47,1603128.0
2025-10-08,62.08,62.415,61.93,62.33,1345809.0
2025-10-09,62.52,62.76,61.82,61.97,1557264.0
2025-10-10,62.11,62.5,61.09,61.67,1645278.0
2025-10-13,61.59,62.13,61.41,62.01,1459670.0
2025-10-14,61.96,62.35,61.72,62.3,1383058.0
2025-10-15,62.44,62.86,61.79,62.09,2073085.0
2025-10-16,62.3,62.3,61.16,61.5,4880863.0
2025-10-17,61.63,62.28,61.39,62.21,5073567.0
2025-10-20,62.62,62.98,62.21,62.35,2558824.0
2025-10-21,62.62,63.49,62.37,62.82,2335532.0
2025-10-22,63.09,63.89,62.57,63.74,2758437.0
2025-10-23,63.89,63.94,62.82,63.33,1741953.0
2025-10-24,63.72,63.78,63.165,63.42,2462942.0
2025-10-27,63.35,63.505,62.59,63.31,2160952.0
2025-10-28,63.04,63.53,61.44,61.46,2323516.0
2025-10-29,59.9,60.7,58.51,58.91,6319581.0
2025-10-30,59.0,60.5,58.595,60.31,4546403.0
2025-10-31,60.11,60.7,59.41,59.44,3669155.0
2025-11-03,58.76,60.06,58.38,59.08,3530123.0
2025-11-04,58.93,59.46,58.47,59.38,3783264.0
2025-11-05,59.68,59.92,58.8,59.77,2998270.0
2025-11-06,59.7,59.9,58.65,58.7,2466968.0
2025-11-07,59.03,59.79,58.8945,59.71,2352065.0
2025-11-10,59.63,59.76,58.79,59.51,2003573.0
2025-11-11,59.85,60.565,59.61,60.49,1987111.0
2025-11-12,60.07,60.57,59.57,59.62,1955764.0
2025-11-13,59.16,59.82,59.06,59.28,2306034.0
2025-11-14,59.63,60.02,59.25,59.42,1923733.0
2025-11-17,59.66,59.72,58.85,59.05,1922755.0
2025-11-18,59.08,59.53,58.8,59.18,1932621.0
2025-11-19,59.15,59.21,58.66,58.94,1932273.0
2025-11-20,59.38,59.94,59.0,59.16,1726365.0
2025-11-21,59.41,60.8555,59.3901,60.55,2948223.0
2025-11-24,60.26,60.91,59.96,60.55,3265297.0
2025-11-25,60.82,61.64,60.775,61.1,1933234.0
2025-11-26,60.89,61.945,60.835,61.58,2186611.0
2025-11-28,61.5,62.04,61.45,61.75,941839.0
2025-12-01,61.28,62.13,61.02,61.44,1963904.0
2025-12-02,61.66,62.16,61.1,61.98,1867199.0
2025-12-03,61.87,62.295,61.77,62.03,2300277.0
2025-12-04,61.9,62.416,61.5,61.61,2796210.0
2025-12-05,61.38,61.835,60.98,61.06,2214130.0
2025-12-08,61.205,61.25,60.02,60.6,2540260.0
2025-12-09,60.91,61.44,60.01,60.05,1955077.0
2025-12-10,60.07,61.12,60.07,60.67,2669579.0
2025-12-11,60.86,61.39,60.42,60.63,2189121.0
2025-12-12,60.9,61.22,60.61,60.95,1952608.0
2025-12-15,61.15,61.29,60.73,61.1,2019648.0
2025-12-16,61.26,61.295,60.47,60.73,2780208.0
2025-12-17,60.96,62.27,60.78,61.98,3384277.0
2025-12-18,61.99,62.64,61.76,62.09,2855750.0
2025-12-19,62.26,62.26,61.36,61.37,4433239.0
2025-12-22,61.19,62.515,60.8901,62.29,3086339.0
2025-12-23,62.45,62.45,61.665,62.33,2037933.0
2025-12-24,62.59,62.99,62.35,62.73,693553.0
2025-12-26,62.7,63.14,62.6,63.09,1567833.0
2025-12-29,63.25,63.305,62.87,63.28,1231977.0
2025-12-30,63.88,64.2,63.11,63.5,1317099.0
2025-12-31,63.5,63.65,63.0,63.04,1592699.0
2026-01-02,62.32,62.34,61.57,62.03,1840304.0
2026-01-05,61.56,61.88,60.885,60.92,2524527.0
2026-01-06,60.67,62.56,60.55,62.41,2072349.0
2026-01-07,62.55,63.0,61.9,61.94,4999554.0
2026-01-08,61.69,63.39,61.69,62.87,1660737.0
2026-01-09,62.36,62.87,60.11,60.44,2772139.0
2026-01-12,60.56,60.88,60.075,60.26,3161374.0
2026-01-13,60.36,60.62,59.1,60.19,1936119.0
2026-01-14,60.15,61.31,60.15,61.2,2087471.0
2026-01-15,61.32,61.9,61.09,61.17,1738952.0
2026-01-16,60.92,62.12,60.31,62.04,2176804.0
2026-01-20,61.195,61.59,60.58,61.02,1866790.0
2026-01-21,61.13,61.57,60.775,61.35,2126529.0
2026-01-22,61.31,61.78,60.63,60.96,2546422.0
2026-01-23,60.91,62.14,60.7,62.09,2789197.0
2026-01-26,62.41,62.495,61.48,62.12,2585781.0
2026-01-27,62.23,62.658,61.99,62.15,3322203.0
2026-01-28,62.17,62.46,60.605,60.76,2405541.0
2026-01-29,61.21,62.02,60.92,61.86,2621530.0
2026-01-30,61.98,62.42,61.265,62.32,2599602.0
2026-02-02,62.58,62.58,61.51,61.61,2163752.0
2026-02-03,61.525,62.4,61.32,61.79,2029914.0
2026-02-04,61.83,63.48,61.83,63.08,2547981.0
2026-02-05,63.2,63.2,61.29,61.77,3362650.0
2026-02-06,61.45,65.0,61.45,63.89,3802297.0
2026-02-09,64.14,64.75,63.655,64.67,3375007.0
2026-02-10,64.68,65.725,64.68,65.57,6663376.0
2026-02-11,65.5,66.21,64.64,64.65,3402205.0
2026-02-12,64.95,65.08,62.16,63.05,5050361.0
2026-02-13,63.19,64.245,62.705,63.86,3251466.0
2026-02-17,64.52,65.11,62.63,63.48,2948469.0
2026-02-18,63.47,63.93,63.085,63.59,1872632.0
2026-02-19,63.12,63.97,62.46,63.05,1811612.0
2026-02-20,63.34,63.57,62.55,62.6,3988551.0
2026-02-23,63.09,63.97,62.5,63.32,3822364.092385
2026-02-24,63.18,63.9052,62.67,63.56,2002228.818794
2026-02-25,63.5,63.885,62.8,63.4,2100844.324128
2026-02-26,63.62,64.455,63.38,64.12,2287609.4167
2026-02-27,63.73,63.9,62.75,63.21,3378197.870307
2026-03-02,63.21,63.63,62.56,63.13,2488688.059991
2026-03-03,62.38,63.19,61.575,62.72,1713620.613896
2026-03-04,62.37,62.975,61.96,62.78,1676754.816892
2026-03-05,62.21,63.235,61.98,63.11,2733677.201482
2026-03-06,62.42,62.83,61.5401,62.72,1864282.389145
2026-03-09,62.09,62.52,60.95,62.18,2416296.66732
2026-03-10,61.83,62.34,60.83,61.48,2202557.850997
2026-03-11,61.18,61.18,59.38,60.16,2757841.894251
2026-03-12,59.83,61.02,59.58,60.27,2093134.505797
2026-03-13,61.0,61.58,59.73,59.99,1830096.114433
2026-03-16,60.55,60.74,60.035,60.06,2050239.628241
2026-03-17,60.62,61.25,60.44,61.02,2107195.919537
2026-03-18,60.48,60.58,59.545,59.85,2516095.506036
2026-03-19,59.57,60.07,59.14,59.31,2032057.822157
2026-03-20,59.32,59.51,57.57,57.98,4113370.722849
2026-03-23,59.0,59.275,58.26,58.41,2715775.096771
2026-03-24,58.2,59.155,57.85,58.67,2716342.353099
2026-03-25,58.77,59.22,58.255,58.46,2381434.805437
2026-03-26,58.62,59.69,58.57,59.51,3298799.528766
2026-03-27,59.4,59.605,58.495,58.75,2333869.018807
2026-03-30,58.46,59.2,58.08,58.58,2532153.256854
2026-03-31,59.38,59.67,58.53,59.15,3370210.579147
2026-04-01,59.03,59.77,58.925,59.55,2169177.79216
2026-04-02,59.56,60.54,59.24,60.27,1750960.943455
2026-04-06,60.16,60.64,59.8003,60.06,2097941.027506
2026-04-07,60.16,60.89,60.06,60.21,2287833.087371
2026-04-08,60.85,61.28,60.485,60.8,2264699.061628
2026-04-09,60.4,61.05,60.35,60.46,1521549.293483
2026-04-10,60.5,61.29,60.37,61.14,2461829.179127
2026-04-13,60.94,60.96,59.96,60.78,1923735.235633
2026-04-14,60.71,61.555,60.6,61.36,2594843.832692
2026-04-15,61.36,61.5351,60.82,61.3,2694180.272727
2026-04-16,61.2,61.7,60.34,60.49,2458483.441699
2026-04-17,61.015,62.99,60.78,62.68,3408889.327854
2026-04-20,62.36,63.47,62.305,63.43,2082504.17592
