date,open,high,low,close,volume
2025-05-08,54.41,54.59,53.22,53.4,9416743.0
2025-05-09,53.9,55.65,53.56,55.62,7707873.0
2025-05-12,56.05,56.11,54.01,54.49,12305926.0
2025-05-13,55.07,56.67,54.8,56.2,8429879.0
2025-05-14,55.66,56.66,55.35,56.36,6017673.0
2025-05-15,55.55,57.0399,55.55,56.0,9102916.0
2025-05-16,55.84,56.04,55.43,55.86,4375030.0
2025-05-19,55.55,56.085,54.921,55.56,6377598.0
2025-05-20,55.88,57.37,55.525,56.14,5806342.0
2025-05-21,55.84,56.28,55.04,55.71,5669335.0
2025-05-22,55.99,56.32,55.23,55.69,7733177.0
2025-05-23,55.25,56.02,55.15,55.61,6813696.0
2025-05-27,56.08,56.61,55.3,56.56,5229234.0
2025-05-28,56.73,57.0278,55.12,55.5,5046508.0
2025-05-29,55.61,56.02,55.12,55.37,3493443.0
2025-05-30,55.0,55.61,54.48,55.13,7853812.0
2025-06-02,56.45,57.19,55.75,56.66,7686084.0
2025-06-03,56.77,56.89,55.97,56.65,8247071.0
2025-06-04,56.54,56.74,55.3,55.49,4438804.0
2025-06-05,55.79,55.795,54.94,55.33,4424374.0
2025-06-06,55.61,56.72,55.33,56.39,3826206.0
2025-06-09,56.08,56.08,54.61,54.9,7188157.0
2025-06-10,55.24,55.545,53.4,53.73,8012320.0
2025-06-11,54.02,54.68,53.74,53.97,5060619.0
2025-06-12,54.22,55.56,53.94,55.52,4919746.0
2025-06-13,55.88,56.96,54.32,56.84,7732932.0
2025-06-16,56.93,58.75,56.89,58.17,9217059.0
2025-06-17,58.5,59.11,57.89,58.87,6883005.0
2025-06-18,59.43,60.2,58.2,59.37,7527236.0
2025-06-20,59.44,60.8,58.78,60.44,11714648.0
2025-06-23,60.8,61.02,59.13,59.37,8520722.0
2025-06-24,59.18,60.78,58.9,60.34,6717091.0
2025-06-25,60.16,60.315,58.16,58.23,7702743.0
2025-06-26,58.18,58.5525,57.57,58.15,7422386.0
2025-06-27,58.21,58.55,57.61,58.31,10530903.0
2025-06-30,57.98,58.88,57.72,58.32,11140928.0
2025-07-01,58.03,58.09,55.2,55.72,11290950.0
2025-07-02,55.85,56.38,54.97,56.14,9724314.0
2025-07-03,56.07,56.39,54.705,55.31,4295628.0
2025-07-07,55.16,56.255,54.76,56.16,6809378.0
2025-07-08,56.81,56.9,54.375,54.86,9849866.0
2025-07-09,54.85,55.255,53.75,54.88,8462947.0
2025-07-10,54.84,55.05,53.42,54.52,8487009.0
2025-07-11,54.43,55.42,54.14,55.33,5152765.0
2025-07-14,55.45,58.36,55.39,58.28,9983226.0
2025-07-15,58.3,58.6,56.71,58.24,9774690.0
2025-07-16,59.2,60.31,58.86,59.18,10269266.0
2025-07-17,59.07,59.35,58.43,58.75,6118647.0
2025-07-18,59.36,59.615,58.15,59.19,6067207.0
2025-07-21,57.8,57.985,53.465,53.54,14668918.0
2025-07-22,53.29,54.66,53.06,54.34,13814481.0
2025-07-23,53.3,53.97,51.26,51.96,24393134.0
2025-07-24,52.38,54.53,52.37,54.03,12622169.0
2025-07-25,53.91,54.0,51.705,52.19,8472457.0
2025-07-28,52.55,52.7538,51.07,51.91,15091205.0
2025-07-29,52.47,53.7,52.21,53.1,9167324.0
2025-07-30,52.72,53.72,52.22,53.36,10705040.0
2025-07-31,53.28,54.48,53.11,53.75,7027695.0
2025-08-01,53.08,53.31,52.1,52.34,7274935.0
2025-08-04,52.47,52.8,51.47,51.87,6784231.0
2025-08-05,52.0,52.125,51.12,51.69,6134892.0
2025-08-06,52.0,52.11,51.12,51.46,5117274.0
2025-08-07,51.47,52.42,51.165,51.24,4552067.0
2025-08-08,51.45,51.93,50.63,51.29,4540308.0
2025-08-11,51.51,51.91,51.125,51.82,5264417.0
2025-08-12,51.44,51.55,50.42,51.27,7430755.0
2025-08-13,51.83,52.11,51.03,51.48,7803843.0
2025-08-14,51.53,52.79,51.19,52.05,5292014.0
2025-08-15,52.24,53.38,52.18,52.85,10069016.0
2025-08-18,51.07,51.1,49.4,50.5,10794134.0
2025-08-19,49.9,50.73,49.57,50.54,6083866.0
2025-08-20,50.72,51.375,50.42,51.34,5348459.0
2025-08-21,51.4,52.19,51.06,52.05,4557668.0
2025-08-22,52.05,52.84,51.66,51.97,4768318.0
2025-08-25,51.76,52.54,51.52,51.81,5110117.0
2025-08-26,51.86,52.89,50.8,52.71,9503811.0
2025-08-27,52.75,53.165,51.14,51.35,7541276.0
2025-08-28,51.35,52.54,50.85,52.36,7432468.0
2025-08-29,52.21,52.47,51.67,51.84,6319087.0
2025-09-02,51.2,52.81,51.0121,52.38,8339806.0
2025-09-03,52.42,53.0,51.11,51.55,5245726.0
2025-09-04,51.75,52.03,50.66,51.8,4997896.0
2025-09-05,51.57,51.98,50.51,51.6,4959682.0
2025-09-08,52.39,52.56,50.65,50.76,6974320.0
2025-09-09,50.8,51.4,50.04,50.25,5589577.0
2025-09-10,50.42,52.0,50.12,51.17,5281660.0
2025-09-11,50.75,51.22,50.46,50.96,4500103.0
2025-09-12,51.41,52.01,50.75,50.94,4746818.0
2025-09-15,50.81,51.06,49.92,49.98,5337719.0
2025-09-16,50.2,50.5,48.47,49.95,12419373.0
2025-09-17,50.01,50.99,49.76,49.99,8570438.0
2025-09-18,50.14,50.21,48.97,49.39,8327444.0
2025-09-19,49.3,49.515,48.51,49.19,26614745.0
2025-09-22,49.02,50.28,48.6,49.97,8402271.0
2025-09-23,50.12,51.37,49.83,50.95,8825315.0
2025-09-24,51.2,53.56,51.185,53.08,11991346.0
2025-09-25,52.91,54.955,52.75,53.93,11605297.0
2025-09-26,53.74,54.945,53.46,54.06,11639772.0
2025-09-29,53.96,54.97,53.61,54.46,10445749.0
2025-09-30,53.99,55.31,53.96,54.43,12118281.0
2025-10-01,54.25,57.08,54.01,56.16,12094087.0
2025-10-02,55.96,57.35,55.04,55.76,11823309.0
2025-10-03,55.6,56.4775,55.0356,56.03,7589273.0
2025-10-06,56.59,57.3,55.515,57.19,7929417.0
2025-10-07,57.09,57.545,56.31,57.16,8432846.0
2025-10-08,57.16,57.16,55.55,56.41,8202354.0
2025-10-09,57.1,57.1,54.55,54.92,6125879.0
2025-10-10,54.7,55.36,53.11,53.12,5368791.0
2025-10-13,53.22,53.835,52.76,53.66,3574862.0
2025-10-14,52.74,53.83,51.66,53.29,5442546.0
2025-10-15,53.94,55.53,53.75,55.44,5544546.0
2025-10-16,55.63,56.23,52.79,53.24,7800794.0
2025-10-17,53.49,54.53,52.55,54.08,5227868.0
2025-10-20,55.35,57.05,55.12,56.45,5639901.0
2025-10-21,55.86,56.88,55.58,55.71,6655897.0
2025-10-22,55.3,56.98,53.0,53.49,11441229.0
2025-10-23,54.35,54.74,52.075,53.56,8870576.0
2025-10-24,53.75,54.005,52.91,53.7,6192892.0
2025-10-27,53.84,54.35,53.0,53.75,6532542.0
2025-10-28,53.51,53.51,52.05,52.18,4096017.0
2025-10-29,52.47,53.3989,50.91,51.8,6876624.0
2025-10-30,52.01,53.28,51.5061,52.45,7456624.0
2025-10-31,53.01,53.89,52.94,53.58,5219893.0
2025-11-03,53.74,55.91,53.4325,55.86,6800749.0
