date,open,high,low,close,volume
2025-05-07,361.71,365.055,359.98,362.97,145755.0
2025-05-08,363.73,364.0,357.7,358.89,93912.0
2025-05-09,357.66,358.06,352.615,353.2,92046.0
2025-05-12,354.7,357.47,345.64,357.47,126176.0
2025-05-13,357.65,364.81,357.65,359.38,115910.0
2025-05-14,359.39,361.99,354.455,359.53,122157.0
2025-05-15,358.9,368.97,358.9,368.06,117132.0
2025-05-16,369.71,374.21,366.4664,373.94,118261.0
2025-05-19,373.48,374.09,370.91,372.71,72479.0
2025-05-20,370.25,370.765,367.52,368.92,86447.0
2025-05-21,367.35,368.655,353.0,353.99,152053.0
2025-05-22,354.1,354.1,343.76,348.76,119462.0
2025-05-23,345.01,351.06,345.01,348.8,125929.0
2025-05-27,352.73,354.0,348.575,353.41,158294.0
2025-05-28,351.76,355.1,347.97,348.46,145341.0
2025-05-29,348.29,356.23,347.815,356.04,126498.0
2025-05-30,356.61,359.1,351.47,358.51,211167.0
2025-06-02,355.65,360.58,353.2,359.69,84733.0
2025-06-03,357.27,362.61,355.14,362.18,126620.0
2025-06-04,361.98,363.46,355.4,359.77,125382.0
2025-06-05,359.05,367.64,358.74,367.32,129658.0
2025-06-06,371.46,377.17,371.405,371.69,121744.0
2025-06-09,370.91,370.91,354.07,361.69,172056.0
2025-06-10,363.01,363.01,356.79,360.29,101719.0
2025-06-11,359.5,361.21,355.045,356.75,86839.0
2025-06-12,356.0,359.255,353.88,358.76,107489.0
2025-06-13,356.39,359.695,353.15,356.76,86423.0
2025-06-16,360.39,364.345,357.62,357.81,134027.0
2025-06-17,355.38,356.0,349.43,351.45,127733.0
2025-06-18,351.3,353.7,348.35,348.57,149283.0
2025-06-20,350.5,356.85,348.17,352.04,462615.0
2025-06-23,352.6,357.11,348.9,356.87,136673.0
2025-06-24,358.31,358.31,350.54,353.63,128144.0
2025-06-25,353.01,353.11,340.79,341.3,164035.0
2025-06-26,341.3,343.77,336.145,340.73,191218.0
2025-06-27,340.26,341.555,333.33,340.45,151749.0
2025-06-30,340.03,348.22,338.76,346.79,139120.0
2025-07-01,346.97,354.15,344.89,352.05,157852.0
2025-07-02,352.05,352.05,332.34,343.09,251283.0
2025-07-03,344.48,348.09,344.48,346.94,66895.0
2025-07-07,344.09,345.045,339.52,341.31,123568.0
2025-07-08,338.21,344.96,337.68,340.91,177846.0
2025-07-09,342.92,345.32,340.09,344.48,121507.0
2025-07-10,344.48,355.18,341.35,351.4,121777.0
2025-07-11,351.0,351.61,344.08,344.11,109018.0
2025-07-14,344.17,349.7,343.015,346.87,90411.0
2025-07-15,346.31,346.87,341.81,341.9,119696.0
2025-07-16,345.12,348.59,341.76,348.26,94112.0
2025-07-17,346.7,354.91,346.7,354.17,100076.0
2025-07-18,356.66,358.545,350.0025,353.32,220386.0
2025-07-21,352.32,360.35,351.42,352.27,183216.0
2025-07-22,354.61,365.21,354.61,364.1,153177.0
2025-07-23,365.0,367.6499,360.885,365.37,187354.0
2025-07-24,365.0,367.495,360.275,366.94,238726.0
2025-07-25,368.29,372.88,354.73,355.7,151862.0
2025-07-28,354.3,357.22,353.55,353.6,119657.0
2025-07-29,355.11,355.905,351.585,355.63,79229.0
2025-07-30,356.54,356.54,349.35,353.33,124926.0
2025-07-31,351.04,357.12,351.04,356.24,339376.0
2025-08-01,356.53,356.53,346.95,350.75,128020.0
2025-08-04,352.61,356.71,352.34,356.21,103446.0
2025-08-05,356.31,361.72,354.015,356.82,92449.0
2025-08-06,356.82,360.43,346.0,358.88,130514.0
2025-08-07,360.65,360.65,352.025,352.6,101561.0
2025-08-08,359.32,380.665,352.82,357.32,204425.0
2025-08-11,359.18,368.5,358.09,360.85,216366.0
2025-08-12,360.59,364.035,360.19,362.66,139038.0
2025-08-13,363.09,369.79,361.4,368.96,162601.0
2025-08-14,369.32,369.47,364.765,368.07,102327.0
2025-08-15,371.45,371.45,364.35,366.52,201937.0
2025-08-18,366.0,366.85,359.72,359.74,86746.0
2025-08-19,358.6,363.32,357.9784,362.97,119612.0
2025-08-20,364.09,367.135,363.165,364.28,88914.0
2025-08-21,363.58,364.995,359.4,359.82,85742.0
2025-08-22,362.08,368.8,362.08,366.36,101782.0
2025-08-25,366.2,366.2,362.94,363.32,104091.0
2025-08-26,362.91,362.91,349.84,350.095,261993.0
2025-08-27,349.83,354.33,349.83,350.79,93994.0
2025-08-28,350.45,352.12,348.71,351.36,94626.0
2025-08-29,352.01,357.75,350.89,354.38,114612.0
2025-09-02,355.11,355.11,337.205,338.06,165809.0
2025-09-03,337.55,337.55,323.76,328.17,202713.0
2025-09-04,329.27,336.56,325.7632,336.43,149034.0
2025-09-05,335.44,337.75,334.26,335.07,104250.0
2025-09-08,335.96,337.24,333.85,336.25,101204.0
2025-09-09,335.51,335.51,330.74,331.55,88937.0
2025-09-10,330.56,332.565,328.19,330.0,132800.0
2025-09-11,329.92,338.26,328.64,337.92,112741.0
2025-09-12,338.01,340.7,336.415,338.66,66598.0
2025-09-15,339.81,341.71,321.81,321.81,122829.0
2025-09-16,322.22,323.98,320.44,320.73,115272.0
2025-09-17,322.02,328.53,319.48,320.37,202980.0
2025-09-18,318.88,323.29,318.0,319.62,100055.0
2025-09-19,319.62,321.24,317.74,317.99,292510.0
2025-09-22,317.64,321.5025,316.1,321.03,109291.0
2025-09-23,323.65,324.35,316.76,317.3,150772.0
2025-09-24,316.62,317.28,310.1887,314.27,221427.0
2025-09-25,315.26,317.28,310.49,312.95,119858.0
2025-09-26,315.49,317.49,315.0,315.99,81937.0
2025-09-29,315.99,315.99,312.515,313.25,108083.0
2025-09-30,313.44,318.35,313.44,318.16,111359.0
2025-10-01,318.32,324.56,311.54,312.05,152524.0
2025-10-02,310.89,315.8,306.8,314.61,109035.0
2025-10-03,314.61,322.5399,314.61,319.16,102648.0
2025-10-06,317.45,317.77,313.73,316.19,99168.0
2025-10-07,318.07,321.32,318.07,319.41,86763.0
2025-10-08,320.9,328.64,318.0,327.7,98865.0
2025-10-09,328.83,329.01,319.06,320.45,127295.0
2025-10-10,323.09,329.745,322.64,324.31,117113.0
2025-10-13,324.585,325.02,314.2501,319.47,101986.0
2025-10-14,319.23,322.72,314.99,321.14,95436.0
2025-10-15,319.35,320.0,314.9,318.4,107400.0
2025-10-16,316.84,316.84,306.84,311.93,160886.0
2025-10-17,313.55,316.77,312.61,316.66,123824.0
2025-10-20,317.48,317.865,313.49,316.42,106325.0
2025-10-21,317.02,327.63,316.19,325.89,126760.0
2025-10-22,327.49,328.145,320.185,322.74,120777.0
2025-10-23,325.47,326.66,321.2,325.69,122153.0
2025-10-24,325.69,326.44,323.34,324.67,103057.0
2025-10-27,324.99,330.535,324.82,329.97,194225.0
2025-10-28,329.97,330.33,320.34,320.34,220238.0
2025-10-29,318.64,318.64,301.68,301.87,212515.0
2025-10-30,303.64,314.51,303.64,309.64,183066.0
2025-10-31,315.64,320.5,282.01,292.64,368420.0
2025-11-03,292.64,292.64,284.42,285.35,195950.0
2025-11-04,286.7,290.575,279.78,289.42,178520.0
2025-11-05,289.6,290.875,286.2301,288.16,122049.0
2025-11-06,288.0,289.15,281.36,281.58,128803.0
2025-11-07,282.4,285.71,282.4,284.84,152776.0
2025-11-10,283.77,283.985,276.91,277.63,136551.0
2025-11-11,278.25,282.69,277.0,282.66,187064.0
2025-11-12,284.85,285.49,279.53,282.84,129538.0
2025-11-13,284.1,290.12,282.775,287.18,117372.0
2025-11-14,288.67,293.69,284.7,286.58,136402.0
2025-11-17,288.44,290.24,285.15,287.28,134769.0
2025-11-18,287.47,293.2,287.095,290.17,124809.0
2025-11-19,289.18,292.04,282.91,285.06,159617.0
2025-11-20,285.77,294.38,285.68,293.06,167184.0
2025-11-21,293.17,301.61,293.17,296.36,170629.0
2025-11-24,295.17,297.435,291.59,291.92,220469.0
2025-11-25,294.73,298.7855,294.68,295.63,100022.0
2025-11-26,294.68,298.02,294.24,294.24,88146.0
2025-11-28,295.61,297.03,293.96,295.49,56138.0
2025-12-01,294.84,297.12,292.47,293.76,143985.0
2025-12-02,293.9,297.28,292.745,295.95,134608.0
2025-12-03,295.88,299.335,294.1,296.21,86448.0
2025-12-04,297.51,301.135,296.21,299.78,101010.0
2025-12-05,298.59,300.22,295.62,296.46,95518.0
2025-12-08,295.26,295.44,279.7,280.81,172286.0
2025-12-09,281.54,285.0,276.0,277.4,147278.0
2025-12-10,277.51,280.445,273.59,275.0,229986.0
2025-12-11,275.32,282.9199,274.47,278.96,244391.0
2025-12-12,284.17,292.99,283.86,287.33,243246.0
2025-12-15,287.76,290.51,284.6,287.04,189985.0
2025-12-16,287.36,288.525,282.96,287.51,169069.0
2025-12-17,287.15,292.17,287.15,288.81,198217.0
2025-12-18,287.61,292.69,286.98,289.05,128863.0
2025-12-19,289.05,289.165,281.7293,283.82,685634.0
2025-12-22,280.67,287.18,278.97,286.15,156704.0
2025-12-23,286.35,287.455,283.73,283.78,101418.0
2025-12-24,284.83,284.97,282.435,284.0,78514.0
2025-12-26,283.88,284.035,280.69,282.4,67197.0
2025-12-29,284.01,288.1,282.92,287.43,115865.0
2025-12-30,286.0,289.66,283.92,287.85,135801.0
2025-12-31,286.07,288.935,286.07,286.65,134708.0
2026-01-02,285.0,285.51,275.82,277.81,165336.0
2026-01-05,275.87,284.095,275.815,281.93,146884.0
2026-01-06,278.7,285.97,277.24,285.51,133498.0
2026-01-07,285.82,285.88,281.81,281.9,115831.0
2026-01-08,280.18,288.37,280.18,285.36,100414.0
2026-01-09,285.17,287.38,280.24,280.52,86884.0
2026-01-12,282.25,287.02,280.6,282.3,171478.0
2026-01-13,283.15,290.16,280.33,281.41,276570.0
2026-01-14,282.21,286.47,282.21,283.85,148561.0
2026-01-15,284.56,288.22,282.97,283.07,92823.0
2026-01-16,281.96,283.24,279.24,283.21,176348.0
2026-01-20,283.24,290.08,280.51,286.88,192195.0
2026-01-21,286.45,289.8699,275.0,279.9,181468.0
2026-01-22,280.0,286.365,278.96,285.35,121833.0
2026-01-23,283.65,285.47,275.1401,275.85,143556.0
2026-01-26,277.96,280.67,275.785,280.55,159001.0
2026-01-27,280.36,281.55,272.35,272.5,176495.0
2026-01-28,272.5,274.72,270.07,273.53,175066.0
2026-01-29,275.34,284.66,275.34,282.1,214283.0
2026-01-30,282.61,284.12,277.62,283.01,616377.0
2026-02-02,284.65,285.21,279.98,281.93,165461.0
2026-02-03,279.93,286.83,278.77,280.75,165376.0
2026-02-04,282.0,292.18,280.9,286.38,259401.0
2026-02-05,285.55,291.27,284.78,285.62,124775.0
2026-02-06,287.37,292.69,284.86,287.71,192799.0
2026-02-09,286.32,288.98,269.3,269.57,246374.0
2026-02-10,270.79,280.1,267.395,278.64,286025.0
2026-02-11,276.69,281.409,271.105,280.49,231561.0
2026-02-12,279.86,286.29,278.095,282.94,161233.0
2026-02-13,282.78,284.355,276.46,279.11,163657.0
2026-02-17,282.9,287.91,282.435,283.85,323064.0
2026-02-18,283.65,285.18,277.15,277.4,158227.0
2026-02-19,277.99,277.99,271.98,274.63,183437.0
2026-02-20,277.14,279.47,270.74,273.04,198635.0
2026-02-23,273.42,273.95,263.38,263.77,254365.756148
2026-02-24,258.49,262.81,247.01,257.01,441184.800584
2026-02-25,258.82,271.06,256.64,269.82,290503.574825
2026-02-26,272.36,276.63,268.66,268.7,241761.846621
2026-02-27,268.87,269.66,263.64,269.44,241648.530995
2026-03-02,269.5,271.17,263.33,266.75,188388.46902
2026-03-03,265.575,273.25,260.83,272.16,178891.282726
2026-03-04,269.41,275.1608,262.34,272.19,186359.602964
2026-03-05,272.0,278.165,269.56,269.7,172642.106843
2026-03-06,268.03,270.94,259.8,259.85,282326.193501
2026-03-09,259.0,259.5,247.0,255.66,328897.857104
2026-03-10,253.42,257.48,242.365,243.99,208897.10806
2026-03-11,244.8,247.5,237.585,242.7,240446.33223
2026-03-12,240.65,246.64,240.65,243.03,238878.450671
2026-03-13,246.5,247.3,242.545,246.91,127017.319466
2026-03-16,247.09,250.38,245.76,247.23,166292.326969
2026-03-17,249.54,253.33,245.3,247.08,152266.574216
2026-03-18,245.4,250.39,243.79,243.87,196636.954735
2026-03-19,244.46,245.4,235.22,240.93,210043.238065
2026-03-20,240.86,243.3,239.83,240.37,1472659.873219
2026-03-23,242.63,248.98,239.47,245.88,316898.602607
2026-03-24,245.69,247.43,240.39,240.53,171019.156095
2026-03-25,241.63,243.545,233.82,236.09,162964.303444
2026-03-26,236.46,244.78,236.375,243.26,195934.060141
2026-03-27,244.43,244.43,240.53,240.87,134095.358093
2026-03-30,243.55,250.33,242.92,247.99,226419.149882
2026-03-31,249.45,252.67,245.235,251.31,263709.489665
2026-04-01,251.05,251.05,245.0,246.99,145125.218646
2026-04-02,247.68,251.74,245.5,249.51,128856.055373
2026-04-06,249.03,254.76,248.145,254.33,119029.548028
2026-04-07,252.49,254.0,248.11,248.54,164503.755209
