date,open,high,low,close,volume
2025-07-02,283.76,284.75,278.4,283.4,433397.0
2025-07-03,282.91,285.865,277.69,284.2,194453.0
2025-07-07,284.47,287.85,281.585,283.59,293673.0
2025-07-08,281.66,287.2426,280.7101,285.98,393858.0
2025-07-09,285.9,287.605,284.42,284.78,468134.0
2025-07-10,285.01,288.955,281.42,286.76,374542.0
2025-07-11,284.355,287.16,282.15,286.63,528926.0
2025-07-14,286.61,288.96,284.33,284.54,404498.0
2025-07-15,284.26,285.4,278.56,280.43,402447.0
2025-07-16,281.06,286.31,278.62,286.08,360410.0
2025-07-17,286.3,288.57,285.7101,287.02,276030.0
2025-07-18,287.45,289.29,285.9047,287.37,301097.0
2025-07-21,288.59,290.0,284.71,285.0,327703.0
2025-07-22,285.66,292.72,285.66,292.06,354643.0
2025-07-23,292.81,294.09,290.55,292.58,379001.0
2025-07-24,291.68,291.96,287.33,287.41,328096.0
2025-07-25,287.6,287.75,284.76,287.06,310194.0
2025-07-28,286.05,289.89,283.085,283.16,365064.0
2025-07-29,283.07,291.47,282.5,290.67,657570.0
2025-07-30,284.86,285.28,266.98,268.46,2675568.0
2025-07-31,265.05,267.06,258.8,260.18,1256368.0
2025-08-01,264.22,264.22,253.22,256.72,830760.0
2025-08-04,255.54,258.64,254.37,254.55,723537.0
2025-08-05,255.45,260.915,254.81,257.36,761267.0
2025-08-06,257.69,258.81,253.25,254.52,889295.0
2025-08-07,255.72,258.535,254.31,257.02,581443.0
2025-08-08,258.16,258.16,253.96,254.59,367413.0
2025-08-11,253.29,256.0,251.14,252.08,437271.0
2025-08-12,252.98,254.295,250.81,253.99,382793.0
2025-08-13,255.2,259.23,253.31,258.73,382531.0
2025-08-14,255.59,258.28,253.5,256.2,370208.0
2025-08-15,255.89,259.59,255.2429,259.38,378401.0
2025-08-18,259.43,259.91,256.46,256.46,508302.0
2025-08-19,258.27,262.67,256.975,262.36,680641.0
2025-08-20,262.36,266.81,262.04,262.04,612661.0
2025-08-21,260.1,263.24,260.07,262.76,359693.0
2025-08-22,264.23,268.7,264.23,266.75,394420.0
2025-08-25,265.75,266.67,263.29,265.46,274796.0
2025-08-26,266.29,267.08,264.4,264.77,364915.0
2025-08-27,264.15,268.08,264.15,267.62,351619.0
2025-08-28,266.27,268.23,264.79,267.91,322311.0
2025-08-29,267.37,270.68,267.37,270.21,388675.0
2025-09-02,268.26,268.355,260.24,260.6,384156.0
2025-09-03,259.5,262.185,259.5,261.51,385480.0
2025-09-04,263.25,264.56,258.82,264.5,435810.0
2025-09-05,265.89,269.885,264.75,268.12,418315.0
2025-09-08,265.28,266.59,264.16,265.71,319123.0
2025-09-09,265.19,269.14,265.06,268.86,256432.0
2025-09-10,268.62,270.365,263.475,263.64,276006.0
2025-09-11,263.53,269.52,263.0,268.81,288054.0
2025-09-12,269.38,270.13,266.03,267.09,259285.0
2025-09-15,267.1,267.285,264.33,264.63,740539.0
2025-09-16,265.38,266.89,264.0,265.55,496676.0
2025-09-17,265.63,270.84,265.28,266.23,379292.0
2025-09-18,266.53,269.605,265.35,268.63,385045.0
2025-09-19,268.08,269.92,267.16,267.55,858674.0
2025-09-22,266.79,267.22,264.1475,266.39,366150.0
2025-09-23,267.52,268.64,266.0,267.84,263324.0
2025-09-24,268.73,269.0,264.23,264.59,286711.0
2025-09-25,264.46,265.465,263.2,263.66,430945.0
2025-09-26,264.54,268.04,263.67,267.8,321332.0
2025-09-29,264.82,268.53,264.795,266.22,446025.0
2025-09-30,262.49,268.22,262.33,267.66,358856.0
2025-10-01,268.66,270.49,265.37,266.59,381172.0
2025-10-02,265.86,267.66,263.35,263.88,403876.0
2025-10-03,264.66,267.33,264.25,264.47,311276.0
2025-10-06,264.47,264.665,260.42,261.34,357421.0
2025-10-07,261.5,264.67,260.245,262.08,243324.0
2025-10-08,260.97,263.335,260.4,262.11,241876.0
2025-10-09,263.18,263.41,258.32,259.05,304500.0
2025-10-10,259.22,260.09,254.56,255.86,507278.0
2025-10-13,255.86,258.82,255.86,257.58,363228.0
2025-10-14,257.33,259.4583,255.715,259.37,525204.0
2025-10-15,259.69,263.0599,255.43,257.15,739134.0
2025-10-16,257.56,258.69,254.42,257.6,610622.0
2025-10-17,258.08,260.12,256.2012,259.62,522637.0
2025-10-20,260.41,261.805,258.8,260.8,377080.0
2025-10-21,261.29,263.875,260.68,261.98,472150.0
2025-10-22,262.46,265.0,261.01,264.22,703298.0
2025-10-23,265.61,266.58,260.61,263.76,388835.0
2025-10-24,264.39,265.88,263.76,264.66,306320.0
2025-10-27,264.62,264.62,261.6549,262.32,434114.0
2025-10-28,261.02,262.86,255.75,256.15,510127.0
2025-10-29,253.87,254.74,246.62,247.18,859186.0
2025-10-30,250.16,255.4,243.25,249.82,1097303.0
