date,open,high,low,close,volume
2025-04-24,104.95,105.355,103.805,104.4,2447692.0
2025-04-25,103.16,105.44,103.02,105.3,1986299.0
2025-04-28,105.47,107.34,105.405,107.11,2878948.0
2025-04-29,106.33,108.0,105.55,107.47,3130322.0
2025-04-30,104.51,105.93,101.88,103.9,6136763.0
2025-05-01,101.23,105.57,101.23,103.43,3977143.0
2025-05-02,105.345,106.17,103.33,105.88,2827979.0
2025-05-05,105.39,108.85,105.305,108.35,3301569.0
2025-05-06,108.83,110.12,107.84,108.51,2782354.0
2025-05-07,109.07,110.89,108.305,110.31,2500826.0
2025-05-08,111.22,111.705,108.725,108.81,3434771.0
2025-05-09,110.38,113.0493,109.705,112.38,2943623.0
2025-05-12,113.33,113.65,109.1,110.92,4011628.0
2025-05-13,112.8,114.04,111.9551,113.1,3263946.0
2025-05-14,112.24,113.57,111.45,113.31,2465359.0
2025-05-15,112.2,114.44,112.2,114.09,2685042.0
2025-05-16,114.9,114.9,113.28,114.02,1919438.0
2025-05-19,114.02,114.33,112.36,113.48,2617229.0
2025-05-20,113.99,115.94,113.33,114.92,2715591.0
2025-05-21,114.92,116.46,114.55,114.71,2465572.0
2025-05-22,114.69,115.455,113.6,114.39,3273846.0
2025-05-23,114.62,116.19,113.99,115.96,1820686.0
2025-05-27,117.08,117.63,115.31,117.28,1883236.0
2025-05-28,117.66,117.66,115.02,115.38,1899148.0
2025-05-29,115.83,116.01,114.95,115.68,1457980.0
2025-05-30,115.87,116.55,114.75,116.13,5078495.0
2025-06-02,118.36,119.41,117.3,119.3,2593316.0
2025-06-03,119.4,120.04,117.995,118.22,2659381.0
2025-06-04,118.14,118.37,116.02,116.2,2146658.0
2025-06-05,116.35,116.73,114.8019,115.57,1691639.0
2025-06-06,116.08,117.775,115.79,117.35,1536745.0
2025-06-09,116.5,116.64,114.6,114.94,2490593.0
2025-06-10,115.65,116.2,111.3,112.57,3332442.0
2025-06-11,113.35,113.73,111.7801,112.23,2771731.0
2025-06-12,112.2,115.01,111.97,114.96,2613383.0
2025-06-13,115.26,116.81,111.64,116.46,2314418.0
2025-06-16,117.08,119.98,116.7,118.61,2617336.0
2025-06-17,119.21,119.98,117.88,119.59,2957650.0
2025-06-18,120.03,121.0999,118.3,120.77,3101831.0
2025-06-20,121.37,123.345,120.9,122.05,5906903.0
2025-06-23,121.91,123.14,120.69,121.45,3080884.0
2025-06-24,120.99,123.29,120.56,122.53,4037767.0
2025-06-25,122.2,122.2,118.73,119.08,2714877.0
2025-06-26,119.1,119.325,117.66,118.67,2737059.0
2025-06-27,118.68,119.44,117.965,118.96,5158277.0
2025-06-30,117.65,118.65,116.35,116.94,2600255.0
2025-07-01,116.44,116.65,110.9,111.19,3997821.0
2025-07-02,112.15,112.4,109.125,110.34,3481016.0
2025-07-03,111.42,111.42,107.94,108.74,1807029.0
2025-07-07,108.25,110.07,107.77,108.9,3064095.0
2025-07-08,109.07,109.71,105.69,106.38,4017872.0
2025-07-09,105.56,106.765,103.1523,105.2,3383140.0
2025-07-10,104.94,105.75,103.385,105.2,2646337.0
2025-07-11,105.7,106.69,105.235,105.57,2660276.0
2025-07-14,106.0,110.38,105.57,109.58,4288707.0
2025-07-15,109.62,109.67,106.26,107.51,3389972.0
2025-07-16,108.02,109.01,107.2,108.31,3516080.0
2025-07-17,108.25,108.54,106.24,108.15,3206941.0
2025-07-18,109.48,109.5,107.8,108.64,2257097.0
2025-07-21,107.53,107.53,98.58,99.41,6034683.0
2025-07-22,99.63,101.38,98.6,99.61,4294122.0
2025-07-23,98.6,98.8,95.62,98.7,4969732.0
2025-07-24,99.37,100.945,98.85,99.6,3901118.0
2025-07-25,100.0,100.7015,97.63,98.17,2399647.0
2025-07-28,98.31,98.45,96.81,98.13,3302608.0
2025-07-29,98.81,100.01,98.3001,99.37,4111343.0
2025-07-30,100.0,105.47,99.79,104.21,7645955.0
2025-07-31,103.875,105.89,103.41,104.78,4115925.0
2025-08-01,104.27,104.39,101.43,101.97,2661646.0
2025-08-04,102.38,102.6805,99.98,101.23,3675639.0
2025-08-05,101.94,101.94,99.55,101.04,2844475.0
2025-08-06,101.6,102.49,100.5875,101.65,2591179.0
2025-08-07,101.65,102.73,99.9,100.01,2357909.0
2025-08-08,100.0,100.95,98.03,99.14,2532656.0
2025-08-11,99.05,100.0,97.65,97.96,2459770.0
2025-08-12,97.78,98.22,95.75,95.89,2859418.0
2025-08-13,97.25,97.435,95.11,96.46,4754343.0
2025-08-14,95.0,97.34,94.5,94.99,3627188.0
2025-08-15,94.99,96.07,92.54,95.13,6684176.0
2025-08-18,94.06,94.43,91.81,93.03,4489047.0
2025-08-19,92.09,93.12,91.015,93.05,3123075.0
2025-08-20,92.86,94.405,92.75,94.0,2386896.0
2025-08-21,94.0,95.47,93.78,95.45,2467915.0
2025-08-22,95.67,95.74,94.13,94.66,3435861.0
2025-08-25,94.66,95.34,94.19,94.62,2245918.0
2025-08-26,94.56,96.55,93.525,96.28,3995261.0
2025-08-27,96.28,97.2,95.245,95.3,2547910.0
2025-08-28,95.1,97.53,94.26,97.24,2303637.0
2025-08-29,96.87,97.33,96.19,96.78,1493940.0
2025-09-02,95.96,98.26,95.76,98.21,3080628.0
2025-09-03,98.315,98.805,95.96,97.08,2610203.0
2025-09-04,97.13,97.81,95.12,96.66,2383765.0
2025-09-05,95.86,96.755,94.46,95.51,2375646.0
2025-09-08,96.75,97.44,94.02,94.52,2562400.0
2025-09-09,94.55,96.1001,94.5,94.73,1884491.0
2025-09-10,94.27,97.0,94.25,96.47,3001780.0
2025-09-11,95.98,97.025,95.23,95.84,2326707.0
2025-09-12,96.44,97.56,95.7901,96.22,1692944.0
2025-09-15,96.42,97.48,95.42,95.58,3775985.0
2025-09-16,95.94,97.94,94.685,97.52,3856295.0
2025-09-17,97.695,100.32,97.52,99.68,3647247.0
2025-09-18,100.25,101.0,98.075,98.89,3880501.0
2025-09-19,98.82,99.08,97.39,98.5,11903393.0
2025-09-22,97.92,98.59,96.12,98.26,3760876.0
2025-09-23,98.45,101.34,98.31,100.72,3521752.0
2025-09-24,101.0,104.61,101.0,103.1,3482577.0
2025-09-25,103.43,104.82,102.93,104.38,3959406.0
2025-09-26,104.93,106.23,104.56,105.77,4402428.0
2025-09-29,105.44,108.0,105.155,106.81,4969483.0
2025-09-30,106.6,108.36,106.18,106.24,4156229.0
2025-10-01,105.06,110.36,105.06,109.18,5251519.0
2025-10-02,108.92,110.09,107.25,107.86,6168607.0
2025-10-03,108.01,108.5,106.67,107.44,3046041.0
2025-10-06,108.78,110.0,107.22,107.73,3345906.0
2025-10-07,107.33,109.345,107.025,109.01,3228610.0
2025-10-08,109.72,109.93,107.18,108.68,2385176.0
2025-10-09,109.35,109.6,105.1107,105.98,1917510.0
2025-10-10,105.38,106.43,101.7,101.755,2149911.0
2025-10-13,102.56,103.07,101.35,102.68,1733076.0
2025-10-14,100.69,103.36,98.71,101.36,2969727.0
2025-10-15,101.82,104.05,101.58,103.17,2696050.0
2025-10-16,103.33,104.065,97.57,98.59,3172220.0
2025-10-17,98.91,100.97,97.84,100.78,2306622.0
2025-10-20,103.0,107.54,102.44,106.9,3659056.0
2025-10-21,106.75,108.52,105.52,106.1,2281787.0
2025-10-22,107.46,107.46,102.91,104.39,2904907.0
2025-10-23,106.25,107.46,102.8827,104.46,3048939.0
2025-10-24,105.88,106.12,102.835,103.77,2218099.0
2025-10-27,104.72,104.89,102.58,103.88,3432984.0
2025-10-28,103.88,103.9,100.78,101.0,3350862.0
2025-10-29,103.36,103.745,98.66,100.41,5557764.0
2025-10-30,100.41,101.98,98.92,100.52,2807951.0
2025-10-31,101.91,104.025,101.68,103.31,3226977.0
2025-11-03,103.73,110.35,103.03,110.08,6272224.0
2025-11-04,109.46,111.77,108.14,110.05,3559690.0
2025-11-05,109.42,112.4425,108.74,110.05,2707748.0
2025-11-06,110.88,112.63,109.1,110.62,2395486.0
2025-11-07,109.81,112.92,109.0001,112.45,2310426.0
2025-11-10,113.26,115.24,111.865,114.83,2703585.0
2025-11-11,115.27,118.9,114.8,118.64,3780252.0
2025-11-12,119.0,120.3,117.5701,119.46,4077624.0
2025-11-13,119.2,120.0,117.6,117.96,3111130.0
2025-11-14,116.69,117.765,112.77,117.28,3800839.0
2025-11-17,117.14,117.95,115.18,116.98,3362541.0
2025-11-18,115.65,117.71,114.28,117.16,2879368.0
2025-11-19,117.16,117.69,115.43,117.27,2554158.0
2025-11-20,117.68,121.1899,114.365,114.5,3672305.0
2025-11-21,114.61,116.09,112.4434,114.99,3184094.0
2025-11-24,114.99,117.4425,111.86,116.55,7933949.0
2025-11-25,115.29,116.54,114.5,116.01,2564487.0
