date,open,high,low,close,volume
2025-05-08,109.32,111.25,108.36,110.24,1409350.0
2025-05-09,110.29,110.615,108.4,109.1,916046.0
2025-05-12,113.37,116.77,113.33,116.08,1809344.0
2025-05-13,116.86,116.86,114.86,115.31,1230970.0
2025-05-14,114.8,114.8,113.54,114.27,1237843.0
2025-05-15,114.11,115.075,113.55,115.0,936573.0
2025-05-16,115.71,118.44,115.47,118.33,3300612.0
2025-05-19,117.08,118.325,117.01,118.14,1149360.0
2025-05-20,118.14,118.4267,115.94,116.4,1170518.0
2025-05-21,115.09,115.55,113.295,113.47,1389054.0
2025-05-22,113.07,114.28,112.275,113.69,1396778.0
2025-05-23,111.33,113.22,110.82,112.46,1102868.0
2025-05-27,113.56,114.9,112.7,114.28,1519459.0
2025-05-28,114.23,114.46,112.01,112.13,1438304.0
2025-05-29,112.94,113.46,112.1,113.27,1565536.0
2025-05-30,113.33,113.74,112.195,112.73,2573305.0
2025-06-02,111.5,111.58,109.9,111.21,1446118.0
2025-06-03,110.72,112.19,110.08,111.76,859857.0
2025-06-04,112.03,112.5799,111.16,111.57,738230.0
2025-06-05,111.82,111.83,110.83,111.15,941571.0
2025-06-06,112.18,112.77,111.42,112.36,1029982.0
2025-06-09,112.99,113.56,112.165,113.0,973660.0
2025-06-10,113.64,115.14,112.7649,114.93,884784.0
2025-06-11,115.22,115.22,113.81,114.45,1367146.0
2025-06-12,114.25,114.65,113.2051,114.58,755885.0
2025-06-13,113.79,115.48,113.36,114.26,1416225.0
2025-06-16,115.13,115.43,114.13,115.11,970943.0
2025-06-17,114.1,115.12,113.23,113.81,1092145.0
2025-06-18,114.0,114.6,113.0,113.08,1003892.0
2025-06-20,113.63,114.45,112.94,113.63,2809643.0
2025-06-23,113.84,114.46,112.74,114.39,909608.0
2025-06-24,115.01,115.01,113.69,114.16,919610.0
2025-06-25,113.68,113.93,111.895,112.28,978196.0
2025-06-26,112.95,113.765,111.93,113.6,1057651.0
2025-06-27,114.23,115.96,114.23,114.99,1967320.0
2025-06-30,114.96,115.09,112.9,114.25,1208204.0
2025-07-01,113.84,119.72,113.645,117.98,1210200.0
2025-07-02,118.39,119.415,117.43,119.07,923584.0
2025-07-03,119.49,119.84,118.08,118.38,616682.0
2025-07-07,118.34,118.73,115.88,116.17,825582.0
2025-07-08,116.27,118.08,116.0,117.32,657895.0
2025-07-09,117.5,118.185,116.83,117.27,1141075.0
2025-07-10,117.86,121.69,117.38,119.25,1196068.0
2025-07-11,117.63,117.915,115.365,115.76,1486589.0
2025-07-14,115.44,115.6599,114.0,114.98,1084295.0
2025-07-15,115.22,115.5899,113.29,113.33,970928.0
2025-07-16,113.63,114.02,112.02,112.93,1172754.0
2025-07-17,113.04,114.55,112.94,113.92,1121430.0
2025-07-18,114.39,114.39,110.94,111.67,1809934.0
2025-07-21,111.98,113.42,111.56,112.54,1382636.0
2025-07-22,112.64,114.84,112.635,114.33,923789.0
2025-07-23,115.22,116.35,114.78,115.43,803439.0
2025-07-24,115.31,116.91,115.03,116.84,1059953.0
2025-07-25,117.64,117.685,116.26,116.7,912467.0
2025-07-28,115.99,116.61,115.06,115.36,1013776.0
2025-07-29,115.23,115.61,113.53,114.46,1501342.0
2025-07-30,114.1,114.245,110.56,111.37,1531785.0
2025-07-31,111.81,116.92,110.48,116.24,2368877.0
2025-08-01,116.25,116.27,113.25,114.65,1587511.0
2025-08-04,114.3,117.02,114.0,116.89,1966612.0
2025-08-05,115.23,117.98,113.865,116.31,2125905.0
2025-08-06,117.05,119.26,115.62,118.73,1483854.0
2025-08-07,119.71,119.71,117.24,118.07,1123776.0
2025-08-08,118.48,118.8938,116.97,117.12,884854.0
2025-08-11,117.07,117.96,115.35,116.97,1313961.0
2025-08-12,117.98,120.73,117.43,120.72,1180795.0
2025-08-13,120.94,122.4,120.49,122.25,1202116.0
2025-08-14,121.47,121.47,119.83,119.87,1186823.0
2025-08-15,119.92,120.14,119.11,119.86,1171241.0
2025-08-18,119.38,120.4977,119.37,120.01,645697.0
2025-08-19,120.7,122.25,120.215,121.4,814730.0
2025-08-20,121.02,121.82,119.28,119.29,1375615.0
2025-08-21,118.49,119.3599,118.15,118.41,859842.0
2025-08-22,118.95,121.47,118.535,120.02,1045338.0
2025-08-25,119.72,120.45,119.01,120.35,1028785.0
2025-08-26,120.15,122.01,119.89,121.6,2373266.0
2025-08-27,121.23,122.41,120.99,122.33,1231452.0
2025-08-28,122.39,122.4999,120.12,121.28,811454.0
2025-08-29,121.32,122.12,120.24,120.54,895904.0
2025-09-02,119.38,120.88,119.275,120.85,1342525.0
2025-09-03,120.81,121.45,119.64,120.4,1161302.0
2025-09-04,120.86,121.71,119.38,121.64,755584.0
2025-09-05,121.92,123.13,120.4818,120.91,1061616.0
2025-09-08,120.88,121.885,119.77,121.72,1750102.0
2025-09-09,121.3,121.74,120.5,120.96,1009987.0
2025-09-10,120.31,122.01,119.77,121.34,1398012.0
2025-09-11,121.28,123.98,120.8,123.35,1056579.0
2025-09-12,122.78,124.025,122.46,123.51,1058851.0
2025-09-15,123.87,125.11,123.275,124.18,816158.0
2025-09-16,124.32,125.565,124.125,124.8,817181.0
2025-09-17,124.9,127.16,124.08,124.95,1121540.0
2025-09-18,125.14,125.98,122.88,124.05,1329774.0
2025-09-19,122.09,123.07,119.189,120.15,3417703.0
2025-09-22,120.15,120.4,118.84,119.48,1374481.0
2025-09-23,119.45,121.51,119.45,121.13,929977.0
2025-09-24,121.0,122.4,120.521,120.98,1151812.0
2025-09-25,120.63,121.545,120.21,121.23,818766.0
2025-09-26,121.52,122.85,120.96,121.84,910150.0
2025-09-29,122.56,123.14,120.78,122.76,1131223.0
2025-09-30,122.25,122.715,120.94,122.59,1502797.0
2025-10-01,122.35,122.72,121.12,121.53,1182809.0
2025-10-02,121.46,123.35,121.445,123.06,725215.0
2025-10-03,123.07,125.31,123.07,123.52,753824.0
2025-10-06,123.27,124.05,122.765,123.67,783143.0
2025-10-07,123.68,124.15,122.08,122.28,814777.0
2025-10-08,122.11,122.295,119.44,120.75,1385656.0
2025-10-09,119.85,120.35,116.08,116.22,1456352.0
2025-10-10,116.25,117.23,112.945,113.13,1707208.0
2025-10-13,113.42,114.49,113.06,113.97,920145.0
2025-10-14,113.89,118.0775,113.17,117.39,1511294.0
2025-10-15,117.68,118.14,116.77,117.35,1085024.0
2025-10-16,118.99,119.49,116.87,118.25,881999.0
2025-10-17,118.14,120.2483,117.9701,119.92,755081.0
2025-10-20,120.12,121.3,120.04,120.44,633058.0
2025-10-21,120.27,121.92,120.17,121.03,523758.0
2025-10-22,120.46,121.39,118.48,118.61,1032080.0
2025-10-23,117.72,118.96,116.84,118.47,770197.0
2025-10-24,119.27,119.27,117.66,117.81,604361.0
2025-10-27,118.73,119.77,117.69,119.65,931980.0
2025-10-28,120.33,121.27,119.21,119.4,881675.0
2025-10-29,119.48,119.78,117.45,117.57,873497.0
2025-10-30,119.1,121.7,118.575,120.19,1225440.0
2025-10-31,119.35,122.79,118.94,121.9,1580691.0
2025-11-03,121.73,124.09,120.94,122.46,2459577.0
2025-11-04,129.89,136.18,128.1,135.73,4911854.0
2025-11-05,134.17,140.72,133.27,137.92,3413460.0
2025-11-06,138.0,138.22,133.9575,134.54,2076420.0
2025-11-07,134.99,137.48,134.16,137.43,1673047.0
2025-11-10,137.14,141.785,136.88,140.44,2034528.0
2025-11-11,140.4,140.615,137.73,139.51,1308952.0
2025-11-12,140.0,142.09,139.0,140.68,1608391.0
2025-11-13,140.15,140.54,137.53,138.44,1451870.0
2025-11-14,138.31,140.0725,137.3,138.42,1036484.0
2025-11-17,140.46,142.75,139.09,142.23,2676858.0
2025-11-18,141.59,143.02,138.735,139.91,1260892.0
2025-11-19,140.43,140.95,138.92,139.13,1138757.0
2025-11-20,140.51,141.08,138.22,138.3,983715.0
2025-11-21,139.5,143.83,139.155,143.21,1691704.0
2025-11-24,143.46,146.265,142.87,144.26,2414927.0
2025-11-25,145.02,148.38,145.0,147.58,1379646.0
2025-11-26,146.73,147.94,146.5,147.36,1318531.0
2025-11-28,147.5,147.5,146.66,146.9,507899.0
2025-12-01,145.48,147.8725,145.08,146.45,1177695.0
2025-12-02,146.84,147.095,144.93,146.48,887597.0
2025-12-03,146.55,148.66,145.57,148.09,1133812.0
2025-12-04,147.95,151.26,147.95,150.5,1885836.0
2025-12-05,150.3,151.67,149.24,151.47,1599108.0
2025-12-08,150.83,150.895,147.6,148.05,1492822.0
2025-12-09,148.11,149.145,147.62,147.71,849959.0
2025-12-10,148.0,151.37,147.36,151.35,1770673.0
2025-12-11,151.0,153.84,149.585,153.02,1370851.0
2025-12-12,153.65,154.475,151.18,151.76,1316769.0
2025-12-15,151.88,155.04,151.1,151.57,1210584.0
2025-12-16,151.84,154.25,149.54,149.98,1041849.0
2025-12-17,149.46,150.73,149.0,149.75,1689204.0
2025-12-18,150.93,151.83,149.69,150.72,1393575.0
2025-12-19,150.0,153.32,149.92,152.87,3041094.0
2025-12-22,152.52,153.47,151.555,153.02,1191909.0
2025-12-23,153.02,153.35,151.49,151.65,915747.0
2025-12-24,151.24,152.11,150.89,151.56,458009.0
2025-12-26,151.25,152.43,151.22,152.24,459592.0
2025-12-29,152.4,152.66,150.89,151.06,789445.0
2025-12-30,150.5,150.87,149.69,150.12,666549.0
2025-12-31,150.08,150.59,148.97,149.01,683074.0
2026-01-02,149.14,151.97,148.76,151.86,845179.0
2026-01-05,151.33,154.695,150.6401,154.4,1325111.0
2026-01-06,154.71,157.89,154.71,157.5,1010180.0
2026-01-07,156.92,157.13,154.28,156.9,1440344.0
2026-01-08,156.13,158.9086,155.9403,158.15,1200480.0
2026-01-09,159.48,160.19,157.11,158.89,1394887.0
2026-01-12,158.23,161.4,157.5,161.12,1081868.0
2026-01-13,161.26,161.83,160.17,160.69,965317.0
2026-01-14,160.7,162.45,159.655,162.22,1184467.0
2026-01-15,163.73,164.48,161.84,163.76,1953183.0
2026-01-16,163.54,164.28,162.18,162.41,3831710.0
2026-01-20,161.33,161.81,158.38,159.12,1527882.0
2026-01-21,160.6,163.19,160.17,162.51,891228.0
2026-01-22,163.25,164.1099,160.65,160.8,875874.0
2026-01-23,160.23,160.545,158.67,159.21,1127121.0
2026-01-26,159.59,160.21,158.2,158.84,857484.0
2026-01-27,158.88,159.67,157.41,158.38,1241005.0
2026-01-28,157.84,161.175,157.36,160.07,1648223.0
2026-01-29,161.4,163.54,160.61,161.5,1359678.0
2026-01-30,159.81,161.3,159.031,160.54,2558980.0
2026-02-02,160.62,163.92,160.62,163.55,1327436.0
2026-02-03,163.89,167.19,161.19,162.22,1971293.0
2026-02-04,162.49,165.27,162.01,164.92,1829507.0
2026-02-05,164.16,165.125,162.97,163.78,1384716.0
2026-02-06,163.5,165.43,163.25,165.04,1683370.0
2026-02-09,165.36,166.0,163.09,163.64,994933.0
2026-02-10,163.65,164.485,161.55,161.71,1228182.0
2026-02-11,162.83,164.655,161.87,161.89,1245687.0
2026-02-12,162.94,163.745,129.59,140.56,7156679.0
2026-02-13,140.52,147.8499,139.02,146.5,3059430.0
2026-02-17,146.28,148.3,146.28,147.16,1284647.0
2026-02-18,147.0,149.66,146.7601,149.58,1601375.0
2026-02-19,148.45,151.08,148.3,150.7,1153506.0
2026-02-20,150.09,156.675,149.63,156.3,2547149.0
2026-02-23,154.72,155.315,148.85,149.63,1733777.017364
2026-02-24,143.23,147.12,135.42,138.83,3193357.784428
2026-02-25,138.71,142.65,138.33,141.87,2242781.906882
2026-02-26,142.59,145.87,142.1,144.72,1610702.563641
2026-02-27,143.16,146.34,140.15,145.03,2158165.569219
2026-03-02,145.0,147.87,144.115,145.63,1577992.532014
2026-03-03,142.81,148.52,142.71,148.04,1611034.268317
2026-03-04,147.39,148.9699,145.81,146.85,1018555.335969
2026-03-05,145.46,146.98,144.55,146.72,1375021.142529
2026-03-06,144.03,146.88,143.3116,146.86,1790009.247707
2026-03-09,146.31,146.85,142.17,145.24,2174443.513652
2026-03-10,144.98,145.13,141.01,141.37,1987636.856566
2026-03-11,141.32,142.2,139.76,140.81,1301289.052618
2026-03-12,139.36,143.895,138.585,142.23,1744016.258265
2026-03-13,143.07,145.0,141.6,142.55,1176707.875688
2026-03-16,143.5,144.845,142.71,142.79,931499.958224
2026-03-17,144.1,144.99,141.6501,143.16,809280.18311
2026-03-18,142.83,144.69,142.7044,144.62,855053.546975
2026-03-19,144.03,148.505,143.14,147.24,1312704.508052
2026-03-20,146.79,147.4,144.86,146.35,1702221.535803
2026-03-23,146.47,147.055,140.39,140.54,2116090.715741
2026-03-24,141.54,143.6,140.95,141.97,1027993.911733
2026-03-25,143.05,144.32,141.81,143.18,949621.086957
2026-03-26,141.03,144.43,141.03,142.66,721330.264004
2026-03-27,141.82,142.91,140.68,141.22,763916.461658
2026-03-30,142.96,143.6899,141.03,141.48,796929.009249
2026-03-31,143.21,145.35,141.91,143.23,1228253.147933
2026-04-01,142.65,146.235,142.33,144.31,917028.721095
2026-04-02,143.58,147.26,143.2939,145.81,788629.326586
2026-04-06,144.87,145.585,144.26,145.47,657816.093369
2026-04-07,145.54,147.51,144.315,144.53,1008557.057832
2026-04-08,144.99,146.955,143.705,146.62,1102941.764542
2026-04-09,146.47,147.88,143.44,144.83,1357137.357585
2026-04-10,144.83,146.28,142.75,143.06,947239.275704
