date,open,high,low,close,volume
2025-05-08,168.495,172.89,167.5,168.99,3648260.0
2025-05-09,152.59,158.61,148.55,156.66,6379453.0
2025-05-12,164.23,169.12,163.3,167.25,3188578.0
2025-05-13,168.58,173.66,167.42,169.37,2875692.0
2025-05-14,169.92,171.875,168.7,169.22,2124567.0
2025-05-15,169.15,170.18,165.62,166.21,1797171.0
2025-05-16,164.97,167.09,164.3,166.66,1759800.0
2025-05-19,164.07,166.29,163.69,165.49,1825600.0
2025-05-20,164.16,165.3241,160.85,162.52,4099136.0
2025-05-21,160.95,164.1,158.45,159.34,1973656.0
2025-05-22,158.99,161.42,156.05,160.72,2635329.0
2025-05-23,156.69,160.05,156.175,158.98,1269795.0
2025-05-27,161.25,165.44,161.015,164.99,2173560.0
2025-05-28,165.18,168.18,164.77,167.69,1575781.0
2025-05-29,169.5,171.79,163.64,165.65,1663983.0
2025-05-30,164.36,166.9986,163.91,166.75,2138512.0
2025-06-02,165.17,167.68,163.22,167.17,1501532.0
2025-06-03,167.0,170.49,165.03,168.62,1842238.0
2025-06-04,168.46,170.77,167.83,169.82,1866394.0
2025-06-05,171.0,174.91,170.3,173.38,1902422.0
2025-06-06,175.04,176.78,171.3,176.55,1822680.0
2025-06-09,176.74,177.91,176.0,176.62,1098063.0
2025-06-10,177.46,177.46,172.67,174.06,1344860.0
2025-06-11,175.52,175.98,172.63,173.32,1104912.0
2025-06-12,172.06,172.6,170.32,171.7,1033659.0
2025-06-13,168.23,169.7,164.5,165.63,1404255.0
2025-06-16,168.33,169.34,164.465,164.61,2100441.0
2025-06-17,162.575,164.76,161.29,161.99,1398096.0
2025-06-18,161.9,164.16,161.9,162.46,1232480.0
2025-06-20,164.08,165.35,163.3502,164.88,2560590.0
2025-06-23,163.58,166.51,160.0047,165.82,1532314.0
2025-06-24,167.805,170.33,167.24,169.22,1750772.0
2025-06-25,167.8,168.78,164.47,165.75,2178158.0
2025-06-26,166.81,167.65,165.545,166.8,1903310.0
2025-06-27,167.12,171.115,166.22,170.76,1867882.0
2025-06-30,170.81,171.5992,167.99,168.68,1461609.0
2025-07-01,168.0,174.9,167.35,174.04,2617915.0
2025-07-02,174.12,174.12,169.23,171.01,1644847.0
2025-07-03,171.27,178.62,171.27,176.48,1429430.0
2025-07-07,176.4,179.5,175.705,177.8,1388060.0
2025-07-08,178.69,181.215,177.47,177.55,1284988.0
2025-07-09,179.0,180.44,175.66,176.09,1272738.0
2025-07-10,179.26,186.1616,179.05,182.97,2147947.0
2025-07-11,182.82,185.86,180.805,183.64,1265762.0
2025-07-14,183.64,184.75,182.2103,183.56,1089779.0
2025-07-15,183.5,183.725,178.56,178.99,1615790.0
2025-07-16,179.9,180.4,177.0,178.3,1148811.0
2025-07-17,178.28,183.03,177.615,182.08,1324023.0
2025-07-18,183.51,185.06,181.9964,184.93,1155218.0
2025-07-21,185.18,186.62,184.0,185.47,1196225.0
2025-07-22,185.41,190.89,185.14,189.44,1398408.0
2025-07-23,190.15,192.31,189.16,192.19,1260692.0
2025-07-24,192.37,193.79,189.8256,190.48,1944521.0
2025-07-25,192.09,192.58,186.89,187.34,1419387.0
2025-07-28,187.53,188.845,186.12,187.16,1302203.0
2025-07-29,187.35,188.48,182.59,182.81,1262400.0
2025-07-30,179.88,182.04,177.24,179.79,1993413.0
2025-07-31,180.34,183.34,179.46,180.22,1308307.0
2025-08-01,177.27,178.25,174.05,178.06,1674169.0
2025-08-04,179.73,185.64,179.605,184.99,1496589.0
2025-08-05,185.8,186.41,180.43,181.84,1582077.0
2025-08-06,182.76,185.62,182.15,185.14,1797487.0
2025-08-07,184.5,188.17,181.58,187.61,4382864.0
2025-08-08,211.6,213.0,191.15,195.26,6980139.0
2025-08-11,193.43,198.16,192.32,192.63,2348945.0
2025-08-12,193.31,203.44,192.83,203.19,2431519.0
2025-08-13,204.0,210.28,202.52,209.68,2411927.0
2025-08-14,208.99,210.83,206.82,207.2,2379571.0
2025-08-15,208.66,210.4899,207.0001,207.44,1603233.0
2025-08-18,206.98,207.95,205.48,206.67,1470392.0
2025-08-19,205.95,209.5512,204.64,208.04,1726936.0
2025-08-20,206.98,207.5,204.03,205.68,1350789.0
2025-08-21,205.31,206.19,204.165,205.35,1134295.0
2025-08-22,206.06,216.602,204.79,214.81,2218529.0
2025-08-25,214.84,216.0,211.75,213.35,1581408.0
2025-08-26,213.0,214.46,211.88,213.63,1651399.0
2025-08-27,213.63,214.87,211.215,212.21,1389863.0
2025-08-28,212.92,215.27,210.28,214.71,1419961.0
2025-08-29,215.0,216.21,213.5,214.8,1255644.0
2025-09-02,209.825,212.72,209.0101,212.12,1120765.0
2025-09-03,212.4,214.7999,210.03,212.535,1191273.0
2025-09-04,213.46,217.0,212.49,216.52,1103669.0
2025-09-05,215.92,219.1,211.53,214.95,1353227.0
2025-09-08,214.87,217.78,214.04,217.2,1358876.0
2025-09-09,217.11,218.0,215.867,217.7,1168471.0
2025-09-10,217.19,218.52,212.3001,215.49,1076074.0
2025-09-11,216.23,222.1,215.98,221.36,1049880.0
2025-09-12,221.36,223.22,219.55,222.19,970090.0
2025-09-15,222.35,229.0,221.245,228.24,2734172.0
2025-09-16,227.96,228.7099,222.76,224.98,1506136.0
2025-09-17,224.98,228.175,222.97,225.18,1186799.0
2025-09-18,226.04,226.985,221.24,221.92,1682506.0
2025-09-19,223.45,225.1,219.94,222.43,3559973.0
2025-09-22,222.71,224.21,219.02,223.51,1842676.0
2025-09-23,222.76,225.43,219.4,221.22,1482339.0
2025-09-24,222.31,223.27,217.63,217.83,1327127.0
2025-09-25,214.63,217.46,212.54,215.19,1585385.0
2025-09-26,216.07,223.94,215.955,222.87,1153956.0
2025-09-29,224.5,224.97,220.16,220.51,1605349.0
2025-09-30,220.55,221.69,210.27,213.75,2587612.0
2025-10-01,214.03,218.71,212.55,217.95,1954227.0
2025-10-02,218.4,218.4,211.51,217.69,2065659.0
2025-10-03,218.68,223.28,216.05,219.23,1801197.0
2025-10-06,220.31,240.98,216.84,223.83,3741998.0
2025-10-07,223.25,223.4615,211.39,216.16,1810455.0
2025-10-08,217.74,217.74,212.37,212.41,1170405.0
2025-10-09,214.705,216.99,213.2461,216.81,1206739.0
2025-10-10,215.5,218.02,209.8,210.33,1305003.0
2025-10-13,212.55,216.87,211.2101,215.64,1497476.0
2025-10-14,212.12,224.559,212.12,223.12,1453949.0
2025-10-15,224.75,225.29,215.19,218.43,2547307.0
2025-10-16,218.27,219.58,210.7,213.57,1846457.0
2025-10-17,213.76,216.59,212.61,214.76,1617545.0
2025-10-20,215.4,219.76,215.4,218.25,989241.0
2025-10-21,217.94,227.32,217.94,226.14,1612202.0
2025-10-22,225.4,227.87,224.12,226.39,1310127.0
2025-10-23,225.24,228.95,213.55,215.65,2677853.0
2025-10-24,217.13,220.0,215.09,218.85,1228056.0
