date,open,high,low,close,volume
2025-05-07,39.355,39.535,39.045,39.25,7563390.0
2025-05-08,39.54,40.2525,39.375,39.645,5969492.0
2025-05-09,39.665,39.96,39.07,39.3,3801484.0
2025-05-12,39.895,40.09,39.11,40.075,9237688.0
2025-05-13,40.345,40.365,39.975,39.985,6581276.0
2025-05-14,39.85,40.32,39.4168,40.255,6343572.0
2025-05-15,40.265,40.985,40.095,40.94,4501986.0
2025-05-16,40.935,41.555,40.8,41.515,5089402.0
2025-05-19,41.29,41.715,41.135,41.58,4273050.0
2025-05-20,41.425,41.575,40.87,40.96,3395668.0
2025-05-21,40.715,41.2248,40.575,40.73,4405888.0
2025-05-22,40.86,41.12,40.14,40.715,4420394.0
2025-05-23,40.395,40.93,40.2964,40.65,3872478.0
2025-05-27,41.23,41.72,41.0,41.64,5039483.0
2025-05-28,41.82,42.0,41.37,41.47,2920008.0
2025-05-29,41.71,41.71,40.65,41.2,3328692.0
2025-05-30,41.13,41.61,41.06,41.34,7660318.0
2025-06-02,41.14,41.29,40.345,40.91,4389321.0
2025-06-03,40.85,41.22,40.73,41.19,4177004.0
2025-06-04,41.11,41.54,40.63,40.88,4870085.0
2025-06-05,41.1,41.41,40.81,41.34,3446591.0
2025-06-06,41.725,42.16,41.66,42.06,4408089.0
2025-06-09,42.25,42.3,41.77,42.13,4706861.0
2025-06-10,42.13,42.74,42.05,42.72,4536417.0
2025-06-11,42.54,42.75,42.24,42.65,5574084.0
2025-06-12,42.495,43.1,42.27,42.86,4355583.0
2025-06-13,42.57,42.95,42.08,42.17,6447290.0
2025-06-16,42.45,42.68,42.07,42.24,3615731.0
2025-06-17,42.09,42.295,41.35,41.55,4790051.0
2025-06-18,41.66,41.74,41.07,41.49,6251085.0
2025-06-20,41.7,41.91,40.75,40.94,10470612.0
2025-06-23,40.835,41.34,40.36,41.3,5746701.0
2025-06-24,41.37,41.555,40.41,41.53,7588832.0
2025-06-25,41.58,41.59,41.07,41.12,4161641.0
2025-06-26,41.3,41.395,40.88,41.3,5697998.0
2025-06-27,41.395,42.0,41.23,41.96,10642397.0
2025-06-30,41.93,42.13,41.79,42.0,5811205.0
2025-07-01,42.04,43.13,41.75,42.86,5569992.0
2025-07-02,42.715,42.8,42.235,42.68,5092488.0
2025-07-03,42.76,43.21,42.625,43.13,2959238.0
2025-07-07,43.15,43.27,42.37,42.47,5869659.0
2025-07-08,42.42,42.94,42.27,42.84,6533847.0
2025-07-09,43.0,43.49,42.625,43.4,6853205.0
2025-07-10,43.4,44.0,43.3,43.56,6153390.0
2025-07-11,43.55,43.66,42.97,43.27,7403953.0
2025-07-14,44.29,46.04,43.79,45.07,18532653.0
2025-07-15,45.16,45.58,44.7,45.13,8368017.0
2025-07-16,45.115,45.62,44.88,45.6,7111778.0
2025-07-17,45.7,45.9601,45.125,45.88,10576659.0
2025-07-18,46.2,46.3,45.64,46.06,7628243.0
2025-07-21,46.03,46.53,45.88,46.02,5933511.0
2025-07-22,46.02,47.11,45.91,47.08,6075138.0
2025-07-23,47.22,47.62,47.14,47.43,5964103.0
2025-07-24,47.39,48.01,47.24,47.93,4984261.0
2025-07-25,48.06,48.1,47.255,47.75,5508589.0
2025-07-28,47.54,47.615,46.76,46.8,5777101.0
2025-07-29,46.73,46.86,46.38,46.6,5711773.0
2025-07-30,46.57,46.875,46.06,46.41,5815855.0
2025-07-31,46.1,46.76,45.89,46.13,8679250.0
2025-08-01,45.85,45.915,44.865,45.44,7660914.0
2025-08-04,45.52,45.8,44.965,45.37,5406974.0
2025-08-05,45.43,45.67,45.17,45.44,4055542.0
2025-08-06,45.735,46.895,45.695,46.78,6308817.0
2025-08-07,47.38,47.53,46.67,47.48,8854098.0
2025-08-08,47.47,48.38,47.303,47.99,5069608.0
2025-08-11,48.1,48.21,47.235,47.84,4900177.0
2025-08-12,48.01,48.54,47.56,48.45,4588070.0
2025-08-13,48.43,49.26,48.365,49.21,4833799.0
2025-08-14,49.14,49.23,48.68,48.69,5337904.0
2025-08-15,49.08,49.2,48.535,48.88,5848225.0
2025-08-18,48.835,49.19,48.54,49.11,4540769.0
2025-08-19,49.1,49.94,49.06,49.9,6881711.0
2025-08-20,49.971,50.06,49.26,49.54,6320160.0
2025-08-21,49.36,49.74,48.82,49.14,5185019.0
2025-08-22,49.455,50.6,49.33,50.39,5442728.0
2025-08-25,50.02,50.63,50.02,50.27,5859858.0
2025-08-26,50.08,50.4299,49.5,49.96,7482748.0
2025-08-27,49.91,50.27,49.59,50.2,4042486.0
2025-08-28,50.26,50.32,49.84,50.18,3721069.0
2025-08-29,50.255,50.47,49.355,49.66,4613222.0
2025-09-02,49.34,49.61,48.85,49.19,4782820.0
